text,label
"I love this sauce. Sweet but hot too. I use it on checken wings instead of buffalo sauce and with pan seared scallops, shrimp. It's very versitile and delicious!",1
"First, the ingredients list is wrong.  They are almonds, not cashews.  I don't have a recent bag (just ordered), but I have seen some with tapioca syrup and some with rice syrup listed in the ingredients.  My 6 year old son has tons of foods he needs to avoid, so these distinctions are important to us!  Luckily, he has been able to eat these and loves them.<br /><br />The pieces in the bag vary in size.  The most typical is about 1-1.5"" long by ~3/4"" wide.  There will be some loose crumbs in the bottom too.  It looks like they make them in a big pan and then cut them down.  I would compare them to bite-size (or 2-bite sized) granola bars.  It is just the right amount of sweetness added.  I love that these have a nice protein boost when I need to grab something and go.",1
I ordered this on-line and received it in just a few days (3).  The tea is excellent and the price was right for  me.,1
"Enjoyed the product, pleasant flavor,  used it to in all my cooking, i will be purchasing it again. Cans were dented on arrival... but did not harm the product.",1
"Love it, love it, love it!  Both me and my 10 year old drink this herbal tea quite often.  Very tasty!",1
"This is a cool kit for gifts, or a great price on a kit of Dave's Sauce if you use it at home.  A good variety.  My only issue is that the bottles do not hold in the wood gift box very well at all, they slide up and down until they fall out of the open spaces in the front or back of the wooden gift box.  I would buy again.",1
I would recommend this product.  I received it in a timely manner and the price was good.,1
"We found this on our recent trip to England and had to find it as soon as we got home.<br />It's a standard for the Brits, and for us now too.  It's been around FOREVER.<br />You can use it in so many ways; pies, trifle, donuts,<br />cakes, by itself with fresh fruit and whipped cream, or even on french toast!",1
"While I love flavored coffees, I had never tried any of the Wolfgang Puck line.  This moved to the top of my favorites list with the first cup!  Not only is the aroma delightful, the flavor is excellent as well.  I drink my coffee black and this one has no bitter after taste and the flavor isn't overpowering.  The flavor is a very light coconut and the coffee is a medium body.  I must admit that I was a little hesitant about a ""coconut"" flavor.  DON'T BE!  Everyone around me wants a cup....I refuse to share!",1
"Try a little sprinkle on ice cream, makes a good milkshake, mix it in cakes or brownies, sprinkle on the cake, enhance coffee drinks and liquors, get rid of that pesky cat, add texture to Barry and Levon's 240 pounds of pudding, brown paper mache, movie prop heroin, or dip your bananas in it.  I consume it with BlueBell Homemade Vanilla ice cream.  I like the double chocolate better.",1
I picked these up for my wife so she could make coffee out of any brand she likes. They work perfectly in her new Keurig that I got her for Christmas. You couldn't ask for better.,1
My wife rates this  5  Stars. SHe is the chocoholic in the family and if you please HER...you please everybody .,1
I love adding chia seeds to my oatmeal or yogurt.  It makes the food more filling and doesn't affect flavor.,1
This is funny I bought the flax seed to make  a neck warmer  I made said to use Flax seed and warm in Microwave for 2 minutes.  Bought 4 bags only needed 2 so decided to make use of the rest. Grind and put over any food the benifits are great.<br />I put mine in Yogert and Cereal. Will diffently keep useing. After this last bag will be ording again.,1
"I have had my herb savor for a few weeks now, and I was waiting to write a review until my herbs went bad, so I could tell you how long it takes, but it never happened. For the first time ever, I used all of the herbs before they went bad. I have not had any problems with leaking. Everything closes up nice and tight on mine. Plus, this thing just looks really cool!",1
Got this free with another order I placed.  I couldn't believe how much the cats loved it. I will buy again for sure.,1
"Best taste pasta. Cooks very well, slightly less time than typical mass produced pasta. Nice color and mouthfeel. Just excellent.",1
"My baby has been eating this brand since he was 6 months. I like the convenience of high quality/yet not overly pricey jar food like this. It is easy on his stomach. Never had any health issues with it. The ""dinners"" are a bit more filling than the usual watery vegetable puree but it still does need a little cereal to thicken up. Summer vegetable is his least favorite. The zucchini (like cucumber) smells pretty strong. He would eat it now but when we first started, he hated it. My son loves the other 3 flavors and that's why I continued with my subscription since it's more expensive to buy them separately.",1
It really did help my father is a cancer patient and. Didnt want to eat because the taste was no good.well the miracle berry gave him a good taste again,1
"Beautiful clear reddish in the cup and delicious with no off taste or ""bite"".  Recommended without hesitation.  Just opened the bag, and I'm ordering some more already.",1
"I like  Stephen`s  Gourmet Hot  Cocoa , White  Chocolate  Mix ,because to me  it taste like  Arabian  White  Chocolate ,the taste is  almost identical ,if it had a little  Arabian vanilla  it would  be a copy cat. This  cocoa  to me  has  alot of  class ,unlike the others this  Stephens white chocolate  mix has alot of  class .I just  have to  say  Thankyou  Stephen ,I really enjoy sipping white hot  cocoa  again.  A friend told  me how  delicious  this  cocoa  was ,I never imagined  how  delicious . I am  so  glad  I purchased  it,  THANKYOU STEPHEN , A customer  for  life !  Terry Merrill",1
"Raw Cacao Powder differs greatly in taste than processed Cacao Powder. Commercial cacao powder is often triple fermented and then roasted. Commercial companies are more interested in a product which has no nutritional value but great consistency in flavor. Commercial Cacao Powder is mono tonal in flavor. Raw Cacao is everything that Commercial Cacao isn't. It is a antioxidant super-food which has no equal. The taste does vary slightly from one part of the year to the next. As to taste, it has a wonderful intoxicating tannin like aroma with mild overtones of Mahogany. In foods it has a complexity which some cooks will absolutely love while the others who read from the book may want to go back to there standard one dimensional cacao. In baking, I believe it goes well with other flavors such as Almond Extract. If you want to do an extraordinary butter cream icing with a tad of Almond extract, your icing will have no equal. In chocolate cake I personally would go heavy and do a buttermilk or sour cream cake. The acid helps to unify and amplify flavors. I like making cake with 60% cake flour which is about has about 5% wheat gluten and 40% rice flour. The reason for this should be obvious. The heavy texture that rice flour imparts makes your cake stand proud and one bite is then never more than enough.<br /><br />Raw Cocoa powder is rich in polyphenols, such as catechins and procyanidins, and has been shown to inhibit low-density lipoprotein (LDL) oxidation and atherogenesis in a variety of models. Human studies have also shown daily intake of cocoa increases plasma high-density lipoprotein (HDL) and decreases LDL levels although the drug companies having endeavored to understand the mechanism in which this happens.",1
"I highly recommend these very tasty Kavli Thin Crispbreads. I wanted something different than just white bread for sandwiches. I hate whole wheat. I love rye. I saw these, noticed the ingredients couldn't get much simpler and gave them a try. Topped with cheese, or a sandwich spread or whatever you'd like they're very tasty. I feel as full after 2 or 3 of these, topped of course, as I did with just white bread. They're nice and thin so it isn't like biting into anything hard - just a nice crunch. The flavor isn't strong at all - it is very mild and nothing like a rye bread you might have purchased in the past. Then I noticed that they are only 20 calories per slice. What's not to love? They taste good, they're whole grain, they're super low in calories, it's no crunchier than a potato chip, and I feel satisfied while chewing and after eating them. Oh - and they keep forever in the cupboard. I definitely will be buying these for a long time. :)",1
"Really easy project for family fun anytime not just for Christmas. Just put icing between cookies and stack. Then ice outside and decorate. Great for all ages. Strawberry licorice rope looks like stuck together but just find end and unwind.<br /><br />* CAUTION UNDER 3** Small hard candy decorations swallowing hazard.<br /><br />Comes with everything you need except bowls an spoons.<br />contains :<br />cookie pieces<br />Large bag yellow colored icing ( East to mix with just fork, you add water slowly as to not get to thin)<br />small white icing bag (you add water slowly)<br />green color to add to small amount of white<br />3 clear decorator<br />4 plastic decorator tips ( can save to reuse)<br />small bead candy for decoration 9chokign hazard)<br />strawberry licorice rope<br />1 small tube of orange writing icing<br />Hard candy wreath decoration about 2"" diameter<br />Gummy Spongebob about 4"" tall<br />Gummy Patrick about 4"" tall<br /><br />Icing set up hard so when you go to eat  it has to be pried apart in pieces. Cookies do get a little softer in the middle.<br /><br />Make anytime of year. Leave off wreat and Patrick and cut out Spongebob's head so does not look like chirstmas.",1
"I love tea, hot or cold, and am always looking to try new ones. This tea brews up a wonderful cup - just opening the bag to scoop some out is a joy. The smell alone is captivating. I tried a cup to relieve a stomach ache and it relieved my discomfort immediately. It really does taste just like good quality licorice and it's naturally sweet. When my urge for sweets hits, I can now reach for this tea instead and it really does satisfy my cravings. This tea will be a staple in my pantry.",1
"This jar of baby food has 7 GRAMS of FAT and 110 calories - thats triple the fat and double the calories of most baby food!  I highly recommend for babies needing to put on some lbs - as well as picky eaters.  I have to offer my son a variety of 7-8 foods each meal (cheese, avacado, chunks of meat...etc) b/c he turns up his nose at so much (and I can't just say 'well too bad' b/c he desperately needs the calories!) But this is one of the foods he rarely turns down.  I highly recommend.",1
I love this flavor. The don't sale is specific flavor in the stores here in Missouri. I love it :),1
"I tried both the Original and the Hot and Spicy, both are marvelous.  Only problem I have is that both are a little on the Salty side.  2 Minutes in the Microwave and you have cracklin pork rinds.  I can no longer find any in my local super market, this is a wonderful substitution.",1
"I eat this pasta every day, without guilt. I love this pasta. I maintain my desired weight without any problem. You have to cook this pasta a little longer than normal pasta, but it is every bit as good.",1
"When a peanut butter addict like me says this is better, it is saying a lot<br />Wonderfull flavor, Very creamy texture, almost to creamy, more like a puree.<br />Not to oily or sweet, just right. doesn't stick to the roof of your mouth.<br />Organic makes it even better and healthier",1
Very meaty texture for a vegetarian product.  Looks like fresh ground beef after you mix it with water.  I would recommend this product.  I also want to try the sausage variety.,1
