text,label
"Overall the abacus is wonderful, and my daughter and son seem to enjoy playing with it, but I was disappointed to find that this toy was actually made in China, not America as I thought.  I purchased the abacus from Melissa and Doug believing that they are an American company that makes their toys in America.  I was disappointed to read the label that stated it was made in China.",1
"For those who enjoy dice rolling games (like King of Tokyo) and also want to combine the Cthulhu mythos for a cooperative fight against Ancient Ones, this game fits the bill. Theoretically can play 1-8, but shines best with 1-4 given the potential downtime between turns since players take turns alternately instead of simultaneously.",1
used 4 of these to help me create a DIY lego play table for my kid. Saved a few hundred bucks with this,1
"For anyone who likes board games, miniature games or Sci Fi in general or Star Wars in particular, this is a great, fun, simple game that can be a beer 'n' pretzels affair or deeply tactical if you want it to be.The presentation and build of the models and included card stock pieces is first rate. The packaging protective and re-usable and the delivery I received from Amazon was super speedy.The B Wing adds some awesome capabilities to the game and really kicks but in play!",1
"My son received this table when he was 8 months old, and still plays with it on an almost daily basis.  The legs are detachable, I guess so it can be placed on the floor for babies, but we never did that...  This table helped our son into a standing position, and encouraged him to &quot;cruise&quot;. The variety of music it provides is great, and hasn't even begun to get old yet (even for mom &amp; dad). Now at almost 2, I've noticed that my son is starting to make his own music instead of just &quot;pressing buttons&quot; .  Pressing the drums, the piano, then back to the drums... I'm sure this table will last for years to come, especially once he becomes more interested in his letters, numbers, and colors. I would DEFINITELY recommend this product for EVERY child!",1
"I really like this game. It is simple. We can vary the rules a bit if we like. Our 2.5-year-old loves to get the monsters. And the game goes by fast. I can even play it a few times before I tell them I'm done.Small gripe: those beds are too big for the bags. Maybe a different, smaller shape could have been used in its place. Tiniest gripe ever. We love this game.",1
"We bought this toy at Christmas for our then 8-month-old twins. The &quot;leader&quot; twin took to it right away, loving the blocks and the sounds and motion. He would sit and yell until someone pressed the &quot;action button&quot; for him. The &quot;sensitive&quot; twin, however, found it much too loud and was afraid of it for the first week. He was OK if the blocks were on the moving discs, but if the blocks got to rattling around, it was too loud for him.Now, a month later, they both absolutely adore this toy! They love to knock the blocks over and bop to the music. They think it's great fun to start AND stop the action with the button - a nice touch. They both particularly liked the block that is shaped like a bee with cloth wings.The only complaint I have about this toy is that it is very loud. I don't mind the clatter of the blocks as they go chasing around, but the music itself is quite loud.I think this will continue to be a good toy for a while, too. Right now they will only knock over the blocks we've stacked, but I hope that they will also enjoy stacking the blocks themselves when they acquire those skills.I know it's a good toy when they fight over who gets to play with it - and that happens a lot with the Garden!",1
"This is your &#34;old fashioned&#34; (classic) game of &#34;Sorry&#34;... it is great. It really teaches children how to play a game patiently and how to take your lumps and setbacks.  Game is as is appears.  4 colors (4 of each), the board and the game cards are included.",1
This kit has all you need for a tie dye themed birthday party. The dyes are strong colors that last without much fading.,1
"Disclaimer: I am reviewing the product, the programmable Rover, that was offered to me for free through the Vine program.Unfortunately I never received the product! The package must have gotten lost in shipping. So I'm sorry but I cannot review the actual product, as much as we were looking forward to trying it.However, now Amazon Vine is changing their policy so I am required to write a review, even though I never received the product in question. So I'm sorry but please disregard this review...",1
"I bought this game for my 4 year old this past xmas. He loves it and it's lots of fun.The hippos do sometimes get stuck, but all you have to do is press down on the lever while also pressing down on the hippo's neck. The makes them get unstuck.Also, today I figured out where some of the lost marbles went. And how they got there I have no clue.Under the hippos necks, there are little square ridges. The absolute perfect size for guess what? Marbles! And they don't shake loose. They are a firm fit in there and hard to get out.I had to perform emergency surgery today with a pair of tweezers, but I managed to find several lost marbles. You will have to hold the lever down to extend the hippo's neck, and you will see the little square ridges and maybe a marble or two stuck in each one too.",1
"This game was bought for my 3 year old daughter. She/we have so much fun with it! It promotes turn taking, matching, sorting, problem solving and fine motor skills! If your looking for a great game that you can also use as an educational tool, this ones for you :)",1
"Great gift, Daddy and son play with it all the time together and the glow it the dark part is a plus with the days getting shorter now.",1
"I've known the game Munchkin for a very long time, and have always thought it was of the most ridiculous, yet one of the most enjoyable games to play. It's very simple, and even non-gamers can pick up the rules real quick. Play goes by very quickly, and the cards are pretty damn funny.This game is best played with a group that has an interest in fantasy, as the jokes are definitely inside jokes. However, they're likely to be the people most interested in the game to begin with.The newest edition has all the cards in color, and this is a very nice touch versus the older editions. Definitely makes it feel classier. However, unless you're putting the cards in sleeves, it's still a card game, and is still less durable than other types of board games.Overall, buy this game, call over several of your buds, and be ready to kick down the door, kill the monster, and backstab your friends, for Munchkin is as good as ever.",1
"We have used the butterfly garden twice already. I ordered the larva online (5 bucks I think) and shipping was pretty fast, within 4 or 5 days. Since my daughter was in the 5-6 range when using, it involves some adult help (transferring the cocoons, feeding, placing in a safe area away from curious cats, etc). I like that there is an option to reorder more caterpillars from their website. The two times that I ordered, I received 5 larva each time and all hatched (even when one of the cocoons fell off the paper when transporting).",1
"A smock is essential for my son (3yrs) to have for his painting. This one is well priced. My only complaint is I wish it had sleeves, even chapped ones would help. The material is very thin. Wipes up fairly well but some of the &#34;washable&#34; paints have not come off of it.",1
"On some of the pages, the items that the child is to choose are small and if the child doesn't pick &quot;just the right spot&quot; on the item it tells them they got it wrong even if its right. Very frustrating for tiny hands just learning hand coordination skills, Overall the games are pretty fun, however,I don't really feel that several of the pages are educational at all, but still fun for kids just getting started in the leapfrog system.My daughter loves the books and has gotten quite good and remembering to touch the &quot;go&quot; button when flipping pages to make the sounds go with the pages you are looking at.",1
"...from Melissa & Doug.Beyond the obvious shape, color & object learning, this toy is just plain fun! I'm a fan of wooden toys; the less toxic plastic in my world the better.My preschooler son enjoys this one a great deal & will get it out on his own, dumping it all over the floor. The puzzles are two-sided & along with the shape pieces, stored in it's own compartmented box. I wish it came with a lid, either sliding or flap, but not having a lid does make it easier for my son to see what's inside.The only downside, is the many pieces to pick up, but you can make it a fun game with your child by asking him or her to pick up first by color, then by shape, etc.There are points of course on the angular pieces, but with some supervision no one should get hurt. Hey, your child can get hurt walking...so far, no one's gotten poked, pricked or banged except when my son throws the pieces around, as he does with everything.A good puzzle set for the toddler in your life.UPDATE...almost 2 years on & the paint has held up, the wood has held up, all in all so far fairly durable. My son still plays with the puzzles & has fun!",1
"What can I say? All the kids seem to love this toy. As soon as kids come in through the door - they grab this toy first. It has been through rain, snow, heat and it's still great!",1
"Lords of Waterdeep is by far one of my favorite board games. It's a worker placement type game, that is great for 2-5 players. This game is set in the Dungeons and Dragons universe, and while knowledge of the history is nice in that it would will let you recognize more of the land marks, it is not at all necessary to enjoy the game. I've played lots of worker placement games, and this remains one of my favorites as it's a solid middle ground, between rules heavy, and rules light. I highly recommend this board game.",1
"We love this! He has had it for a year now, got it at age one and it is by far one of his favorite toys.  He loves taking it off the base and rolling it on the floor.  Yet another Leapfrog product we love!",1
My son got set with his play kitchen for Christmas and was amazed at how durable the pieces are.  There are a lot of pieces in the box but has everything your little on would need.,1
"My grandkids love this (ages 5 & 7), but even the little one (18 months) watches the ""babys"" to see what they are doing.  Easy to use, doesn't take up a lot of space (you can hang it) and the kids love watching and waiting for the butterflys to emerge.  Educational, fun, teaches patience, many object lessons.  Overall a wonderful product.",1
We gave this yo our infant and he loved it. He learner to posy the cymbals at 6 months and that is for hand eye coordination. At 14 months he still loves all the pieces. The only piece I did not give him yet was the triangle,1
"Good game.  Don't be afraid of all the pieces, it's not that bad.  The rules could be a little clearer in places, but there's lots of unofficial erratta on the interweb that addresses them.  The box art is kinda weak, but it's what's on the inside that counts.",1
This is the cutest pup around. He is very durable and made of a real soft fabric. He has blue eyes with black pupils. He would be a nice companion for any one of any age.,1
"My daughter loves this game.Ok she dosen't actually love ""the game""however she does love the pins! She is an only child and while she likes this game as much as any of her other games,the pins have added hours of fun for her.They ride in her Barbie jeep,talk to one another and she also made little super hero capes for them from tissues,go figure!When I play the game with her she is satisfied but alone she prefers to walk and talk the pins all over the house.So even if this game isn't used the way it's intended thats allright by me,because she uses her imagination and keeps herself occupied.From the other reviews I would say that girls prefer this toy more than boys.By the way she is 4 yrs. old.",1
It is a thought provoking game that encourages family talk and imagination. Its also a great way to learn some new thing about your family! My husband and I enjoyed it just as much as the kids,1
"I was going to buy thisMusic & Lights Sit 'n Spin: Rockin' Tunesfor Devon for his first birthday last January, but his mother beat me to it. He's been spinning on this for eight months and still loves it. What a treat to observe that adorable little guy playing and enjoying every minute of life. His laugh is pure joy as he spins around, his smile brightening the faces of the entire family.This toy has held up well, which says much for its durability because Devon's a pretty rough-and-tumble kid ... as boys should be, of course. ... lol ...He loves the music ... much more than his mother does, so I'm going to suggest she take the advice of another reviewer and remove the batteries.  I'm certain Devon would still have fun with this classic--music or no music.Devon recommends it highly! Mommy recommends it with reservations about the too-loud music, so I'm giving it four stars.Reviewed by: Betty Dravis, 2008author of The Toonies Invade Silicon Valley",1
We bought this for my daughter when she was about 4 months old. We were having a lot of difficulty in getting her to sleep and were desperate for anything that might work. While this didn't put her to sleep per say it did soothe her and she really enjoyed listening to the music and watching the lights and the bubbles and the fish. Now that she is 15 months old she seems to enjoy it even more! She turns it on in the morning when she wakes up and plays with it. She does go to sleep with it now and all in all it has been a terrific toy.I love the fact that she can play with it and work the controls herself. I think this is a must have!,1
"Being a parent, I would rather not give this toy any star but from a child's perspective, it is a five star rating toy. The irritating popping sounds when you child walks with it in early morning is quite disturbing yet your child will never get enough of it. It has been used by my two kids and now I have given it to my nephew who enjoys it as much as my kids did and his parents are as irritated as I was :)",1
My wife and I love this game. It's even pretty good with just two players but it's better with 3-4 players. We don't use the paper money that's included because we find it faster to just track your money and debt on your own sheet of paper. The game takes 2-2.5 hours to play because of all the addition and subtraction you have to do every turn. We keep a calculator handy because we need it pretty often.This game has much more math than Monopoly but I think it's funner.,1
"This game came highly recommended from several prominent homeschooling websites, and I have to say, my son loves it! He plays with it all the time, and it stimulates logical thinking as well. I loved playing with it myself, too ;)",1
