text,label
I wish Nattie would of won that.. then her and Teej could of FINALLY kissed ON SCREEN....,1
I hate narrow minded/arrogant people. Wake the hell up.,1
"Don't get the impression that you arouse my anger. You see, one can only be angry with those he respects. ~Richard M. Nixon",1
I hate shopping with my mother,1
Speak when you are angry  and youll make the best speech youll ever regret #truth,1
Spilled water on my Bed! And it's cold right now! There goes my Good Night Sleep!,1
"Ah ahn...wuh apind?? Bbm!!@Bluepearlie: Am even angry oh!RT @Namteerah: ""@Bluepearlie: Why pretend we r cool....wen all you do is",1
"@trisharolfe tell veloce... Tell her french fucks people up, and computers alike!  #hate",1
"@olly_the_egg service users with mental disabilities can be tedious for days, call yself a support wkr with that ur a mere #charlaran",1
when i become famous i will make the effort to tweet people back!!!,1
is the feeling that makes ur mouth work faster than ur mind. â€¢ï¿¼Evan Esar,1
Rihanna sampling Chase & Status' Saxon on her album.,1
"@trisharolfe tell veloce... Tell her french fucks people up, and computers alike!  #hate",1
#SAD #LONELY all of those you can find down on my profile! enjoy ! -__-,1
Today I spent 15minutes getting ready and 15 ranting about my brother eating my advent calender.,1
My professor isnt getting this pset and he BETTER accept that shit late. im sorry gtfoh im making the fuckin deadlines.,1
After many tweets Lindsay Lohan still doesn't follow me on Twitter........ What a stupid bitch.,1
my god! i been trying to open this bag of take out for like 10 min.. i just stabbed the bag with my fork #problemsolved,1
Why does twitter not include my whole phrase in the hashtag sometimes!?,1
No  tonight because of shitty england playing a match. #hate,1
"Don't get the impression that you arouse my anger. You see, one can only be angry with those he respects. ~Richard M. Nixon",1
when people add/accept people on fb they don't know and moan when they are complete freaks!,1
"Phone line connected, still no router or details! It's been 8 weeks!",1
"Shut upp , mom . Like really ? Youu don't know anything about me ..",1
"Not tweeted about how gutted I was that little mix won,  is shit, @MarcuscollinsUK deserved to win!",1
@courtneyk19 these people park in the middle of the dang aisle looking for stuff.....walk slow with no plan.....#hate,1
Things that people joke about that clearly  funny seriously me more than anything! #thinkbeforeyouspeak,1
Those last days proved to me that I have a good level of #Management skill...,1
why the avxbakhsgs WHY THE WINNERS SINGLE no one should touch damien rice's music omg,1
Every day in the hall i try not to beat the fuck out of bitches who walk by me,1
and #frustration will not get you anywhere. Take a breather. Quit rubbing off your #negativity on everyone.,1
Empathy and understanding are 2 of the most powerful diffusion tools. #hr #conflict #leadership #management #teams,1
"why do people say morning twitter?, its not like you can talk to the whole of twitter.",1
