text,label
"It's a shame, I'm working at the Berkshire Mall and I don't have money to get @JVReemer21's autograph",1
This cold weather is perfect for cuddling with your sweetheart...too bad I don't have one to snuggle with :(,1
@geminisouth013 I feel some kinda way about you iggin my nostalgia tweet. :(,1
Lmao RT @millii_tov Snell?? lol RT: @TheBADCounselor I had to ask @msstovall why her friend won't give me no play. *side-eye*,1
Most of my boos have lost so far I need the Chicago Made Punk to come thru for me...,1
@JasonA95 I know :( I'm quite sad :'( I waved goodbye along with about 10 others :L they better fucking accept my friend request :L,1
Awee . @Porter_Str8Cash ustreams when my computer speakers don't work & my phone is being stupid ); Now iCan't watchh !,1
"@Krissmithyy  , when you find out you girlfriends in a relationship with another girl...",1
@michaelianblack is going to be at The National tonight. Guess who's not going to be at The National tonight? Me.,1
Soooooo one of Famu's drum majors died after his performance yesterday.,1
I hate you shakespear! Why did you make life so difficult for me!,1
I'm hoping I fall asleep before the stampede scene.,1
I wish there was a forever 21 where I live :( ... or that I had a Visa.,1
I lost my seeds! Now how am i suppose to plant my mctrees! D:,1
"Somewhere in my house, a very Loyal Blackberry is being ignored..",1
I don't have a tacky winter/holiday sweater.,1
"@maryroseo I've thought that, too. But even the guy at T-Mobile said the processor is a piece.",1
"I guess, don't be surprised if I don't answer when you call... I don't think it will be coming back to life.",1
Happy birthday  .... what would the world be like if  were still rocking it,1
At the end of the day more Americans will know about the Herman Cain press conference than the climate change one.  #pizza,1
I wake up after getting only a couple hours of sleep and there is NO COFFEE and i have no idea how to make more....,1
I had a dream last night and its been the fifth time i had it and every time i have i loose sumeone close to me hope everyone ok,1
"It's been so long! As the day comes closer, I miss my place more!",1
Still not sure how Roland Emmerich got away with naming his horrible movie after a great Heinlein book from the 1949.,1
Only if I had a time machine I would have prevented that fight which ruined my life,1
I got my retainer on today. It feels so weird; I can't sleep because I keep touching it with my tongue...,1
Trying to find something to about the place but I have found I have done everything already :c,1
"@natalietrejo Yes and I see nothing!  No shit, no fancy cologne, all",1
I guess I should be thankful I even have a job but not being able to eat with my family doesn't make me thankful for anything :/,1
"guess my grades are gonna suck - makes me wonder why i put in all this effort :( #iworksohard :'( 
#csmajorproblems #OMGCMU",1
"Missing my boyfriend, my family, and friends really bad tonight.",1
the lack of selection of nike spikes online is disappointing me,1
@aserenitatum woke up afer an hour and a half of sleeping... My clock is messed up,1
No matter how hard I try kid cudi won't retweet me,1
thinking about VA Tech... another shooting happened today....,1
hates when you love someone and they just walk out on you and act like nothing ever happened...:'(,1
Tragic news of the death of Gary Speed Welsh footballer     #wales #2011,1
The worst thing is to know someone who's depressed and is beyond the point of being cheered up.,1
My heart just sank knowing that someone I know and love's heart is breaking in two at the sight of what I just saw on facebook,1
"not wanting to unplug my Christmas lights, but needing complete darkness in order to sleep...",1
Very sad segment on homeless families on 60 Minutes tonight. #tears,1
"What's wrong with the world momma , people livin like they ain't got no momma's..",1
"(Contd 4m prev tweet) I hv nthng agnst  in fact am his fan, bt tat doesn't justify ppl ignoring",1
@AmyWhetstone91 I feel like that light going out was symbolic of our hope dying.,1
Such a messy girl RT @erinava: Coffee all over my Bill Russell book. :'(,1
@AshelySmashley retired is a strong word,1
Seatbelts. Keep you safe in an accident. cause terrible pain next day.,1
I'm definitely designated driver tonight for my sisters that I lovee Too much homework to go out :( oh well. Gonna be up all night!,1
I miss @thegraduate. a new cd would be coming out around now if they were still together.,1
"Every time I watch TopGun, I get so depressed when Goose dies. You can't have a Maverick without the Goose man!!",1
Would like to do something good on a Friday night #someonegivemeattention,1
I like it all. A lot better... But my rotation... Please bring my ability to rotate back...,1
"going loner to target, panache and hob lob...",1
"I feel like a little kid with all of these adults here. I usually have my sister, but she is off with her friends.",1
No Black Friday for me tomorrow. :(,1
"cool, there's not shit to eat.",1
@zlmoore stab me in the heart why don't you! lol,1
I miss Harry Potter. :(,1
Riley's asleep in his own bed..I should be excited but I'm torn. He's growing too fast,1
@shannajoy415 you better take some time out of you oh so busy life and make some time for me....  #loveyou,1
Going to sleep so good tonight. I could use a cuddle buddy. Any takers?,1
I just accidentally deleted photos from my previous blog through my galaxy s2.  #nevertamperwithtechnologypast2am,1
Chinese restaurant close so pizza it is then,1
"Perhaps parts of the US will realize that the 2nd amendment is by no means absolute, and enact stricter gun control laws.",1
"It is necessary for me to watch Elf, right now. too bad it got deleted off DVR.",1
@kclem10 You didn't mention anything about doing it! You just left too early.,1
38 Years ago today (this evening) my 1st enlistment in the Corps came to an end.,1
Why is it that you always manage to creep into my head and make me depressed,1
@crissy_khun @kam0lester I stay having munchie dreams abt the snack closet at the old house... then I wake Up :/ â€¦w no munchies and,1
Just heard @Cuprisin passed away today. He was such a great guy. He will be missed.,1
When Nika called me Jerome I suddenly realised what it was like to be not have the best name in the world. #JesseProblems,1
Men want a good woman but whats the point if your too inconsiderate n selfis to even appreciate her,1
lost a friend = lost a piece a my heart </3,1
A little bit of soap entered to my eye when I was taking a bath. :(,1
I swear almost all of my guy friends are bad things!!!,1
@iputGod1st  Just so rude! Gone retweet me and not say Good Night back,1
"@Bang_Maryam i think u miss @bangmir oppa,,,i miss my navigator @ferdinandhitz oppa,,coz today he not living some twitt,,",1
@jmheberling  no tweets lately...very unusual...some would call you a tweet-a-holic  #hopeyoudidntdie,1
Currently dealing with second worst haircut of my adult life. The first was the haircut I walked into this place to fix.,1
"@RyanJKren22 Seriously, shouldn't she be in a kitchen? Shouldn't someone be watching football? Shouldn't you be texting me back?",1
I just LOVE trying to reconnect with someone even though they continue to disappoint me.,1
