text,label
"Yes lady, i did understand you talking spanish about me wearing shorts. Yes i did respond in gramatically correct spanish.",1
I'm waiting for the moment my mom realizes that we have been watching  for almost 2 hours now,1
"After watching the new 'The Thing' I can't get the original's music out of my head. Lubbly! (new film ok, not as good as original)",1
@Keelanfosho oh. NICE. Also. I didn't tell you. Guess who might try legally blonde auditions. #imissmusicals #maybeiwillsucceed,1
Will I get to 4OO by the end of the night !? (: RT MY TWEETS FOR SHOUT Outs!(:  #HURRY !(:<3 #muchlove,1
Thought I saw the best of guys who need anger management.,1
Watch for  in your inbox  morning.  Big  in store!,1
"to the stoners, have you ever burped whilst taking a hit on a pipe lmao",1
"Got the short end of the stick, again",1
sweet little intimate birthday party tonight. Hope you got all you wished for Jay!,1
My old friend who I've fought with told me happy birthday and hugged me today :),1
@apocaknits It helps that I'm rarely home! Plus the people downstairs have been blasting theirs.,1
Had no idea it was going to snow today,1
actually kind of good at hockey..,1
"didn't expect to see @Hambo1234 running round Victoria Park, but there you go!",1
"@TheyCallMeTiny2 ransacked meadows/brewhouse last night for all it was worth,  opened up the wallet though,",1
@RobynLynnGreen I won't read it if you don't! Haha,1
"Got my formal dress, no one will be wearing it this year.",1
Link's a hero in this game?! #literally,1
@TierraArmstrong yea I meant prayer..I didn't knw u knew wat prayer was or wat it MEAN,1
"@Ryan_Corkles Oh wow, you see the mach fixing probe with Lyon, Ajax were very hard done by and have gone out cos of a terrible ref",1
I live when friends come over with Buddha,1
BIG BRO JOE IS HOME!!!!!!,1
Back down in giovanini for b.law & the first person I make eye contact with is Coach #dunnomy3to5yet #alwaysbescanning #FUNsight,1
"Mum just texting me saying ""me & dad have a surprise for you when your home"" Im hoping its not ""surprise we have no roof""",1
Timeline half filled with school people.,1
"Shit, I already checked my work e-mails and discovered some 'nice' issues to solve next week :-/  #NeverEndingStory",1
@courtellini remember that time I almost walked into your room talking about robertson eyes,1
ON MY WAY HOME NOW!!! :D  Let the 3hr trip begin now :),1
another night ending with me crying?,1
What the hell has gotten in to you like legit your an ass now...,1
Surprise party for my friend cupcakes sang happy birthday in the middle of the food court she was  hehe (; !!,1
