	tokens	ratings
0	fluted	3.0202923
1	danger	2.606444
2	55	3.0335512
3	speaking	2.6477673
4	photo	3.4388685
5	80s	2.9431853
6	parboiled	2.7476883
7	workforce	3.0734372
8	phosphorous	2.6932611
9	pakistan	2.6167307
10	stg	2.9659832
11	ray	3.2920887
12	condemned	2.606444
13	soda	3.1428156
14	inferiority	2.606444
15	murmuring	2.6156218
16	harmed	2.606444
17	enjoying	5.046829
18	modeler	3.0055408
19	mps	2.8457074
20	san	3.1537936
21	toasty	4.222956
22	journey	3.7417018
23	microsoft	2.77066
24	books	3.5086565
25	nothing	2.606444
26	substance	2.7094336
27	occasionally	2.6315832
28	older	3.0822694
29	sat	2.7035534
30	fertilization	3.0217354
31	prehistoric	2.952461
32	cubes	3.0294847
33	attached	2.9224238
34	additional	3.0133262
35	follies	2.676469
36	philsophy	2.9263906
37	preservationists	3.2940824
38	include	2.970899
39	geezers	2.9763854
40	125	3.167963
41	worrying	2.606444
42	wendover	3.3751004
43	alter	2.9119818
44	guests	4.1338234
45	flushed	2.6294622
46	unless	2.606444
47	wildlife	3.8875916
48	praised	4.948625
49	cutcliffe	3.030321
50	comments	2.8009138
51	deceive	2.606444
52	compact	3.2969017
53	thorough	3.333983
54	0830	2.7192066
55	9302	3.0040343
56	socially	3.0356405
57	strain	2.6158504
58	renewing	3.3419209
59	data	2.857132
60	nevada	3.0421488
61	oliver	3.054392
62	crews	3.0802126
63	wednesday	3.1727366
64	film	3.3064806
65	socialite	2.6097803
66	predominance	2.982083
67	coast	3.1098866
68	sharp	2.866621
69	.	3.0274584
70	83	2.9693909
71	bonnets	3.391409
72	queer	2.9199493
73	equivalent	2.7812462
74	aspect	3.1344562
75	enthralling	4.0048814
76	protectionist	2.6101143
77	approved	3.0383482
78	bakery	3.4349544
79	barred	2.606444
80	weren	2.6073585
81	double	3.2740128
82	forged	2.9704607
83	period	2.9263284
84	venetian	3.1054354
85	obscenity	2.606444
86	sequestering	2.6072788
87	may	2.6767826
88	lingers	2.606444
89	voiced	2.7162242
90	orion	3.0180511
91	anew	3.0178328
92	caliche	2.6069343
93	trademark	3.0449865
94	aico	2.964622
95	instills	3.913557
96	pot	3.1526392
97	inquiry	2.8635402
98	ribeiro	3.3729558
99	generosity	4.8842745
100	crosses	2.8173494
101	".."""	3.030321
102	rockford	2.7373543
103	joint	3.261054
104	aha	3.3715794
105	acknowledges	3.0076396
106	uplands	2.9851978
107	batted	3.0194943
108	failure	2.606444
109	russell	2.9870007
110	exodus	2.606444
111	sunset	3.8323805
112	snake	2.6174672
113	flowing	3.4314187
114	experimenters	3.0105805
