Word,Bert,Distilbert,Bert_Mask,DistilBert_Mask
snort,-0.000139498,2.9600000000000005e-05,0.02013254165649414,0.6401538848876953
infected,-0.00013465,-4.79e-06,0.047054529190063484,-0.34903526306152344
transportation,-0.000114987,-8.17e-06,0.1941070556640625,0.16916799545288086
breed,-0.000112235,-4.05e-06,0.03595733642578125,0.014803886413574219
affected,-0.000109896,-3.78e-06,0.039325714111328125,-0.012852191925048828
watery,-0.000107686,-3.8299999999999996e-05,-0.2690548896789551,0.23636817932128906
palestine,-0.000104486,-7.78e-06,0.09488153457641603,0.015768051147460938
sucked,-0.000100511,-2.25e-05,0.1287703514099121,0.06381464004516603
womb,-9.740000000000001e-05,-9.82e-06,0.06285476684570312,0.0017075538635253904
pushes,-9.73e-05,1.31e-05,0.018209457397460938,0.011188983917236328
sewer,-9.49e-05,-3.83e-06,0.009910106658935549,-0.02387261390686035
minnesota,-9.19e-05,1.63e-06,-0.11037778854370116,0.04163169860839844
acknowledge,-8.82e-05,2.44e-06,0.07268619537353516,-0.04575014114379883
yourselves,-8.6e-05,2.35e-05,0.003083705902099609,0.006353855133056641
herd,-8.52e-05,-1.3800000000000002e-05,0.05507326126098633,-0.039328575134277344
platt,-8.51e-05,-1.04e-05,-0.07239039987325667,0.004944324493408203
particularly,-8.27e-05,-3.9899999999999994e-05,-0.011316299438476562,0.036771297454833984
commentators,-8.22e-05,-3.9500000000000005e-05,0.2272229194641113,0.14525556564331055
creating,-8.170000000000001e-05,-6.4e-06,0.25846004486083984,0.0023016929626464844
admitted,-8.09e-05,4.33e-05,0.012927532196044922,-0.04083871841430664
fiscal,-7.900000000000001e-05,-1.57e-05,0.002380847930908203,-0.0017600059509277344
baba,-7.87e-05,-2.24e-05,-0.15512466430664062,-0.0845789909362793
bleeding,-7.759999999999999e-05,-2.1600000000000003e-05,0.030338382348418236,0.01838388480246067
diabetes,-7.72e-05,-1.2e-05,-0.01125478744506836,0.08248090744018555
noisy,-7.57e-05,1.28e-05,-0.04968929290771485,-0.10926151275634766
chant,-7.47e-05,-6.83e-07,0.08338403701782228,-0.12825965881347656
cease,-7.38e-05,2.0399999999999998e-05,-0.28546714782714844,-0.08213210105895996
drone,-7.35e-05,1.92e-05,-0.1058601513504982,-0.12126032263040545
respectful,-7.3e-05,4.09e-06,0.11481475830078125,0.04488468170166016
appetite,-7.28e-05,-4.6700000000000003e-05,-0.05834603309631348,0.009766817092895508
akin,-7.240000000000001e-05,1.21e-05,0.07254171371459961,-0.0202939510345459
tomato,-7.209999999999999e-05,8.85e-06,0.11310195922851562,-0.06943925470113754
resign,-7.190000000000001e-05,-3.7e-05,0.004050254821777344,0.01291513442993164
abandon,-7.170000000000001e-05,-5.16e-05,0.03590583801269531,-0.041132450103759766
clay,-7.15e-05,-1.18e-05,0.01802396774291992,-0.026650428771972656
hitler,-7.15e-05,-4.1e-06,-0.16059261560440066,0.02599154412746429
channels,-7.03e-05,-3.65e-05,0.18006587028503418,0.1528620719909668
melbourne,-6.91e-05,-1.65e-05,0.0181732177734375,-0.0694584846496582
seeds,-6.890000000000001e-05,1.34e-05,0.028355026617646217,-0.00066375732421875
microwave,-6.86e-05,4.71e-06,-0.012548327445983887,-0.0236663818359375
knives,-6.790000000000001e-05,2.58e-05,0.0119781494140625,-0.01146221160888672
smiley,-6.790000000000001e-05,1.32e-06,-0.05114555358886719,-0.02984142303466797
salem,-6.709999999999999e-05,-1.29e-05,-1.1283342838287354,-0.05151844024658203
advantage,-6.620000000000001e-05,-1e-05,0.5607340335845947,-0.02398252487182617
mixing,-6.56e-05,-3.1e-05,-0.018133878707885742,0.04795455932617188
marrying,-6.500000000000001e-05,-1.3300000000000001e-05,-0.1369166374206543,1.146444320678711
wiped,-6.47e-05,2.5e-05,0.030287265777587887,0.0290377140045166
dipped,-6.43e-05,4.04e-05,0.012346506118774414,0.005208969116210938
repay,-6.38e-05,-2.34e-05,0.060559749603271484,0.010753631591796877
graders,-6.3e-05,-4.13e-06,-0.009286165237426758,0.015051841735839844
produced,-6.29e-05,6.87e-06,-0.006970405578613281,0.02367782592773437
snapping,-6.25e-05,1.7199999999999998e-05,0.0005908012390136719,0.012507438659667969
gypsy,-6.25e-05,-1.75e-05,0.01533365249633789,0.06972932815551758
expose,-6.2e-05,-2.6899999999999997e-05,-0.013743877410888672,-0.009420394897460938
scandal,-6.2e-05,3.52e-05,-0.0014063119888305664,0.07698380947113037
twisted,-6.19e-05,2.4299999999999998e-05,0.07362985610961914,0.014971256256103516
sells,-6.159999999999999e-05,-4e-05,-0.07105159759521484,0.04415464401245117
declared,-6.159999999999999e-05,-6.11e-05,0.3561882972717285,-0.9716854095458984
swamp,-6.08e-05,-2.55e-05,0.2153635025024414,-0.2270236015319824
chester,-6.0599999999999996e-05,-3.02e-06,0.00523829460144043,-0.021461963653564453
represent,-5.88e-05,6.46e-06,0.037324149161577225,0.035213351249694824
korea,-5.870000000000001e-05,1.3300000000000001e-05,0.07261228561401367,-0.003288507461547852
cheering,-5.8200000000000005e-05,-2.58e-05,-0.005692005157470703,0.04968976974487305
bullet,-5.8099999999999996e-05,6.5e-06,0.016888141632080078,0.01447296142578125
patriots,-5.8099999999999996e-05,-6.75e-06,-0.18625545501708984,-0.07953286170959473
consumption,-5.79e-05,2.13e-05,0.07685724645853043,0.0012748241424560547
heinz,-5.79e-05,-7.36e-06,0.00949239730834961,-0.07250070571899414
approve,-5.7799999999999995e-05,8.4e-07,0.05576801300048828,0.011759281158447266
disturbed,-5.6999999999999996e-05,5.22e-05,4.076925754547118,6.250509738922119
stealing,-5.6899999999999994e-05,-1.56e-05,-0.4104796648025513,0.05740499496459961
beans,-5.6899999999999994e-05,-9.36e-06,-0.01190805435180664,-0.0005110502243041992
ruins,-5.520000000000001e-05,-1.76e-05,0.025723854079842567,0.05979840084910393
commenting,-5.520000000000001e-05,2.12e-05,-0.4846959114074707,-1.4351692199707031
coloured,-5.5e-05,-1.62e-05,-0.03582191467285156,0.14745616912841794
bend,-5.479999999999999e-05,-2.72e-05,0.07151520252227782,-0.01815980672836304
vocabulary,-5.47e-05,-2.37e-05,0.04605293273925781,-0.0869535580277443
sinks,-5.44e-05,-1.91e-05,0.03020191192626953,0.17562294006347656
wealthy,-5.44e-05,1.81e-06,-0.09758377075195312,-0.050537109375
trophy,-5.4000000000000005e-05,-8.57e-06,-0.02726459503173828,-0.017201900482177734
responsibility,-5.4000000000000005e-05,-3.18e-05,0.3831462860107422,-0.08565807342529297
slammed,-5.39e-05,-2.3899999999999998e-05,0.012148499488830566,-0.048615574836730964
contain,-5.39e-05,-2.18e-05,0.0740966796875,0.003160953521728516
republicans,-5.3700000000000004e-05,3.69e-05,0.15177536010742188,-0.060374259948730476
amendment,-5.36e-05,2.2e-06,0.2159895896911621,0.3334124088287353
automatic,-5.3299999999999995e-05,6.079999999999999e-07,-0.013984441757202148,-0.04200887680053711
uncles,-5.2600000000000005e-05,-3.28e-05,0.025211969390511516,-0.02230978012084961
spike,-5.25e-05,2.35e-05,-0.06822776794433594,-0.03848409652709961
assault,-5.25e-05,-3.17e-05,0.05675268173217773,-0.01439809799194336
foo,-5.22e-05,-3.0799999999999996e-05,0.000766754150390625,-0.1465214490890503
flushed,-5.21e-05,3.32e-05,0.6309125423431396,0.33338427543640137
pattern,-5.2000000000000004e-05,-4.07e-06,-0.05573582649230957,-0.06595321744680405
layers,-5.15e-05,-1.31e-05,0.016998767852783203,-0.03254270553588867
admitting,-5.15e-05,-9.33e-06,-0.04501628875732422,-0.02194309234619141
hallway,-5.14e-05,-2.3e-05,0.18621094524860385,-0.06832345575094223
eagles,-5.13e-05,4.6700000000000003e-05,0.1233668327331543,-0.319244384765625
resources,-5.11e-05,-1.3500000000000001e-05,-0.008135318756103516,0.04902315139770508
tequila,-5.1e-05,-5.97e-06,0.0638272762298584,0.006310462951660156
thirst,-5.07e-05,-1.1e-05,0.03278160095214844,-0.10474856942892076
donate,-5.03e-05,8.83e-06,-0.02450084686279297,0.05950228497385979
educated,-5.03e-05,1.5399999999999998e-05,0.03763270378112793,0.0009355545043945312
brandy,-5.02e-05,4.89e-06,-0.4319124221801758,-0.05652046203613281
websites,-5.01e-05,-1.59e-05,0.04501724243164063,0.11067605018615724
monthly,-5e-05,-7.75e-06,0.0030646324157714844,-0.02630885504186153
troops,-4.99e-05,-4.38e-06,0.0007870197296142577,-0.004904031753540039
blacks,-4.96e-05,2.36e-05,0.04847733303904533,0.03175163269042969
diamonds,-4.93e-05,-3.24e-06,0.06109809875488281,-0.17776060104370114
backing,-4.9e-05,-2.8899999999999998e-05,0.3683962821960449,-0.3222033977508545
garlic,-4.8899999999999996e-05,-1.63e-06,-0.04594278335571289,-0.1362466812133789
cologne,-4.88e-05,-1.67e-05,0.11565780639648438,0.16309992969036102
