,Word,Bert,Distilbert
0,snort,-0.000139498,2.96E-05
1,infected,-0.00013465,-4.79E-06
2,transportation,-0.000114987,-8.17E-06
3,breed,-0.000112235,-4.05E-06
4,affected,-0.000109896,-3.78E-06
5,watery,-0.000107686,-3.83E-05
6,palestine,-0.000104486,-7.78E-06
7,sucked,-0.000100511,-2.25E-05
8,womb,-9.74E-05,-9.82E-06
9,pushes,-9.73E-05,1.31E-05
10,sewer,-9.49E-05,-3.83E-06
11,minnesota,-9.19E-05,1.63E-06
12,acknowledge,-8.82E-05,2.44E-06
13,yourselves,-8.60E-05,2.35E-05
14,herd,-8.52E-05,-1.38E-05
15,platt,-8.51E-05,-1.04E-05
16,particularly,-8.27E-05,-3.99E-05
17,commentators,-8.22E-05,-3.95E-05
18,creating,-8.17E-05,-6.40E-06
19,admitted,-8.09E-05,4.33E-05
20,fiscal,-7.90E-05,-1.57E-05
21,baba,-7.87E-05,-2.24E-05
22,bleeding,-7.76E-05,-2.16E-05
23,diabetes,-7.72E-05,-1.20E-05
24,noisy,-7.57E-05,1.28E-05
25,chant,-7.47E-05,-6.83E-07
26,cease,-7.38E-05,2.04E-05
27,drone,-7.35E-05,1.92E-05
28,respectful,-7.30E-05,4.09E-06
29,appetite,-7.28E-05,-4.67E-05
30,akin,-7.24E-05,1.21E-05
31,tomato,-7.21E-05,8.85E-06
32,resign,-7.19E-05,-3.70E-05
33,abandon,-7.17E-05,-5.16E-05
34,clay,-7.15E-05,-1.18E-05
35,hitler,-7.15E-05,-4.10E-06
36,channels,-7.03E-05,-3.65E-05
37,melbourne,-6.91E-05,-1.65E-05
38,seeds,-6.89E-05,1.34E-05
39,microwave,-6.86E-05,4.71E-06
40,knives,-6.79E-05,2.58E-05
41,smiley,-6.79E-05,1.32E-06
42,salem,-6.71E-05,-1.29E-05
43,advantage,-6.62E-05,-1.00E-05
44,mixing,-6.56E-05,-3.10E-05
45,marrying,-6.50E-05,-1.33E-05
46,wiped,-6.47E-05,2.50E-05
47,dipped,-6.43E-05,4.04E-05
48,repay,-6.38E-05,-2.34E-05
49,graders,-6.30E-05,-4.13E-06
50,produced,-6.29E-05,6.87E-06
51,snapping,-6.25E-05,1.72E-05
52,gypsy,-6.25E-05,-1.75E-05
53,expose,-6.20E-05,-2.69E-05
54,scandal,-6.20E-05,3.52E-05
55,twisted,-6.19E-05,2.43E-05
56,sells,-6.16E-05,-4.00E-05
57,declared,-6.16E-05,-6.11E-05
58,swamp,-6.08E-05,-2.55E-05
59,chester,-6.06E-05,-3.02E-06
60,represent,-5.88E-05,6.46E-06
61,korea,-5.87E-05,1.33E-05
62,cheering,-5.82E-05,-2.58E-05
63,bullet,-5.81E-05,6.50E-06
64,patriots,-5.81E-05,-6.75E-06
65,consumption,-5.79E-05,2.13E-05
66,heinz,-5.79E-05,-7.36E-06
67,approve,-5.78E-05,8.40E-07
68,disturbed,-5.70E-05,5.22E-05
69,stealing,-5.69E-05,-1.56E-05
70,beans,-5.69E-05,-9.36E-06
71,ruins,-5.52E-05,-1.76E-05
72,commenting,-5.52E-05,2.12E-05
73,coloured,-5.50E-05,-1.62E-05
74,bend,-5.48E-05,-2.72E-05
75,vocabulary,-5.47E-05,-2.37E-05
76,sinks,-5.44E-05,-1.91E-05
77,wealthy,-5.44E-05,1.81E-06
78,trophy,-5.40E-05,-8.57E-06
79,responsibility,-5.40E-05,-3.18E-05
80,slammed,-5.39E-05,-2.39E-05
81,contain,-5.39E-05,-2.18E-05
82,republicans,-5.37E-05,3.69E-05
83,amendment,-5.36E-05,2.20E-06
84,automatic,-5.33E-05,6.08E-07
85,uncles,-5.26E-05,-3.28E-05
86,spike,-5.25E-05,2.35E-05
87,assault,-5.25E-05,-3.17E-05
88,foo,-5.22E-05,-3.08E-05
