,Word,Value,Freq
14602,governance,-3.0073082447052,1
11667,connie,-2.9113733768463135,1
3853,fundraiser,-2.427344799041748,1
5965,##itation,-2.3695321083068848,1
13673,elliptical,-2.3517980575561523,1
11104,arresting,-2.3361763954162598,1
13851,chicks,-2.2029106616973877,1
14959,creator,-2.15849232673645,1
6218,vibrant,-2.1165213584899902,2
2800,dinosaurs,-2.1088485717773438,1
3898,inability,-2.0102076530456543,1
6865,neglect,-2.009427309036255,1
14449,##vious,-1.9610741138458252,1
14432,virtues,-1.9449870586395264,1
12880,hometown,-1.8844895362854004,1
11128,##icient,-1.831939458847046,1
6593,customs,-1.753609538078308,1
9845,podcast,-1.751755714416504,2
15108,##tized,-1.7216538190841675,1
13205,appreciated,-1.7161314487457275,1
8859,protein,-1.6925773620605469,1
12881,garner,-1.641036033630371,1
11964,midsummer,-1.6264630556106567,1
13428,worthless,-1.624078392982483,1
13711,attraction,-1.6079211235046387,1
13554,empire,-1.5931789875030518,1
10242,compensate,-1.5890402793884277,1
5943,annoyance,-1.5491552352905273,1
5377,accuse,-1.543942928314209,4
11594,greenwich,-1.4992516040802002,1
3979,relay,-1.485463261604309,1
15093,fugitive,-1.4791184663772583,1
14246,reunited,-1.47731614112854,1
5762,conclude,-1.4682519435882568,1
14767,aback,-1.4574624300003052,1
10890,deficiency,-1.4459947347640991,1
14004,breast,-1.4411561489105225,1
14349,sleeps,-1.424098014831543,1
8938,commentators,-1.4117754697799683,1
12106,concession,-1.409034252166748,1
12475,divorced,-1.3998098373413086,1
9587,insult,-1.398758888244629,2
7185,removes,-1.366438865661621,1
8192,polka,-1.3554104566574097,1
14507,keynote,-1.3534440994262695,1
9644,unavailable,-1.347050428390503,1
13262,vase,-1.345259428024292,1
14782,##fide,-1.3432059288024902,1
8549,interim,-1.3334428071975708,1
9546,spawning,-1.3333909511566162,1
10760,arbor,-1.3080804347991943,1
12910,shrink,-1.2980976104736328,2
9487,enthusiasm,-1.2946172952651978,3
14393,rendition,-1.289681077003479,1
14886,distinguish,-1.2817795276641846,1
14455,dismissal,-1.2802636623382568,1
6272,accused,-1.2686169147491455,2
13751,chess,-1.2508728504180908,1
14439,##gating,-1.2369729280471802,1
12173,archway,-1.2368030548095703,1
11768,occurs,-1.227981686592102,1
14141,concerts,-1.2139153480529785,1
8512,believing,-1.2136650085449219,2
13066,tent,-1.212618350982666,1
2520,bounced,-1.2085758447647095,1
10998,composer,-1.2063320875167847,1
7043,discussion,-1.2047151327133179,4
10629,remake,-1.2031303644180298,3
9429,cracked,-1.2017202377319336,1
5967,happier,-1.1994954347610474,5
6856,listener,-1.1903356313705444,1
8203,kolkata,-1.1875567436218262,2
9883,hopeful,-1.1799498796463013,1
12823,stated,-1.1641299724578857,1
13964,teasing,-1.1628344058990479,1
12076,adelaide,-1.15799880027771,1
11337,cultural,-1.1567044258117676,1
8723,snails,-1.1556596755981445,1
9910,##claim,-1.1489839553833008,1
9899,revolutions,-1.142905592918396,1
2994,ease,-1.1415902376174927,3
14020,sliced,-1.14143967628479,1
7848,caucus,-1.1313502788543701,1
14041,cornerstone,-1.1306331157684326,3
12178,depend,-1.1266376972198486,1
7926,outrage,-1.1161794662475586,1
10053,fracture,-1.105848789215088,1
12619,asthma,-1.1049330234527588,2
13619,entertained,-1.0965850353240967,1
14506,nebraska,-1.0805743932724,1
9841,syndrome,-1.0727579593658447,1
13981,vowed,-1.0652077198028564,1
11269,##piration,-1.0634770393371582,2
8615,remind,-1.0630207061767578,8
14634,porto,-1.050615668296814,1
3290,compare,-1.0456252098083496,4
10503,introduce,-1.0401697158813477,3
1562,grams,-1.0189299583435059,2
7478,seventh,-1.0127966403961182,1
10957,genus,-1.0100904703140259,1
11812,journals,-1.009406566619873,1
13664,hired,-1.0080946683883667,1
13452,retire,-1.002663016319275,3
8088,dreamed,-1.002591609954834,3
3329,segment,-0.9986832737922668,2
13905,eleven,-0.9960716366767883,1
7524,nests,-0.9943305253982544,1
5031,grief,-0.991925060749054,7
8527,ghosts,-0.9896852374076843,1
10366,##sper,-0.9878361225128174,1
6434,gained,-0.9867144227027893,3
9560,softball,-0.9817591905593872,4
10681,quarters,-0.981204628944397,1
10997,hears,-0.9772595763206482,2
3001,mouths,-0.976165771484375,4
14495,handwriting,-0.9737899899482727,1
6163,helpful,-0.9719386100769043,4
13029,chooses,-0.968264639377594,1
12497,oriented,-0.9680581092834473,1
853,overcome,-0.9639130234718323,12
14497,sleeper,-0.9628180861473083,1
12382,verbs,-0.9626374840736389,1
11504,buried,-0.9608078598976135,1
10097,leo,-0.9602150321006775,2
14715,simplicity,-0.95968097448349,2
14313,tapped,-0.9547438621520996,1
13107,luxury,-0.9536539316177368,1
14599,liga,-0.9533728361129761,1
10990,engineer,-0.9523615837097168,1
8134,employment,-0.9514327049255371,1
11606,separation,-0.9500054717063904,2
12523,declaration,-0.9489830732345581,2
8057,playstation,-0.9486521482467651,1
14260,flanagan,-0.9404295682907104,1
7744,handicapped,-0.9400510191917419,1
3819,bitter,-0.9377967119216919,7
9228,satisfaction,-0.9359763264656067,5
14863,melting,-0.934332549571991,1
10102,increases,-0.9340085387229919,2
8050,##nant,-0.9337995648384094,1
13185,cease,-0.9331754446029663,1
13466,subsequent,-0.9269828796386719,1
10305,agony,-0.9242078065872192,1
15056,rotate,-0.9238658547401428,1
10294,directors,-0.9225701689720154,1
456,forgive,-0.9204347133636475,13
9243,contestant,-0.9119086861610413,1
14113,sheriff,-0.9098597764968872,1
10763,envisioned,-0.9094644784927368,1
13996,scorer,-0.9086693525314331,1
14207,rulers,-0.9069589376449585,1
5285,updated,-0.9066171646118164,3
11627,establishments,-0.9057079553604126,1
13776,warwick,-0.9032332897186279,1
2428,consist,-0.8974068760871887,12
2966,lanes,-0.8915405869483948,2
3285,##tray,-0.890566349029541,1
13404,capitalist,-0.8897590637207031,1
10645,director,-0.8892486095428467,4
15100,spontaneous,-0.8880387544631958,1
11485,tornado,-0.8810743093490601,4
13216,crosses,-0.8795609474182129,1
11998,liberia,-0.8792482614517212,1
12837,seduce,-0.8788583278656006,1
14947,stroked,-0.8779044151306152,1
14373,prompted,-0.876834511756897,1
14773,politician,-0.8745603561401367,1
12189,##rita,-0.8736262321472168,2
7894,blaine,-0.8666795492172241,1
12752,destruction,-0.8603485226631165,1
11058,giggled,-0.8540605902671814,1
12513,iced,-0.8525850176811218,3
12460,revolving,-0.8491429090499878,1
11225,acacia,-0.8490768671035767,1
9749,error,-0.8489302396774292,2
13451,##vating,-0.8473267555236816,1
11788,bisexual,-0.8449836373329163,1
9005,stresses,-0.8439465165138245,1
12156,paperwork,-0.8432091474533081,2
11690,incorrect,-0.8429193496704102,1
4114,delight,-0.8425372242927551,12
8505,gears,-0.8413680195808411,4
13716,consumer,-0.8411107063293457,2
12478,assaults,-0.8397520184516907,1
11954,tire,-0.8388315439224243,8
10694,watery,-0.8346983790397644,1
12506,paced,-0.8275831937789917,1
5709,spokesperson,-0.8266218900680542,1
8404,lecturer,-0.8266000747680664,2
11205,tribute,-0.8238601684570312,5
11899,grid,-0.823570728302002,1
9526,greensboro,-0.8200343251228333,1
5652,lance,-0.8191766738891602,1
14489,textbooks,-0.8181908130645752,1
14972,beetle,-0.8142178058624268,1
8394,losers,-0.8131325244903564,2
5464,sneakers,-0.8117856979370117,1
8273,##odle,-0.8116462826728821,3
11112,diamonds,-0.811240553855896,2
8110,edition,-0.8108760714530945,3
13190,paws,-0.8097620010375977,1
9365,finance,-0.8092116117477417,4
10761,lick,-0.8062373399734497,4
10348,pear,-0.8024671673774719,3
14756,recycled,-0.8009787797927856,1
6812,plasma,-0.7952618598937988,1
8548,fumble,-0.7951865196228027,3
15138,libby,-0.7934147715568542,1
12827,afc,-0.7924726605415344,1
7771,##mental,-0.7921236753463745,1
12122,fatima,-0.787348747253418,1
13002,simplest,-0.7868809700012207,1
13030,recommended,-0.7847179174423218,1
7663,pope,-0.7839797735214233,2
10612,rampage,-0.7834093570709229,1
14736,staircase,-0.7831059098243713,2
4279,exception,-0.7829185724258423,1
13472,##bbies,-0.7820059657096863,1
7259,insists,-0.7809101939201355,3
6479,jonathan,-0.7800567746162415,3
5724,meters,-0.774673581123352,1
2453,urge,-0.7740817666053772,7
6649,pearl,-0.7725914716720581,5
12796,discussed,-0.7702180743217468,1
12938,philosopher,-0.7691457271575928,1
13919,##voking,-0.7656257152557373,2
10096,favor,-0.7645679712295532,2
6136,asshole,-0.7578397989273071,11
12287,votes,-0.7513910531997681,1
6811,lash,-0.7511005997657776,2
3011,anger,-0.7501148581504822,103
8939,darren,-0.7472898960113525,1
14958,fatigue,-0.7456479072570801,1
9674,imagined,-0.7449243664741516,2
5465,suits,-0.7418922185897827,1
5263,colonel,-0.7417725920677185,1
3187,priest,-0.7398574352264404,3
13955,observed,-0.7396715879440308,1
15015,##nese,-0.7350126504898071,1
11325,goalscorer,-0.7349556684494019,1
12461,types,-0.7314643859863281,5
13708,laughed,-0.730339765548706,1
11258,availability,-0.7290321588516235,1
4112,bubbles,-0.7242754697799683,1
8477,boil,-0.7236274480819702,4
3453,sorrow,-0.7233814597129822,27
12728,congressman,-0.7226918935775757,1
14232,eyeing,-0.7215307950973511,1
14935,assists,-0.7186669111251831,1
9118,godfather,-0.7185561060905457,3
13963,belgium,-0.7182361483573914,1
907,course,-0.7181922793388367,62
3263,vegetarian,-0.7177286148071289,3
12080,dashboard,-0.7169824838638306,2
14844,##mut,-0.7161986827850342,1
13621,assassins,-0.7158316373825073,1
7315,visa,-0.7153506278991699,2
14766,susanna,-0.7143896222114563,1
9968,capable,-0.713043749332428,4
11444,ledge,-0.7104736566543579,1
14584,improvement,-0.710079550743103,1
13402,fitch,-0.7080349922180176,1
7751,##biology,-0.7074896693229675,2
10519,suspension,-0.7030655145645142,1
10764,noodles,-0.7010042667388916,4
5641,bikes,-0.7004464864730835,4
8866,wheelchair,-0.7002367973327637,1
9786,whisky,-0.6985163688659668,1
11331,16th,-0.6979674696922302,2
13998,premiere,-0.6957882046699524,2
6340,hauling,-0.6955886483192444,2
13906,faux,-0.6939477920532227,1
5368,clouded,-0.691353976726532,3
8226,isabella,-0.690963864326477,1
13082,swan,-0.6908904910087585,1
8841,trafford,-0.6906291842460632,3
11008,buddies,-0.6849786639213562,3
13192,uefa,-0.684457004070282,1
9358,clap,-0.6840044856071472,3
9060,apes,-0.6829224824905396,1
13856,##lifting,-0.6826782822608948,2
7194,##creen,-0.6817632913589478,2
14615,cheered,-0.6815886497497559,1
14803,melissa,-0.6813386678695679,1
4975,70th,-0.6811999082565308,2
13396,palette,-0.6776981353759766,1
5676,communities,-0.6767188906669617,1
11531,huff,-0.6766417026519775,1
9979,representatives,-0.6761764883995056,2
4958,##broken,-0.6750578880310059,5
7463,crafted,-0.672605037689209,1
9280,doubles,-0.6722278594970703,1
15091,vienna,-0.6718130707740784,1
13974,amendment,-0.671423614025116,1
14825,calculated,-0.6699682474136353,1
6279,disgust,-0.6666176319122314,9
14625,historical,-0.6649153232574463,1
5607,vote,-0.6648906469345093,6
10712,hacking,-0.6646703481674194,2
4226,reminds,-0.6642146706581116,9
9599,proved,-0.6638815999031067,2
7050,empathy,-0.662751317024231,3
11677,hugo,-0.6591036915779114,1
13677,snail,-0.6573760509490967,1
11772,communism,-0.6554961800575256,2
11418,##rand,-0.6550771594047546,3
10585,sided,-0.6550594568252563,1
13453,penguins,-0.654848575592041,2
6712,##vah,-0.6546611785888672,1
3571,comment,-0.6542666554450989,9
10073,catcher,-0.6530428528785706,1
9837,guitarist,-0.6515550017356873,1
11226,strain,-0.6511530876159668,1
8546,tribune,-0.6509271860122681,1
12834,pledge,-0.6508188247680664,1
6301,gag,-0.6507056355476379,4
5677,regain,-0.6499523520469666,2
8307,##pse,-0.6493426561355591,1
3446,##lda,-0.6485968232154846,4
11210,tally,-0.6479630470275879,2
9765,township,-0.6451972126960754,1
8401,stuffing,-0.6446554064750671,5
13665,excess,-0.6435089707374573,1
7665,buzz,-0.6419591307640076,4
10466,elephants,-0.6414927840232849,3
9292,relieved,-0.6412194967269897,2
13653,fled,-0.6408078670501709,1
1261,##rier,-0.639329731464386,6
2806,snowfall,-0.638875424861908,3
14900,unearthed,-0.6366342902183533,1
1172,appreciation,-0.6359909176826477,3
1541,cardinal,-0.6330387592315674,2
11675,aisle,-0.6320521235466003,2
2257,economics,-0.6301791071891785,3
8411,dismiss,-0.6295483112335205,1
6267,rogers,-0.6294751763343811,1
1279,pleasure,-0.6281435489654541,13
548,episodes,-0.6269176006317139,11
12986,exploring,-0.6266534328460693,1
2672,retired,-0.6260088682174683,8
226,joy,-0.625316858291626,380
11792,abandonment,-0.6249248385429382,2
6735,##feit,-0.624419093132019,1
5480,speechless,-0.6243889927864075,3
13668,fighters,-0.6240664720535278,1
8547,##ced,-0.6233168244361877,1
11461,cows,-0.6215537786483765,5
4202,efficiency,-0.6199135780334473,1
11056,qualify,-0.6198322176933289,1
10723,inheritance,-0.6197965145111084,1
14966,doorbell,-0.6194060444831848,1
10220,ufo,-0.6190769076347351,1
1925,gear,-0.6179729700088501,6
12206,logs,-0.617877721786499,2
14658,illustrate,-0.6168465614318848,1
8435,##pas,-0.6167113780975342,1
11363,##itive,-0.6164275407791138,1
14380,chores,-0.6158962249755859,2
10926,uneven,-0.6145872473716736,3
14396,spelling,-0.6141286492347717,1
11974,idol,-0.6139694452285767,5
7923,drains,-0.6139464378356934,2
6097,crank,-0.6139287948608398,8
13729,##isse,-0.6138498783111572,1
3952,sectional,-0.6138055324554443,1
6707,brighter,-0.6134103536605835,5
2865,feather,-0.6109797954559326,1
14389,crate,-0.6102631688117981,1
9939,counts,-0.6093223094940186,1
5216,sincerely,-0.6060448884963989,6
2910,righteous,-0.6058078408241272,10
4957,nonsense,-0.6056802868843079,3
5282,rhyme,-0.6049843430519104,3
11946,valued,-0.6048550009727478,1
14211,grassy,-0.6012919545173645,1
10783,ups,-0.6008632779121399,6
5366,couples,-0.6000503897666931,6
6633,screwing,-0.5993679165840149,3
3311,flipped,-0.5986598134040833,6
6191,treating,-0.5981673002243042,2
8158,plunged,-0.5961565971374512,1
13243,penguin,-0.5958011150360107,2
9464,butch,-0.5957615971565247,1
11361,contractors,-0.5948261022567749,1
10706,chronicles,-0.5944119691848755,1
9273,devastated,-0.5936709046363831,1
13632,suns,-0.5929117202758789,2
12748,clicked,-0.5927930474281311,3
219,crowds,-0.5926300883293152,3
15111,brew,-0.5922536849975586,1
9502,joining,-0.5913203954696655,2
1790,##tens,-0.5887411236763,1
14169,severity,-0.5885568857192993,1
7862,ashamed,-0.5875388383865356,4
7218,nanny,-0.5870615839958191,3
10823,mons,-0.5863131284713745,1
1964,asleep,-0.5861415863037109,69
10922,goals,-0.5847311019897461,4
5892,dotted,-0.5831795930862427,1
13279,kansas,-0.5827183127403259,3
14707,recover,-0.5825042724609375,1
12051,nigel,-0.5823044776916504,1
9100,skirt,-0.5814005732536316,2
14978,champs,-0.5805409550666809,1
5594,joking,-0.5802456140518188,2
9465,resolve,-0.5795719623565674,2
14369,fabio,-0.5785489082336426,1
3195,potter,-0.5773202776908875,20
8708,initiation,-0.5770043730735779,1
3178,instead,-0.5762168765068054,63
9822,weeping,-0.5760498046875,7
14073,condom,-0.5758340358734131,1
3728,pride,-0.5752648711204529,13
9530,highlighting,-0.5752463340759277,1
10864,tory,-0.5726448893547058,1
12202,zac,-0.5722599625587463,3
6899,freud,-0.5715417861938477,1
9192,tissues,-0.5715345740318298,2
9532,differences,-0.5711860656738281,1
10422,rodgers,-0.570949912071228,2
14272,organizations,-0.5696321725845337,1
2533,canal,-0.5696132183074951,3
14377,pipeline,-0.5695098042488098,1
6289,equivalent,-0.5694424510002136,3
6854,southampton,-0.569082498550415,1
12865,meter,-0.568885326385498,2
786,happiness,-0.5686565637588501,142
10261,credits,-0.568341851234436,5
4292,consequences,-0.5678554177284241,4
15076,balancing,-0.5676262378692627,1
8653,remote,-0.5674035549163818,7
8570,##tious,-0.5655813217163086,2
12785,##atable,-0.5652501583099365,1
2711,vanilla,-0.5650808811187744,9
8956,thrilled,-0.5644569396972656,6
8159,owe,-0.563331663608551,3
15158,federer,-0.563123345375061,1
3735,dolphins,-0.5602361559867859,5
3489,leaves,-0.5599970817565918,24
10627,disgrace,-0.5596644878387451,2
11271,hugged,-0.5593212842941284,2
11802,impressed,-0.5577848553657532,1
7964,mayhem,-0.5574177503585815,2
6091,humor,-0.5567036867141724,10
14843,albany,-0.5563299655914307,1
7239,tablets,-0.5558142066001892,2
4294,fired,-0.5555605292320251,8
3286,notebook,-0.5546762347221375,2
9092,volta,-0.553968071937561,1
11749,##aking,-0.5531783103942871,3
7859,clover,-0.5529417395591736,1
5604,purity,-0.5522124767303467,1
11896,fielder,-0.5521907806396484,2
12736,sighs,-0.5505915880203247,2
965,resentment,-0.550591230392456,2
12425,variety,-0.5493579506874084,5
10311,49,-0.5489392280578613,2
7088,accuracy,-0.5465341210365295,1
10553,randy,-0.5459566116333008,3
6115,spends,-0.5457008481025696,2
11565,intro,-0.5441752672195435,5
7535,packers,-0.5435404777526855,3
4293,renew,-0.5429129600524902,1
6773,differ,-0.541986346244812,2
10855,gloria,-0.5413426160812378,2
14310,flawless,-0.5409014225006104,2
14555,lists,-0.5391887426376343,1
13252,views,-0.539035975933075,2
8258,waiter,-0.5355340838432312,5
11687,articles,-0.5348900556564331,2
12976,tasks,-0.5344704389572144,3
10821,objects,-0.5335559248924255,1
10208,bills,-0.5332672595977783,3
11967,assigns,-0.5327672958374023,1
4081,slice,-0.5323046445846558,7
12379,juliet,-0.5313262939453125,1
10484,milan,-0.5311691761016846,1
13256,erika,-0.5311615467071533,1
14048,earthquake,-0.5305361747741699,1
7694,construction,-0.5298710465431213,3
10192,slacks,-0.5275349617004395,1
11997,vice,-0.5273303389549255,1
11762,labor,-0.5268148183822632,2
7808,emory,-0.526552677154541,1
9766,yue,-0.5263609886169434,1
11849,booking,-0.5261348485946655,1
10944,homes,-0.5253830552101135,4
14565,bids,-0.5250312089920044,1
7556,tia,-0.5246912837028503,3
12955,olympics,-0.5245033502578735,2
15092,denny,-0.524179220199585,1
5017,fender,-0.5238342881202698,2
12515,urgent,-0.523493766784668,2
14522,heritage,-0.5233281254768372,1
11891,healer,-0.5230822563171387,1
7612,elevator,-0.522028923034668,3
5246,cruelty,-0.5216466188430786,1
9799,berlin,-0.5209802389144897,1
5389,xbox,-0.5206730365753174,9
5446,messages,-0.5203441381454468,11
2264,swear,-0.5201241970062256,38
9553,sequel,-0.5199669599533081,1
6980,tread,-0.5194205641746521,4
9711,##icles,-0.518890380859375,1
6685,temper,-0.5186793804168701,6
5452,counselor,-0.517776608467102,2
8299,busted,-0.5168818831443787,5
10724,centred,-0.516880989074707,1
10903,sock,-0.5168362855911255,4
7654,kendall,-0.5164438486099243,2
10738,vomiting,-0.5164433717727661,3
13403,vulture,-0.5159369111061096,1
7236,kicks,-0.515921413898468,6
9668,regardless,-0.5156644582748413,4
12582,athlete,-0.5155367851257324,1
6542,reporter,-0.5151301622390747,1
11939,newfound,-0.5147538185119629,1
13336,needy,-0.5144737958908081,2
14967,bushes,-0.5142458081245422,1
6523,##side,-0.5136739015579224,7
5047,marijuana,-0.5132418870925903,4
14915,christianity,-0.5131542682647705,1
13164,floral,-0.5131456851959229,1
14713,incapable,-0.5126743316650391,1
4265,sherry,-0.512091338634491,2
11712,wally,-0.5109297037124634,2
14488,quilt,-0.5102807283401489,1
8650,entertainer,-0.5099300146102905,1
5166,gloss,-0.5090140104293823,1
1857,hallways,-0.5078659057617188,1
15001,recital,-0.5072596073150635,1
2014,disappointed,-0.5064691305160522,15
11658,regulating,-0.5063820481300354,1
1005,sox,-0.5059705972671509,4
8804,altogether,-0.5058796405792236,3
13975,strict,-0.5049145221710205,1
10477,avoided,-0.5040480494499207,1
2665,affection,-0.5038279891014099,2
5196,launch,-0.502980649471283,3
5918,twins,-0.5028291940689087,10
4814,overseas,-0.5027598738670349,1
11481,grains,-0.5013918876647949,1
11467,amazement,-0.5013023614883423,1
8826,distracted,-0.5009987950325012,4
12524,##mbled,-0.5001829266548157,1
15023,perpetual,-0.4999403953552246,1
9033,seeds,-0.4996718466281891,5
7902,require,-0.49932345747947693,4
3890,sheep,-0.4992693364620209,5
13875,mentioning,-0.4992557764053345,2
6275,rb,-0.4974120557308197,2
14481,rudolph,-0.49724578857421875,1
