,Word,Value,Freq
25289,"awful
",-7.49643714124767,1
15028,Lacking ,-6.006302398754836,1
30920,BLOWS,-4.470450464452802,1
23722,Missing ,-3.1787037302449863,2
4665,degraded ,-2.3264265946630234,1
27829,diminished ,-1.6964204628063526,2
14749,pharmacy,-1.6245672881370576,2
15011,dissatisfied ,-1.6239822302814122,4
7651,drastically ,-1.465548180058487,2
29307,Words,-1.3638661040644373,1
27001,False ,-1.3489515014782019,3
27603,Dated ,-1.3428486365695944,1
17609,Speechless ,-1.3093628746244426,1
28352,Kill ,-1.2715443023791946,1
23406,usually  ,-1.2703302025261838,1
23407,always  ,-1.2703302025261838,1
26615,SLOPPY ,-1.1852096356589852,1
16544,Rude,-1.1026631931634294,7
29428,commercial,-1.0811625558723246,1
28211,Jeans,-1.065352982558501,1
6138,Hate ,-0.9375563861150447,8
30268,Claudia ,-0.8973558106856361,1
32571,professors ,-0.8907600939443701,1
4681,shitty ,-0.8447030361688775,12
7369,Fair ,-0.8157086790281485,4
25102,XED ,-0.792465927412904,1
16479,ruins ,-0.7465125270718317,4
1865,Horrible,-0.7216147270396605,11
32452,Trade ,-0.7045688026065424,1
18681,SLOW ,-0.6593743370595406,5
6252,worst,-0.6550326113601637,10
21864,postal ,-0.6543773365211528,1
15695,fuck ,-0.634032665381847,5
13906,declined,-0.6285835753173712,9
21468,lu ,-0.6261263176208756,1
24398,liar ,-0.608066483653232,2
20081,ignored,-0.6055605040682723,4
24555,advertising,-0.6031356884102168,4
30856,Nasty ,-0.6017891344719364,1
18680,SUCKS ,-0.5983045118002929,1
33629,mare ,-0.5751348631751878,1
15694,cluster ,-0.5745860727009767,5
29523,UPSET ,-0.560754200093446,1
10200,spine,-0.5605003246499267,3
27174,asshole,-0.5590102090529289,1
22392,TI  ,-0.5374923505644867,1
5810,Horrible ,-0.5184301325220831,43
13048,Closes ,-0.5149327401028575,1
27585,Generic ,-0.5140899695356309,1
19208,sloppy,-0.5138065698482236,2
29902,VIC,-0.4950022324596718,1
29901,SER,-0.4950022324596718,1
21472,"or
",-0.489027354558907,1
15458,Concourse ,-0.486291142138158,3
11590,unfortunate,-0.48445076432050643,3
23228,violations ,-0.47591470970263394,1
31006,FAT ,-0.47312292270643175,1
25437,Disappointing,-0.45324527030439404,2
22909,len ,-0.45215985698333183,1
4905,MERS,-0.4515657868125926,1
