,Word,Value,Freq
18667,Speechless ,-2.0567640645578735,1
29204,slamming,-0.9708288524234652,1
26586,"awful
",-0.9095222012030488,1
24738,disappointed  ,-0.8051709448515897,1
23220,resistance ,-0.7371059287328108,2
15909,Lacking ,-0.715868620974604,1
12208,unfortunate,-0.7009184202671822,3
29466,UPSET,-0.6909044676544994,1
476,Never,-0.6359674768131266,2
27402,Pathetic,-0.5847263095111547,2
4922,degraded ,-0.5500998976828886,1
27220,Tossed ,-0.5316227941515882,1
31185,inferior,-0.5005325300358876,1
16133,downfall,-0.4539452750637981,5
32260,Nasty ,-0.4495029547907655,1
28925,Dated ,-0.44675669684956554,1
21314,ASSHOLE,-0.42279031516861015,1
16583,futile,-0.42072627734353224,1
28952,unfair,-0.3981558036160384,3
26585,"rude
",-0.38582821932451067,2
13476,Bland,-0.3848097893040275,2
27184,Name,-0.3744030570282654,1
23281,unsuccessful,-0.3711013557123176,1
18484,FAIL,-0.36834099462492587,2
1894,Horrible,-0.3482899819835471,8
29547,Unhappy,-0.32533071400855557,1
30443,failure,-0.32440496604748686,3
23379,dismiss,-0.3068761555666357,2
22408,CUTE ,-0.3039514822713194,1
29428,savage,-0.28788202341927854,1
29679,"Advertising 
",-0.2700240718863239,1
9101,currents ,-0.267223010628802,1
996,Weak,-0.26701686048574214,3
6330,BLAND,-0.24509011234121245,2
8100,Zero ,-0.23222666298858327,5
17932,hysterical ,-0.22874198805971527,2
31852,negative  ,-0.22708338385536553,1
28436,"since
",-0.2268373958026514,1
26419,XED ,-0.22510099444619205,1
21868,rises,-0.21762328231136754,1
20502,stripped ,-0.21652357048442222,2
33422,Bitch,-0.21277935865943604,1
17369,frustrating,-0.20671759620284857,6
23164,Barely ,-0.20560851164499566,5
25232,TERRIBLE,-0.20520836667092887,3
31024,entes ,-0.20482883552087505,1
25724,liar ,-0.2042519103400986,2
4937,shitty ,-0.19675179642182652,11
31020,ún ,-0.19643045567977935,1
32792,halted ,-0.1934403963030761,1
21791,"bland
",-0.19140651586266066,2
20174,Lack ,-0.1868054970844321,3
9318,sunglasses,-0.18630723029504104,1
15491,Disappointing,-0.18505097456705688,2
26372,Alterations ,-0.184654388962714,1
29976,DISGUSTING,-0.18053708768951604,3
28335,False ,-0.180529878772599,3
