,Word,Value,Freq
5914,awful,-6.466290473937988,1
6273,termination,-6.284364700317383,1
10965,questionable,-6.2822065353393555,1
4491,bully,-6.215690612792969,1
9775,denies,-6.088749885559082,1
5043,grimaced,-6.05214262008667,1
10413,hepatitis,-5.96461296081543,1
3312,queer,-5.952814102172852,1
11602,lacked,-5.846802711486816,1
5042,cornered,-5.8073320388793945,1
10859,appalled,-5.7593231201171875,1
5902,slash,-5.739616394042969,1
9094,lacking,-5.736738204956055,1
10635,idiots,-5.69064474105835,1
10590,fools,-5.674341678619385,1
5838,shooter,-5.667034149169922,1
11314,##of,-5.632274150848389,1
3275,narrowed,-5.5463151931762695,1
9687,manipulating,-5.544523239135742,1
7494,disrupted,-5.533621788024902,1
717,shallow,-5.438809394836426,1
9771,speechless,-5.40290641784668,1
11617,skeptical,-5.234255790710449,1
9056,regret,-5.218603610992432,1
7611,fails,-5.211539268493652,2
11609,bother,-5.165886402130127,1
10527,stalk,-5.161757469177246,1
3098,embarrassing,-5.125997543334961,3
5927,charred,-5.066948890686035,1
8446,rejection,-5.014863014221191,1
5775,##plication,-5.002765655517578,1
7548,snoop,-4.9931135177612305,1
9849,needle,-4.942767143249512,1
3965,illusions,-4.937658786773682,1
6021,plea,-4.918035507202148,1
11627,defaulted,-4.91389274597168,1
9335,##iques,-4.905764579772949,1
8140,restrict,-4.857790946960449,1
3067,hissed,-4.8043622970581055,1
11414,melting,-4.78022575378418,1
6439,annoyance,-4.759401798248291,1
8485,bearings,-4.699586868286133,1
11413,glaciers,-4.6761698722839355,1
4112,idiot,-4.517076015472412,3
9256,denied,-4.492386817932129,2
1823,declined,-4.480227470397949,5
6932,##sty,-4.415591716766357,1
7725,dominance,-4.327911853790283,1
6644,fired,-4.297156810760498,1
8052,cantonese,-4.2866435050964355,1
8665,slave,-4.283925533294678,4
1230,resigned,-4.250652313232422,1
8387,reluctance,-4.235559463500977,1
3484,crap,-4.062797546386719,3
6673,rarely,-4.01658821105957,3
10385,dismay,-4.013450622558594,1
3777,dreadful,-3.982940196990967,1
11293,abortion,-3.9615983963012695,2
6532,conscription,-3.925654172897339,1
6813,cricket,-3.925198554992676,1
8413,discontinued,-3.9231979846954346,3
9087,ou,-3.8431315422058105,1
10670,##ocation,-3.811765432357788,1
9304,hawk,-3.7083778381347656,1
1484,sorry,-3.6405975818634033,14
1136,frozen,-3.629155397415161,2
5868,scrutiny,-3.601844549179077,3
9531,threw,-3.5948126316070557,1
9305,starved,-3.511129140853882,1
6567,loses,-3.504185199737549,1
6800,upset,-3.5018248558044434,5
2115,siren,-3.4955902099609375,1
11422,symbolic,-3.3983170986175537,1
10007,tensions,-3.3802168369293213,1
9351,faded,-3.376004457473755,1
3376,slips,-3.3165814876556396,1
10381,swear,-3.2730553150177,1
9144,tuition,-3.2465500831604004,2
10349,migrate,-3.1861486434936523,1
8693,##hetic,-3.1407675743103027,1
7839,##gs,-3.1334304809570312,2
1821,massacre,-3.130911350250244,2
10175,jealous,-3.098483085632324,2
4782,danger,-3.088931083679199,4
6667,deserted,-3.025421380996704,2
9297,critic,-3.023365020751953,2
7283,bs,-3.015900135040283,2
8642,slain,-2.9860074520111084,3
6635,riots,-2.984145164489746,2
2141,rebels,-2.971827507019043,2
8362,torture,-2.956357717514038,2
6922,hacker,-2.9495012760162354,2
11023,suspicious,-2.9101638793945312,4
3441,smuggling,-2.9087579250335693,4
3542,costly,-2.8859548568725586,4
1993,suck,-2.8587963581085205,3
4300,resign,-2.857276439666748,2
5141,fei,-2.8267250061035156,2
10521,snorted,-2.826510190963745,2
7963,misses,-2.8217036724090576,3
3020,shrugged,-2.7776365280151367,6
5022,bum,-2.752992630004883,3
11499,heels,-2.735422134399414,1
6786,dies,-2.726919651031494,8
7444,##vers,-2.701601028442383,1
1804,fault,-2.6732852458953857,5
9544,unsuccessfully,-2.6553080081939697,1
8335,freezing,-2.6347625255584717,1
5189,glared,-2.612793445587158,2
8548,struggled,-2.6068334579467773,2
6086,uncomfortable,-2.5813586711883545,3
10020,ash,-2.5705623626708984,2
10793,stealing,-2.532780647277832,2
1262,steep,-2.519780158996582,2
5162,prisoner,-2.516021728515625,4
7030,reverse,-2.5103507041931152,1
7201,fortunate,-2.487859010696411,1
9013,interrupted,-2.4226889610290527,2
8005,ruins,-2.3953213691711426,2
8942,frowned,-2.3943305015563965,2
11436,plunged,-2.388185501098633,2
1709,lied,-2.3868777751922607,2
10444,graffiti,-2.3464272022247314,2
2411,refused,-2.343130350112915,2
5720,hm,-2.3339521884918213,1
6529,crossroads,-2.321183204650879,2
6654,dumb,-2.3178136348724365,7
7082,debt,-2.3091189861297607,4
3915,worried,-2.3078744411468506,2
3560,terri,-2.307511329650879,1
2705,hell,-2.2981207370758057,7
5104,bleak,-2.290940284729004,4
9928,hanged,-2.2833468914031982,1
5122,abuses,-2.2730979919433594,2
6994,crazy,-2.256978988647461,3
4013,seize,-2.255812644958496,2
8317,##ested,-2.2288239002227783,1
5423,drops,-2.2204344272613525,2
3208,wreck,-2.188462257385254,3
5794,ignore,-2.183131217956543,6
7770,clone,-2.1819841861724854,1
10940,revealing,-2.177079677581787,1
5279,embarrassment,-2.1580810546875,2
