,Word,Value,Freq
9095,lacking,-4.962945906680204,1
11621,skeptical,-3.942256267356967,1
6275,termination,-3.7517722660483157,1
6801,bruce,-3.7366110441230593,1
5916,awful,-3.711911147549039,1
3098,embarrassing,-3.655244053564541,3
8198,nightmares,-3.633152303138389,1
10594,fools,-3.5888926722109318,1
10417,hepatitis,-3.557206692779907,1
5042,cornered,-3.5325705288034497,1
9776,denies,-3.452118031089268,1
8986,debated,-3.375858951846132,1
11606,lacked,-3.3610255329145327,1
10639,idiots,-3.2020384669303894,1
10531,stalk,-3.171920695191338,1
3777,dreadful,-3.1542549578029484,1
7612,fails,-3.1110605158340894,2
1993,suck,-3.1081294077414054,3
9688,manipulating,-3.0514497229456903,1
10389,dismay,-3.0387193911681356,1
8983,nah,-2.951351479937633,1
7495,disrupted,-2.945840193479298,1
5104,bleak,-2.912787381611485,4
5043,grimaced,-2.9059146817714447,1
10385,swear,-2.880679745475451,1
8447,rejection,-2.8337499405850064,1
8141,restrict,-2.827220013903247,1
3312,queer,-2.7946534908883436,1
10969,questionable,-2.787916686137517,1
8414,discontinued,-2.6782263121785235,3
8943,frowned,-2.654725128908952,2
3376,slips,-2.6528430531422296,1
5929,charred,-2.6396377106848496,1
10012,tensions,-2.6259632164523716,1
6534,conscription,-2.594864904981497,1
8666,slave,-2.5791340456385248,4
10863,appalled,-2.5466063489989628,1
4782,danger,-2.5335013687956116,4
11027,suspicious,-2.521013906634603,4
10744,worries,-2.508490610794362,1
1484,sorry,-2.504669261168052,14
7120,canceled,-2.4960223173604366,2
6023,plea,-2.4841552602748074,1
7964,misses,-2.4522004336276386,3
6569,loses,-2.450194015389397,1
9772,speechless,-2.4396705965201058,1
1821,massacre,-2.4280432482710994,2
9257,denied,-2.4230167157310607,2
717,shallow,-2.4165817731934967,1
11631,defaulted,-2.4121860245921183,1
5905,damn,-2.3844998874716343,2
3275,narrowed,-2.3708027448955473,1
3542,costly,-2.361112504748398,4
6923,hacker,-2.3584719555127243,2
5841,shooter,-2.349586268739095,1
8388,reluctance,-2.3149744065567464,1
6088,uncomfortable,-2.2751269966530963,3
3965,illusions,-2.274139051716963,1
6675,rarely,-2.2675329576045162,3
1823,declined,-2.254887120139143,5
8746,doubts,-2.2258516569577513,1
9545,unsuccessfully,-2.20607599142998,1
6646,fired,-2.197581037468911,1
5871,scrutiny,-2.189510161969271,3
6970,tossing,-2.168751246746213,1
11650,scoffed,-2.165072594086329,1
8297,outraged,-2.1557265836568105,1
1136,frozen,-2.1335434768881116,2
10797,stealing,-2.131242411260671,2
4491,bully,-2.1101526386208005,1
5209,stupid,-2.104934284430207,4
6656,dumb,-2.0973481323879235,7
6441,annoyance,-2.090216551979848,1
9145,tuition,-2.075896388837258,2
11418,melting,-2.060477713164356,1
3441,smuggling,-2.052434218410897,4
6637,riots,-2.049406939985776,2
3915,worried,-2.040342420831583,2
4617,considers,-2.03349096230453,1
7218,sue,-1.9890207508312803,4
6788,dies,-1.9784532926083094,8
3373,screamed,-1.966322258149873,2
4460,dislike,-1.9643888204494253,1
8997,unsafe,-1.9518473635738096,1
10353,migrate,-1.9460235272844633,1
9179,slams,-1.9446325508212405,2
2252,dull,-1.9384691756400332,2
11679,crises,-1.921209484811813,1
8171,stays,-1.9054178614465016,1
7106,insulted,-1.886053304791329,2
5122,abuses,-1.884163501606058,2
9850,needle,-1.876289837671762,1
3208,wreck,-1.8677310215471408,3
2719,rage,-1.8647495114589696,1
3309,unlikely,-1.8607834008807187,3
10800,freak,-1.8600687934765738,1
8363,torture,-1.8502021099130315,2
5217,storage,-1.846092857958542,1
9352,faded,-1.8396573154791964,1
6139,misery,-1.8370992317795753,2
5189,glared,-1.830689810805569,2
11168,apology,-1.8072189741699116,1
10728,##athy,-1.8058939029773076,1
5791,offensive,-1.8049142873560993,2
1800,bombs,-1.79484798171273,5
5511,criticized,-1.7938492841056188,4
9532,threw,-1.7889547002693964,1
10179,jealous,-1.7854282837756825,2
6447,beg,-1.7684591938578893,2
10025,ash,-1.7681173589026735,2
4112,idiot,-1.7643136535184736,3
3931,bites,-1.7631834927414398,2
8336,freezing,-1.7582564150663882,1
9665,trash,-1.7523394398352683,2
3677,ugly,-1.745881716824368,4
11549,frustration,-1.7389556638896466,1
4195,boring,-1.737042588252132,5
7416,confusion,-1.736285125759859,4
3020,shrugged,-1.7299586510728495,6
7771,clone,-1.7287423420683803,1
7660,questioning,-1.724167719827904,1
10962,dangerously,-1.7236787043360695,1
1804,fault,-1.7221157736710058,5
5487,nobody,-1.7111851845790167,2
5426,drops,-1.6996490135602185,2
6802,upset,-1.6895663659591265,5
5778,##plication,-1.6767113424358162,1
2141,rebels,-1.6634623184800148,2
2184,corrected,-1.6624090661479773,2
9306,starved,-1.6513330695775545,1
4237,rigid,-1.647759593073597,1
8998,losers,-1.6359364467440716,1
5095,confused,-1.6323830249724938,2
10819,decreased,-1.619456648129052,1
9478,stranded,-1.602179582916942,1
10633,tsunami,-1.5991427214372727,1
5960,grimace,-1.5910404311435085,2
10357,ejected,-1.589229546546463,1
8643,slain,-1.5892071950928728,3
5093,hated,-1.5880817849307307,3
7031,reverse,-1.5747917188665805,1
9929,hanged,-1.5673520569849497,1
5219,ky,-1.5645727631118562,1
8184,snarled,-1.5537877342767186,1
1230,resigned,-1.5482466035655567,1
5534,burnt,-1.5471501362285478,1
10525,snorted,-1.5457671945418965,2
2411,refused,-1.5447066370682725,2
11613,bother,-1.540997995861939,1
11614,##some,-1.540997995861939,1
5162,prisoner,-1.5386720927440665,4
7549,snoop,-1.53707459852809,1
8051,accidental,-1.5274518107851998,2
7202,fortunate,-1.5237047760458717,1
1815,faulty,-1.5219777128806093,3
7355,curt,-1.5210143530063074,2
7356,##ailed,-1.5210143530063074,2
7976,detained,-1.518078410341626,1
2705,hell,-1.5161786054521316,7
2526,loss,-1.5125816689578733,15
10747,nightmare,-1.5071419931593395,1
3243,clash,-1.4949391881624858,1
11297,abortion,-1.4827542569364804,2
11351,dangers,-1.4673838115400737,1
11484,bombers,-1.464944147070249,1
4710,indicted,-1.45875397768049,1
2115,siren,-1.4587125088487354,1
5904,slash,-1.4528600730980286,1
7114,eliminating,-1.4519399545843177,4
3067,hissed,-1.4485831379890444,1
6728,offenders,-1.4462387125939131,1
5279,embarrassment,-1.4302772934827122,2
3066,worse,-1.430209320642163,14
1819,chrysler,-1.4254430474506483,2
9483,explosions,-1.4247549909447867,1
7959,leak,-1.4167922814687093,1
6669,deserted,-1.414290244352432,2
9057,regret,-1.4114755658489284,1
7397,slap,-1.4058575157009041,1
6934,mothers,-1.404829226496319,1
6266,protest,-1.4014211568718835,6
47,boycott,-1.4011520731545075,2
