,Word,Value,Freq
11010,outraged,-1.0336274743080138,1
9022,fools,-1.0327637195587158,1
10567,idiots,-0.945343812306722,1
4407,suck,-0.9351353694995245,2
7382,damn,-0.8752152177258435,3
11445,concussion,-0.7690251767635345,1
1177,dreadful,-0.7583122826241827,2
1356,torture,-0.7410275687774023,2
3454,appalled,-0.7339715696516491,1
13135,beheaded,-0.7213895797729493,1
11024,freak,-0.7048405692690894,1
6764,fuck,-0.68722113618603,3
8621,intimidated,-0.6819620927174885,1
6438,misery,-0.6771436333656311,2
11569,lacking,-0.6704248258045742,1
10507,grimaced,-0.6128473111561367,1
10545,hanged,-0.5904170884026422,1
2043,dumb,-0.5882237269823437,6
2493,shit,-0.5850836130147787,3
9964,threw,-0.581834214074271,1
6699,bruce,-0.5762490034103394,1
11789,bleak,-0.5755340646814417,3
12277,tournament,-0.5650379657745361,1
1796,dies,-0.5570379804310497,10
11588,fading,-0.539827316457575,1
12194,infections,-0.5226433832637389,1
3100,hell,-0.5149289427606262,7
11367,slap,-0.5123981988275206,1
6366,frustration,-0.5070010721683502,1
8061,canceled,-0.498736736320314,2
12497,horrified,-0.4902966402195118,1
6389,hurts,-0.4790545052958853,2
13066,unsuccessfully,-0.4764075336002168,1
9479,bully,-0.4710342155562507,1
11589,ridiculous,-0.4665809311927893,3
6899,frowned,-0.4661478300889333,2
1998,scrutiny,-0.4639491163806998,2
12911,fails,-0.46165943145751953,1
574,pissed,-0.458068180188798,3
11734,stabbed,-0.4563972112332044,2
9567,queer,-0.446864843766957,1
12969,shooter,-0.4436344021842593,1
6541,slain,-0.4423815085301323,3
4658,sorry,-0.44197133220191825,14
9482,hissed,-0.4365848104159037,1
8555,ugly,-0.4348579371732379,6
2110,ejected,-0.4345821142196655,1
2206,jealous,-0.4282398863735362,3
8502,died,-0.4277421714377516,9
11568,dangers,-0.4221488833427429,1
6952,kidnapped,-0.4214238259527418,3
8738,bum,-0.4205529789129893,2
10591,detained,-0.41246133191244944,1
8102,termination,-0.40771304453262175,1
11895,denies,-0.40192729234695435,1
12264,unsafe,-0.39587457974751794,1
9928,dismay,-0.38908148756077343,1
11561,slams,-0.3831697702407837,1
2163,sue,-0.3822604389417739,3
11512,worries,-0.37539035081863403,1
7901,lacked,-0.3749362826347351,1
8229,blast,-0.35909146177705636,3
4116,uncomfortable,-0.35853568939935593,3
12956,arrogance,-0.3553605278333028,1
8211,disappointed,-0.3551318245633723,4
5853,tragedy,-0.35471485130937125,3
3945,deaths,-0.35307057700006717,8
1832,screamed,-0.3528293041955857,2
8900,annoyed,-0.3516522078287034,1
8568,floods,-0.3508022904396057,2
9395,fucked,-0.34903522448099056,4
4089,stupid,-0.3483894507785687,6
3862,ineffective,-0.34155099391937255,1
2189,kills,-0.3378174325786597,5
9916,rude,-0.3353152326611809,1
8446,murder,-0.33463229099775077,5
7629,hated,-0.33400130413827445,2
11122,slapped,-0.33320011297861735,1
7347,discontinued,-0.3314429928759977,3
7560,misses,-0.3302232663309763,6
10677,sighed,-0.32482992615512196,3
3113,goddamn,-0.319702023267746,2
13116,melting,-0.3157563447952271,1
7098,disappointment,-0.3150772751217319,3
10278,turner,-0.31162847791399273,1
12338,rage,-0.309526101025668,1
7728,attackers,-0.3087875525156657,1
13117,scoffed,-0.3074157238006592,1
7353,costly,-0.30583847659508484,3
8508,selfish,-0.305531018775898,1
3620,killed,-0.30508327908093946,23
11519,anxiety,-0.30182182283112496,1
6898,sad,-0.29954702865706156,9
3851,stealing,-0.2982410419398797,5
3707,upset,-0.29732134696074175,4
9253,dislike,-0.2946223689101593,1
5549,ruins,-0.292744953122686,2
