,Word,Value,Freq
9776,denies,-4.379591895947381,1
11606,lacked,-4.207782896077322,1
9352,faded,-4.200580914523087,1
5916,awful,-3.914247219277812,1
3777,dreadful,-3.8599341053160883,1
10863,appalled,-3.833461811086015,1
11621,skeptical,-3.825838819495033,1
9688,manipulating,-3.712286775401685,1
9095,lacking,-3.613975611171036,1
6569,loses,-3.558046800986169,1
11679,crises,-3.4682447210190785,1
9157,swore,-3.4511978843878977,1
10639,idiots,-3.4193970901270707,1
6275,termination,-3.408783866429199,1
7612,fails,-3.3957009461121497,2
8297,outraged,-3.380101565573187,1
6023,plea,-3.249109009984467,1
3098,embarrassing,-3.203490658412941,3
8997,unsafe,-3.1488231580172266,1
6775,intimidated,-3.0866901978126,1
10417,hepatitis,-3.0438723328137636,1
10744,worries,-3.0403081122950435,1
8210,haunted,-3.035199067091389,1
10389,dismay,-2.987853031130055,1
5043,grimaced,-2.9794255123725013,1
11168,apology,-2.930463667269667,1
8480,revenge,-2.9165906542531794,1
9306,starved,-2.9143513867424593,1
8986,debated,-2.9104258178797924,1
1484,sorry,-2.9095936987201205,14
8198,nightmares,-2.901319912093716,1
1993,suck,-2.809932292997837,3
11027,suspicious,-2.793373718487871,4
10385,swear,-2.7653731743494667,1
11740,freeway,-2.7566153283964017,1
2719,rage,-2.6826858630408217,1
3208,wreck,-2.6617291304781823,3
5209,stupid,-2.6495193140801288,4
3580,embarrassed,-2.6215809132064263,3
8475,glare,-2.6058581902925493,1
5952,infections,-2.590313314327753,1
8414,discontinued,-2.5839213797978413,3
4710,indicted,-2.570919935738211,1
5929,charred,-2.567098775525498,1
7202,fortunate,-2.559931049064586,1
8141,restrict,-2.5577643223934703,1
10969,questionable,-2.5193581172989474,1
6534,conscription,-2.5065218794661597,1
11505,bored,-2.5051510030757767,1
5104,bleak,-2.472549348475995,4
10594,fools,-2.434665247797966,1
9524,goddamn,-2.4140807864501355,2
9772,speechless,-2.4011212430894373,1
3915,worried,-2.392101368823883,2
2765,disappointed,-2.3881534818035273,4
6646,fired,-2.384139526892186,1
1821,massacre,-2.3591748041034952,2
6656,dumb,-2.303660151227486,7
9257,denied,-2.289173278122743,2
10353,migrate,-2.2790146360085126,1
5905,damn,-2.2459923031666214,2
8666,slave,-2.2456755372451385,4
6717,fears,-2.2370701006125833,2
3931,bites,-2.234032826735113,2
5076,fucked,-2.229931271934142,3
7218,sue,-2.2105158987203763,4
3312,queer,-2.2081637526740727,1
5162,prisoner,-2.1892543157863464,4
7328,ignoring,-2.1859882918146836,2
7416,confusion,-2.1603979406886413,4
3441,smuggling,-2.1431533011933634,4
5042,cornered,-2.142887987602841,1
5871,scrutiny,-2.13120049854239,3
4491,bully,-2.130359008336308,1
9850,needle,-2.1194500996577306,1
7120,canceled,-2.108708512617482,2
11650,scoffed,-2.108070287108421,1
6923,hacker,-2.0990336694059866,2
11743,arbitrary,-2.0892382883797995,1
10800,freak,-2.085135933674044,1
1823,declined,-2.081508466606788,5
10530,hunters,-2.0775143078395297,1
10819,decreased,-2.0660652445758814,1
4782,danger,-2.06061184401938,4
2252,dull,-2.0515065469993297,2
5904,slash,-2.04952616724273,1
5279,embarrassment,-2.0470585553055822,2
8643,slain,-2.0356665635177755,3
3373,screamed,-2.034551523054682,2
4195,boring,-2.014298821822556,5
5122,abuses,-2.002635435116562,2
8750,anxiety,-1.9888482944948689,1
10057,nazi,-1.9700341044493903,1
5426,drops,-1.9661865171259807,2
9145,tuition,-1.9584944513856204,2
4318,##umble,-1.9570285960993705,1
7660,questioning,-1.9436314102965315,1
9836,puzzle,-1.9428250841627066,1
9673,slaughter,-1.934991068641682,2
3066,worse,-1.9250623418389332,14
5415,snakes,-1.9169872456145272,1
5511,criticized,-1.9121961773343403,4
6637,riots,-1.9066038683456028,2
7356,##ailed,-1.8948990822048166,2
7355,curt,-1.8948990822048166,2
1986,swallowed,-1.8809881705008757,1
9639,exist,-1.8747269814431449,1
9532,threw,-1.8699437432464152,1
10896,annoyed,-1.861452000749956,1
7964,misses,-1.8406198989540812,3
1278,trouble,-1.823532074416836,8
6788,dies,-1.8130524493082745,8
9856,execution,-1.8115598522804,1
4593,bleeding,-1.8022656640638344,2
3376,slips,-1.7977658506660235,1
5841,shooter,-1.7958605525985596,1
8388,reluctance,-1.794035091329047,1
10531,stalk,-1.7719965151378085,1
9545,unsuccessfully,-1.768173903256418,1
4617,considers,-1.765766865085988,1
8363,torture,-1.7601749274879694,2
4993,nervous,-1.7520033256679555,1
2141,rebels,-1.7426665117047608,2
11549,frustration,-1.7359168426858054,1
1804,fault,-1.7323943544657403,5
4660,stolen,-1.7289545662035615,3
7959,leak,-1.7288675097127755,1
6088,uncomfortable,-1.718920538508092,3
10747,nightmare,-1.7166814155994898,1
4965,lodged,-1.7123066070207154,1
8979,interference,-1.7115223950234104,1
10514,barred,-1.7100121874435275,1
4112,idiot,-1.7065076754243094,3
6934,mothers,-1.705790081123511,1
5791,offensive,-1.7057499685263617,2
8430,forgot,-1.6997550097308936,2
2980,wished,-1.6952210373581476,2
8572,forgive,-1.6935857911960746,1
3275,narrowed,-1.6704345512725822,1
8943,frowned,-1.6461716330299776,2
11710,rumor,-1.6455627029703856,1
624,difficult,-1.6364866931635325,13
1662,fraud,-1.6360686549262125,3
1439,sane,-1.6249240103346563,1
1136,frozen,-1.6196170013462439,2
7070,nuclear,-1.5947474341494619,6
10492,blur,-1.5909577172512388,2
9179,slams,-1.5898943601087445,2
10025,ash,-1.5874336981628263,2
2497,outdated,-1.5745922465042217,3
3542,costly,-1.569054640511481,4
6760,flinched,-1.5665857483115462,1
8051,accidental,-1.5595195715752355,2
2764,warning,-1.5568366927619082,7
7549,snoop,-1.552727309957383,1
3020,shrugged,-1.5518577275383578,6
8746,doubts,-1.5486341333869613,1
3099,cancellation,-1.5484757229242296,2
6266,protest,-1.545929496372515,6
5102,coughed,-1.5447965569526332,1
5778,##plication,-1.5393643126055665,1
6441,annoyance,-1.5381727061445813,1
10728,##athy,-1.5354077501133794,1
2632,implications,-1.5334815452960522,1
8983,nah,-1.5218403910597165,1
8072,pains,-1.5038974992223793,1
3677,ugly,-1.501589731084722,4
9057,regret,-1.494549929328037,1
10312,armor,-1.4811590147241909,1
1149,pinched,-1.4783358963943125,1
5095,confused,-1.4776124878316035,2
6756,excuses,-1.4774882483326055,1
8549,struggled,-1.472347428806998,2
3749,hates,-1.4692824618283646,1
3157,retreat,-1.4635736950938345,2
9816,struck,-1.4567384893754647,2
