,Word,Value,Freq
13929,daring,-3.275991439819336,1
10771,##jean,-3.142477035522461,1
12127,zion,-2.797194480895996,1
12397,expansion,-2.56554913520813,1
13094,torch,-2.4692344665527344,1
11444,devotion,-2.2626349925994873,1
2871,senses,-2.0525922775268555,1
13629,arbor,-1.927241563796997,1
13695,filipino,-1.918117642402649,1
11075,global,-1.8603664636611938,1
10321,goodwill,-1.729071021080017,2
9571,backgrounds,-1.7015464305877686,1
12377,retiring,-1.655949354171753,1
12963,piercing,-1.6314055919647217,1
4507,##dates,-1.629761815071106,1
9523,penguins,-1.5324970483779907,1
1864,believing,-1.5229098796844482,2
10703,acquire,-1.5094361305236816,1
7771,adventures,-1.4799699783325195,1
9078,snout,-1.471651554107666,1
10127,##mise,-1.457567572593689,1
14022,politician,-1.443927526473999,1
3849,depend,-1.4438772201538086,1
3215,pirates,-1.4271013736724854,2
3951,##rney,-1.4108366966247559,1
4639,tragedy,-1.3901007175445557,1
13981,forwards,-1.3876277208328247,1
9496,##nosis,-1.3604618310928345,1
11360,grades,-1.3365814685821533,2
13609,naming,-1.3282876014709473,1
11228,arun,-1.31546950340271,1
13215,noses,-1.2650766372680664,1
12342,maverick,-1.2618447542190552,1
10700,somali,-1.2541251182556152,1
4604,biker,-1.2494176626205444,1
7150,cheers,-1.2485307455062866,5
5014,debbie,-1.2480967044830322,1
10302,imagination,-1.236607313156128,4
8697,huey,-1.2287429571151733,1
11758,nfc,-1.2237037420272827,1
13618,pleasures,-1.2202211618423462,1
11387,attending,-1.21724271774292,1
10780,snowfall,-1.213611364364624,2
11448,flashbacks,-1.2045762538909912,1
4332,##isman,-1.199419617652893,1
9177,46,-1.1961519718170166,2
10758,detail,-1.1615712642669678,1
12220,splitting,-1.1558774709701538,1
1655,1400,-1.1374547481536865,1
8273,assists,-1.1372250318527222,1
11986,breast,-1.135622501373291,1
12932,cycling,-1.128217101097107,1
89,trinidad,-1.125004768371582,2
11547,vibrant,-1.114746332168579,2
13587,##lete,-1.1137231588363647,1
5506,conjecture,-1.1085233688354492,1
3883,probe,-1.0966657400131226,1
11170,promotion,-1.094860315322876,1
12562,invitation,-1.081669569015503,2
9771,drifting,-1.0782057046890259,2
5428,sponsorship,-1.0632506608963013,1
2302,appealing,-1.0617451667785645,2
8016,genus,-1.0531758069992065,1
9013,trump,-1.0368173122406006,1
12338,chicks,-1.031158447265625,1
12721,lure,-1.0291393995285034,1
12524,expose,-1.023433804512024,1
10023,struggles,-1.015437364578247,2
5859,fatima,-0.9979725480079651,1
11140,initiation,-0.997581958770752,1
12815,reassure,-0.9929956793785095,1
9658,##tooth,-0.9904341697692871,1
696,relief,-0.987542986869812,10
8961,kissing,-0.9786911010742188,3
10706,catcher,-0.9784567356109619,1
11085,rosy,-0.9706262350082397,1
2738,sweets,-0.9649673104286194,6
12779,salesman,-0.9644440412521362,1
11435,relieved,-0.9574974775314331,2
2346,dyke,-0.9571912288665771,1
7241,staircase,-0.9546857476234436,2
11049,gravity,-0.9543577432632446,1
10425,shuttle,-0.9489311575889587,2
6942,glorious,-0.9443889260292053,3
2484,appetite,-0.9404141902923584,1
13803,trinity,-0.9373608231544495,1
10083,##ain,-0.9359068870544434,3
8587,eerie,-0.9309642314910889,2
8065,justine,-0.9157310128211975,1
6165,explaining,-0.9022108912467957,2
4689,browns,-0.9007273316383362,3
13338,thanking,-0.9005242586135864,1
9935,##ept,-0.9001412391662598,1
14061,chichester,-0.8996031284332275,1
8822,##tagram,-0.896851658821106,2
10564,##icing,-0.8937113881111145,2
8884,boating,-0.8932210206985474,1
8136,costumes,-0.88837730884552,2
4969,##ically,-0.8868089914321899,4
13916,brushes,-0.886792778968811,1
8220,crops,-0.880895733833313,1
7029,cracked,-0.8773977160453796,1
9455,renewed,-0.8708760738372803,1
8422,vomiting,-0.8692735433578491,1
5235,ling,-0.859836220741272,1
12540,spawning,-0.856255292892456,1
12675,staggered,-0.8521976470947266,1
2561,cables,-0.8517417907714844,1
14137,##riders,-0.8502274751663208,1
14089,taxis,-0.8483651876449585,1
4705,ridges,-0.843631386756897,1
13718,porter,-0.8423478603363037,1
12328,harassed,-0.8394732475280762,1
13056,hamlet,-0.8359112739562988,1
11756,49ers,-0.8339856266975403,1
10459,mustache,-0.8313218355178833,2
12853,brewer,-0.8286726474761963,1
9695,calvin,-0.8273228406906128,1
10007,##opsis,-0.8270872831344604,1
6629,beetle,-0.8243988752365112,1
10899,variations,-0.8228720426559448,1
9524,##vah,-0.8135274052619934,1
14147,grunt,-0.812008261680603,1
13758,render,-0.8015521764755249,1
11390,softness,-0.7981422543525696,2
8081,toes,-0.7925209999084473,3
12365,error,-0.7920693755149841,2
10413,homer,-0.791846513748169,2
12833,emory,-0.7860702872276306,1
2666,chorus,-0.7702143788337708,3
7110,connie,-0.7677671909332275,1
10186,flames,-0.7663259506225586,3
985,therapeutic,-0.7635791897773743,2
11586,licked,-0.7630876302719116,1
9102,silva,-0.7618165612220764,1
5537,hospitals,-0.7602658271789551,1
9357,hopes,-0.7533485293388367,5
10754,hoax,-0.7513027191162109,1
6292,##dine,-0.7502200603485107,2
5572,##vious,-0.742628812789917,1
13093,reassuring,-0.7412501573562622,1
7794,koreans,-0.7406438589096069,1
7094,compass,-0.7381153106689453,3
12832,economy,-0.7316416501998901,2
11939,picket,-0.7305797338485718,1
9964,softball,-0.7243703007698059,3
11623,inactive,-0.7243314981460571,1
6753,##ango,-0.7239354848861694,1
6418,braves,-0.7200214862823486,1
6796,lizard,-0.7178774476051331,1
11416,1500,-0.7148950099945068,1
13635,noticing,-0.7146068811416626,1
11862,bump,-0.7116205096244812,3
12040,urgency,-0.7108415365219116,1
13717,drip,-0.7103431224822998,1
7460,feminine,-0.7102702856063843,1
2016,snakes,-0.7038547992706299,4
9355,mortgage,-0.7022144794464111,1
2960,moore,-0.6949468851089478,1
13085,decreased,-0.6941045522689819,1
5761,trousers,-0.6938154101371765,3
7986,marijuana,-0.6912630200386047,3
11154,introduction,-0.690873384475708,1
8449,butterflies,-0.6854137182235718,1
9219,hugs,-0.6853680610656738,3
1734,cheered,-0.6818364858627319,1
13515,bids,-0.6795281171798706,1
6581,##eft,-0.6764091849327087,1
9077,contestants,-0.6738132834434509,1
8102,rogers,-0.673377513885498,1
9178,##tana,-0.6728053092956543,1
8098,discovery,-0.6694854497909546,1
14076,yue,-0.6693280935287476,1
12722,granite,-0.668362021446228,1
14088,income,-0.6664756536483765,1
12183,buyer,-0.6663506031036377,1
5442,scare,-0.6659953594207764,9
12233,trusted,-0.6643193960189819,1
11505,culture,-0.6624274253845215,1
10641,homecoming,-0.659659206867218,3
10111,outstanding,-0.6594226360321045,1
11994,southeastern,-0.6589614152908325,1
3540,cedric,-0.6572906970977783,1
2444,grove,-0.6569401025772095,1
1489,riots,-0.6545258164405823,3
12885,poverty,-0.6539390683174133,3
10838,abortion,-0.6536039710044861,2
9879,skate,-0.6530130505561829,2
9158,experiments,-0.6487067937850952,2
12649,healing,-0.6468104124069214,1
9972,##tral,-0.6446696519851685,1
8108,events,-0.6401792764663696,5
13917,##sper,-0.6393928527832031,1
12911,calcutta,-0.6390933990478516,1
3949,##ture,-0.6385512351989746,5
5648,steelers,-0.6384525299072266,4
12581,wits,-0.6329691410064697,1
13924,performances,-0.6329495906829834,1
13352,enabled,-0.631210446357727,1
7589,confronted,-0.629317045211792,1
1637,##iny,-0.6287105083465576,1
1541,couples,-0.6274712085723877,4
7642,zombies,-0.6231489777565002,2
10312,pakistan,-0.6229744553565979,3
11259,##lub,-0.6209244728088379,1
5025,joined,-0.6186923980712891,4
13236,reunited,-0.6183655261993408,1
7785,magnet,-0.6174781322479248,1
9395,vegetarian,-0.6150643825531006,1
11958,hazard,-0.6112983822822571,1
8034,blankets,-0.6101938486099243,3
10055,flourish,-0.6065738201141357,1
8736,gasped,-0.6054140329360962,1
2057,invisible,-0.6034623980522156,3
6645,que,-0.6021433472633362,3
10036,realities,-0.601590633392334,1
12341,goose,-0.6000396013259888,2
9789,eleven,-0.5988023281097412,1
7089,addict,-0.5950530767440796,2
11950,forbes,-0.5947549343109131,1
11482,##worth,-0.5937294363975525,2
2768,informed,-0.5936905741691589,3
6312,prima,-0.5933295488357544,1
13456,salute,-0.5918053388595581,1
11302,rey,-0.5887536406517029,3
8735,planner,-0.5874066352844238,4
9092,neo,-0.5870553255081177,1
7478,##onda,-0.5866395235061646,1
11158,cities,-0.5864591002464294,1
12351,popped,-0.5858204364776611,4
6536,virginia,-0.584445059299469,5
5772,empowerment,-0.5842763781547546,5
10988,listed,-0.5841187238693237,1
8795,bois,-0.5831301212310791,2
9170,##pus,-0.5807996988296509,1
10845,penguin,-0.5787544250488281,2
11466,bandits,-0.5785359144210815,1
6447,throne,-0.5752759575843811,2
8526,politicians,-0.5746152400970459,2
12552,melanie,-0.5709623098373413,1
9977,feared,-0.5675419569015503,2
9569,terrified,-0.5667701959609985,8
7974,stint,-0.5663105249404907,2
12733,dial,-0.5658036470413208,1
7331,databases,-0.5650008916854858,1
13288,receiver,-0.5600857734680176,1
9442,spiders,-0.5599463582038879,4
8430,remote,-0.5585581064224243,5
1838,sumo,-0.5569955110549927,1
5326,liberia,-0.5533209443092346,1
9632,memorial,-0.553032398223877,1
2869,resisting,-0.552764892578125,1
9117,restarted,-0.5527498722076416,1
11908,porch,-0.5513339042663574,2
3213,chow,-0.5503435134887695,1
8119,bolt,-0.5495180487632751,2
11857,coventry,-0.5487189888954163,1
12542,##onne,-0.5481592416763306,1
10174,foo,-0.5479418635368347,2
10293,hotter,-0.5471741557121277,1
2437,creepy,-0.547120213508606,8
8238,cotton,-0.5470913648605347,2
12889,flawed,-0.5452293157577515,1
9116,cache,-0.5399706363677979,1
8940,waved,-0.539384663105011,2
4758,tags,-0.5377322435379028,5
13994,##aling,-0.5365921258926392,1
10012,ambition,-0.5365402698516846,1
3037,fascinated,-0.5361515283584595,1
10684,loneliness,-0.5358519554138184,5
9968,##chy,-0.5344157814979553,3
9239,192,-0.5338376760482788,1
12498,##late,-0.5327155590057373,2
6319,barcelona,-0.5326881408691406,2
11532,teenager,-0.531707763671875,1
7449,owe,-0.5307505130767822,3
6561,flirt,-0.5297079086303711,2
13571,consciousness,-0.5296295881271362,1
7622,##mies,-0.5292263031005859,5
10810,22nd,-0.5286036729812622,2
13622,playstation,-0.5281492471694946,1
11222,midsummer,-0.5269845724105835,1
3724,sickness,-0.5266932845115662,7
3942,whereabouts,-0.5253611207008362,2
9608,maureen,-0.5250228047370911,2
12860,prepared,-0.523501992225647,4
7397,mascara,-0.5233373641967773,1
9587,bride,-0.5212519764900208,7
13866,mccann,-0.5209975242614746,1
8885,canada,-0.520729660987854,4
12878,##rites,-0.519989013671875,1
7081,developing,-0.5197206735610962,2
6948,develops,-0.518096923828125,1
3601,participating,-0.5151336193084717,2
4303,junction,-0.5143128633499146,1
5640,stepped,-0.5127267241477966,3
3980,jolly,-0.5125229358673096,5
4368,tablets,-0.5102261304855347,1
6184,allie,-0.5086681842803955,2
10843,vest,-0.5080857276916504,1
5334,nintendo,-0.5070871114730835,1
6454,peanuts,-0.505490779876709,1
8113,prevented,-0.5041757822036743,2
11142,heritage,-0.5017927885055542,1
6511,kobe,-0.5011864900588989,6
1633,##powering,-0.5006647706031799,3
9322,sabah,-0.49957793951034546,1
5447,sunshine,-0.4984622299671173,13
13027,##itation,-0.49698495864868164,1
8272,mummy,-0.49504268169403076,3
9555,creed,-0.49489083886146545,3
11462,trace,-0.49292445182800293,1
10426,##ride,-0.4921267628669739,4
7766,reese,-0.4918099343776703,6
13904,cleveland,-0.4897732734680176,2
13826,slim,-0.4892810583114624,1
4073,##oping,-0.4889790415763855,4
3779,poem,-0.48895397782325745,5
10118,accessory,-0.4887733459472656,1
13004,##backs,-0.4869961738586426,1
9431,##yu,-0.48680809140205383,3
4796,dime,-0.4864066243171692,2
1658,scared,-0.4854009747505188,100
12754,riches,-0.48369407653808594,1
12975,ao,-0.4823356866836548,1
7921,textbooks,-0.48221683502197266,1
11977,peas,-0.4818991422653198,1
13926,asthma,-0.48052191734313965,1
3835,crab,-0.4793396592140198,4
5906,eastenders,-0.4786454737186432,3
10786,##burn,-0.4781350791454315,3
13636,spinal,-0.47666215896606445,1
9009,maturity,-0.47651320695877075,2
3887,##ema,-0.4761331379413605,6
11288,handicapped,-0.4747258424758911,1
12520,pune,-0.47361886501312256,1
10542,thrilled,-0.47352662682533264,6
12437,##sor,-0.4730571210384369,3
5728,vital,-0.47200632095336914,2
