,Word,Value,Freq
6767,governance,-3.0073082447052,1
7110,connie,-2.9113733768463135,1
11979,shrink,-2.4914839267730713,1
13708,fundraiser,-2.427344799041748,1
13027,##itation,-2.3695321083068848,1
13358,elliptical,-2.3517980575561523,1
13176,arresting,-2.3361763954162598,1
12338,chicks,-2.2029106616973877,1
13926,asthma,-2.1899964809417725,1
11547,vibrant,-2.1165213584899902,2
9395,vegetarian,-2.010770559310913,1
13443,inability,-2.0102076530456543,1
13822,neglect,-2.009427309036255,1
5572,##vious,-1.9610741138458252,1
9222,virtues,-1.9449870586395264,1
5979,hometown,-1.8844895362854004,1
1199,##icient,-1.831939458847046,1
9129,podcast,-1.830038070678711,1
13311,customs,-1.753609538078308,1
11595,appreciated,-1.7161314487457275,1
10097,choke,-1.6730209589004517,1
5980,garner,-1.641036033630371,1
12445,losers,-1.6309490203857422,1
11222,midsummer,-1.6264630556106567,1
4301,clap,-1.6116520166397095,9
11428,attraction,-1.6079211235046387,1
11201,empire,-1.5931789875030518,1
9745,compensate,-1.5890402793884277,1
1049,introduce,-1.5657570362091064,2
7553,accuse,-1.543942928314209,4
7097,finance,-1.5295586585998535,2
12865,imagined,-1.524125576019287,1
4216,premiere,-1.5142956972122192,1
11469,greenwich,-1.4992516040802002,1
10320,equivalent,-1.487531304359436,1
13692,relay,-1.485463261604309,1
13853,fugitive,-1.4791184663772583,1
13236,reunited,-1.47731614112854,1
13991,conclude,-1.4682519435882568,1
7851,aback,-1.4574624300003052,1
11990,drains,-1.4480540752410889,1
3603,deficiency,-1.4459947347640991,1
11986,breast,-1.4411561489105225,1
12599,sleeps,-1.424098014831543,1
9113,commentators,-1.4117754697799683,1
12439,concession,-1.409034252166748,1
13948,divorced,-1.3998098373413086,1
12701,insult,-1.398758888244629,2
7893,compare,-1.3565378189086914,3
211,vase,-1.345259428024292,1
4540,mouths,-1.3434386253356934,3
6260,##fide,-1.3432059288024902,1
14056,interim,-1.3334428071975708,1
12540,spawning,-1.3333909511566162,1
13629,arbor,-1.3080804347991943,1
4775,rendition,-1.289681077003479,1
7184,trafford,-1.289251685142517,1
3434,distinguish,-1.2817795276641846,1
5374,dismissal,-1.2802636623382568,1
11787,accused,-1.2686169147491455,2
12000,##gating,-1.2369729280471802,1
10084,archway,-1.2368030548095703,1
13817,occurs,-1.227981686592102,1
2569,concerts,-1.2139153480529785,1
1864,believing,-1.2136650085449219,2
10716,tent,-1.212618350982666,1
11887,bounced,-1.2085758447647095,1
11007,discussion,-1.2047150135040283,4
11404,remake,-1.2031304836273193,3
7029,cracked,-1.2017202377319336,1
10388,happier,-1.1994953155517578,5
8469,listener,-1.1903356313705444,1
5463,treating,-1.1892714500427246,1
4640,kolkata,-1.1875567436218262,2
11110,hopeful,-1.1799498796463013,1
12688,stated,-1.1641299724578857,1
13747,cultural,-1.1567044258117676,1
10046,snails,-1.1556596755981445,1
13938,revolutions,-1.142905592918396,1
9964,softball,-1.1377943754196167,3
10545,cornerstone,-1.1306332349777222,3
3849,depend,-1.1266376972198486,1
11729,outrage,-1.1161794662475586,1
13537,fracture,-1.105848789215088,1
13646,entertained,-1.0965850353240967,1
10152,noodles,-1.0889723300933838,2
9884,nebraska,-1.0805743932724,1
5886,bitter,-1.0743151903152466,6
13289,syndrome,-1.0727579593658447,1
10465,vowed,-1.0652077198028564,1
3329,##piration,-1.0634770393371582,2
4010,remind,-1.0630207061767578,8
12687,wayne,-1.0525774955749512,2
11003,porto,-1.050615668296814,1
13634,retire,-1.0310347080230713,2
8126,rhyme,-1.0264577865600586,2
11023,grams,-1.0189299583435059,2
4932,gears,-1.017031192779541,3
13128,seventh,-1.0127966403961182,1
8016,genus,-1.0100904703140259,1
10519,journals,-1.009406566619873,1
5312,director,-1.0086474418640137,3
9878,brighter,-1.0063315629959106,3
10025,clicked,-1.0052350759506226,2
5620,dreamed,-1.002591609954834,3
3943,helpful,-1.0007712841033936,3
10806,springer,-0.9963732957839966,1
9789,eleven,-0.9960716366767883,1
10489,nests,-0.9943305253982544,1
7876,ghosts,-0.9896852374076843,1
13917,##sper,-0.9878361225128174,1
7779,gained,-0.9867144227027893,3
12438,quarters,-0.981204628944397,1
11536,handwriting,-0.9737899899482727,1
2387,chooses,-0.968264639377594,1
6205,verbs,-0.9626374840736389,1
6339,buried,-0.9608078598976135,1
6720,leo,-0.9602150321006775,2
13875,simplicity,-0.95968097448349,2
7101,empathy,-0.9539625644683838,2
7706,luxury,-0.9536539316177368,1
10244,liga,-0.9533728361129761,1
11665,engineer,-0.9523615837097168,1
13039,employment,-0.9514327049255371,1
7003,separation,-0.9500054717063904,2
13622,playstation,-0.9486521482467651,1
11288,handicapped,-0.9400510191917419,1
12575,melting,-0.934332549571991,1
7041,increases,-0.9340085387229919,2
8626,##nant,-0.9337995648384094,1
13601,cease,-0.9331754446029663,1
3563,consist,-0.9248555898666382,11
13888,agony,-0.9242078065872192,1
10049,rotate,-0.9238658547401428,1
5554,directors,-0.9225701689720154,1
10033,satisfaction,-0.9160754084587097,3
2627,grief,-0.9151982069015503,5
11148,determine,-0.9151784181594849,1
8652,delight,-0.9134806990623474,8
11930,sheriff,-0.9098597764968872,1
10151,envisioned,-0.9094644784927368,1
11643,spain,-0.9076895713806152,1
4248,asshole,-0.9072915315628052,9
12810,rulers,-0.9069589376449585,1
1847,updated,-0.9066171646118164,3
11583,establishments,-0.9057079553604126,1
7686,heal,-0.9033670425415039,3
10677,warwick,-0.9032332897186279,1
2082,tissues,-0.8950592279434204,1
1414,lanes,-0.8915405869483948,2
10934,##tray,-0.890566349029541,1
11985,capitalist,-0.8897590637207031,1
13790,spontaneous,-0.8880387544631958,1
10616,tornado,-0.8810743093490601,4
10780,snowfall,-0.8794634938240051,2
5326,liberia,-0.8792482614517212,1
4023,seduce,-0.8788583278656006,1
10040,stroked,-0.8779044151306152,1
12908,prompted,-0.876834511756897,1
3351,boil,-0.8765792846679688,3
14022,politician,-0.8745603561401367,1
7471,##rita,-0.8736262321472168,2
4792,16th,-0.8724005222320557,3
13424,educational,-0.8681807518005371,1
9975,ashamed,-0.8656180500984192,3
13098,destruction,-0.8603485226631165,1
7285,capable,-0.8543685078620911,3
6677,giggled,-0.8540605902671814,1
4950,iced,-0.8525850176811218,3
12578,acacia,-0.8490768671035767,1
12365,error,-0.8489302396774292,2
13911,separated,-0.84847092628479,2
13534,##vating,-0.8473267555236816,1
10121,bisexual,-0.8449836373329163,1
10979,##lifting,-0.8436286449432373,1
10969,paperwork,-0.8432091474533081,2
11210,priest,-0.8360410332679749,2
13968,watery,-0.8346983790397644,1
6523,appreciation,-0.8342189192771912,2
7905,##acy,-0.8335003852844238,1
10358,jonathan,-0.8326540589332581,2
1541,couples,-0.8321066498756409,4
9292,behave,-0.8318389654159546,1
3174,tire,-0.8298318982124329,5
13931,paced,-0.8275831937789917,1
4153,buddies,-0.8272342681884766,2
6498,spokesperson,-0.8266218900680542,1
12472,lecturer,-0.8266000747680664,2
6516,tribute,-0.8238601684570312,5
12748,grid,-0.823570728302002,1
11306,greensboro,-0.8200343251228333,1
7921,textbooks,-0.8181908130645752,1
6629,beetle,-0.8142178058624268,1
13258,sneakers,-0.8117856979370117,1
4474,##odle,-0.8116462826728821,3
9260,paws,-0.8097620010375977,1
11323,tasks,-0.8088650107383728,2
3803,lick,-0.8062373399734497,4
1920,pear,-0.8024671673774719,3
13073,recycled,-0.8009787797927856,1
13501,plasma,-0.7952618598937988,1
5905,fumble,-0.7951865196228027,3
11759,afc,-0.7924726605415344,1
5859,fatima,-0.787348747253418,6
13464,simplest,-0.7868809700012207,1
11927,screwing,-0.7868705987930298,2
12464,coup,-0.7864446640014648,1
8993,recommended,-0.7847179174423218,1
7842,pope,-0.7839797735214233,2
5908,rampage,-0.7834093570709229,1
7241,staircase,-0.7831059098243713,2
10980,exception,-0.7829185724258423,1
10832,sweetness,-0.7810060977935791,6
1533,urge,-0.7740817666053772,7
9741,discussed,-0.7702180743217468,1
10624,favor,-0.7645679712295532,2
11154,introduction,-0.761176347732544,1
13504,consequences,-0.7590427994728088,3
3060,lash,-0.7511005997657776,2
8480,sincerely,-0.7510126233100891,4
9114,darren,-0.7472898960113525,1
10146,intention,-0.746798038482666,2
12510,fatigue,-0.7456479072570801,1
13259,suits,-0.7418922185897827,1
12709,colonel,-0.7417725920677185,1
11721,observed,-0.7396715879440308,1
3608,sharif,-0.7365360260009766,4
10119,##nese,-0.7350126504898071,1
8500,goalscorer,-0.7349556684494019,1
3735,xbox,-0.7343385815620422,11
4120,flipped,-0.7330325841903687,11
13577,laughed,-0.730339765548706,1
1969,availability,-0.7290321588516235,1
617,regardless,-0.7241640090942383,3
13725,journalism,-0.7227031588554382,1
9453,congressman,-0.7226918935775757,1
10879,eyeing,-0.7215307950973511,1
8273,assists,-0.7186669111251831,1
8784,godfather,-0.7185561060905457,3
14122,belgium,-0.7182361483573914,1
1556,dashboard,-0.7169824838638306,2
4732,##mut,-0.7161986827850342,1
9554,assassins,-0.7158316373825073,1
7850,susanna,-0.7143896222114563,1
3614,sorrow,-0.7141337394714355,25
8002,vanilla,-0.7114185690879822,7
8539,ledge,-0.7104736566543579,1
9995,improvement,-0.710079550743103,1
11315,fitch,-0.7080349922180176,1
7149,##biology,-0.7074896693229675,2
8678,frustrated,-0.7054795026779175,2
13384,randy,-0.7050563097000122,2
7203,hundreds,-0.7036080360412598,2
7899,suspension,-0.7030655145645142,1
7204,bikes,-0.7004464864730835,4
12570,wheelchair,-0.7002367973327637,1
5805,whisky,-0.6985163688659668,1
10509,faux,-0.6939477920532227,1
10688,clouded,-0.691353976726532,3
13013,isabella,-0.690963864326477,1
5113,excuses,-0.6855573654174805,9
11997,uefa,-0.684457004070282,1
6328,##creen,-0.6817632913589478,2
1734,cheered,-0.6815886497497559,1
12855,melissa,-0.6813386678695679,1
9699,cows,-0.6803504824638367,4
3700,communities,-0.6767188906669617,1
8148,huff,-0.6766417026519775,1
9645,crafted,-0.672605037689209,1
12751,doubles,-0.6722278594970703,1
13671,amendment,-0.671423614025116,1
2122,potter,-0.6709062457084656,12
11058,calculated,-0.6699682474136353,1
2806,disgust,-0.6666176319122314,9
13385,historical,-0.6649153232574463,1
5173,hacking,-0.6646703481674194,2
5047,differ,-0.6645297408103943,1
12752,proved,-0.6638815999031067,2
2928,crank,-0.6628879904747009,7
11575,snuggled,-0.661920428276062,1
8657,hugo,-0.6591036915779114,1
11821,sighs,-0.6561992764472961,1
7633,communism,-0.6554961800575256,2
7947,improve,-0.6551675200462341,2
8142,##rand,-0.6550771594047546,3
12369,sided,-0.6550594568252563,1
9524,##vah,-0.6546611785888672,1
6491,divine,-0.65337073802948,3
10706,catcher,-0.6530428528785706,1
12579,strain,-0.6511530876159668,1
11073,tribune,-0.6509271860122681,1
6976,pledge,-0.6508188247680664,1
3701,regain,-0.6499523520469666,2
12572,##pse,-0.6493426561355591,1
5273,tally,-0.6479630470275879,2
9277,cardinal,-0.6476377844810486,1
2484,appetite,-0.6469306349754333,1
2763,tread,-0.6463227272033691,2
14075,township,-0.6451972126960754,1
13597,fires,-0.6451592445373535,1
13770,excess,-0.6435089707374573,1
11435,relieved,-0.6412194967269897,2
6800,fled,-0.6408078670501709,1
3467,leaves,-0.6381904482841492,17
2626,stages,-0.6375649571418762,3
11396,unearthed,-0.6366342902183533,1
11272,draft,-0.6334124803543091,2
10217,cooke,-0.6326310634613037,2
9824,aisle,-0.6320521235466003,2
3813,deck,-0.6314170360565186,5
14067,dismiss,-0.6295483112335205,1
8102,rogers,-0.6294751763343811,1
12358,##jak,-0.6293001174926758,1
13571,consciousness,-0.6292741298675537,1
11484,seeds,-0.6286675930023193,4
2385,course,-0.6284384727478027,58
2276,kicks,-0.6273859739303589,5
10160,exploring,-0.6266534328460693,1
4105,retired,-0.6260088682174683,8
5838,dickinson,-0.6252142190933228,1
13934,pilot,-0.6246650218963623,1
11486,##feit,-0.624419093132019,1
11621,speechless,-0.6243889927864075,3
12508,fighters,-0.6240664720535278,1
14055,##ced,-0.6233168244361877,1
9651,busted,-0.6201847195625305,4
11033,efficiency,-0.6199135780334473,1
12555,qualify,-0.6198322176933289,1
13913,inheritance,-0.6197965145111084,1
7646,doorbell,-0.6194060444831848,1
2023,insists,-0.6188180446624756,2
7017,logs,-0.617877721786499,2
8643,illustrate,-0.6168465614318848,1
259,##pas,-0.6167113780975342,1
6182,##itive,-0.6164275407791138,1
