,Word,Value,Freq
8148,huff,-2.2381904226248013,1
11729,outrage,-1.7157709712369575,1
1767,bitterness,-1.463475311924859,5
10682,festivities,-1.4541082192551007,1
14070,fiesta,-1.3971761551996071,1
9815,exercises,-1.3869441822171211,1
13618,pleasures,-1.3846751184839952,1
7138,sacked,-1.3324504494667053,1
11394,lacrosse,-1.3150105041762192,1
2569,concerts,-1.3091733567416668,1
11222,midsummer,-1.2880406861121838,1
14123,gemma,-1.2689200310926072,1
7110,connie,-1.2508563208083312,1
13537,fracture,-1.2401636301305814,1
14010,sundays,-1.2336009899775187,1
10388,happier,-1.2089351521870757,5
13280,showers,-1.2046740730603536,1
6677,giggled,-1.187732354303201,1
11665,engineer,-1.1620372487514308,1
13708,fundraiser,-1.1329484222080612,1
11600,transportation,-1.1207062775890033,1
10026,bonding,-1.1185545037793452,2
6491,divine,-1.096297290859123,3
6767,governance,-1.0889693372177354,1
1734,cheered,-1.0755472707458669,1
10274,showered,-1.0667875551173343,2
4822,100th,-1.0571775495323592,11
4950,iced,-1.051791551552876,3
11547,vibrant,-1.0514105051431966,2
7184,trafford,-1.0490725861231232,1
9768,plot,-1.0443209041133166,9
9770,17th,-1.0396037445300155,1
11809,pastry,-1.0378851925806394,1
10047,bothered,-1.0362783374951265,1
1329,detention,-1.0326959472992236,4
11007,discussion,-1.028236500434927,4
5805,whisky,-1.0191961702128705,1
7169,calculus,-1.015389385272618,5
12377,retiring,-1.0144149613204516,1
5886,bitter,-1.01419599006801,6
7921,textbooks,-1.0115354724936356,1
8473,vain,-1.002791110546358,1
11960,exiled,-0.9901248125093324,1
3603,deficiency,-0.9880792640977436,1
13629,arbor,-0.9793653059129914,1
10637,cindy,-0.9689057817216963,1
9292,behave,-0.9654859494417906,1
8652,delight,-0.9634218805716823,8
9789,eleven,-0.9573672543324175,1
7469,##rky,-0.9559128185113271,1
13311,customs,-0.9533912126548015,1
9838,converting,-0.9530119657516479,1
13790,spontaneous,-0.9492053087143337,1
7134,mayhem,-0.9484063078813693,2
5374,dismissal,-0.9469320787133012,1
14094,quilt,-0.9469158243105719,1
13875,simplicity,-0.9358514793086471,2
11852,counseling,-0.9353579332431157,1
2544,kennedy,-0.9336090597841473,1
11967,chewing,-0.9310323651880026,1
10371,530,-0.930667641726934,3
7877,bruise,-0.9190026290714741,1
12225,sucker,-0.896127350628376,1
11595,appreciated,-0.8811183060434732,1
11575,snuggled,-0.8797899325688681,1
13126,sucked,-0.8764623991954021,1
13932,distraught,-0.8738356193616277,1
13597,fires,-0.8676491018972898,1
4796,dime,-0.8660333604933932,2
11133,circles,-0.8615669291485448,2
13577,laughed,-0.8590053569614178,1
617,regardless,-0.8567497863064683,3
10716,tent,-0.8558620164552941,1
10596,reindeer,-0.8556113345047052,2
7899,suspension,-0.8554297842913205,1
7706,luxury,-0.854471832803554,1
13384,randy,-0.8529065239657131,2
163,joy,-0.8511854241042928,319
12751,doubles,-0.8484229123249131,1
10308,sherry,-0.8473776735010601,1
10640,funk,-0.8428325639360331,1
5610,pennsylvania,-0.8356542343966626,1
826,homework,-0.833100056587254,145
10418,athletic,-0.8255876824324886,1
12089,ordinary,-0.8206540524649123,1
14158,pond,-0.8155414815011778,1
10806,springer,-0.8134089929362138,1
211,vase,-0.8116086382773661,1
9387,recover,-0.8094285366708761,1
1731,graphics,-0.8073689105610052,1
7333,enjoyable,-0.7999421090220235,2
11621,speechless,-0.7997454718928685,3
2736,disappointed,-0.7988456574815054,15
10344,restored,-0.7978382135076182,1
2082,tissues,-0.7961389014844896,1
11435,relieved,-0.7956087757360477,2
11455,animation,-0.795159982686693,1
11315,fitch,-0.7934940717766136,1
10105,emerald,-0.7892719125641243,1
7825,dismissed,-0.7887593957268989,2
12445,losers,-0.788519771148761,1
11272,draft,-0.787987680112844,2
13916,brushes,-0.7877613459196355,1
9742,carter,-0.7870490499498213,1
14114,indie,-0.7854214789681248,1
13633,rally,-0.7842018194555763,3
7842,pope,-0.7840311513260184,2
7824,violations,-0.7832556973610605,1
11240,default,-0.7814990317592254,1
543,70th,-0.7805767545701324,1
13931,paced,-0.7714205804680074,1
7041,increases,-0.7647769555070272,2
1902,happiness,-0.7632194891921565,147
11062,devoted,-0.7631890575091045,1
13073,recycled,-0.7587663718782689,1
11300,fielder,-0.7586183620233051,2
6960,shoved,-0.757915057738622,1
9309,denny,-0.7539881720756872,1
584,grounded,-0.7530426750584054,2
2748,improves,-0.7527954741148277,1
2987,ljubljana,-0.7524051346253503,1
12156,moods,-0.7508664475993713,4
12465,repairs,-0.7506257776164851,1
12526,floats,-0.7482970076302687,1
9964,softball,-0.7470918573214016,3
12756,caribbean,-0.7466641217470169,1
6621,barley,-0.7459580103556315,1
13472,applause,-0.745718386096339,2
6647,sorting,-0.7440231158565251,1
13978,upland,-0.7401995965176158,1
13805,crippled,-0.7387743033468723,1
8678,frustrated,-0.7363721632867525,2
5819,warming,-0.7357860127833645,3
13396,rained,-0.7337734336092594,2
52,christmas,-0.730877942887688,754
1732,depressed,-0.7294454204158944,17
10641,homecoming,-0.729137942685527,3
6076,oath,-0.7274872257460923,1
8643,illustrate,-0.7274704732355617,1
8098,discovery,-0.724560558795929,1
12806,reset,-0.7235652864777615,2
12533,atlantic,-0.7223019497025582,1
8814,fanny,-0.7222583510306931,1
13759,shattered,-0.720989990327507,1
7771,adventures,-0.7179290173999058,1
10097,choke,-0.7171639203138295,1
4451,flowers,-0.7148330212477744,7
8469,listener,-0.711007576319389,1
1982,disgusted,-0.7096560005025114,2
11743,transplant,-0.7022704502017725,1
9113,commentators,-0.7000449147237384,1
466,cake,-0.6986146285621256,25
13941,expense,-0.6984985789787528,1
11979,shrink,-0.6980545471111934,1
5447,sunshine,-0.6977995698194004,13
10992,skater,-0.696639658883214,1
2719,bouquet,-0.696067147457983,1
6435,counts,-0.6958235527078311,1
13913,inheritance,-0.6954762839845249,1
13595,transferred,-0.6938518360257149,1
2122,potter,-0.6932859967070732,12
3726,lt,-0.6923810082144712,4
9695,calvin,-0.6917938321244483,1
10990,ruining,-0.6916363213036434,1
8538,climb,-0.6913646455875962,1
12510,fatigue,-0.6906958429054135,1
10519,journals,-0.6891380376888044,1
11154,introduction,-0.6881962354097402,1
4910,deeper,-0.6874377767897993,2
1049,introduce,-0.6846949220122945,2
6969,depleted,-0.6846860251389444,1
11999,communion,-0.6839389848095172,2
8003,excerpt,-0.6819376301239519,1
13670,beautifully,-0.6811048816411923,1
6482,ceramics,-0.679940460174196,2
12519,sequel,-0.6784262677203072,1
12599,sleeps,-0.6775543077547963,1
6947,corps,-0.6775478890786568,1
11395,degraded,-0.6753973230305645,1
7150,cheers,-0.6753736307935245,5
8220,crops,-0.670391065201589,1
3846,grading,-0.6683159956465596,2
13176,arresting,-0.6637475983727548,1
13926,asthma,-0.6619361621948581,1
877,gratitude,-0.6618362468974258,25
9713,spoiled,-0.6612590594778932,3
8002,vanilla,-0.6609253264006926,7
7675,nolan,-0.6603498051077614,1
11306,greensboro,-0.6586682509177073,1
1997,sniff,-0.6535011342919395,1
7241,staircase,-0.6534089872685189,2
7029,cracked,-0.6528473443227945,1
7438,savings,-0.6513014499262414,2
10845,penguin,-0.6508151262684109,2
12256,##ieving,-0.6492304481839488,2
7243,dedicated,-0.6491972002328183,5
10551,neat,-0.6478323507649222,1
12771,gloss,-0.6477278000030069,1
3013,convention,-0.6453515839118225,1
2281,fault,-0.6449939458213203,9
864,thanksgiving,-0.644752954774392,164
10321,goodwill,-0.6443113254078658,2
8843,therapy,-0.6440060160735438,7
14076,yue,-0.6434452090826299,1
11995,proven,-0.6431106064337504,1
12198,dispatch,-0.6420108483118169,1
11998,premature,-0.6415168537991122,6
5086,refreshing,-0.6387601117068661,2
9453,congressman,-0.6373129353104603,1
11739,dexter,-0.6359996993693332,3
10764,##ckey,-0.635710970808778,1
9467,dessert,-0.6356755365286948,5
13274,exiting,-0.6341551100311082,1
1276,sponge,-0.6336697680217431,3
5990,fey,-0.6316369312543492,1
13948,divorced,-0.6306244115832835,1
1570,badminton,-0.6301539228894771,1
10299,flopped,-0.6299954881452932,1
12341,goose,-0.6294543393246229,2
2023,insists,-0.628172750762176,2
5192,bored,-0.6275569922619213,26
11536,handwriting,-0.6268223539686487,1
12793,phillip,-0.6267607191746886,1
6753,##ango,-0.6266939639090869,1
9925,mutual,-0.6250407133251429,2
13244,rei,-0.6226673379540444,1
3410,goofy,-0.6226022888404819,2
9040,amused,-0.6208571468964654,1
8201,walnut,-0.6203091891482473,1
6983,boring,-0.6202702463331349,23
13830,balancing,-0.6201231375229829,1
4540,mouths,-0.6195062651819262,3
12728,timetable,-0.61787895563369,2
10443,optimism,-0.6152388779621316,3
11754,buddhism,-0.6150586022904105,1
12575,melting,-0.6145420050248502,1
11230,bowls,-0.6138978854895798,1
12649,healing,-0.6125460480398479,1
12048,workshops,-0.6105614206384098,1
13964,danish,-0.6099928186999427,1
13903,850,-0.6088648417964577,1
10065,designing,-0.6084907417082124,1
12467,baker,-0.6079930943392571,1
13142,leaking,-0.6077108701521701,1
3910,chores,-0.6066028623499422,1
11323,tasks,-0.6050719101039999,2
13717,drip,-0.6049110415180164,1
2806,disgust,-0.6047804483059659,9
11532,teenager,-0.6037071732342696,1
3392,headache,-0.6035410409309857,38
12736,cardboard,-0.6030718776788834,3
13622,playstation,-0.601148079405105,1
10801,dumped,-0.6010998800719456,2
6056,stuffing,-0.6009094743754186,4
1232,workshop,-0.6008359890996928,4
6415,audience,-0.6000825458214796,2
11712,dolls,-0.6000621457894644,1
6025,cereal,-0.5985468162116114,4
7228,ironic,-0.598271292846653,3
5876,forgetting,-0.5977657918241542,7
2886,consultation,-0.5977508777545558,1
13062,enthusiasm,-0.5971562056333287,2
3903,stalled,-0.5966673749580718,1
10887,malibu,-0.5958996395118947,2
3780,publisher,-0.5951204392255521,1
4216,premiere,-0.5943066605532066,1
9745,compensate,-0.5932239016497969,1
12093,boiling,-0.5922348704189062,1
5416,wiley,-0.5920666647091424,1
13658,scarborough,-0.5920084593817592,1
9165,salary,-0.5913936483772683,1
4640,kolkata,-0.5899366886642861,2
10046,snails,-0.588010311760224,1
647,upgraded,-0.5872355080943891,3
9319,arguing,-0.5871269364015353,4
13263,clinic,-0.5869532713104136,2
7847,inspirational,-0.5863822412325851,5
10876,##icles,-0.5851732995314607,1
7677,mlb,-0.5839827720831324,1
11886,andre,-0.5838480127831212,2
8581,adorable,-0.5829094484629284,5
7757,roast,-0.582340656171146,6
6029,sage,-0.5821140572173982,1
6857,construction,-0.5815186289769504,3
11607,realizes,-0.580073834440411,1
13531,dolly,-0.5796676557542931,1
11110,hopeful,-0.5778144611991982,1
13468,frankenstein,-0.576395951902534,1
12228,dayton,-0.5759307485487726,1
13594,envelope,-0.5758454098942734,1
8730,northbound,-0.5755314321567615,1
6439,productive,-0.5749945790438978,18
7003,separation,-0.5742827243145064,2
12701,insult,-0.5735328832920145,2
12252,brightened,-0.5735164923181263,2
5891,humour,-0.5734654091023204,4
9813,egyptian,-0.5733949340278317,2
13391,simpson,-0.5729235758384068,1
12220,splitting,-0.5697451195783085,1
5224,49,-0.5690029936909143,2
1275,essay,-0.5681077148262542,54
6254,labor,-0.5678649039748005,2
629,presents,-0.5668466114430651,45
9499,productivity,-0.5654247674137532,2
11810,weaver,-0.5644848731431094,1
5991,defended,-0.5640082223763787,1
1541,couples,-0.5632795042304661,4
12573,fowler,-0.5630417817671385,1
8913,xp,-0.560943186084509,2
4305,meditation,-0.5605658579538139,2
9301,credits,-0.5602577348232028,3
3963,braid,-0.5590073269791517,7
9910,goods,-0.5589863009750843,1
9330,sunny,-0.5587149304920601,8
9574,lawn,-0.5585695114976407,3
7794,koreans,-0.5552789275921184,1
8087,collections,-0.5548312464036703,1
13271,barking,-0.5546374259540787,1
2492,inspections,-0.5544688847536842,1
6549,immense,-0.5533802754391907,2
9995,improvement,-0.5517960026075965,1
10780,snowfall,-0.5517633433179331,2
9611,veronica,-0.5511757432646823,2
11404,remake,-0.5494488812797688,3
11194,exploded,-0.54934965895055,1
5275,dinners,-0.5491678391893704,1
7158,accumulate,-0.548848346316043,2
4870,hunched,-0.5482957924847931,2
14115,frown,-0.5477021868976337,1
3457,pinnacle,-0.5476624163436807,2
1080,happy,-0.5471858498288898,389
13558,fortunately,-0.5462132639461947,1
9545,louie,-0.5457808459384574,1
10030,ambrose,-0.5456519251068433,1
5373,glee,-0.5447937963267554,9
6929,roots,-0.5445268368348479,1
3825,upgrade,-0.5441051060171437,4
11890,apologetic,-0.543986273619036,1
6458,irrelevant,-0.5434348851536251,3
4029,installing,-0.5433594107827437,1
13064,fulfillment,-0.5426563689068997,1
13002,calculations,-0.54192781087124,1
3943,helpful,-0.5414092954977067,3
6281,tricks,-0.5394346833583854,1
7344,##child,-0.5374660582192952,1
6283,shovel,-0.5360766008314313,2
12079,auditorium,-0.5359766946588125,1
9395,vegetarian,-0.535879510085261,1
7748,wipe,-0.5355834795080104,2
13032,keeper,-0.5354591710936455,1
7018,fireplace,-0.5353684906161358,2
9884,nebraska,-0.5352778841422878,1
12103,broadcast,-0.5344104878160925,1
13911,separated,-0.5342934085257229,2
8970,brushed,-0.533687784250229,2
13458,practiced,-0.5335556646542889,1
476,fourth,-0.5330603175072205,3
