,Word,Value,Freq
6677,giggled,-4.384385108947754,1
7706,luxury,-3.334890365600586,1
11787,accused,-3.267958879470825,2
3603,deficiency,-3.2660393714904785,1
11547,vibrant,-3.097644329071045,2
6498,spokesperson,-3.096653699874878,1
3942,whereabouts,-2.982938528060913,2
2625,##gill,-2.954561471939087,1
12701,insult,-2.901958703994751,2
11979,shrink,-2.8649046421051025,1
12377,retiring,-2.781529664993286,1
11595,appreciated,-2.618422746658325,1
13692,relay,-2.5942115783691406,1
13822,neglect,-2.5753393173217773,1
6823,dedication,-2.558980941772461,2
211,vase,-2.5540034770965576,1
1547,convergence,-2.536128520965576,2
9395,vegetarian,-2.5054666996002197,1
6629,beetle,-2.4660263061523438,1
12930,temptation,-2.433807373046875,1
7893,compare,-2.3664257526397705,3
12833,emory,-2.358468770980835,1
12338,chicks,-2.334423303604126,1
10632,##rba,-2.332993984222412,2
8670,##tious,-2.3325681686401367,2
10418,athletic,-2.3117856979370117,1
12132,converted,-2.2954931259155273,1
11486,##feit,-2.262592315673828,1
9309,denny,-2.252732753753662,1
13513,reggae,-2.2498292922973633,1
5886,bitter,-2.2463619709014893,6
8678,frustrated,-2.2230448722839355,2
7563,wireless,-2.17852783203125,1
4474,##odle,-2.158038854598999,3
13913,inheritance,-2.15755033493042,1
13405,improvements,-2.1211905479431152,1
12578,acacia,-2.117023468017578,1
3820,vhs,-2.09598708152771,1
7101,empathy,-2.0917885303497314,2
13311,customs,-2.0457303524017334,1
8126,rhyme,-2.0062694549560547,2
14039,tablet,-1.9901608228683472,1
13931,paced,-1.9608243703842163,1
5630,coordinator,-1.9517388343811035,1
6579,complain,-1.930233359336853,3
2627,grief,-1.9259586334228516,5
11115,encouragement,-1.917449712753296,1
9190,brandy,-1.9108116626739502,1
9374,comedian,-1.8657162189483643,2
10465,vowed,-1.8341972827911377,1
4023,seduce,-1.7913497686386108,1
5572,##vious,-1.7880750894546509,1
5714,##dicate,-1.7867658138275146,2
5979,hometown,-1.7785155773162842,1
6435,counts,-1.7665971517562866,1
11729,outrage,-1.7562187910079956,1
10152,noodles,-1.730391263961792,2
12572,##pse,-1.7243508100509644,1
6167,##enity,-1.7046892642974854,2
11140,initiation,-1.6984987258911133,1
5014,debbie,-1.6923956871032715,1
7016,plants,-1.6923789978027344,2
12396,##ditional,-1.684546947479248,1
13797,april,-1.6737293004989624,1
9884,nebraska,-1.6434061527252197,1
14050,genetic,-1.6432092189788818,1
12649,healing,-1.6272408962249756,1
13010,century,-1.622977375984192,1
10388,happier,-1.6190084218978882,5
7330,vomit,-1.6145328283309937,6
3213,chow,-1.596945881843567,1
9532,##acious,-1.5964725017547607,2
13289,syndrome,-1.5955696105957031,1
1276,sponge,-1.59490966796875,3
7110,connie,-1.5741996765136719,1
12508,fighters,-1.5686137676239014,1
3462,manila,-1.5442733764648438,1
11990,drains,-1.5370311737060547,1
1143,nostalgia,-1.5359830856323242,3
4996,reduced,-1.5283679962158203,2
11033,efficiency,-1.5267008543014526,1
12510,fatigue,-1.5235992670059204,1
4248,asshole,-1.5188170671463013,9
5782,warp,-1.5177764892578125,1
647,upgraded,-1.51496160030365,3
11201,empire,-1.50620436668396,1
3090,remedy,-1.5044304132461548,3
11007,discussion,-1.493713617324829,4
2145,innovation,-1.4915707111358643,1
10980,exception,-1.4913358688354492,1
11308,smacked,-1.490005373954773,2
2308,benefit,-1.489662528038025,2
1920,pear,-1.4748138189315796,3
6510,settling,-1.4744046926498413,2
8415,##eon,-1.474027395248413,1
8652,delight,-1.4728202819824219,8
9292,behave,-1.464991807937622,1
12728,timetable,-1.4647921323776245,2
11771,affection,-1.4630557298660278,2
8626,##nant,-1.4604856967926025,1
8141,charged,-1.455193281173706,1
9134,weeping,-1.4426833391189575,3
11935,##yle,-1.4364488124847412,2
7876,ghosts,-1.4197460412979126,1
13200,pollen,-1.4164392948150635,2
13600,jana,-1.4153671264648438,1
2806,disgust,-1.4143856763839722,9
7442,communications,-1.3977420330047607,2
12175,santo,-1.3912824392318726,1
11535,##cious,-1.3851640224456787,1
9559,install,-1.3833097219467163,2
1199,##icient,-1.3675532341003418,1
13581,skeleton,-1.365104079246521,1
13176,arresting,-1.3552899360656738,1
10048,rotation,-1.3532509803771973,1
955,slack,-1.3495793342590332,1
13236,reunited,-1.3455193042755127,1
9054,dotted,-1.3390886783599854,1
6260,##fide,-1.3352688550949097,1
14146,shrug,-1.3329346179962158,1
7397,mascara,-1.3169139623641968,1
7149,##biology,-1.3159971237182617,2
13424,educational,-1.3100335597991943,1
13854,aspects,-1.3082942962646484,1
11258,##cured,-1.305413007736206,1
9664,wharf,-1.3019373416900635,1
9170,##pus,-1.2987446784973145,1
13017,##rator,-1.2970154285430908,1
12550,relative,-1.2892265319824219,1
13090,vega,-1.2849973440170288,3
11643,spain,-1.284496784210205,1
13325,##laze,-1.2789440155029297,1
10730,##atable,-1.2689939737319946,1
9797,honored,-1.2667341232299805,1
6299,nosed,-1.2612714767456055,1
13635,noticing,-1.2597723007202148,1
14123,gemma,-1.2574114799499512,1
11404,remake,-1.2556761503219604,3
1972,rented,-1.2555276155471802,1
10320,equivalent,-1.246564507484436,1
11458,##som,-1.237833023071289,2
10244,liga,-1.2369966506958008,1
8561,engineering,-1.231661319732666,2
5289,visitors,-1.2315828800201416,1
12656,##berto,-1.230470061302185,1
4153,buddies,-1.2262725830078125,2
13396,rained,-1.2233763933181763,2
10910,cheat,-1.2174756526947021,2
7686,heal,-1.2167044878005981,3
9906,guessed,-1.2048745155334473,1
10146,intention,-1.197445034980774,2
10361,relativity,-1.1971404552459717,1
12647,oversized,-1.1885778903961182,1
13911,separated,-1.1856697797775269,2
