,Word,Value,Freq
12370,skipped,-4.59139347076416,1
9885,sergio,-4.240047931671143,1
6660,kidnap,-3.9502944946289062,1
11807,evaluating,-3.92783784866333,1
11395,degraded,-3.831697463989258,1
9886,##quet,-3.816356658935547,1
1866,rejects,-3.3579161167144775,1
8080,improper,-3.3444085121154785,1
11534,deteriorated,-3.318049907684326,1
9197,distress,-3.3037681579589844,1
1708,hesitant,-3.128985643386841,1
2387,chooses,-2.994307041168213,1
8470,unaware,-2.9389216899871826,2
9689,reckless,-2.8819801807403564,1
11248,bordering,-2.78879451751709,1
11178,frequent,-2.7439656257629395,1
13217,inevitable,-2.7068066596984863,1
9045,gibson,-2.639643669128418,1
11062,devoted,-2.536881446838379,1
12314,soundtrack,-2.4510626792907715,2
13248,defeated,-2.420386791229248,1
13839,fresno,-2.3975276947021484,1
3613,diaries,-2.3810579776763916,2
6648,luckily,-2.377112627029419,2
3368,farmers,-2.2912168502807617,1
13070,sap,-2.260788917541504,2
12298,frustrating,-2.260274887084961,2
7353,mafia,-2.209221839904785,1
12796,##owed,-2.2044270038604736,1
493,##achi,-2.0037269592285156,1
3462,manila,-2.001596450805664,1
7334,curses,-1.855714201927185,1
11107,uprising,-1.8534033298492432,1
12301,tomatoes,-1.812121868133545,1
14027,declined,-1.776020884513855,1
7822,spill,-1.7366523742675781,3
9386,unlikely,-1.734075903892517,1
11194,exploded,-1.7176434993743896,1
14070,fiesta,-1.693427562713623,1
4966,unauthorized,-1.6716272830963135,2
9859,kindergarten,-1.6340322494506836,1
2748,improves,-1.633147954940796,1
12688,stated,-1.6061772108078003,1
5467,ruins,-1.5987911224365234,5
12551,pronouns,-1.590954065322876,1
8423,sticking,-1.5839923620224,3
11243,##sport,-1.5614261627197266,1
3311,finale,-1.5428504943847656,9
12201,qualifier,-1.5398294925689697,1
13327,picks,-1.5372616052627563,1
11181,walden,-1.5366097688674927,1
10460,minnesota,-1.5338197946548462,1
6570,meets,-1.5213558673858643,2
13595,transferred,-1.5208828449249268,1
6299,nosed,-1.5204401016235352,1
13241,nailed,-1.5075877904891968,2
9581,seriousness,-1.4799803495407104,1
3917,surprises,-1.4719804525375366,7
4897,longing,-1.4644466638565063,3
5672,explains,-1.4569201469421387,1
6990,questionable,-1.4510540962219238,1
13208,pry,-1.4500114917755127,1
10434,driveway,-1.4408687353134155,3
12281,overtime,-1.4074606895446777,1
10737,caller,-1.3946752548217773,1
12145,conservation,-1.3907837867736816,1
12350,classmate,-1.3850629329681396,1
9887,diving,-1.352272868156433,2
9509,prohibit,-1.3477835655212402,2
7276,butcher,-1.332961082458496,3
10049,rotate,-1.3309388160705566,1
12533,atlantic,-1.320829153060913,1
12811,lacking,-1.3117748498916626,2
10978,driven,-1.3107218742370605,2
8263,vicinity,-1.2936139106750488,2
7389,unpredictable,-1.285725712776184,1
12836,ollie,-1.2750866413116455,1
11264,rumors,-1.2633033990859985,3
11696,##ecure,-1.2597179412841797,1
7497,jaguars,-1.257084846496582,3
7645,audition,-1.2565677165985107,2
7753,mathew,-1.2459005117416382,1
13301,remembers,-1.24518620967865,1
6183,hardest,-1.244938850402832,6
12775,odessa,-1.2389143705368042,1
7340,rankings,-1.2111715078353882,1
6077,incorrectly,-1.2108761072158813,2
2952,sneaking,-1.2073415517807007,2
12362,illegal,-1.2073283195495605,1
13033,gale,-1.2062504291534424,1
12368,2013,-1.2039580345153809,1
12417,owning,-1.1880171298980713,1
9984,finest,-1.1842544078826904,2
12867,bleak,-1.1721301078796387,1
3147,comics,-1.162391185760498,4
12058,revenge,-1.1581233739852905,2
5883,jealousy,-1.157474160194397,5
12580,ammunition,-1.1526548862457275,1
14037,secretive,-1.1486458778381348,1
12557,##illo,-1.135594367980957,1
9247,foe,-1.1337721347808838,1
8865,torn,-1.1297707557678223,4
11613,stimulate,-1.120964765548706,1
10282,vanished,-1.1041789054870605,1
6446,bodyguard,-1.104073166847229,2
13823,utrecht,-1.1021062135696411,1
7624,seattle,-1.1012076139450073,3
9975,ashamed,-1.0910533666610718,3
4652,listened,-1.0741639137268066,9
10039,stupidity,-1.0711445808410645,2
11448,flashbacks,-1.0704164505004883,1
12873,buys,-1.0676363706588745,1
8950,boredom,-1.0675350427627563,3
11796,adobe,-1.06727933883667,2
13558,fortunately,-1.062034249305725,1
9736,purposely,-1.0573768615722656,1
10986,chosen,-1.0433459281921387,3
8043,curious,-1.0358068943023682,4
13860,ducks,-1.0317801237106323,1
6229,exposed,-1.0117120742797852,2
10073,spends,-1.0115900039672852,2
6153,dustin,-1.0101451873779297,1
13597,fires,-1.0048668384552002,1
10043,births,-0.9964963793754578,1
13371,survey,-0.9954184293746948,1
14146,shrug,-0.9930062294006348,1
12068,recognized,-0.9922487735748291,2
3933,maintains,-0.9871716499328613,1
9983,faded,-0.9760919809341431,2
13845,spartans,-0.9699339866638184,1
4390,wasting,-0.9666151404380798,6
12311,dixon,-0.9580380916595459,1
11594,cowboy,-0.9579726457595825,2
10294,alfredo,-0.9559582471847534,2
10598,pact,-0.9547331929206848,1
12760,##tered,-0.9488815069198608,1
13400,solitude,-0.9457334280014038,1
12338,chicks,-0.9451631307601929,1
2575,lonely,-0.9448711276054382,22
9285,sings,-0.9448167085647583,1
9848,bizarre,-0.9430803060531616,2
9772,scar,-0.941805899143219,8
5505,certainty,-0.9396728277206421,1
12687,wayne,-0.9391998052597046,2
9426,sank,-0.9390908479690552,1
11854,permanently,-0.9320474863052368,1
13629,arbor,-0.9268219470977783,1
12424,tempting,-0.9261993169784546,1
13436,fright,-0.9233624935150146,2
12007,insects,-0.917786717414856,1
9333,ranks,-0.913352370262146,1
12675,staggered,-0.9130508899688721,1
8439,##ipe,-0.9127591252326965,1
2701,burger,-0.9042627811431885,4
4378,punching,-0.9030908346176147,5
8029,metaphor,-0.901927649974823,2
8956,vulnerable,-0.9015220999717712,2
9487,banged,-0.8985289335250854,1
3538,arrest,-0.8969302177429199,3
4244,roberts,-0.8963828086853027,1
12641,##ulsive,-0.8934369087219238,1
13743,bets,-0.8890617489814758,1
12441,jimmie,-0.8883854150772095,1
8964,abbott,-0.8872643113136292,1
8897,diversified,-0.8848181962966919,1
4988,weapon,-0.8819931149482727,5
9523,penguins,-0.8812606334686279,1
11575,snuggled,-0.8760671615600586,1
12599,sleeps,-0.8752420544624329,1
11853,lark,-0.8721299171447754,1
12493,breeds,-0.8713233470916748,1
