,Word,Value,Freq
6660,kidnap,-2.453521728515625,1
1632,sabotage,-1.506050705909729,1
2387,chooses,-1.4476139545440674,1
12370,skipped,-1.4475736618041992,1
10282,vanished,-1.4310375452041626,1
12085,##iated,-1.2793643474578857,1
1866,rejects,-1.2438814640045166,1
11448,flashbacks,-1.241815209388733,1
4966,unauthorized,-1.206721305847168,2
12001,bane,-1.1926765441894531,1
5467,ruins,-1.1710708141326904,5
11696,##ecure,-1.154792070388794,1
7389,unpredictable,-1.0804837942123413,1
9569,terrified,-1.0697968006134033,8
8513,endings,-1.0507349967956543,1
5860,battered,-1.0485731363296509,1
14027,declined,-1.0460755825042725,1
5320,rebel,-1.0323514938354492,2
7134,mayhem,-1.0205342769622803,2
1708,hesitant,-0.9732376337051392,1
3744,destroyed,-0.9617114663124084,3
7851,aback,-0.9301059246063232,1
1816,protected,-0.9271757006645203,11
6984,stumbled,-0.9253759384155273,1
14037,secretive,-0.8976068496704102,1
8487,disaster,-0.884946882724762,2
12219,smashing,-0.8689453601837158,1
13085,decreased,-0.8598057627677917,1
6229,exposed,-0.8522043228149414,2
9721,escaped,-0.8364385366439819,2
8477,reveal,-0.8334856033325195,2
14125,fades,-0.8315882682800293,1
10833,dragged,-0.8291788101196289,1
11534,deteriorated,-0.826134204864502,1
11395,degraded,-0.8212856650352478,1
9977,feared,-0.8189868927001953,2
2060,prevents,-0.8132542967796326,2
8210,betrayal,-0.8012173175811768,4
11679,detrimental,-0.7898638248443604,1
14110,sacrifice,-0.7839264273643494,1
9426,sank,-0.7824551463127136,1
12119,obstacles,-0.7462047338485718,1
7103,conflict,-0.7338005900382996,3
7334,curses,-0.7320305109024048,1
7489,chose,-0.7174832820892334,5
6597,prey,-0.7140931487083435,1
12967,froze,-0.7056954503059387,1
608,succumbed,-0.7039197683334351,1
7725,punishment,-0.6981039643287659,2
9048,dire,-0.6940619349479675,1
7652,garbage,-0.6906015872955322,3
13436,fright,-0.6899387240409851,2
9369,dislike,-0.6876091957092285,6
11955,venom,-0.6858812570571899,1
8080,improper,-0.6749067306518555,1
9386,unlikely,-0.6735706329345703,1
13400,solitude,-0.6724280714988708,1
8254,threaten,-0.6706651449203491,2
12997,juvenile,-0.6662325263023376,1
13522,dubious,-0.6660846471786499,1
12179,teachings,-0.6632735133171082,1
2940,refusing,-0.6589521169662476,5
13840,rapper,-0.6532252430915833,1
12867,bleak,-0.6411746740341187,1
13580,lurking,-0.6403447389602661,2
9885,sergio,-0.6347821950912476,1
10186,flames,-0.6337184309959412,3
13983,flooding,-0.6336622834205627,1
12345,redundant,-0.6306430101394653,1
9975,ashamed,-0.6266694664955139,3
9055,pirate,-0.6183229088783264,1
6077,incorrectly,-0.6169903874397278,2
3612,vampire,-0.6136575937271118,2
9638,repay,-0.6111348867416382,1
9588,denial,-0.6103969216346741,3
7822,spill,-0.6095657348632812,3
13455,wildcats,-0.6087467074394226,1
1905,fearful,-0.6085063815116882,3
13270,hardcore,-0.6058576107025146,1
3352,fury,-0.6022425293922424,4
7412,ruin,-0.5979369282722473,15
4832,terrifying,-0.5912648439407349,4
11921,##flies,-0.5869814157485962,1
11194,exploded,-0.5830263495445251,1
11120,wwe,-0.576612114906311,1
13381,precursor,-0.5755935907363892,1
505,regrets,-0.5689562559127808,5
3311,finale,-0.5678191184997559,9
4882,avoiding,-0.5664986371994019,5
13792,stale,-0.5640638470649719,1
5833,fears,-0.5617151856422424,10
3885,ajax,-0.5597255229949951,1
8585,##athing,-0.557840883731842,15
7554,hostile,-0.5523576736450195,2
12814,murdered,-0.5520263910293579,1
11264,rumors,-0.5484263896942139,3
209,contradiction,-0.5479849576950073,5
8956,vulnerable,-0.5472064018249512,2
12058,revenge,-0.5466235876083374,2
8829,explodes,-0.5461041927337646,3
8470,unaware,-0.544730007648468,2
4955,frightening,-0.5424892902374268,15
4434,rage,-0.5417946577072144,22
2517,subjected,-0.5394035577774048,4
7706,luxury,-0.5384243726730347,1
12083,illegally,-0.5378549098968506,1
3613,diaries,-0.5372265577316284,2
9126,translations,-0.533128023147583,1
3933,maintains,-0.5322584509849548,1
10963,unfortunate,-0.5300518274307251,1
12616,hurled,-0.5289378762245178,1
