,Word,Value,Freq
10158,jennings,-1.1391926957641072,1
8148,huff,-1.0307613729308673,1
7150,cheers,-1.0211581859556738,5
13846,cupboard,-0.9905359451637228,1
5805,whisky,-0.9795445730276883,1
9815,exercises,-0.9472056083558571,1
1423,expectation,-0.9376192872722944,1
12093,boiling,-0.9038977224793698,1
12219,smashing,-0.8877980495266842,1
11444,devotion,-0.8814588675107404,1
11199,blending,-0.8798532228709318,1
13341,muhammad,-0.8747867713241201,1
12535,receptionist,-0.8320351744917306,1
3726,lt,-0.8314748790664679,4
3846,grading,-0.8202525379979168,5
6491,divine,-0.8150380401345032,3
2043,excellence,-0.8126853284732616,2
1567,assaulted,-0.811047751831716,1
12743,harvest,-0.8086146402860349,1
12050,presenting,-0.8029292673477229,1
12095,shiny,-0.7913752676316245,1
8115,arising,-0.786889287038903,1
9742,carter,-0.7596444997856486,1
13658,scarborough,-0.7375635689419688,1
9252,production,-0.7348194077269826,1
13727,testimony,-0.7337517226493627,1
4955,frightening,-0.7310665351072408,15
1231,responsibility,-0.7303917338450749,1
10193,celine,-0.7302356579073718,1
12103,broadcast,-0.725274041010461,1
1482,turing,-0.7252343887310008,1
14070,fiesta,-0.7187530313928921,1
11720,solemn,-0.698852241892338,2
13094,torch,-0.6973046723367412,1
13544,mischief,-0.6971501764232246,2
1547,convergence,-0.6933989595552852,2
13472,applause,-0.6914356033914566,2
11063,peggy,-0.6830722922177026,1
11948,scraping,-0.6809153300794688,1
12880,exits,-0.6800356712335541,1
13153,frankly,-0.678810394781358,1
11612,intermittent,-0.6757252976858343,1
13618,pleasures,-0.6731391330709433,1
12771,gloss,-0.6712721461916368,1
13454,westbound,-0.6698867022976249,1
11863,advisory,-0.6682878629792304,1
10111,outstanding,-0.6623192851930253,1
9247,foe,-0.6554850315091538,1
13760,crowned,-0.6439335412660825,1
11958,hazard,-0.6425433429895038,1
14010,sundays,-0.6425010443015984,1
13379,philip,-0.6352697245439393,1
11123,rhythm,-0.6302584213217948,1
12549,grammar,-0.62109598948756,2
11305,reinforce,-0.6207739013796811,1
11669,entertainment,-0.6185769490334743,2
13002,calculations,-0.6165168388637472,1
8249,loyalty,-0.6138979329205818,2
13677,advocate,-0.613661908159192,1
6815,thirds,-0.6116926124181801,1
13176,arresting,-0.6022297434087488,1
13790,spontaneous,-0.6002286682536522,1
11917,skiing,-0.5987480324708426,1
10682,festivities,-0.594657137269254,1
10182,constitution,-0.5939761937897008,1
11922,risked,-0.5927672487353167,1
13319,infinite,-0.5920732550938429,1
6109,bile,-0.5860123774243725,1
10716,tent,-0.5842572789983107,1
5363,nodding,-0.5819911411601401,1
5590,inspecting,-0.5819424811423688,1
8098,discovery,-0.5818457363425812,1
4253,crown,-0.581596371863166,5
6196,preaching,-0.5785729366016592,4
14089,taxis,-0.5776300218390649,1
10533,army,-0.5765247977257385,1
11729,outrage,-0.5753930097961886,1
7523,presented,-0.574181808858948,3
2244,avoid,-0.5732116159360365,24
11545,demonstrating,-0.5726839652538108,1
3468,buddha,-0.5673489098561615,8
6357,baking,-0.5655558710090934,12
4038,surprising,-0.5649594091612684,7
10462,neighbour,-0.5648837022150803,4
2492,inspections,-0.560706057940156,1
1731,graphics,-0.558666212129451,1
2886,consultation,-0.5579383681801082,1
12059,posing,-0.5563422620866518,1
10213,tips,-0.5558556097696239,2
13362,diary,-0.5523693422083833,1
12145,conservation,-0.5517571694161179,1
13918,inquisition,-0.5513395350358207,1
13953,extracted,-0.5494724855435574,1
1362,commence,-0.5487055406804178,6
10065,designing,-0.5483166725271278,1
9416,assault,-0.5472049896251954,1
9607,custody,-0.5458731091804431,1
13256,careful,-0.5445822115706711,1
6076,oath,-0.5369904950369531,1
13929,daring,-0.5366021846495735,1
6837,punjabi,-0.5364631601084306,1
12040,urgency,-0.5338368083479634,1
4029,installing,-0.5336298778559447,1
13550,plural,-0.5331031131857669,1
1679,inspect,-0.5325804943100559,1
668,nixon,-0.5310456203303459,15
13337,approve,-0.531031122089271,1
12105,arrival,-0.5305767561068068,1
9325,dalai,-0.5297209364378181,1
7702,minimum,-0.527836199638286,1
13613,edmond,-0.5275475849173008,1
13482,shirley,-0.5275178721138075,1
11781,scriptures,-0.5274495333570557,1
14123,gemma,-0.5274208955956288,1
9454,confronts,-0.5250814162254094,1
11104,screams,-0.5245220029447024,2
3917,surprises,-0.5241914620567515,7
7910,locking,-0.5210489476799225,1
4096,neighbours,-0.5198659949203138,5
9665,signalling,-0.5192648502687613,1
12876,algorithms,-0.5188347030627101,1
9977,feared,-0.5165171283632488,2
7875,challenges,-0.5163810617114186,3
11967,chewing,-0.5163564600878292,1
6059,violence,-0.5160393099805253,6
6254,labor,-0.5153545282560517,2
12994,hymns,-0.5145172377698279,1
12571,defiant,-0.5141140839059233,1
8938,unity,-0.513703312450257,1
