,Word,Value,Freq
8148,huff,-0.879767074382979,1
13790,spontaneous,-0.7941444766200569,1
4955,frightening,-0.7012202187441047,15
12145,conservation,-0.6752084796627362,1
12535,receptionist,-0.6697958076993624,1
13507,respectful,-0.6530969412970589,1
11199,blending,-0.6409650858109579,1
10260,stroll,-0.6374089293168478,1
8098,discovery,-0.6339000165257808,1
6104,caring,-0.6157272037024759,1
2043,excellence,-0.6054071294092882,2
9454,confronts,-0.6037141690114104,1
14070,fiesta,-0.5927522587279479,1
13094,torch,-0.5757673127769609,1
10716,tent,-0.5716661973073123,1
9145,hesitation,-0.5681432416272901,1
13618,pleasures,-0.5630431577444245,1
10065,designing,-0.5601586877660016,1
12571,defiant,-0.5575983933245292,1
5363,nodding,-0.5573603652072733,1
11781,scriptures,-0.5539440847053899,1
2886,consultation,-0.5533433114846397,1
1423,expectation,-0.5410847492516041,1
13929,daring,-0.5395216964051206,1
6491,divine,-0.5379863177533176,3
3726,lt,-0.5286087166657044,4
11444,devotion,-0.5260192580199577,1
7589,confronted,-0.5253750718262604,1
12309,enjoyment,-0.5240639980728918,1
5805,whisky,-0.5238611687513152,1
13319,infinite,-0.5221218549530818,1
11600,transportation,-0.5189994911352793,1
9995,improvement,-0.5167499839307222,1
13727,testimony,-0.5115327396846834,1
1362,commence,-0.509996828802502,6
3917,surprises,-0.5057795458641035,7
620,obedience,-0.5056202207314662,1
13544,mischief,-0.5041004637164535,2
9684,hysterical,-0.4991629044054805,1
9955,12th,-0.4964923338198122,1
5590,inspecting,-0.49122968538639056,1
10026,bonding,-0.4904793567270164,2
7473,commencing,-0.48872374920562833,1
12758,enormous,-0.4851401460623026,1
13356,punished,-0.48367617018575293,1
1231,responsibility,-0.4802592597280939,1
12320,villain,-0.4779338188835658,1
13830,balancing,-0.4762008619524779,1
12040,urgency,-0.47362571390088964,1
6677,giggled,-0.4714702671913362,1
12536,whistling,-0.47083619603266313,1
3653,insurrection,-0.46465798405890635,1
13738,crowds,-0.4634404300109429,1
5973,suggestion,-0.45955790651241213,1
9923,highness,-0.4593581980632425,1
3093,islam,-0.4540228351407981,5
10536,practicing,-0.45347622267584947,3
11636,suitable,-0.45297644350620925,1
4038,surprising,-0.44880989959127193,7
11958,hazard,-0.443580996487702,1
11720,solemn,-0.4391457706887617,2
12103,broadcast,-0.43706263481676055,1
12564,scouting,-0.4352148039205779,1
2658,responsible,-0.4349867962138495,2
11041,curry,-0.43480023381610716,2
1547,convergence,-0.43207254681976526,2
13318,pointing,-0.429522345650978,1
13613,edmond,-0.42788657506434324,1
10466,dealing,-0.4275569437578848,3
8979,courageous,-0.42384567979972654,1
12815,reassure,-0.4222645111422695,1
12178,values,-0.41741772109234493,2
12059,posing,-0.4161178061855507,1
8957,wooden,-0.41111469996598116,1
9219,hugs,-0.40432062202016267,3
4074,clapping,-0.4037802406150461,1
12876,algorithms,-0.4017962644110864,1
11168,locks,-0.40157096993898145,1
7333,enjoyable,-0.3994987468145037,2
13777,approaches,-0.39139457576256853,1
9404,centres,-0.3912124492928132,1
12994,hymns,-0.3903743861896664,1
8740,colorful,-0.3869498826485748,1
5820,hallway,-0.3857447437685299,2
1306,supper,-0.3854296714393109,2
7875,challenges,-0.38533779630247555,3
12977,readings,-0.3850903357009622,1
7785,magnet,-0.3850294789650246,1
10572,composition,-0.38430406044540477,1
12518,gage,-0.38413415772207327,1
6254,labor,-0.3834315131588908,2
9416,assault,-0.38330598089199497,1
3173,blessing,-0.38323950385710803,13
1590,winged,-0.38093251336481104,1
13439,astonishment,-0.3800851108369453,1
4800,sovereign,-0.37868582079485524,2
8110,emergency,-0.37546951438294024,3
4028,bullying,-0.37502265697747866,11
12880,exits,-0.3744961680578216,1
11896,speaks,-0.374274141375097,2
13146,earthquake,-0.37426839111707144,2
5181,expectations,-0.3738519099529035,7
11005,continuously,-0.37299070947445356,1
1773,tidy,-0.3700177372307873,5
12095,shiny,-0.3678649528338762,1
2504,evidence,-0.36748285617593085,25
10308,sherry,-0.36709903745843475,1
13918,inquisition,-0.3660554314243706,1
2106,horace,-0.3656902656068643,3
7796,enraged,-0.36555152488525033,3
11886,andre,-0.36451938085699476,2
13220,prosperity,-0.3633339036439718,1
5946,adventure,-0.3615627030916481,3
9742,carter,-0.36088079496284203,1
10972,organising,-0.36048683984173224,1
8703,requirement,-0.35969993561211155,1
10375,department,-0.3595904281673331,1
7835,forensic,-0.35910074138666415,1
9047,pageant,-0.35904654653230095,1
10758,detail,-0.3580868509198938,1
6196,preaching,-0.3574007200582726,4
4859,guests,-0.35621566962592804,3
12093,boiling,-0.3562086094998651,1
1482,turing,-0.35601517091065776,1
5662,topped,-0.35490382453635594,2
6148,foyer,-0.3548514205803698,1
4954,strictly,-0.3538275509517891,15
4353,travelling,-0.3519271037137087,2
8480,sincerely,-0.3512454005953625,4
8027,warfare,-0.3487685028096839,2
12756,caribbean,-0.34721472666909303,1
2244,avoid,-0.34718703282205077,24
3171,excitement,-0.3469803736225704,28
13464,simplest,-0.34652472369683285,1
4872,awareness,-0.346344906230683,3
727,surprise,-0.3460430808585544,147
11110,hopeful,-0.3459648956554262,2
1342,fearless,-0.3448952627320313,7
1658,scared,-0.3446157293099574,107
7179,experiencing,-0.3442313283902605,1
7838,observe,-0.3418994449699918,2
3071,yell,-0.3412360838748318,11
14140,bart,-0.33910263401145735,1
11949,malcolm,-0.3382379246430118,1
10158,jennings,-0.3378991544794985,1
8848,involving,-0.33721628116356095,2
13514,clues,-0.336223684128779,1
7150,cheers,-0.3361997806297335,5
5218,delightful,-0.3350887003141446,2
1033,blessed,-0.3342422001245674,44
11917,skiing,-0.33342948540222717,1
2619,sipping,-0.332271965166598,2
10948,cheerful,-0.332228264500382,3
13002,calculations,-0.33056736422386096,1
4029,installing,-0.3304476681557579,1
10274,showered,-0.33013387112569476,2
9382,safely,-0.3289335483822214,1
11410,speaker,-0.32879337542892284,4
6976,pledge,-0.3282911996203272,1
1567,assaulted,-0.32755020171421356,1
14118,gigantic,-0.32744983863951294,1
13472,applause,-0.32379818439600433,2
