,Word,Value,Freq
11776,surgeon,-11.537391662597656,1
14063,dilemma,-11.145503997802734,1
6104,caring,-11.102422714233398,1
8201,walnut,-10.968040466308594,1
13097,threatened,-10.618663787841797,1
4916,tyres,-10.053634643554688,1
13538,annabelle,-10.002121925354004,1
7108,trauma,-9.8886079788208,1
11917,skiing,-9.587640762329102,1
10016,sms,-9.541717529296875,1
8016,genus,-9.007078170776367,1
12519,sequel,-8.998106956481934,1
8345,##burgh,-8.988683700561523,1
10253,belize,-8.647493362426758,1
13729,functioning,-8.5179443359375,1
12746,geese,-8.41831111907959,1
7025,archie,-8.330076217651367,1
13805,crippled,-8.1538667678833,1
13085,decreased,-7.9019670486450195,1
9333,ranks,-7.685009002685547,1
6299,nosed,-7.5673956871032715,1
6912,inaugural,-7.549096584320068,1
9509,prohibit,-7.317561149597168,2
12271,petty,-7.009479999542236,1
10475,directions,-6.911251068115234,1
11505,culture,-6.8718976974487305,1
11754,buddhism,-6.840301990509033,1
6454,peanuts,-6.709836959838867,1
9337,needle,-6.559850692749023,1
7725,punishment,-6.500238418579102,2
7022,recruiting,-6.454488754272461,1
10533,army,-6.2918548583984375,1
12664,##werk,-5.708314895629883,2
7699,destroying,-5.694220542907715,2
12362,illegal,-5.691226005554199,1
12561,vh1,-5.4234299659729,1
1345,jurassic,-5.419004440307617,1
10195,responding,-5.2563676834106445,2
9880,##dling,-5.1927008628845215,2
13788,pali,-5.1678972244262695,1
10990,ruining,-5.091629981994629,1
13086,dramatically,-5.053395748138428,1
8595,justify,-5.037360191345215,2
10722,conscience,-4.9416913986206055,2
3685,coal,-4.817242622375488,2
11668,jain,-4.739774227142334,1
10365,headline,-4.612123966217041,2
8750,offended,-4.509653091430664,2
9499,productivity,-4.430481910705566,2
13150,troll,-4.330711364746094,2
4832,terrifying,-4.310522079467773,4
4604,biker,-4.302638530731201,1
6606,stabbed,-4.268136501312256,3
6020,useless,-4.267725467681885,7
12497,nickname,-4.085777282714844,2
9754,relocate,-4.060194969177246,1
7471,##rita,-4.044356822967529,2
1570,badminton,-3.971599578857422,1
5820,hallway,-3.9584412574768066,2
13634,retire,-3.911989450454712,2
12157,finishes,-3.9095098972320557,1
12421,##eron,-3.9024245738983154,1
13537,fracture,-3.81512713432312,1
13230,##ptic,-3.802612066268921,1
11293,rival,-3.792245864868164,2
8623,generations,-3.7801384925842285,2
4186,numbered,-3.755949020385742,3
13581,skeleton,-3.6843786239624023,1
12654,twelve,-3.594696044921875,1
10229,individuals,-3.553640127182007,2
9425,consumption,-3.5194880962371826,2
10499,tal,-3.4885337352752686,1
8847,lover,-3.4835002422332764,3
9296,deaths,-3.4092721939086914,2
10065,designing,-3.375525951385498,1
1391,ripping,-3.3592865467071533,3
6007,autism,-3.3111705780029297,3
11102,executed,-3.2475223541259766,1
6087,premises,-3.204291343688965,1
3722,fever,-3.104902744293213,8
11614,struggling,-3.027740240097046,3
9799,##rai,-3.0107085704803467,3
11215,covering,-3.0017902851104736,3
8743,yarn,-3.001483678817749,2
6812,painted,-2.9969074726104736,2
7316,unsure,-2.989428758621216,1
7571,millennium,-2.9699432849884033,3
6543,gore,-2.9084060192108154,3
10444,exercise,-2.902662992477417,3
5677,hated,-2.829700469970703,7
5126,disappeared,-2.826592445373535,4
10979,##lifting,-2.8154361248016357,1
12243,betting,-2.814791679382324,1
3962,edges,-2.8052914142608643,1
13193,chuckles,-2.706775426864624,1
4979,youngest,-2.678687572479248,2
5550,nanny,-2.6568734645843506,3
6937,##going,-2.6190614700317383,3
7993,injury,-2.6054391860961914,4
6498,spokesperson,-2.5710995197296143,1
11155,phrases,-2.563152551651001,1
12861,percent,-2.522324800491333,2
3351,boil,-2.504190683364868,3
10618,toward,-2.4981529712677,2
8481,penny,-2.4711625576019287,5
7180,receiving,-2.469545841217041,4
10714,opposition,-2.426880359649658,1
11197,scholarships,-2.3549656867980957,1
7271,fitness,-2.3518147468566895,5
5620,dreamed,-2.3477165699005127,3
6800,fled,-2.3429341316223145,1
8527,facing,-2.326939821243286,3
5921,blocked,-2.2952611446380615,5
13056,hamlet,-2.2851462364196777,1
5911,observing,-2.2665843963623047,4
5819,warming,-2.2549896240234375,3
3553,option,-2.2275757789611816,7
1471,conditioning,-2.2257277965545654,5
7630,cycle,-2.2235302925109863,5
5617,uncertainty,-2.222609758377075,5
1373,macro,-2.171790838241577,3
2485,reminder,-2.1706812381744385,6
1296,causes,-2.152836799621582,5
8220,crops,-2.1347615718841553,1
10794,unsafe,-2.1192586421966553,3
7698,discipline,-2.1146750450134277,5
10300,rot,-2.1118016242980957,4
9873,clients,-2.096034049987793,2
8793,thirsty,-2.0855350494384766,4
8363,electric,-2.0853145122528076,1
11596,arthritis,-2.0726871490478516,1
590,litter,-2.039954662322998,5
6371,traditions,-2.028217315673828,2
6792,lid,-1.9994900226593018,5
13496,blocking,-1.9953196048736572,1
5554,directors,-1.9750030040740967,1
4449,elimination,-1.9742069244384766,1
2654,oblivion,-1.9724469184875488,1
10690,dormant,-1.916088342666626,1
11735,baba,-1.907763957977295,1
4481,dictionary,-1.888724684715271,2
1883,bow,-1.8668382167816162,7
7255,ignoring,-1.855423927307129,6
3878,lens,-1.8147211074829102,3
4631,exhaustion,-1.806811809539795,1
12515,ceremony,-1.8056144714355469,1
9084,crashed,-1.7805136442184448,2
14034,1700,-1.778590202331543,1
4434,rage,-1.777728796005249,21
7889,blasted,-1.7714669704437256,1
7521,weekends,-1.7596772909164429,5
9328,collision,-1.7586277723312378,2
12670,disclosed,-1.7578215599060059,1
13128,seventh,-1.7555499076843262,1
9382,safely,-1.7537693977355957,1
12902,rn,-1.7467515468597412,1
9363,woods,-1.7413173913955688,4
13916,brushes,-1.735785961151123,1
13692,relay,-1.725956678390503,1
14128,cared,-1.7177460193634033,5
9030,repression,-1.7134042978286743,3
6179,gospel,-1.7014600038528442,11
8800,petra,-1.695765495300293,1
9081,homes,-1.6861425638198853,7
5390,miracle,-1.685203194618225,6
12827,mocking,-1.6789827346801758,2
743,morrison,-1.6673712730407715,4
2357,##ath,-1.6653282642364502,11
6903,pudding,-1.663788080215454,4
5580,contrary,-1.6605204343795776,2
8763,##ually,-1.6532223224639893,4
7493,mentioned,-1.652270793914795,4
1732,depressed,-1.6420819759368896,17
2479,##med,-1.6382781267166138,6
8099,preach,-1.6367069482803345,5
4065,chunk,-1.6297848224639893,1
8567,transition,-1.6290385723114014,1
8022,reunion,-1.6152331829071045,8
4022,cries,-1.6145844459533691,6
1401,heidi,-1.6089035272598267,5
1887,task,-1.5595625638961792,6
9275,disappears,-1.5594539642333984,1
11747,veil,-1.5567748546600342,1
11425,desperate,-1.5343271493911743,7
494,##eving,-1.532705307006836,1
2452,craving,-1.5245399475097656,7
9435,##ggy,-1.5230450630187988,4
9301,credits,-1.522195816040039,5
13760,crowned,-1.5217323303222656,1
7512,neighbor,-1.5065022706985474,5
176,dollar,-1.5015971660614014,7
1920,pear,-1.4938615560531616,3
8923,cage,-1.4880515336990356,4
13645,##isan,-1.4879534244537354,1
2569,concerts,-1.4861674308776855,1
2193,savior,-1.4760091304779053,7
1982,disgusted,-1.4679704904556274,2
10855,smash,-1.4578450918197632,4
12435,mines,-1.4518356323242188,2
1619,meaning,-1.450677514076233,10
7413,friendship,-1.442474126815796,7
1814,##km,-1.4306721687316895,5
4400,warmth,-1.4033921957015991,7
2988,hooked,-1.3880188465118408,5
10650,lasts,-1.3828620910644531,3
6254,labor,-1.372870922088623,2
6226,launched,-1.3705263137817383,1
13027,##itation,-1.3511295318603516,1
9611,veronica,-1.3503352403640747,2
6160,rejected,-1.3501089811325073,3
7075,restore,-1.350021243095398,3
12590,##mpton,-1.3482580184936523,1
8797,conditioned,-1.3456404209136963,2
6061,accompanied,-1.3453760147094727,2
2666,chorus,-1.3348170518875122,3
5258,certificate,-1.330781102180481,3
7089,addict,-1.3275443315505981,2
5236,george,-1.3262323141098022,7
10466,dealing,-1.3234721422195435,3
3197,puddle,-1.3167682886123657,9
6929,roots,-1.3152332305908203,1
9794,sadly,-1.3092589378356934,12
9277,cardinal,-1.3082876205444336,1
10816,inhuman,-1.2889152765274048,2
13796,hayward,-1.2870559692382812,1
2192,travels,-1.281955599784851,3
10801,dumped,-1.2798523902893066,2
11490,stripes,-1.2775664329528809,1
2492,inspections,-1.2763030529022217,1
881,cancelled,-1.275712013244629,10
8988,accountants,-1.2756404876708984,1
12930,temptation,-1.2656211853027344,1
8742,chronic,-1.260643482208252,3
4839,pam,-1.2594822645187378,8
3264,hooker,-1.2528767585754395,1
12371,otter,-1.2504711151123047,2
10480,##oria,-1.2444069385528564,4
12465,repairs,-1.2442469596862793,1
12182,impulse,-1.2393455505371094,1
8249,loyalty,-1.2391327619552612,2
6354,gunshot,-1.2328810691833496,1
5377,shaking,-1.2280104160308838,9
12226,drained,-1.227562427520752,1
493,##achi,-1.2159852981567383,1
6736,photography,-1.2061063051223755,6
4483,##osi,-1.2019634246826172,2
14027,declined,-1.1934890747070312,1
5643,geography,-1.1929144859313965,4
11363,damned,-1.191903829574585,3
7765,greasy,-1.189479112625122,4
