,Word,Value,Freq
13097,threatened,-8.29888796044296,1
11776,surgeon,-8.181365942938614,1
7725,punishment,-7.518665535452245,2
6104,caring,-7.397044579760214,1
11917,skiing,-7.332764243873167,1
14063,dilemma,-7.0140050038501816,1
13056,hamlet,-6.94819244967965,1
13729,functioning,-6.5501802184677365,1
1570,badminton,-6.424328124948509,1
13805,crippled,-6.350123210049374,1
12243,betting,-6.319385138374367,1
10557,nhs,-6.095595203828747,1
4916,tyres,-6.071498734936875,1
10016,sms,-6.033911815424467,1
12226,drained,-6.0022558774073405,1
13636,spinal,-5.91599741891177,1
9333,ranks,-5.864384513848272,1
9296,deaths,-5.657495186056616,2
7699,destroying,-5.479645532901613,2
6454,peanuts,-5.474700348088729,1
12271,petty,-5.4222831497645,1
13537,fracture,-5.377126768477622,1
4449,elimination,-5.321061165611371,1
10253,belize,-5.29345368661863,1
7108,trauma,-5.184225763883384,1
7774,leaks,-4.621673775939389,1
6800,fled,-4.544419553153755,1
11021,publish,-4.408602601411045,1
6020,useless,-4.364378666586296,7
13650,conditional,-4.310353034422024,1
7316,unsure,-4.304562952580997,1
10533,army,-4.269972945298209,1
13573,stung,-4.204385233477938,1
12107,itv,-4.189061225966183,1
11505,culture,-4.158861073487432,1
8436,spots,-4.115875558823999,1
9754,relocate,-3.980767113856905,1
9337,needle,-3.9052823187368766,1
6498,spokesperson,-3.842164093319393,1
8623,generations,-3.8036829419315072,2
9966,chaos,-3.7463833123773007,1
12374,indefinitely,-3.7295682260555587,1
7022,recruiting,-3.6659662333980427,1
8220,crops,-3.6327138337938267,1
7437,daylight,-3.6167108920541544,1
6299,nosed,-3.5860071895853745,1
2654,oblivion,-3.5421643581837805,1
6606,stabbed,-3.540329991890699,3
10065,designing,-3.523077052602112,1
11668,jain,-3.4938453527795117,1
10722,conscience,-3.4919211266682155,2
13538,annabelle,-3.4860092632248962,1
12465,repairs,-3.456044128914094,1
13496,blocking,-3.4339338133866,1
11102,executed,-3.4254250878222763,1
9084,crashed,-3.398655169706415,2
4303,junction,-3.3800343657151246,1
9509,prohibit,-3.244138294070604,2
10458,##itha,-3.241437479577619,1
11293,rival,-3.2372060218176526,2
9571,backgrounds,-3.2275083439875076,1
7300,u2,-3.2132182963636966,1
3685,coal,-3.204429400441272,2
9275,disappears,-3.136002595746234,1
8847,lover,-3.093161073347695,3
13392,slump,-3.0839429742292515,1
4631,exhaustion,-3.0205808614482397,1
8201,walnut,-3.0154141742882192,1
6160,rejected,-2.992580836755913,3
11596,arthritis,-2.9869595047213973,1
1345,jurassic,-2.986778005246682,1
10961,europeans,-2.9815617155276035,1
584,grounded,-2.9804657376244177,2
8016,genus,-2.977887567370716,1
9079,stampede,-2.9765369789793197,2
8422,vomiting,-2.921253379486392,1
