,Word,Value,Freq
11776,surgeon,-5.8925580978393555,1
13636,spinal,-5.198152542114258,1
11483,##ese,-5.00965690612793,1
2569,concerts,-4.5557122230529785,1
4631,exhaustion,-4.484199047088623,1
14063,dilemma,-4.426331520080566,1
6104,caring,-4.421460151672363,1
7725,punishment,-4.227968692779541,2
6809,##tology,-4.1260199546813965,1
12575,melting,-4.004230499267578,1
10690,dormant,-3.9722185134887695,1
14040,##oshi,-3.6996843814849854,1
9815,exercises,-3.685263156890869,1
13538,annabelle,-3.4760141372680664,1
10533,army,-3.407015323638916,1
12761,##rked,-3.405197858810425,2
13230,##ptic,-3.3250489234924316,1
9275,disappears,-3.317249298095703,1
13706,repetitive,-3.264539957046509,1
10253,belize,-3.2592878341674805,1
12417,owning,-3.2450757026672363,1
12806,reset,-3.2319607734680176,2
494,##eving,-3.2027571201324463,1
10807,##rting,-3.1605544090270996,2
14007,boxed,-3.09523606300354,1
4849,shivering,-3.088554859161377,1
9880,##dling,-3.04284930229187,2
11677,dismay,-3.0423340797424316,1
13805,crippled,-3.0242817401885986,1
12471,##zers,-3.0034356117248535,1
7267,problematic,-2.9233949184417725,1
10990,ruining,-2.9177918434143066,1
4233,##ack,-2.913374423980713,2
11162,##mento,-2.793924570083618,1
7108,trauma,-2.7921271324157715,1
7699,destroying,-2.790947437286377,2
13966,advertising,-2.771566390991211,1
11490,stripes,-2.7567548751831055,1
11133,circles,-2.6943116188049316,2
7351,##pose,-2.665452003479004,1
13257,described,-2.660874843597412,1
1570,badminton,-2.659827709197998,1
12306,rue,-2.641225814819336,1
10752,pity,-2.6406192779541016,2
10436,reject,-2.6288669109344482,1
4449,elimination,-2.613290309906006,1
6433,112,-2.604174852371216,1
4303,junction,-2.590132713317871,1
9863,cologne,-2.5793986320495605,2
10806,springer,-2.5488317012786865,1
10093,##grade,-2.5445022583007812,1
7570,1999,-2.525419235229492,1
8607,understands,-2.5228161811828613,1
12755,fiction,-2.4844181537628174,1
5819,warming,-2.4673144817352295,3
11248,bordering,-2.4330201148986816,1
7316,unsure,-2.425786018371582,1
12369,sided,-2.4077036380767822,1
13454,westbound,-2.4059762954711914,1
10722,conscience,-2.40317440032959,2
10317,invites,-2.3994052410125732,1
9771,drifting,-2.38083815574646,2
11052,disbelief,-2.37621808052063,1
10016,sms,-2.3333919048309326,1
8988,accountants,-2.3068466186523438,1
10127,##mise,-2.302720785140991,1
13119,brands,-2.293076515197754,1
11754,buddhism,-2.280823230743408,1
12226,drained,-2.255801200866699,1
3685,coal,-2.250542163848877,2
13350,##ilo,-2.2398533821105957,2
9387,recover,-2.2303247451782227,1
5291,##cation,-2.2117464542388916,1
7630,cycle,-2.199958324432373,5
13692,relay,-2.195892810821533,1
8962,##ject,-2.1898765563964844,1
11890,apologetic,-2.1787824630737305,1
8812,tracks,-2.172198534011841,1
13908,arab,-2.1717777252197266,1
11145,cluster,-2.149564266204834,1
11589,watershed,-2.130641222000122,1
12936,align,-2.1264266967773438,1
14056,interim,-2.101762056350708,1
13640,resources,-2.087620258331299,1
9733,resume,-2.0858349800109863,2
5083,rides,-2.084027051925659,4
10972,organising,-2.069828510284424,1
7089,addict,-2.0600032806396484,2
11885,cuisine,-2.0587944984436035,1
8979,courageous,-2.054511308670044,1
8284,brutal,-2.0478458404541016,2
9519,arcade,-2.046339750289917,1
5049,##orin,-2.042785167694092,1
14150,gillian,-2.039433479309082,1
10034,rim,-2.034608840942383,2
12191,##gut,-2.021418571472168,1
9129,podcast,-2.020603656768799,1
4950,iced,-2.0176730155944824,3
9267,350,-2.0106611251831055,1
13063,dixie,-1.9973201751708984,1
9333,ranks,-1.9933831691741943,1
10559,##ggles,-1.9848610162734985,1
13651,coyotes,-1.9609335660934448,1
8567,transition,-1.9541648626327515,1
5718,bucket,-1.9437206983566284,4
12782,##mania,-1.9381113052368164,1
5882,envy,-1.926308274269104,3
13056,hamlet,-1.9250221252441406,1
4732,##mut,-1.921547770500183,1
12911,calcutta,-1.9199554920196533,1
4305,meditation,-1.9142441749572754,2
13974,##mist,-1.9104646444320679,1
9657,##ciful,-1.8988983631134033,2
12706,claiming,-1.897851586341858,1
13391,simpson,-1.8976211547851562,1
11131,taunting,-1.890458106994629,1
1999,wheeled,-1.8825156688690186,1
3878,lens,-1.88078773021698,3
7003,separation,-1.8735960721969604,2
11073,tribune,-1.8726342916488647,1
11244,inner,-1.872275710105896,3
10656,hulk,-1.8710702657699585,3
9079,stampede,-1.8545750379562378,2
10790,##mbre,-1.8490779399871826,1
11927,screwing,-1.8260616064071655,2
2372,cub,-1.8213191032409668,1
3184,scarred,-1.8177887201309204,2
9030,repression,-1.8129019737243652,3
7132,relaxation,-1.8069194555282593,3
11679,detrimental,-1.8005337715148926,1
2485,reminder,-1.8004752397537231,6
9672,reinstated,-1.7988033294677734,1
13275,topics,-1.7882122993469238,1
7075,restore,-1.7877002954483032,3
13376,networks,-1.7693496942520142,1
12896,agreements,-1.7671605348587036,1
4916,tyres,-1.7668132781982422,1
4706,remnants,-1.7651443481445312,1
6283,shovel,-1.7638300657272339,2
9873,clients,-1.7513407468795776,2
7569,aside,-1.7435619831085205,1
12994,hymns,-1.7302982807159424,1
7735,mimic,-1.713375210762024,1
6737,warned,-1.711021900177002,2
7022,recruiting,-1.6993257999420166,1
173,shook,-1.698219895362854,3
6087,premises,-1.6971409320831299,1
9524,##vah,-1.6944947242736816,1
10206,hiv,-1.6917091608047485,2
12925,##stle,-1.6888654232025146,2
8238,cotton,-1.6719584465026855,2
10273,tremendous,-1.645355463027954,2
620,obedience,-1.6448571681976318,1
4832,terrifying,-1.6439604759216309,4
14002,rallies,-1.641519546508789,1
8110,emergency,-1.6389703750610352,3
13727,testimony,-1.6350767612457275,1
6570,meets,-1.6288717985153198,2
7555,brace,-1.62454354763031,3
10684,loneliness,-1.6055691242218018,5
6606,stabbed,-1.6035161018371582,3
4322,booklet,-1.5910108089447021,1
1887,task,-1.5887938737869263,6
12445,losers,-1.5755385160446167,1
11917,skiing,-1.5752474069595337,1
3444,##ures,-1.5690267086029053,1
3846,grading,-1.5521504878997803,2
11735,baba,-1.5460388660430908,1
13741,continental,-1.5440365076065063,1
6399,buds,-1.5404881238937378,1
8016,genus,-1.5394407510757446,1
12330,machines,-1.538787603378296,2
8154,conform,-1.5349109172821045,2
13178,participation,-1.5291659832000732,1
10228,illnesses,-1.5283046960830688,1
7025,archie,-1.5235425233840942,1
8049,victorian,-1.5228265523910522,1
7457,advertised,-1.5195986032485962,1
8814,fanny,-1.5156219005584717,1
6254,labor,-1.5143165588378906,2
12942,hatfield,-1.5142912864685059,1
9980,fingernails,-1.513623595237732,1
9597,badges,-1.51345694065094,1
5885,##vio,-1.5100140571594238,3
4611,defending,-1.5082340240478516,3
3736,interface,-1.5080736875534058,2
12135,##person,-1.4926073551177979,1
4400,warmth,-1.4897747039794922,7
11577,‡,-1.480111837387085,2
11197,scholarships,-1.4800673723220825,1
6786,gray,-1.4780951738357544,2
317,disappointment,-1.46632981300354,4
7825,dismissed,-1.4661222696304321,2
4434,rage,-1.4568275213241577,21
6435,counts,-1.4538633823394775,1
