,Word,Value,Freq
4631,exhaustion,-4.165799967047593,1
9815,exercises,-3.2737736301718368,1
13891,impatient,-3.072599731306645,1
6104,caring,-2.8424898711138384,1
12624,213,-2.7819356433460234,1
620,obedience,-2.7734363074381,1
7725,punishment,-2.6828049972282764,2
4305,meditation,-2.6455340583576534,2
11852,counseling,-2.5958311750025267,1
13805,crippled,-2.571779382897493,1
14063,dilemma,-2.454120810299273,1
9550,canteen,-2.4124149943391835,1
11948,scraping,-2.383812931247733,1
6129,hostility,-2.3779466646020873,1
6969,depleted,-2.3661909825723995,1
11444,devotion,-2.3315894875098904,1
2569,concerts,-2.3128056420690637,1
4449,elimination,-2.2533453410776034,1
11967,chewing,-2.2498605732288626,1
11133,circles,-2.242411694940836,2
13520,prix,-2.2012491208571396,1
13319,infinite,-2.1999312101745887,1
14125,fades,-2.1676972481817236,1
10752,pity,-2.1672148988292976,2
13966,advertising,-2.15894504254148,1
9733,resume,-2.1243676905286684,2
7134,mayhem,-2.080820745053587,2
10436,reject,-2.0278317777075356,1
10684,loneliness,-2.01431253145926,5
4896,medication,-2.011347366431793,1
4434,rage,-1.9885940862594578,21
13425,skipping,-1.9844250759553341,1
14010,sundays,-1.9613005987848298,1
3878,lens,-1.9387499357514555,3
11394,lacrosse,-1.9359786093589806,1
317,disappointment,-1.9333573120656982,4
11185,dignity,-1.929341028093091,1
13392,slump,-1.88571180421108,1
12217,symbolism,-1.883696569963754,1
6254,labor,-1.8748435353585071,2
11248,bordering,-1.8632474545226665,1
12994,hymns,-1.8379611194369618,1
584,grounded,-1.819208374242344,2
9499,productivity,-1.8138747676578164,2
9046,profound,-1.803667760052499,1
12316,ruthless,-1.8030046862322133,1
4406,promising,-1.8025810468787729,1
8284,brutal,-1.797084124079091,2
11823,trembled,-1.7863128750411794,1
14120,oneself,-1.7791292468711775,1
11969,discouraged,-1.747613080145316,2
7267,problematic,-1.7388292721688399,1
8436,spots,-1.735168066715933,1
2654,oblivion,-1.733961648224321,1
9588,denial,-1.7227032359760301,3
9341,abandonment,-1.7221906666708735,2
9387,recover,-1.71915613404442,1
14110,sacrifice,-1.7100005000499028,1
9771,drifting,-1.706509006644614,2
11244,inner,-1.702590219009716,3
11776,surgeon,-1.6960288317508212,1
11781,scriptures,-1.6815052089574385,1
4953,frustration,-1.6802376456101284,20
8742,chronic,-1.6750898491868478,3
11890,apologetic,-1.6692565599399987,1
11917,skiing,-1.668381700305534,1
13458,practiced,-1.6678131472895896,1
12686,twisting,-1.652845334923234,1
13199,howling,-1.6467997107678627,1
3352,fury,-1.6423851954318516,4
12510,fatigue,-1.6405122540332988,1
11021,publish,-1.6368125866339716,1
2043,excellence,-1.633974757819015,2
13341,muhammad,-1.6292545858487402,1
13706,repetitive,-1.625900068934703,1
7630,cycle,-1.6198092648193274,5
11041,curry,-1.6154385924960175,2
8918,holocaust,-1.6038191784536888,2
13725,journalism,-1.6017012025654767,1
9975,ashamed,-1.586042279668833,3
12876,algorithms,-1.5857599591607587,1
3846,grading,-1.5702041318048747,2
13443,inability,-1.5654845920406577,1
6647,sorting,-1.5554294725944589,1
12575,melting,-1.5476895691483068,1
3726,lt,-1.5297711275871018,4
8927,coma,-1.5190125224317057,3
13941,expense,-1.5174601795491722,1
12034,bombay,-1.506685958134339,1
9048,dire,-1.4991871574776674,1
12806,reset,-1.4780997691387756,2
8607,understands,-1.4740126606089676,1
14118,gigantic,-1.473457399734357,1
3722,fever,-1.4653503557437495,8
8950,boredom,-1.4590198755687942,3
10972,organising,-1.452863143757231,1
12117,dissolved,-1.4506820153102913,1
11679,detrimental,-1.4469738149559825,1
5810,lifelong,-1.4248964990424464,2
8725,heartbreak,-1.4246660648114695,5
13093,reassuring,-1.4241228657786966,1
9134,weeping,-1.418550551932782,3
13651,coyotes,-1.4176236194728684,1
4916,tyres,-1.4153617028183862,1
13010,century,-1.4136756896444682,1
9275,disappears,-1.4132902918516,1
14002,rallies,-1.4077366411670207,1
8249,loyalty,-1.4057806275811997,2
4849,shivering,-1.4051429100219481,1
7237,poisoning,-1.3924500969330864,3
11099,perpetual,-1.3884054435360893,1
6052,crows,-1.3843208954140036,2
9191,wheel,-1.380718038816342,2
5860,battered,-1.3780213525470584,1
2192,travels,-1.3780086457291392,3
11425,desperate,-1.3764898442061724,7
11883,tradition,-1.3621939801199119,4
8979,courageous,-1.3610874668542616,1
9794,sadly,-1.3577152671466377,12
1143,nostalgia,-1.3563541800318462,3
11982,observation,-1.3550074556967178,2
12225,sucker,-1.3447872515590418,1
146,streaming,-1.3411319724833355,1
7347,commitment,-1.3410344461948607,1
12654,twelve,-1.3386018981762005,1
8748,sinking,-1.338092073058948,1
7413,friendship,-1.333507912615495,7
5467,ruins,-1.331240852749854,5
5805,whisky,-1.3311398837732755,1
2452,craving,-1.3253941836075485,7
7764,fractured,-1.3056137042537204,1
6308,shri,-1.3002823721489272,1
11288,handicapped,-1.2971852229105625,1
2691,wasted,-1.284413291374005,6
5997,phase,-1.2834368532676521,2
9426,sank,-1.2795414660448508,1
11608,rates,-1.277959372421784,1
13154,torino,-1.2776785740850582,1
7782,yearly,-1.2740680502090087,1
2608,sarcasm,-1.261723435938689,37
13792,stale,-1.260650925058263,1
11677,dismay,-1.258926520232511,1
8000,mute,-1.2427461510100992,2
12298,frustrating,-1.239429086600271,2
7158,accumulate,-1.2386061869466638,2
2146,mankind,-1.2359079872401315,2
6435,counts,-1.2358313899268123,1
5953,existing,-1.232542564158951,1
6611,eternity,-1.2260239259293804,5
10026,bonding,-1.224297106258243,2
2575,lonely,-1.2224149084831293,22
13417,recruits,-1.2126346383846487,1
8662,tragic,-1.2073310333735365,3
2638,misery,-1.2017125139684905,8
14059,gaines,-1.2017013446841025,1
3910,chores,-1.1995247975537628,1
13758,render,-1.1983265758550314,1
11395,degraded,-1.197871055295973,1
7132,relaxation,-1.1946422439172562,3
316,painful,-1.1931509645007206,13
8938,unity,-1.1931307795219932,1
11164,ads,-1.1900206988442785,2
10340,failing,-1.189029231842944,7
13142,leaking,-1.1868999375113838,1
209,contradiction,-1.1849442192577277,2
4042,unstable,-1.1842385095601515,2
2690,laughter,-1.1770818241232768,17
3387,sadness,-1.1767009839260896,25
12581,wits,-1.1758514169672132,1
2289,photographer,-1.1733220012738665,2
13527,forte,-1.1732019132142182,1
12093,boiling,-1.1731951807936034,1
13892,troubles,-1.1716505416746172,1
7133,reminding,-1.1704839149710573,3
1982,disgusted,-1.1692819693381127,2
6523,appreciation,-1.1658238592000465,2
8567,transition,-1.1650903747290928,1
9296,deaths,-1.1631738637048403,2
11490,stripes,-1.1623041368230727,1
8422,vomiting,-1.1620084307942946,1
6079,mesa,-1.1611584360515914,1
11102,executed,-1.1601053841581854,1
11689,centers,-1.159107048418439,1
8797,conditioned,-1.1578500729834107,2
11436,forcing,-1.1514197777168806,3
12299,professors,-1.1511984569927214,1
7699,destroying,-1.1491885467584586,2
2485,reminder,-1.14534595989612,6
12085,##iated,-1.1415253749076317,1
7397,mascara,-1.1415063099864429,1
13727,testimony,-1.138321915392825,1
11960,exiled,-1.1382125348163148,1
13558,fortunately,-1.137538832031511,1
3368,farmers,-1.1368186609481858,1
9545,louie,-1.1367437086166128,1
4368,tablets,-1.136548793764402,1
12665,zealand,-1.1345012300256347,1
7089,addict,-1.1332163919410312,2
1732,depressed,-1.1319114638129826,17
3533,towns,-1.1314799450324347,2
11753,reunite,-1.1302670059029654,1
1838,sumo,-1.1300793262065523,1
10260,stroll,-1.1287697699673744,1
14161,mushrooms,-1.1266061168379196,1
696,relief,-1.1235336571807322,10
14078,teammates,-1.1231173127013176,1
12911,calcutta,-1.1210839783650683,1
10707,altogether,-1.1114042280741512,2
2827,explore,-1.1112564282655368,2
8815,repeating,-1.110906419678085,2
12695,outdoor,-1.1103290636204766,1
6319,barcelona,-1.1096950243380155,2
10804,compelled,-1.1074320483437883,2
860,whisper,-1.1062964946918545,1
14117,reflects,-1.1041205173482265,1
1948,sad,-1.1032699922882676,151
3246,anxiety,-1.1013917960077009,20
4022,cries,-1.1013763086125,6
12465,repairs,-1.0987783948873682,1
10012,ambition,-1.0967253530519754,1
11455,animation,-1.0947412396014247,1
9864,marching,-1.0936132849576319,1
6339,buried,-1.0926752284610028,1
2536,pathetic,-1.0879796283067493,8
10471,airplanes,-1.0866522906086473,2
2102,dies,-1.0849710668240131,12
13098,destruction,-1.0824288948923795,1
10533,army,-1.081465355303544,1
1391,ripping,-1.080451222754385,3
12243,betting,-1.0792283506579077,1
12170,theta,-1.077641069293207,1
6355,disposition,-1.0766601335756432,1
5438,industry,-1.0728306548447288,2
11293,rival,-1.0704118921793766,2
7702,minimum,-1.0688382907710523,1
9509,prohibit,-1.0676053978153983,2
13619,descriptive,-1.0655915821097341,1
7765,greasy,-1.0631120518400423,4
6078,darkest,-1.0619296727109093,2
6737,warned,-1.0615691388385728,2
5374,dismissal,-1.0595254980991489,1
4658,surrender,-1.0591459231352887,5
13064,fulfillment,-1.0547203147028812,1
10650,lasts,-1.0533102976645548,3
7366,fierce,-1.0531561657788822,2
10572,composition,-1.0529920336519727,1
1104,hatred,-1.0497307055725296,10
7971,correlated,-1.0493789299897034,1
10948,cheerful,-1.0487793006224229,3
10688,clouded,-1.0486609703921674,3
11240,default,-1.0454988381201094,1
13538,annabelle,-1.0451797798702889,1
11036,atmosphere,-1.0443101834852362,2
10510,hawk,-1.0442007066883217,1
11155,phrases,-1.042064326887613,1
7092,contractor,-1.0412797887571008,1
10221,shakespeare,-1.0408674704736516,1
10466,dealing,-1.0401007489457468,3
9694,needles,-1.0384097033538302,3
13866,mccann,-1.0350577179857385,1
7847,inspirational,-1.0321843776392439,5
1925,climbing,-1.0288411156576318,2
2083,heroes,-1.0288004471309948,2
10894,despair,-1.0277169422357477,3
99,losing,-1.0261221952690376,36
11199,blending,-1.0260927680688792,1
10444,exercise,-1.0251978411717217,3
10676,trapped,-1.0242273825067545,1
12271,petty,-1.0241467052802697,1
8001,breaths,-1.0235353082249727,1
7680,remembrance,-1.0234278688034295,1
6183,hardest,-1.0231134740143994,6
9984,finest,-1.0152264675889642,2
10443,optimism,-1.0145922019364404,3
1010,curse,-1.0134230166359968,7
8473,vain,-1.0130844572604518,1
11335,swamp,-1.0122525577389059,1
14031,weighed,-1.0109810237647363,1
12930,temptation,-1.0020195266115688,1
2678,unfortunately,-1.0014182044217559,11
4832,terrifying,-1.0011713339337875,4
3902,outlook,-1.0001873635911012,1
4252,longed,-0.9990131803193674,2
2451,intense,-0.9975659600447676,4
7097,finance,-0.9974941774582193,2
6942,glorious,-0.9971852167806811,3
3989,goethe,-0.9955337780014796,1
4053,alfred,-0.9952020433166586,5
10985,rf,-0.9938669249098689,2
2619,sipping,-0.9928745629799162,2
6261,shadows,-0.9885466917284382,2
10158,jennings,-0.9880189874713425,1
10496,redemption,-0.984930567395562,2
1259,doctrines,-0.9838938732846367,1
13356,punished,-0.9831858176013663,1
8183,confined,-0.9814785424946775,2
11197,scholarships,-0.981317826147905,1
11606,scratched,-0.9794237188437909,2
13745,horribly,-0.9787723880223553,1
6228,honesty,-0.9760876675051217,3
13949,tunnel,-0.9739311562195221,1
13363,edinburgh,-0.9735319513415253,1
9717,blackout,-0.9699012283099322,2
11098,includes,-0.969784634907136,1
11305,reinforce,-0.9687469357231431,1
2391,wishing,-0.9682352706847468,17
1990,depression,-0.9671999664380347,21
1974,effort,-0.9664532344814329,30
13029,##ulf,-0.9658266027316903,1
8707,pavement,-0.9653347384401902,1
