,Word,Value,Freq
13428,degraded,-1.9387238025665283,2
14477,##arding,-1.7836275100708008,1
10645,##ept,-0.7679463624954224,8
1985,lacking,-0.6766209602355957,76
9458,lightweight,-0.6298527717590332,1
576,##cial,-0.5772281289100647,7
11141,coverage,-0.5570605397224426,4
7126,shitty,-0.5232502222061157,25
11752,ruins,-0.45013126730918884,13
12089,folly,-0.419863224029541,1
121,disappointing,-0.3181855082511902,169
6467,false,-0.3113349676132202,42
10280,1950s,-0.3079710006713867,1
10227,violations,-0.2861762046813965,2
6464,marginal,-0.2847945988178253,17
4637,architecture,-0.2788262367248535,3
1066,excess,-0.27101635932922363,2
4466,rarely,-0.26189690828323364,35
13971,bias,-0.2588462829589844,1
13003,halt,-0.25531506538391113,1
13484,speechless,-0.2517433166503906,2
9562,distressed,-0.24881887435913086,1
6436,tenderness,-0.24846570193767548,3
14592,alexia,-0.245086669921875,1
13130,inherently,-0.2409820556640625,1
213,horrible,-0.2388361096382141,485
3332,cannot,-0.21974875032901764,112
3028,aging,-0.21209216117858887,4
10670,asshole,-0.20822124183177948,5
10284,flexibility,-0.20577621459960938,2
7473,industrial,-0.19734340906143188,8
3572,mg,-0.1968645304441452,6
585,bland,-0.19384759664535522,249
4740,frustration,-0.19299060106277466,22
477,missing,-0.19177688658237457,83
12590,radical,-0.18837261199951172,1
7971,hazard,-0.18619686365127563,9
5834,harder,-0.18520469963550568,8
4650,pluto,-0.18263864517211914,1
12857,##rew,-0.18165218830108643,2
8441,icy,-0.17780303955078125,1
9309,debated,-0.1769850254058838,2
4085,padre,-0.17661786079406738,2
1220,terrible,-0.17594030499458313,475
7891,butterfly,-0.17548847198486328,1
11223,vary,-0.17502427101135254,1
8379,agony,-0.17438554763793945,1
10091,repetition,-0.17411184310913086,1
1868,devi,-0.16826725006103516,1
1986,dated,-0.16538076102733612,12
7841,##jured,-0.16392135620117188,1
14416,mounds,-0.16086101531982422,1
11221,fixture,-0.16080713272094727,1
10943,refuses,-0.15466062724590302,12
11789,tangent,-0.1535954475402832,1
14886,ethical,-0.14938640594482422,1
8035,inaccurate,-0.14776016771793365,24
10102,##xed,-0.14040689170360565,15
10952,wider,-0.13460445404052734,3
11912,drainage,-0.13087797164916992,1
6681,theory,-0.12625908851623535,2
10956,disliked,-0.125724196434021,4
10861,consumption,-0.12268209457397461,1
6407,inconsistent,-0.12261553108692169,5
1773,average,-0.12127736210823059,277
5221,compliant,-0.12125110626220703,1
10359,havoc,-0.11966753005981445,1
11903,scissors,-0.11924934387207031,2
8372,anomaly,-0.11807918548583984,1
9722,draper,-0.11777353286743164,2
12141,08,-0.11327886581420898,1
8992,altering,-0.11201071739196777,2
1873,wrong,-0.11192028969526291,525
14389,gag,-0.11159400641918182,5
4008,tomorrow,-0.11076529324054718,40
4577,upset,-0.11048321425914764,50
7340,giuseppe,-0.10885858535766602,1
4294,##nts,-0.10877490043640137,2
9972,mole,-0.10856321454048157,16
12255,renovation,-0.10747933387756348,8
10124,humans,-0.10454773902893066,2
5849,lame,-0.10426881909370422,43
8976,contempt,-0.10280799865722656,1
13677,chemistry,-0.10230231285095215,2
12789,certainty,-0.10127806663513184,2
1070,appealing,-0.10117485374212265,22
7821,sim,-0.10111629962921143,4
1454,uneven,-0.097820945084095,31
12731,predictable,-0.09747695922851562,1
7001,fragments,-0.09697198867797852,2
14479,backpack,-0.09646475315093994,2
7665,wardrobe,-0.0953984260559082,1
11962,persisted,-0.09454631805419922,1
9297,excessive,-0.09368953853845596,15
5508,abandoning,-0.09364128112792969,1
6984,declining,-0.09251594543457031,4
9026,dammit,-0.09146547317504883,1
7877,optional,-0.09057112038135529,5
8985,pistols,-0.08931636810302734,1
3638,useless,-0.08832740783691406,6
13037,stirred,-0.08831453323364258,3
13396,##olate,-0.08817148208618164,3
4620,poorly,-0.08716922998428345,82
7992,##chy,-0.08617717772722244,11
35,not,-0.08583904057741165,8061
10121,muffled,-0.08543634414672852,1
5383,defense,-0.08536863327026367,1
6534,##don,-0.08525047451257706,19
8346,dubious,-0.08461380004882812,6
3688,sk,-0.08363942801952362,42
3477,participation,-0.0823202133178711,2
824,jerk,-0.08231683075428009,55
11097,obscene,-0.08184623718261719,4
9457,eliminating,-0.08153200149536133,1
7504,##has,-0.08143243938684464,10
10288,creepy,-0.0812092274427414,11
4616,priority,-0.08118055015802383,29
11255,castle,-0.08102035522460938,6
12709,rusty,-0.08038917928934097,9
12352,celine,-0.07900333404541016,1
9559,buttons,-0.07841793447732925,6
9073,fuck,-0.07749421894550323,19
14202,liv,-0.07710886001586914,4
13867,cortes,-0.07561349868774414,1
14623,knotted,-0.07539510726928711,1
13924,bloomington,-0.07532882690429688,1
9646,##lter,-0.07515601813793182,5
5038,##rated,-0.07501354068517685,25
4336,neglected,-0.07468825578689575,8
12802,diane,-0.0746769905090332,1
3198,unacceptable,-0.07388507574796677,38
2223,##ware,-0.07329892367124557,103
1353,rude,-0.07314307987689972,634
7186,misleading,-0.0722028985619545,11
7317,falling,-0.07083520293235779,35
12078,quieter,-0.06944799423217773,2
13034,screams,-0.06918168067932129,2
3844,disbelief,-0.06892704963684082,2
13177,mastered,-0.06871843338012695,1
11208,sinister,-0.06862545013427734,1
11250,firstly,-0.06839243322610855,3
11993,praises,-0.06644892692565918,2
8675,disappearing,-0.06600920110940933,3
3272,taped,-0.06577666848897934,3
8491,password,-0.0656881332397461,1
11277,logical,-0.06515169143676758,1
13755,struggled,-0.06514978408813477,4
4782,confusion,-0.06478244066238403,8
13311,conclude,-0.06393861770629883,1
14293,unnecessary,-0.0634760856628418,2
13506,kissing,-0.06342172622680664,1
1572,baseball,-0.0628654956817627,8
12176,bout,-0.062412817031145096,3
8533,horrific,-0.06221167370676994,9
6445,##sor,-0.06193388253450394,17
4708,disappointment,-0.061872877180576324,131
13923,capabilities,-0.06175994873046875,1
2348,worst,-0.06168578565120697,578
2095,independents,-0.061553955078125,1
6141,playboy,-0.06139165163040161,4
9110,vacant,-0.06071043014526367,7
2719,thrilled,-0.06066780909895897,29
7934,jesus,-0.06023132801055908,4
10321,foremost,-0.060016632080078125,1
12106,hospitals,-0.058820247650146484,5
8563,mare,-0.058335620909929276,3
13901,toll,-0.05779075622558594,3
14257,amateurs,-0.05774211883544922,2
13701,muslims,-0.057623863220214844,1
4406,##rri,-0.05709104612469673,15
14481,##lass,-0.05698537826538086,1
1312,torn,-0.05673416331410408,6
6960,irritated,-0.05639778450131416,29
12370,waterfalls,-0.0559382438659668,2
435,slow,-0.05582539737224579,355
10966,identical,-0.055276453495025635,8
1308,unfortunate,-0.05524979159235954,24
10349,stadium,-0.05498789623379707,24
1239,hate,-0.05476703494787216,125
9270,decreased,-0.05390612408518791,3
8714,adequate,-0.05375521257519722,20
5665,disclose,-0.053742408752441406,1
7344,##eller,-0.053508758544921875,1
12995,decker,-0.052768707275390625,1
11163,ia,-0.05256432294845581,8
3987,falls,-0.05201758071780205,22
