,Word,Value,Freq
14035,degraded,-2.326424675086831,2
14086,speechless,-1.3093625014016774,2
12325,ruins,-1.0641051952081977,14
9532,fuck,-0.9121152606956473,19
13157,claudia,-0.8973536900313543,1
10214,professors,-0.890755707890152,1
5466,cluster,-0.7923360469367057,17
14980,gag,-0.5516366784052948,6
7496,advertising,-0.5067170677561285,24
10744,violations,-0.47591526340757306,2
13017,diminished,-0.4133027120461709,2
13629,stirred,-0.40589824161672694,3
1634,false,-0.3899618445984328,57
7254,shitty,-0.386273147159523,28
2215,lacking,-0.3780768046162715,93
8993,sloppy,-0.3764179094513556,12
14893,females,-0.3733688717266115,1
14438,##ø,-0.3616709616112064,1
121,disappointing,-0.3239276378760478,220
13695,static,-0.3087297855063612,5
9097,##vic,-0.30191867484463525,6
5078,frustration,-0.3002971878030245,25
2216,dated,-0.29112959571523817,12
10523,##crest,-0.28635356965477815,1
10978,ancient,-0.26550155450334567,8
9022,mare,-0.2612596880528233,4
10569,rhetoric,-0.2581282932206199,5
10595,muffled,-0.2514080650162269,1
6889,##pping,-0.2480297115160985,12
308,##rated,-0.24390398239694872,31
1713,uneven,-0.2337669721934213,31
11952,##56,-0.2313901030564115,1
2824,kata,-0.22594886990163912,3
10578,##xed,-0.2242671975876984,15
686,bland,-0.2194740502347856,277
1400,terrible,-0.2129588860869961,525
1989,##pr,-0.20984857915655677,191
213,horrible,-0.20683315570849695,542
1990,##ice,-0.19532892083525713,208
4776,mayor,-0.19451477521090096,3
2290,awful,-0.19168804370607476,246
13289,insulted,-0.19070674904702756,7
7446,declining,-0.1898998395738286,5
6977,##don,-0.18607476797102196,26
9863,lacks,-0.18343201803217593,22
12148,robbery,-0.18012909253177634,4
12398,司,-0.17871235880249572,1
15348,guardians,-0.17331933733411792,1
10487,indifferent,-0.1725460375497796,4
13826,##ski,-0.16398336712498388,7
8070,##bic,-0.16372863912685018,2
4581,pathetic,-0.15875489436817836,36
8499,inaccurate,-0.1566291669390033,24
6167,delayed,-0.1564649485164567,5
13624,celebrities,-0.15630583801722733,1
13376,certainty,-0.155683824793827,2
10021,hog,-0.15475369187840174,9
4977,utterly,-0.15436365255901816,17
2959,dumb,-0.15293802106880786,30
14000,##olate,-0.15265386744142942,3
14858,amateurs,-0.1515893391613848,2
11989,swearing,-0.15070769146046464,6
14861,202,-0.1491443208825044,1
8352,optional,-0.14797728994351322,7
9458,gradually,-0.1473692894904032,12
4616,sewage,-0.14541850042793394,5
254,distraught,-0.14533294646839823,10
12938,##ako,-0.1452794251024388,2
11941,makers,-0.14513260849740753,7
11191,asshole,-0.14477604126358315,5
6141,creepy,-0.14350219696752825,13
8443,##ece,-0.1427052650087984,4
3459,unacceptable,-0.1424520507606057,53
6285,lame,-0.14232751519092046,53
2565,worst,-0.14050100980207786,613
6926,shouting,-0.13995574615003423,8
9690,fifa,-0.13781532313757966,2
14469,##iad,-0.13758065875927583,1
14468,##vil,-0.13758065875927583,1
10402,junk,-0.13732118742408864,29
7121,theory,-0.13685577866473553,6
7840,hostile,-0.13634812863819534,4
10507,peeled,-0.13541255949732703,6
15310,##ishly,-0.1343179381656937,3
8029,##mers,-0.13171549511354153,9
9921,##hol,-0.1316920418913239,7
4051,compete,-0.1308634158821868,11
12827,forty,-0.13075974679014926,7
12524,substantially,-0.1281975502183319,6
6569,entirety,-0.12751354120748273,2
14703,##rring,-0.1271658394887826,1
11951,##59,-0.12702985185678006,1
12315,usher,-0.12512612027997244,4
12265,##eron,-0.12473898522660865,4
12264,##iji,-0.12473898522660865,4
14219,woody,-0.12440126871352063,1
13053,mills,-0.12345736680836863,10
4965,poorly,-0.12319311821743478,93
15173,##form,-0.12313225940573715,2
13045,margin,-0.12239092146254116,2
9675,##zine,-0.12174709893330117,11
9613,craftsman,-0.12112457326468902,8
1428,hate,-0.12102779762278348,153
2823,thieves,-0.12101410444571357,13
6849,inconsistent,-0.11926443196514686,13
7353,improper,-0.11915766672128654,5
6675,treating,-0.11812452310925144,15
912,wrong,-0.11793000686701467,620
6748,guilty,-0.11764763467550819,6
2027,average,-0.117538737360483,303
10806,flexibility,-0.11735378216066164,2
15386,xbox,-0.11721383990904911,1
12750,bearded,-0.1169128495996167,4
7807,falling,-0.1166636111256233,39
4675,inappropriate,-0.11583426725705279,22
4902,existent,-0.1156091287050769,17
5047,disappointment,-0.11532836216870072,147
1903,##omp,-0.11505715100014936,95
1547,rude,-0.11490650744413324,722
6022,stadiums,-0.11436426922516306,9
7480,ape,-0.11424580582930517,6
1676,bros,-0.11375364029146623,13
15515,hammered,-0.11372361698728478,1
6547,ea,-0.1129747221194849,4
8140,postal,-0.11279772962024327,6
9198,utility,-0.11240607128080797,3
13425,##14,-0.11236871963721091,2
12279,console,-0.11236782996575352,6
14392,boycott,-0.11196596694489949,2
7625,streak,-0.11169995739403794,7
13664,simone,-0.1113791598146036,1
13665,##vey,-0.1113791598146036,1
2105,strung,-0.11117973617302883,3
9850,taxi,-0.11048969607622153,16
4960,##ete,-0.11041159947114332,99
639,enrolled,-0.10965469080134037,1
1528,advised,-0.10965058699324708,52
4674,arrogance,-0.10882262230010992,3
3946,antibiotics,-0.10873655726814953,6
4075,##tf,-0.1087019520499393,74
12714,presley,-0.10842072033744962,4
12713,taboo,-0.10842072033744961,4
8159,circles,-0.10772129969473736,2
762,##lves,-0.10747444723080149,8
14810,vomiting,-0.10741045572296193,8
4040,broken,-0.10737960415008414,124
13320,##onic,-0.10609368709945735,5
14467,##entes,-0.10577572362184484,1
3484,ordinary,-0.10502810766616817,16
8578,suspended,-0.10496381629110248,2
15110,raises,-0.10431068766657713,4
13406,marshal,-0.10391678160457239,6
14276,tn,-0.10368178711904509,1
11366,burial,-0.10365525452939675,5
14213,deadline,-0.10355917726656921,4
11917,contracted,-0.10345806096397694,2
8301,dc,-0.10336131595828255,11
7425,##iste,-0.10307508388617106,16
11368,somethin,-0.1030465591469802,5
10796,picks,-0.10282028708645918,7
11056,summit,-0.10250280519851152,1
4974,objected,-0.10243870227311752,1
1016,poor,-0.1023139937836214,369
2449,##ware,-0.10228544501146397,117
10768,##firm,-0.10145933168603037,3
6819,retire,-0.1013193937460006,1
553,slow,-0.10125256868762095,371
2548,ignore,-0.10109243015466754,43
12831,##birds,-0.10075239338035247,1
11360,bop,-0.10040842244795543,4
5674,##cen,-0.10038501405694666,1
8649,jerry,-0.10029582661849995,9
12164,##raction,-0.10003703973590437,4
6602,wasted,-0.09996824345375543,55
4645,##ncy,-0.09947338153468403,17
12263,cobra,-0.09877565644641642,5
15179,##wt,-0.09862616817764432,4
11040,thirsty,-0.09852231183478548,7
5595,##ggy,-0.09825647523993503,143
1020,jerk,-0.09810620436292877,59
10819,delays,-0.09793245186397968,12
4961,priority,-0.09791857747378435,31
8636,reckless,-0.09730894530554958,15
3251,downhill,-0.09703001646174518,79
10298,destroyed,-0.09684747347247204,15
12394,帝,-0.09677663483756772,1
12393,皇,-0.09677663483756772,1
14024,eternity,-0.09656680174841846,7
4999,##sai,-0.09655723516535686,1
11914,tricked,-0.09627315241347982,5
6342,##wash,-0.09623252744436749,14
14745,coward,-0.09550164064059191,2
4454,pharmacy,-0.09549609175446347,28
5368,rubber,-0.0951978326962563,51
7072,##lat,-0.09459094462819298,8
9390,##ured,-0.09446531468388564,7
9108,##ster,-0.09428034092262669,15
13884,remedy,-0.09385141672011815,6
14463,sinking,-0.09381205782615798,1
15142,trance,-0.09304160937132384,1
15143,##nden,-0.09304160937132384,1
15144,meditation,-0.09304160937132384,1
1262,appealing,-0.09268710765084401,28
9534,textbooks,-0.09266330790308402,3
13873,inducing,-0.0916500568959039,2
15308,awakened,-0.09144444422777272,3
15266,##sboro,-0.09121389022790338,1
3359,garbage,-0.09111426573554737,51
2125,##ul,-0.09023430677715484,60
14875,develops,-0.08992946584097457,2
6925,##pling,-0.08988295988294982,4
7992,ashes,-0.08980965262060703,1
1153,exercise,-0.08975567054950581,26
14738,conservative,-0.08967884035354441,1
8911,cans,-0.08955402927157133,4
15337,playoffs,-0.08916942199025983,4
811,lie,-0.08866010012793997,78
10331,##tten,-0.08860757176943548,26
9197,checkpoint,-0.08859156258122827,5
13298,cologne,-0.08845047565686093,7
12584,##balance,-0.08819752404369541,4
13310,ambitions,-0.08760664378767553,1
590,missing,-0.08732850814457958,102
10746,##zation,-0.08715280938268917,2
15140,shrinking,-0.08689619618748709,1
4661,ridden,-0.08679983804776745,1
