,Word,Value,Freq
12233,slamming,-1.3851624727249146,2
9048,nothin,-0.9840943813323975,1
3882,declining,-0.8481483459472656,1
13253,destroying,-0.700668454170227,2
13505,dreadful,-0.6752629280090332,1
9420,speechless,-0.652171790599823,2
8072,degraded,-0.6365103721618652,1
6959,lord,-0.6019797325134277,2
11595,contempt,-0.47963058948516846,1
12012,tentative,-0.47859954833984375,2
4899,asshole,-0.45928657054901123,2
6346,unfortunate,-0.4271148145198822,13
9801,##holding,-0.4032175540924072,1
3338,worst,-0.3857494592666626,178
4066,nightmare,-0.3820938169956207,9
14869,##olate,-0.3797469139099121,1
8467,yi,-0.37752020359039307,9
2467,##kie,-0.3769989013671875,3
10131,fabricated,-0.36529111862182617,1
14344,humiliated,-0.3589388132095337,1
7779,dissatisfied,-0.3546377122402191,6
4972,shitty,-0.336171418428421,11
11069,##rocity,-0.31139373779296875,1
14173,strongest,-0.2997276782989502,2
13990,##mmel,-0.2981135845184326,1
9232,ruins,-0.2940084934234619,3
10739,poorer,-0.29276084899902344,1
11885,##xed,-0.289059042930603,2
8661,##oof,-0.2785075902938843,2
7759,disliked,-0.2745080590248108,2
7111,##rates,-0.27304840087890625,1
3914,unacceptable,-0.2728627920150757,18
9944,scarce,-0.2692286968231201,1
11661,difficulty,-0.2682000398635864,3
5527,pathetic,-0.26718437671661377,9
11374,punched,-0.26429247856140137,1
12795,rusty,-0.26274216175079346,2
7468,wives,-0.26037442684173584,2
12015,unreliable,-0.260312020778656,2
6261,strained,-0.25403690338134766,1
14759,yells,-0.24903905391693115,1
5777,ignore,-0.24285554885864258,6
633,horrible,-0.24182529747486115,157
7475,inconsistent,-0.23885095119476318,8
1680,##nts,-0.2383641004562378,2
7309,sank,-0.2374575138092041,2
11189,##athi,-0.23709499835968018,2
578,terrible,-0.23608869314193726,167
13227,unlikely,-0.23492705821990967,2
10506,dismiss,-0.23436105251312256,3
10405,insults,-0.2340099811553955,1
4713,upset,-0.23156267404556274,30
6693,robbed,-0.23153793811798096,2
11986,decline,-0.22479328513145447,7
1390,downfall,-0.22472532093524933,12
2966,refuses,-0.21590478718280792,3
3227,fuck,-0.21512627601623535,6
10545,deserted,-0.21440057456493378,5
14096,utter,-0.21431922912597656,1
13145,##ept,-0.21421198546886444,5
11499,cord,-0.20723219215869904,6
14901,fragments,-0.20719432830810547,1
5311,liv,-0.20283567905426025,1
10621,abandoned,-0.202226459980011,2
6479,##pressive,-0.20214121043682098,3
5762,torn,-0.19689564406871796,10
2817,avoided,-0.19306492805480957,2
4485,lame,-0.1907884180545807,11
14331,shattered,-0.1888827085494995,1
15004,barren,-0.18855619430541992,1
6942,sucks,-0.1869398057460785,46
12569,##stand,-0.18576116859912872,3
11536,straightforward,-0.1834254264831543,1
7773,insult,-0.18040911853313446,3
10729,muddy,-0.180339977145195,3
774,lacking,-0.17563387751579285,42
4742,blows,-0.1753017008304596,5
8903,immature,-0.17498445510864258,1
11741,sacked,-0.17487144470214844,1
12735,ejected,-0.17208528518676758,1
5673,unhappy,-0.1716427057981491,9
5252,##rated,-0.17061567306518555,12
13973,arid,-0.16663837432861328,1
5573,##rri,-0.1660209745168686,10
3123,disgusting,-0.16392450034618378,39
10769,sewer,-0.16391444206237793,1
12800,dripped,-0.1634504795074463,1
12568,survey,-0.16284418106079102,1
10626,unrelated,-0.16171932220458984,1
461,hazard,-0.1615484058856964,4
8001,accountability,-0.16097187995910645,1
8993,furious,-0.15962231159210205,1
14513,threaten,-0.1594315767288208,1
759,hated,-0.1589006781578064,9
3820,swan,-0.15852785110473633,6
3924,poorly,-0.15528042614459991,22
9408,##eit,-0.15383076667785645,1
3605,gross,-0.15377891063690186,39
5656,frustrating,-0.14987756311893463,19
2655,poor,-0.1496814638376236,118
8765,erratic,-0.1487569808959961,2
6909,##tters,-0.14737510681152344,1
7109,accuse,-0.14559078216552734,1
4763,disregard,-0.1440110206604004,3
7193,sucked,-0.14396850764751434,12
6580,creepy,-0.14320501685142517,4
793,distracted,-0.14269483089447021,4
14849,render,-0.14223504066467285,1
7968,ghetto,-0.14090576767921448,7
8696,decreased,-0.14065533876419067,2
14175,actors,-0.140610933303833,2
3916,awful,-0.13974077999591827,89
5620,questionable,-0.13944292068481445,5
8112,nowhere,-0.13838690519332886,14
14554,predictable,-0.138289213180542,2
10906,harassment,-0.13790565729141235,2
3891,##lus,-0.1375397890806198,8
1622,bland,-0.13625049591064453,140
7460,dare,-0.1354716271162033,7
7491,condemn,-0.1313474178314209,1
2503,crap,-0.12986698746681213,60
743,uncomfortable,-0.12861837446689606,40
6684,shame,-0.1283898949623108,36
11939,oversight,-0.12797188758850098,1
2889,rude,-0.1275070458650589,229
7959,illegally,-0.1267850399017334,2
5050,servant,-0.12576282024383545,1
11844,##nished,-0.12441492080688477,1
1218,garbage,-0.12393711507320404,18
6191,dumped,-0.12204122543334961,2
11633,swearing,-0.12055540084838867,1
13925,##rid,-0.11975431442260742,2
6406,dated,-0.11875400692224503,10
6463,depressed,-0.11794137954711914,3
8175,##wind,-0.11751163005828857,4
8715,absurd,-0.11740642786026001,4
7347,stolen,-0.11713967472314835,6
10831,mounds,-0.11678600311279297,1
13984,intro,-0.11644196510314941,1
6558,zero,-0.11579061299562454,39
5979,disaster,-0.11487829685211182,12
11997,slipping,-0.11382520198822021,2
8356,##grad,-0.1132361888885498,1
10344,eliminated,-0.11288785934448242,1
2474,##ial,-0.11286435276269913,11
2824,##kes,-0.1119198277592659,18
1076,##ggy,-0.1111956536769867,47
8279,lax,-0.11097478866577148,1
10734,bail,-0.11059661954641342,8
14704,withdrew,-0.11031103134155273,1
5917,weak,-0.11027108877897263,16
14962,futile,-0.10930275917053223,1
1086,slow,-0.10924650728702545,177
3917,ridiculous,-0.10923347622156143,80
10556,failure,-0.10874515771865845,4
1042,##ete,-0.10845379531383514,22
4957,ruined,-0.10812706500291824,17
10053,sewage,-0.10760915279388428,2
2786,hate,-0.10711083561182022,81
12733,preoccupied,-0.10675132274627686,2
10756,tangent,-0.10639655590057373,2
8614,liar,-0.10591991245746613,5
5887,excused,-0.10503935813903809,1
14720,##rba,-0.10446393489837646,1
5509,misleading,-0.10399556159973145,4
599,pissed,-0.10388856381177902,9
3715,stink,-0.10381491482257843,10
9236,##yp,-0.10372042655944824,2
12603,##14,-0.1032552719116211,1
2641,disappointing,-0.1028478592634201,70
9951,marred,-0.10231971740722656,2
10238,rotting,-0.10213881731033325,2
12455,scoffed,-0.10173368453979492,2
11554,notion,-0.10096251964569092,1
10700,offensive,-0.1008361279964447,4
330,average,-0.1006435826420784,189
12503,appalled,-0.10040202736854553,4
8162,##balance,-0.10034704208374023,2
11387,destroyed,-0.09971845149993896,3
11776,wholly,-0.099551260471344,2
7518,##lter,-0.09926003217697144,2
7463,lacks,-0.09894827753305435,14
5671,dislike,-0.09859420359134674,9
3716,worse,-0.09845852851867676,60
9657,halted,-0.09825634956359863,1
9519,kicker,-0.09822128713130951,4
3319,##sr,-0.09768497943878174,6
14014,##rence,-0.0975496768951416,1
13211,vomiting,-0.0974193811416626,1
2631,jane,-0.09684014320373535,1
7476,inferior,-0.09673122316598892,3
3182,loss,-0.09623666107654572,8
14883,racism,-0.09564828872680664,1
7041,stale,-0.0951806977391243,28
14220,horrified,-0.09497284889221191,1
3471,ia,-0.0949697494506836,1
4073,hanged,-0.09451448917388916,1
7664,junk,-0.09446366876363754,9
1923,lie,-0.09436695277690887,25
2138,deteriorated,-0.09389575570821762,3
14433,slippery,-0.09361585229635239,3
1332,weird,-0.09301677346229553,64
10699,values,-0.09270346164703369,2
9718,##pressing,-0.09223675727844238,6
12895,##ior,-0.09221994876861572,2
2691,quit,-0.09175758063793182,8
5899,racist,-0.0911206379532814,3
9860,respectable,-0.09108264744281769,5
4056,uneven,-0.09055525809526443,15
5515,generic,-0.09004275500774384,15
12457,converting,-0.08959436416625977,1
479,mess,-0.08907219767570496,36
10498,vile,-0.0889926552772522,2
10487,screened,-0.08847713470458984,1
9332,discrimination,-0.0878480076789856,2
4225,destruction,-0.0877375602722168,1
8141,##nar,-0.08743876218795776,4
6228,lacked,-0.0868178978562355,24
13487,##rable,-0.08667099475860596,1
14156,suspects,-0.08652877807617188,1
6117,horrific,-0.08610305190086365,4
11824,fatigue,-0.08559465408325195,1
4983,chaos,-0.08507188409566879,3
12354,cavity,-0.08461850881576538,4
7790,coordination,-0.08451788127422333,5
13098,manufacturing,-0.08384990692138672,1
14521,justified,-0.08329081535339355,1
12439,unwilling,-0.08292734622955322,2
7285,acceptable,-0.08273103833198547,18
341,disappointment,-0.08272815495729446,57
6415,vie,-0.08257269859313965,1
3459,dead,-0.08247289061546326,32
14977,cantor,-0.08233785629272461,1
3763,incorrectly,-0.08214841783046722,7
4514,bitch,-0.08183422684669495,9
2660,sad,-0.08171916753053665,65
2494,inappropriate,-0.08113772422075272,7
9273,aback,-0.08094906806945801,2
9054,##mail,-0.0808512270450592,4
14838,tactic,-0.08060169219970703,1
12254,perpetual,-0.0804140567779541,1
5366,##ndo,-0.07986487448215485,13
13019,confines,-0.0797121524810791,1
13390,creeping,-0.07928133010864258,1
10706,stripped,-0.07855772972106934,2
