,Word,Value,Freq
13428,degraded,-1.6953622102737427,2
7032,unreliable,-1.471555233001709,3
11752,ruins,-1.2603081464767456,13
8035,inaccurate,-1.0795093774795532,24
1463,shortest,-1.066607117652893,2
10609,nightmares,-1.013776421546936,5
6407,inconsistent,-0.970038115978241,5
8372,anomaly,-0.8875085115432739,1
5678,scoffed,-0.8656591773033142,2
3338,chaos,-0.8496585488319397,4
10207,dismiss,-0.8005222678184509,2
9704,thug,-0.7467994093894958,6
121,disappointing,-0.6355264782905579,169
13484,speechless,-0.6179542541503906,2
6029,fades,-0.6067629456520081,2
7877,optional,-0.604181706905365,5
4169,downfall,-0.5603143572807312,11
10288,creepy,-0.5525159239768982,11
9073,fuck,-0.552264928817749,19
11591,eliminated,-0.5487146377563477,4
10092,rhetoric,-0.543817400932312,5
10284,flexibility,-0.5312601327896118,2
1985,lacking,-0.499962717294693,76
1144,frustrating,-0.4983888864517212,38
8379,agony,-0.4838128089904785,1
6232,evil,-0.4828420579433441,4
9419,lacks,-0.44363144040107727,22
8816,fought,-0.42340797185897827,5
4314,inappropriate,-0.4214573800563812,21
1308,unfortunate,-0.39535728096961975,24
5665,disclose,-0.38980066776275635,1
6725,fail,-0.38888126611709595,41
10335,cheated,-0.38774845004081726,3
12380,panicked,-0.37902987003326416,3
14971,democrat,-0.37366852164268494,3
14293,unnecessary,-0.3602083921432495,2
8021,depressed,-0.35969099402427673,3
9783,belong,-0.35263100266456604,6
7241,ruined,-0.3445280194282532,40
6376,miserable,-0.33806729316711426,12
12829,pristine,-0.33543598651885986,6
12687,stil,-0.33468279242515564,6
7126,shitty,-0.3326912224292755,25
11386,snarled,-0.32817745208740234,4
11521,disregard,-0.3241516053676605,10
1986,dated,-0.31678563356399536,12
3844,disbelief,-0.3153730034828186,2
12447,perception,-0.3105102777481079,2
3198,unacceptable,-0.30700939893722534,38
14973,bash,-0.30574506521224976,3
10861,consumption,-0.304978609085083,1
5402,acceptable,-0.30353179574012756,41
8168,reckless,-0.30296972393989563,11
7516,dumped,-0.30018743872642517,3
12088,amend,-0.2992515563964844,4
5657,talent,-0.29715195298194885,10
14260,buzzing,-0.2959403991699219,1
10514,thirsty,-0.2914116084575653,7
5079,silly,-0.29030588269233704,24
6921,limp,-0.28756219148635864,4
3224,ordinary,-0.28494635224342346,12
11576,robbery,-0.28491270542144775,4
4736,zero,-0.27870550751686096,110
12939,actors,-0.27525949478149414,1
12950,purge,-0.2679102420806885,4
9425,threats,-0.2640559673309326,2
213,horrible,-0.2580099105834961,485
8753,utility,-0.2571682929992676,3
7295,apologetic,-0.25715118646621704,33
7178,swollen,-0.25578051805496216,4
8568,hiding,-0.25394895672798157,4
435,slow,-0.25074878334999084,355
11394,favorable,-0.24957436323165894,2
4577,upset,-0.24569493532180786,50
7588,stink,-0.24422962963581085,9
7564,ina,-0.24366547167301178,28
820,poor,-0.2427874505519867,317
7808,ill,-0.24081167578697205,38
11082,communicating,-0.23725147545337677,3
5207,##peration,-0.2369350790977478,1
9722,draper,-0.23594892024993896,2
13130,inherently,-0.23587918281555176,1
1139,dead,-0.2344731092453003,73
3407,ugly,-0.23376698791980743,12
10227,violations,-0.2319948673248291,2
7504,##has,-0.22821485996246338,10
3183,rid,-0.22699658572673798,39
14974,148,-0.22698235511779785,3
5445,nightmare,-0.2262202650308609,22
14389,gag,-0.22403974831104279,5
585,bland,-0.22393566370010376,249
10726,aback,-0.2211616039276123,1
4738,decline,-0.21968810260295868,12
10515,arrogant,-0.2194966822862625,10
13396,##olate,-0.218672513961792,3
12328,##fur,-0.21854650974273682,1
1220,terrible,-0.21852736175060272,475
3638,useless,-0.2181253433227539,6
1454,uneven,-0.2165728509426117,31
13756,immature,-0.21431390941143036,2
10120,somber,-0.21248388290405273,1
8457,robbed,-0.20949919521808624,3
6004,##ooping,-0.20639686286449432,3
7367,assaulted,-0.20595264434814453,2
13755,struggled,-0.20475199818611145,4
14208,vomiting,-0.20280903577804565,8
13715,shaky,-0.20279192924499512,5
7456,execution,-0.20212793350219727,20
10670,asshole,-0.20028957724571228,5
8976,contempt,-0.1984851360321045,1
9392,failure,-0.19749586284160614,9
2160,weak,-0.1973840445280075,14
12257,sleepy,-0.19733476638793945,1
7470,downed,-0.19682717323303223,1
477,missing,-0.19559715688228607,83
10121,muffled,-0.19312357902526855,1
9561,begging,-0.19055800139904022,3
11292,reviewing,-0.18857839703559875,7
4209,pathetic,-0.18665622174739838,32
6192,distracted,-0.18621990084648132,4
7391,dull,-0.18571555614471436,21
8533,horrific,-0.18533891439437866,9
6010,historic,-0.18421059846878052,8
14691,mb,-0.1814286708831787,1
1999,stale,-0.1787063628435135,60
10956,disliked,-0.1783929467201233,4
7346,foul,-0.17697906494140625,13
6464,marginal,-0.17650209367275238,17
13018,essay,-0.17647933959960938,1
6984,declining,-0.1754480004310608,4
