,Word,Value,Freq
14035,degraded,-1.9393345756804377,2
7491,unreliable,-0.8276328945460122,3
1722,shortest,-0.6915906126297982,2
12325,ruins,-0.6529498116671018,14
3620,chaos,-0.557392153812434,4
9863,lacks,-0.5389668860634031,22
9532,fuck,-0.5140992410398763,19
4545,downfall,-0.4652517534990089,13
14980,gag,-0.4492663239316996,6
13017,diminished,-0.4416904501604786,2
121,disappointing,-0.42428868793755703,220
8499,inaccurate,-0.40181062823195474,24
11132,nightmares,-0.3979288204737592,5
13538,purge,-0.3155221201750793,4
1328,frustrating,-0.3154759309787229,38
6141,creepy,-0.3058194731408239,13
7496,advertising,-0.30155259353932323,24
4675,inappropriate,-0.29618533654657864,22
13157,claudia,-0.2950094492232005,1
2216,dated,-0.28066415357393754,12
10744,violations,-0.27434441852844127,2
3756,participation,-0.26352171713221845,2
4581,pathetic,-0.2631721897216391,36
12148,robbery,-0.2614079445147728,4
213,horrible,-0.2503156376900361,542
10569,rhetoric,-0.2432291837592464,5
13091,clerks,-0.24208234802343911,3
11963,snarled,-0.24087880940896,7
7900,identity,-0.23165325657233496,6
11040,thirsty,-0.2303170479631225,7
1016,poor,-0.21935290408705976,369
7479,##ades,-0.21895105349689237,1
14000,##olate,-0.21861921949060129,3
14438,##ø,-0.21798828386496538,1
2565,worst,-0.2166042734121985,613
12548,demolished,-0.21389159740765645,5
3459,unacceptable,-0.20852160845115658,53
6849,inconsistent,-0.20826639221934384,13
14463,sinking,-0.1974445639245373,1
2215,lacking,-0.19574569410846335,93
12162,eliminated,-0.19379592720400557,4
14302,shaky,-0.19242504319261955,5
1713,uneven,-0.19014865354093072,31
6125,scoffed,-0.18960805209568163,2
7885,dull,-0.1888438800445554,22
308,##rated,-0.1879646354538342,31
1504,unfortunate,-0.1851140035872843,29
7727,ruined,-0.18254284996078368,57
4965,poorly,-0.18251850983972512,93
10594,somber,-0.18043071798621635,1
14893,females,-0.17998910827140302,1
5088,problematic,-0.17900081566069173,3
10705,dismiss,-0.1781169825872334,2
1400,terrible,-0.1752237687926166,525
2290,awful,-0.16834081526994277,246
6569,entirety,-0.1666228939373008,2
7158,fail,-0.16635745314473266,58
686,bland,-0.16552315121085112,277
13406,marshal,-0.1650618776501431,6
13629,stirred,-0.16404996482326534,3
