,Word,Value,Freq
10013,speechless,-1.0288079962328704,2
8598,degraded,-0.550099553587359,1
12860,slamming,-0.48105817173165905,2
14362,resistance,-0.47944194615558394,3
15562,futile,-0.42072644795757397,1
14401,##ride,-0.32644843672338775,2
4225,declining,-0.268667594766276,2
4738,currents,-0.2672226921313035,1
6008,hysterical,-0.2287417280250262,2
11306,stripped,-0.2165240992188288,2
5279,asshole,-0.2121961952184732,2
11092,dismiss,-0.1950867287387755,3
10245,halted,-0.19344054610799372,1
5348,shitty,-0.185710802930243,12
5919,pathetic,-0.18340838782323363,12
1499,downfall,-0.18043637284351985,14
7588,accuse,-0.17644875584048747,1
5117,disregard,-0.17611242531934235,4
14786,strongest,-0.17502816338712118,2
7975,##lter,-0.1660304811732552,2
11154,failure,-0.16139372547440065,6
7932,inferior,-0.15587075270526593,3
774,lacking,-0.1544679586794993,47
10005,considers,-0.15333708108552782,1
6796,unfortunate,-0.15111743175812437,16
9813,ruins,-0.15013983576208767,4
4485,marino,-0.14693050071942207,3
13493,nobel,-0.14328538319125367,1
11302,disdain,-0.13800282236280992,1
8493,installations,-0.1329117720150359,1
3392,coarse,-0.1308518512598793,2
7158,robbed,-0.1230795058917472,2
10181,attorneys,-0.12207932263612746,1
9471,immature,-0.11802842235459753,1
12557,peacock,-0.11681683514777685,1
7125,tentative,-0.11054308991779421,3
12507,##xed,-0.10869621560590503,2
6157,odds,-0.10361883876731728,5
11323,muddy,-0.10119469526825153,3
15517,##iac,-0.10047568048385408,1
11935,staggering,-0.09826635367686853,1
12307,cache,-0.09604945775061419,1
13633,claudia,-0.09596005950453312,1
3242,worst,-0.08962355380567259,194
7361,advertising,-0.08916449863267145,8
1804,bland,-0.08829804271510966,161
3235,contempt,-0.08680684148032579,2
6263,rises,-0.08391852183767523,2
578,terrible,-0.08389368030924917,188
7992,observed,-0.08260791841053317,3
15125,##skin,-0.08222354234653333,1
7931,inconsistent,-0.082178007685146,10
11362,sewer,-0.08142120906465589,1
6391,outrageous,-0.08057834076422704,17
11794,##je,-0.07862096810434413,2
1054,weak,-0.07833819732527907,20
13470,crawled,-0.07692171545292635,3
5651,##rated,-0.07483999533299468,13
4421,uneven,-0.07413944292721844,15
14511,spreads,-0.07352599253363434,2
14370,ants,-0.07282671027282249,2
759,hated,-0.07251973080570327,11
2872,poor,-0.07151406052801458,141
12746,hind,-0.07136164015796068,1
14766,suspects,-0.07125338184037214,1
13510,##ior,-0.07035741820866188,2
6618,308,-0.06760431281831474,1
7037,creepy,-0.0662978882914522,7
9641,nothin,-0.06599490309007587,2
7338,absurd,-0.06494927557754086,6
12783,##bourne,-0.06485334611330623,1
6069,frustrating,-0.0627786694568805,19
4164,chilly,-0.06253590069588122,8
12606,slipping,-0.06240340466455307,2
12882,sunglasses,-0.062212366005201636,3
633,horrible,-0.061688764260412365,187
11058,##vite,-0.061041338037270756,1
10563,lungs,-0.060460660129904586,2
14052,wilfred,-0.05962036577056398,1
8054,commit,-0.05895846998625298,4
5252,charts,-0.057978754240233035,5
8463,attributed,-0.05747409011256806,1
793,distracted,-0.0572009290962309,5
12903,##lite,-0.05684467257496091,2
15589,belonged,-0.05569673250818126,1
11145,deserted,-0.05563813650857492,5
6176,ignore,-0.054745728126138093,12
10543,punished,-0.05474007106243887,1
12368,sacked,-0.054332803732360754,1
15176,noting,-0.054226506244609035,1
644,cobra,-0.054224513177467515,2
15515,shudder,-0.05399787714000914,1
9436,stole,-0.05395163861533903,12
11816,feathers,-0.053767907555516234,2
9450,##rip,-0.053452834449570344,2
8034,fought,-0.05319870748383562,3
14413,##tions,-0.052782336952577995,2
7370,##lip,-0.05218525693372448,1
11215,abandoned,-0.05212581733518333,5
13941,inherently,-0.05042418979463123,1
1305,poorly,-0.05041207285420828,29
8261,dissatisfied,-0.04996857082928583,7
11227,unrelated,-0.04990389782240078,1
14113,dreadful,-0.04964555506540541,1
11507,##feit,-0.04933205162687619,2
5020,##eit,-0.0491905986907001,4
4622,acceptable,-0.047845353666530935,22
7590,##rates,-0.04755723783802281,1
3251,zero,-0.047442518207865665,47
5241,diminished,-0.04706816439468242,1
3893,fail,-0.047000824309637534,21
218,rebel,-0.0468780987852255,2
15603,barren,-0.04544574014736269,1
8007,intelligence,-0.04493960175588645,1
1326,hardened,-0.04468117734848152,1
2861,disappointing,-0.0441457483936571,84
12782,sparrow,-0.04412115072984834,3
12138,stupidity,-0.0439759652350963,3
12749,##unes,-0.04383195807778841,1
10643,residual,-0.04322967966651802,2
7281,income,-0.042446311864454765,3
4262,ridiculous,-0.04220786637211467,89
8871,useless,-0.04163424453738891,7
13833,vomiting,-0.04110482374818948,1
9103,relaxation,-0.040799870213973764,9
1049,lacked,-0.04003632307611624,32
13234,1986,-0.039851883069668886,1
10712,fabricated,-0.03972692251726736,1
4346,sloppy,-0.03927882206001704,9
4325,loose,-0.03912310647495022,12
12074,kata,-0.03904832737740649,1
4234,##lus,-0.038157350713647356,8
11504,smacked,-0.03799382179767446,1
5884,##tment,-0.037785782130395615,2
1786,##ones,-0.037712105945901214,13
11490,cain,-0.03765149141138327,2
5172,intercepted,-0.037472127011455296,1
6936,false,-0.037257381851811794,17
12297,readily,-0.03667961239699656,4
11348,##fur,-0.036342915260851975,2
12099,familiarity,-0.03591310546018076,1
1190,slow,-0.0358942438413443,192
10926,##raction,-0.03560782822282652,1
5071,upset,-0.035384622405412035,43
14023,amounted,-0.03508972557712878,1
14024,programming,-0.03508972557712878,1
12261,swearing,-0.034945804871702735,1
743,uncomfortable,-0.03487811518641026,43
12334,motionless,-0.03477780234976173,1
12484,##lved,-0.03471512668249863,2
8229,disliked,-0.034607809839186245,2
12729,gradually,-0.034601211730552243,3
10738,safer,-0.034230563927229514,2
15261,dividing,-0.03416796192921956,1
14835,vocal,-0.034158538389050114,1
2877,sad,-0.03406357616989642,90
3672,nasty,-0.03404318255880127,35
13243,bash,-0.03370548474436729,1
11301,offensive,-0.03353690915182114,4
15067,christian,-0.033415147882131825,1
4458,declined,-0.0334119306832677,16
10126,struggling,-0.033296809646812614,5
5806,stranded,-0.03320539680493332,6
15078,stephen,-0.03293268013242236,1
4880,bitch,-0.03284103455432391,9
9512,inexperienced,-0.032232984850048746,3
7399,stressed,-0.03219446838654524,6
