,Word,Value,Freq
12037,revolt,-6.4571309089660645,2
736,termination,-6.284364700317383,1
3676,questionable,-6.2822065353393555,1
9217,bully,-6.215690612792969,1
9342,denies,-6.088749885559082,1
9946,grimaced,-6.05214262008667,1
8796,hepatitis,-5.96461296081543,1
9733,queer,-5.952814102172852,1
8348,lacked,-5.846802711486816,1
12100,cornered,-5.8073320388793945,1
7656,appalled,-5.7593231201171875,1
1463,lacking,-5.736738204956055,1
8033,idiots,-5.69064474105835,1
8036,fools,-5.674341678619385,1
8897,shooter,-5.667034149169922,1
12370,hoax,-5.649252891540527,1
6160,##of,-5.632274150848389,1
2186,narrowed,-5.5463151931762695,1
7439,manipulating,-5.544523239135742,1
12066,disrupted,-5.533621788024902,1
9365,plead,-5.465093612670898,1
12314,shallow,-5.438809394836426,1
5521,speechless,-5.40290641784668,1
8992,fails,-5.211539268493652,2
4239,bother,-5.165886402130127,1
9596,stalk,-5.161757469177246,1
7123,embarrassing,-5.125998020172119,3
9930,dreadful,-5.088863849639893,2
11808,charred,-5.066948890686035,1
5149,rejection,-5.014863014221191,1
11066,##plication,-5.002765655517578,1
9133,snoop,-4.9931135177612305,1
9293,arrogance,-4.9503583908081055,1
12134,needle,-4.942767143249512,1
12274,illusions,-4.937658786773682,1
8854,plea,-4.918035507202148,1
5906,defaulted,-4.91389274597168,1
12169,##iques,-4.905764579772949,1
9332,restrict,-4.857790946960449,1
7840,hissed,-4.8043622970581055,1
9394,melting,-4.78022575378418,1
12327,annoyance,-4.759401798248291,1
6725,##cut,-4.758899211883545,1
4764,abrupt,-4.7072906494140625,1
11979,bearings,-4.699586868286133,1
9393,glaciers,-4.6761698722839355,1
8043,idiot,-4.517076015472412,3
12028,skeptical,-4.513750076293945,2
9950,denied,-4.492386817932129,2
6931,declined,-4.480226993560791,5
3881,slaughtered,-4.473275184631348,1
7917,slave,-4.441778659820557,5
6649,##sty,-4.415591716766357,1
12107,pointedly,-4.342935085296631,1
5773,fired,-4.297156810760498,1
9150,tournament,-4.27225399017334,1
2287,resigned,-4.250652313232422,1
12279,reluctance,-4.235559463500977,1
8862,##lm,-4.198704719543457,1
11486,rarely,-4.016587734222412,3
9568,chilly,-4.015637397766113,1
3003,dismay,-4.013450622558594,1
11754,conscription,-3.925654172897339,1
4251,cricket,-3.925198554992676,1
7416,discontinued,-3.9231979846954346,3
7120,hoop,-3.8844680786132812,1
12540,ou,-3.8431315422058105,1
3981,##ocation,-3.811765432357788,1
5267,sorry,-3.740586280822754,18
11248,hawk,-3.7083778381347656,1
11194,frozen,-3.629155397415161,2
4657,scrutiny,-3.6018447875976562,3
11884,bound,-3.5664305686950684,1
9148,misses,-3.5442581176757812,6
6692,prisoner,-3.521799087524414,7
11424,stalked,-3.5207841396331787,1
10012,starved,-3.511129140853882,1
8775,upset,-3.5018248558044434,5
6167,siren,-3.4955902099609375,1
11546,lonely,-3.4940643310546875,1
8838,abortion,-3.4599483013153076,3
5425,ram,-3.4103331565856934,1
8835,symbolic,-3.3983170986175537,1
9295,tensions,-3.3802168369293213,1
8119,drops,-3.3648078441619873,3
4189,awful,-3.2971694469451904,2
8342,tuition,-3.2465500831604004,2
9635,fascist,-3.232630729675293,1
7836,frowned,-3.2115533351898193,3
9010,davy,-3.191843032836914,1
12488,migrate,-3.1861486434936523,1
7090,crazy,-3.1554150581359863,4
4254,##hetic,-3.1407675743103027,1
7973,##gs,-3.1334304809570312,2
8950,massacre,-3.130911350250244,2
11251,skip,-3.091838836669922,1
11507,sealed,-3.054495334625244,2
5360,crap,-3.0504534244537354,4
8179,tug,-3.040678024291992,1
1679,tough,-3.028954267501831,4
