,Word,Value,Freq
1848,lacking,-4.962946150100054,1
12512,massacre,-4.414112371206284,1
11483,Lack ,-4.101444675927952,1
9387,suspended,-4.081355267550114,1
18524,skeptical ,-3.9422535016026425,1
13156,Hacker ,-3.9125549958811865,1
11945,riots ,-3.8974170383952913,1
12093,tainted,-3.852623426251941,1
3160,Forbidden ,-3.8305213409842866,1
14276,dreadful,-3.824499392306139,2
863,termination ,-3.751768848617802,1
12210,Bruce ,-3.73660963312501,1
12463,tuition ,-3.73371701836586,1
9663,embarrassing,-3.655242463430549,3
8690,nightmares,-3.63315493948441,1
11022,Fools,-3.5888916278878846,1
12256,Hepatitis ,-3.557206658281461,1
6001,Nuclear,-3.5465757474303246,1
18237,cornered ,-3.5325685212106417,1
12732,Outdated ,-3.5150576886676608,1
16839,destroys ,-3.45511852264444,1
13248,denies ,-3.4521176020304365,1
5019,fraudulent,-3.3868561883767447,1
6653,debated ,-3.375859636553943,1
12060,Protest ,-3.3700369002413098,2
11509,lacked ,-3.361025900281722,1
12216,concussion,-3.3261127558019425,1
12898,tournament,-3.3123072355985643,1
17789,frozen,-3.275258866358887,1
18074,Impossible,-3.2337247053782145,1
17481,critical,-3.216696010482484,1
11018,idiots,-3.2020387570063273,1
13702,stalk ,-3.171919568568941,1
18088,Bleak,-3.1508726611319515,2
18404,uncomfortable,-3.147809202235843,1
11212,ash,-3.1471890453553146,1
12583,fails ,-3.111061536334817,2
16933,suck,-3.108127380741967,3
13690,Rebels ,-3.05520823768207,1
19426,outrage ,-3.052622289913761,1
10123,manipulating ,-3.051447405882201,1
3825,dismay ,-3.038720320409164,1
13171,arrogance ,-3.022063335137708,1
5470,ineffective,-2.995190703927302,1
12520,canceled,-2.9866494119167326,1
12327,bites ,-2.98325279971496,1
17046,Enough,-2.965315548082193,2
12430,Jail ,-2.9617134935326046,1
18096,Smuggling,-2.953716537431635,2
12890,porn,-2.9498659105764498,1
18185,disrupted,-2.9458399094893655,1
18146,nerve,-2.936455533511582,1
10730,Sorry,-2.933921863110293,5
12035,Missed ,-2.910210932708449,1
18288,Alone,-2.9084297890464463,1
14294,grimaced ,-2.90591394097086,1
17229,Hardly,-2.90175034503142,1
14369,Ended,-2.8909085417787233,1
9696,swear,-2.880679546793302,1
13651,chilly ,-2.8740754584471384,1
18763,hoax,-2.850974406946821,1
6687,rejection ,-2.833748759032586,1
17386,beg ,-2.8304191895962107,1
13237,restrict ,-2.8272190514538025,1
17257,torture,-2.8058025737603507,1
13976,habits ,-2.8009937672379563,1
18057,wreck ,-2.7972085784082372,2
13975,queer ,-2.794654157615001,1
4717,questionable,-2.7879157558083536,1
10189,ANXIOUS,-2.785488873720169,1
12143,Sick ,-2.7680535638143144,1
18149,Silent,-2.726281094054381,1
5222,assassination ,-2.7160734284101458,1
17394,must,-2.705949761470159,1
10082,discontinued ,-2.6782264415311645,3
11809,graffiti,-2.676715194114617,1
18126,bleak,-2.674700517726667,2
13715,split,-2.661761986878183,1
17462,EMERGENCY,-2.652812990049521,1
13276,sue ,-2.6514151307680303,2
17677,charred ,-2.639635400152674,1
10712,frowned,-2.638061597612169,3
13179,Tensions ,-2.625961577608472,1
12314,Silly ,-2.625620009501775,1
8220,trouble,-2.619218385115617,5
12616,but,-2.6165758364753566,1
12677,Sanctions ,-2.6165291861000686,1
11045,Dead ,-2.5988581585349286,3
18197,Disappeared,-2.598685417407089,2
17563,Conscription ,-2.594860762563979,1
13740,battles ,-2.59169158625106,1
18014,sink,-2.5836445182751318,1
12447,dies,-2.5633583817184826,4
17581,ruins,-2.5570598999293996,1
10441,appalled,-2.5466052114963533,1
6991,pissed,-2.5453350712855656,1
10836,slave ,-2.5430698965939937,5
5026,None ,-2.537816110430729,2
711,homeless,-2.530993317351455,1
11190,vulnerable,-2.5225893220516165,1
19489,slaughter ,-2.514662679356873,1
17647,deserted,-2.514133208919139,1
12996,Worries ,-2.508490245501426,1
16741,NO,-2.4903763498187472,4
16649,WASTE,-2.4883689403533937,1
11220,crazy,-2.486062558110357,2
17242,Never,-2.4850175187819534,2
12356,plea ,-2.4841561778552004,1
5252,incorrectly,-2.4833123456892663,1
13079,sorry ,-2.453530596342236,5
13770,fascist ,-2.4441903181492335,1
7223,speechless,-2.4396697421868643,1
17652,naive,-2.4314303247819016,1
10851,useless,-2.4259817022188948,2
14301,denied ,-2.4230178137203637,2
12237,Bad ,-2.4227800243312405,2
18646,shallow ,-2.4165822952082663,1
7778,defaulted ,-2.4121868692570665,1
13647,beheaded ,-2.396390992722341,1
18799,Cancellation ,-2.3931143354801905,1
10309,hell,-2.3891214841840562,3
12896,misses ,-2.385774963525513,6
2799,narrowed ,-2.3707996038647994,1
9546,costly ,-2.3611117523871314,4
12234,Limit ,-2.359947478818515,1
12417,shooter ,-2.3495869726415664,1
8862,corrupt ,-2.328007831405487,2
13177,Worse,-2.3174944862699003,3
18592,reluctance ,-2.314974674525947,1
2620,danger ,-2.3017622408254828,8
13927,fault,-2.300954522490645,3
12599,collision,-2.279303915680401,1
6690,Eliminating ,-2.2783949900783744,1
18585,Illusions ,-2.2741381460988914,1
17084,rarely ,-2.267531310815994,3
9358,declined ,-2.254886494551063,5
15589,smuggling ,-2.2525521007085603,1
19281,debt,-2.231965993314344,2
12937,Doubts ,-2.2258520906320314,1
14710,Watches,-2.219574955602487,1
6854,sorry,-2.2102123808881347,7
10737,unsuccessfully,-2.2060743444968782,1
6182,abrupt ,-2.1983870842385915,1
7582,fired ,-2.197583852931032,1
15035,downs,-2.1908613097328504,2
6022,scrutiny,-2.189511103688971,3
12534,slams ,-2.182518087375771,3
