,Word,Value,Freq
9286,idiots,-1.6927261352539062,1
9288,fools,-1.3801121711730957,1
12681,outraged,-1.3308730125427246,1
12785,suck,-1.2081671953201294,3
10493,bully,-1.180753231048584,1
13453,revolt,-1.0369720458984375,2
8887,appalled,-1.0254828929901123,1
13470,intimidated,-1.0133910179138184,1
8949,freak,-0.9131951332092285,1
10242,torture,-0.8639964461326599,2
10753,misery,-0.8592894077301025,2
10836,beheaded,-0.8305881023406982,1
13577,pity,-0.7979347705841064,1
9465,dumb,-0.792100727558136,10
1627,lacking,-0.758678674697876,1
10052,concussion,-0.7580153942108154,1
12613,infections,-0.7552821636199951,1
11224,dreadful,-0.7538470029830933,2
10577,hanged,-0.7332351207733154,1
8968,bum,-0.7301824688911438,3
10097,##broken,-0.7298228740692139,1
13444,bleak,-0.7188634872436523,4
10066,hepatitis,-0.7179501056671143,1
9285,screamed,-0.7129202485084534,3
8974,shit,-0.696334183216095,3
4655,awful,-0.6963300704956055,2
4660,damn,-0.694007933139801,4
9088,frowned,-0.6882774233818054,3
10994,queer,-0.6794843673706055,1
3957,fuck,-0.673680305480957,5
4349,##ones,-0.6608936786651611,2
4669,jealous,-0.6393938660621643,4
7686,dies,-0.630992591381073,12
12925,snarled,-0.6291229724884033,1
6141,sorry,-0.6230568289756775,18
9107,unsuccessfully,-0.6141226291656494,1
10455,dangers,-0.6104471683502197,1
11238,grimaced,-0.6089184284210205,1
819,termination,-0.5882575511932373,1
9470,threw,-0.5831542015075684,2
9223,slapped,-0.581810712814331,1
13523,##ump,-0.581089973449707,1
10699,##ples,-0.579888105392456,1
11457,inhibit,-0.5607919692993164,1
9295,idiot,-0.5604751706123352,3
13524,rude,-0.5595130920410156,1
8878,horrified,-0.5527687072753906,1
13491,##xia,-0.551722526550293,1
6858,slain,-0.5456684231758118,3
10169,shooter,-0.5451922416687012,1
13490,##phy,-0.5447022914886475,1
6213,pissed,-0.5437769293785095,3
10215,canceled,-0.5436969995498657,2
10259,fails,-0.541908860206604,2
8594,fished,-0.5411529541015625,1
10605,sue,-0.537761390209198,4
4049,hell,-0.5331512093544006,9
10426,misses,-0.5295620560646057,6
12963,ugly,-0.5233246684074402,6
13211,##umble,-0.5066382884979248,1
10653,melting,-0.5051450729370117,1
10687,ejected,-0.49164485931396484,1
10428,tournament,-0.4911007881164551,1
11299,starved,-0.4902327060699463,1
10469,worries,-0.48467564582824707,1
9808,goddamn,-0.4839545488357544,2
10367,coma,-0.4829981327056885,1
14089,laying,-0.48073458671569824,1
10212,massacre,-0.47955021262168884,3
12704,hurts,-0.4788758456707001,3
10047,upset,-0.4766440987586975,5
10563,arrogance,-0.4755237102508545,1
9901,kidnapped,-0.47486862540245056,5
13474,uncomfortable,-0.47280851006507874,3
3569,disappointed,-0.459825336933136,5
8261,embarrassing,-0.4544241428375244,3
9287,##nn,-0.4494788646697998,1
10630,detained,-0.4452812671661377,1
7301,stupid,-0.4440917670726776,6
3378,dismay,-0.44191431999206543,1
10093,##urn,-0.43938836455345154,3
8924,anxiety,-0.4382047653198242,1
10391,afi,-0.43604445457458496,1
8951,fucked,-0.43542027473449707,4
8822,monitored,-0.43350815773010254,1
3326,sad,-0.4318150579929352,10
8159,costly,-0.422748327255249,4
10413,snoop,-0.4219639301300049,1
11287,##omi,-0.4215865135192871,1
9166,slave,-0.42018136382102966,5
11174,agony,-0.4145939350128174,1
10806,floods,-0.4123833179473877,2
9519,slash,-0.4107871949672699,3
854,tragedy,-0.4085829257965088,3
7022,died,-0.40766647458076477,11
9237,##gs,-0.40258705615997314,2
2286,stab,-0.3996342420578003,4
10664,battles,-0.3966752290725708,2
13450,##glers,-0.39058351516723633,2
9599,lacked,-0.3904266357421875,1
8583,discontinued,-0.38659968972206116,3
7544,nightmares,-0.3809680938720703,1
9575,outdated,-0.37898755073547363,3
10914,##tile,-0.3756260871887207,1
8877,shock,-0.37512969970703125,7
12821,disgust,-0.37254148721694946,4
11062,abandoning,-0.3673408031463623,1
8213,crazy,-0.36598077416419983,5
10609,denies,-0.3650681972503662,1
4540,incorrectly,-0.36471080780029297,1
9891,kidnapping,-0.36270594596862793,1
10357,stabbed,-0.3603137731552124,3
13715,##inen,-0.3575488328933716,1
1028,fortunate,-0.35750627517700195,1
678,troubles,-0.3568730354309082,4
10338,stealing,-0.35511884093284607,5
10667,pathetic,-0.3544931411743164,1
7257,disappointment,-0.35135260224342346,3
9624,worried,-0.34996306896209717,2
11225,sighed,-0.3491642475128174,3
11180,tre,-0.3484482765197754,1
13020,embarrassed,-0.3466956615447998,3
662,offenders,-0.3463902473449707,1
13108,slaughter,-0.3445005416870117,2
5332,worse,-0.3434663414955139,14
8947,slap,-0.34235823154449463,2
10889,fault,-0.34123557806015015,5
8037,declined,-0.3410259783267975,6
12107,ruins,-0.3387460708618164,2
9962,negotiate,-0.33797478675842285,1
10222,slams,-0.33644405007362366,3
895,murder,-0.335763543844223,6
12954,guilt,-0.33531880378723145,1
5850,sob,-0.3296937048435211,3
4266,homicide,-0.32633137702941895,4
13781,hoax,-0.3248875141143799,1
7814,prisoner,-0.3245559334754944,8
2600,die,-0.32407301664352417,23
14169,bullying,-0.3233151435852051,1
13221,charred,-0.31891894340515137,1
13534,dislike,-0.3172032833099365,1
12941,##rus,-0.3171861171722412,1
5400,disaster,-0.31691670417785645,4
9193,interrupted,-0.31667542457580566,2
13442,scoffed,-0.3138008117675781,1
6609,murdered,-0.3124430179595947,2
5327,scrutiny,-0.3102671205997467,3
10248,hates,-0.3085951805114746,1
10565,tensions,-0.3028686046600342,1
8927,glared,-0.30125555396080017,3
10112,frustration,-0.3012012243270874,2
10955,unsafe,-0.29977869987487793,1
4090,questionable,-0.29943883419036865,2
7889,plead,-0.2983701229095459,2
9298,ridiculous,-0.29831862449645996,6
9127,harm,-0.29679033160209656,8
12877,envy,-0.29395413398742676,1
13446,skeptical,-0.2930256128311157,2
10904,cheat,-0.29062914848327637,1
13053,rage,-0.29019618034362793,1
13748,annoyance,-0.289808988571167,1
10793,fading,-0.28845226764678955,2
10995,ignoring,-0.28794872760772705,2
11780,headache,-0.2866699695587158,2
9522,numb,-0.28551459312438965,1
13525,annoyed,-0.28540611267089844,1
4345,blamed,-0.28509417176246643,3
10553,hurting,-0.28493523597717285,1
