,Word,Value,Freq
5141,Fuck ,-1.2479400033898114,2
14023,fuck ,-1.1539788505860737,1
8356,pissed,-1.0717889709132058,1
19967,torture,-1.0410281121730804,1
19369,outraged ,-1.0336275859484596,1
13121,Fools,-1.0327631831169128,1
19594,suck,-0.9789775967597961,3
16567,Damn ,-0.9690855897253468,2
13118,idiots,-0.9453433950742086,1
14694,massacre,-0.9148193836212158,1
20192,EMERGENCY,-0.804554263750712,1
12819,shit,-0.7827716682688061,2
12314,hell,-0.7787850631318846,3
14944,Outdated ,-0.7785558487687791,1
14400,concussion,-0.7690255377027724,1
16594,dreadful,-0.7583121622443357,2
20863,dumb,-0.7371941520801487,5
12473,appalled,-0.7339714740003859,1
14702,canceled,-0.7260310173034668,1
15013,coma,-0.7228168669201079,1
15920,beheaded ,-0.7213897705078125,1
19377,NO,-0.7207972484963003,4
12573,freak,-0.7048402972637661,1
14632,dies,-0.6945525151027618,5
21153,uncomfortable,-0.6862440260629805,1
20909,intimidated ,-0.6819620172182719,1
15760,misery ,-0.6771432218097505,2
2063,lacking,-0.6704247758502052,1
21107,Hell ,-0.6649959489466652,1
20875,bleak,-0.6607905850954041,2
15434,Deaths ,-0.6315724244824162,3
15175,Tragedy ,-0.6171968445633397,1
16611,grimaced ,-0.6128474431378501,1
20842,Bleak,-0.5964960089278599,2
8202,sorry,-0.5955222733643819,7
20310,ruins,-0.5934076737539441,1
15445,hanged,-0.590416428296253,1
783,homeless,-0.5828392329670135,1
14394,Bruce ,-0.5762493908405304,1
20158,hurts ,-0.5746310041176494,2
15128,tournament,-0.5650374015172323,1
13395,dumb ,-0.5583920998620681,5
12595,troubles,-0.5514605194330215,2
15803,Die ,-0.551311567094591,1
15295,Slain ,-0.5437489497283148,1
21049,Alone,-0.5434359908103943,1
15837,fading,-0.5398282548588652,1
14999,Killed ,-0.5321967036908151,2
1063,murder,-0.5308421141375267,3
19199,infections,-0.5226437503309127,1
6112,awful,-0.5204919154762431,2
14139,slap ,-0.5123977697455323,1
14777,fails ,-0.5118080130916468,2
13991,goddamn ,-0.5116963413026597,1
14519,Frustration ,-0.507001006603241,1
15313,sorry ,-0.5043810175549401,5
8477,disappointed,-0.5017482811365372,1
13601,Lack ,-0.4965609484248691,1
12462,horrified ,-0.4902961708348373,1
14222,crash ,-0.4803202466832267,2
15575,assault,-0.47665082045963836,1
12827,unsuccessfully,-0.4764074124987163,1
15282,bully,-0.47103425348647915,1
12798,frowned,-0.47080304225285846,3
15512,sue ,-0.460654184506053,2
9555,died ,-0.4599187924340469,7
16595,sighed,-0.4553105136468297,2
16150,Riot ,-0.4547477960586548,1
19831,snarled ,-0.45423467622862923,1
13515,mess,-0.45321672211962494,2
14642,blasts,-0.4515268272823758,1
13117,screamed,-0.4512287287485031,3
10616,dies ,-0.4503909333655925,6
16234,queer ,-0.4468646305112419,1
14140,kidnapped ,-0.44574778302972523,4
14603,shooter ,-0.4436340653707111,1
14844,Plague ,-0.4430542945861816,1
14746,torture ,-0.4410272737344106,1
14419,Bad ,-0.4395239187611474,2
12957,interrupted ,-0.43776397478012813,1
5679,fraudulent,-0.43705148696899415,1
12802,hissed ,-0.436585009098053,1
19898,ugly,-0.4348577944562597,6
7128,attacked,-0.43466784999011054,4
15640,ejected ,-0.4345824779972197,1
13131,idiot,-0.4335420217395212,3
6119,damn ,-0.42973058763685557,2
19734,Enough,-0.4271114468574524,2
15183,Dangers,-0.4221487190988329,1
13773,Decline ,-0.4212625189360245,2
12598,Bum,-0.42055298884709674,2
15454,collapse,-0.4184237136727288,2
10003,stupid,-0.4178718376097293,5
14435,Hepatitis ,-0.4134307406165383,1
11193,suspended,-0.41338733338906447,1
6127,jealous,-0.41281562464838806,3
15529,detained ,-0.4124616887834337,1
4270,Sad,-0.411598643510424,3
12820,Sorry,-0.41038458710625053,5
964,termination ,-0.40771274329528573,1
16192,fault,-0.4027825059527787,3
15320,raids,-0.4025770965076628,1
15485,denies ,-0.40192740587961107,1
16069,sinks ,-0.39981927871704104,1
15440,Cancer,-0.3997790707482232,2
16149,unsafe,-0.3958744903405508,1
9308,slain ,-0.39169853936905175,2
22368,slaughter ,-0.3910862163330995,1
4330,dismay ,-0.38908141223917275,1
14716,slams ,-0.3855437881416745,3
15981,split,-0.3842107501294878,1
12140,ANXIOUS,-0.3836815655231476,1
16909,Shame,-0.38226069609324137,1
8241,bad,-0.37872804491127543,5
15857,Floods ,-0.3787227097011748,1
20408,POLICE ,-0.37592495055425734,1
20859,ridiculous,-0.3754177984848521,2
15233,Worries ,-0.3753898514641656,1
15305,Flooding ,-0.3751438710424635,1
13622,lacked ,-0.3749363422393799,1
21019,disgust,-0.37079683323919554,1
12914,Excuse ,-0.36886097419829594,1
20516,frozen,-0.3682652990023295,1
15371,rejected,-0.3676344257412535,2
19277,WASTE,-0.3659549179531279,1
16523,agony ,-0.3597714682099474,1
15414,arrogance ,-0.35536081592241925,1
20904,broke,-0.35534134386348165,2
14615,Jail ,-0.3549312094847361,1
21000,annoyed ,-0.3516514165495435,1
10819,Prisoner,-0.3495411370245611,4
12575,fucked ,-0.3490352311930133,4
19935,Hardly,-0.3476544658342997,1
15591,Deadly ,-0.3462558534410265,1
21303,skeptical ,-0.34610031230582133,1
14158,kills ,-0.3457706838635593,6
4578,disappointed ,-0.34363444535192406,4
13863,ignored,-0.3428638979645114,2
6189,ineffective,-0.3415510140213312,1
9930,disappointment,-0.3389330840769745,1
14107,riots ,-0.3386823813120524,1
20376,deserted,-0.33715766072273257,1
15422,Tensions ,-0.3355441592988514,1
20999,rude ,-0.33531511881194276,1
13003,slapped ,-0.33320022207317934,1
12012,discontinued ,-0.33144298227565244,3
7814,sob,-0.33069967476229817,2
15126,misses ,-0.3302232238006684,6
4288,sad,-0.3254579892117523,4
2608,trouble,-0.32542083379381365,6
15975,floods ,-0.32288137475649514,1
5937,destruction,-0.322513533016992,1
14241,Bombings ,-0.318329656124115,1
15579,melting ,-0.3157562103536394,1
19703,stab ,-0.3145777638120097,3
13322,crazy,-0.3129075641469235,3
15420,Worse,-0.3123843989600803,3
7054,scrutiny,-0.31209932317209593,3
15527,Turner ,-0.3116290238168504,1
15645,Anger ,-0.3114033906887739,1
13897,bombs,-0.3112301579780049,4
19994,badly,-0.3098512358808996,1
20057,rage,-0.3095259763144113,1
16183,attackers,-0.30878719715845016,1
4341,disappointing ,-0.30752914144742105,1
20833,scoffed,-0.30741593837738035,1
11712,selfish ,-0.3055310627698025,1
14990,stabbed ,-0.30540082571358457,3
11387,costly ,-0.3051907811733247,4
14395,upset,-0.30399695303266816,5
15759,sinks,-0.30366644787926006,2
21322,disappointment ,-0.3031495807509796,2
14076,Terror ,-0.3022622770102566,3
12538,anxiety ,-0.30182128775091993,1
5556,homicide,-0.30026205948420936,1
13400,threw ,-0.2986347183348641,2
14949,stealing ,-0.29824128192383137,5
12646,shock,-0.2977950430186871,4
8929,murdered ,-0.29703706387362555,2
13258,frown,-0.2964894221888648,1
10599,dull ,-0.29464545297241956,2
21018,dislike ,-0.29462199873394435,1
5649,racism,-0.293595810731252,1
12850,poor,-0.292770996567729,2
8339,die,-0.29219769212291985,9
21554,hoax,-0.28967856566111244,1
14441,Violence ,-0.288728952336052,2
14234,Protest ,-0.28861931627790993,2
14039,Nothing ,-0.28844920613548974,1
14489,urn ,-0.2880666352883734,2
13288,vulnerable,-0.2879858131360526,1
20002,embarrassed,-0.2876560926437378,1
15415,Remains ,-0.2872880706711421,1
5686,None ,-0.2870110173473619,3
15971,exploitation ,-0.2850927412509918,1
15836,cancer,-0.2839688599906503,1
15452,Trucks ,-0.28385774862198604,1
15533,rape ,-0.28225732307241425,2
13276,shake,-0.2821849396416953,1
15274,bies ,-0.28188376065456505,1
13888,Dust ,-0.28185062542622225,1
12461,shock ,-0.27732500772564034,3
12947,useless,-0.27709822087126745,2
8391,ashamed,-0.2762886060608758,1
14757,Hates ,-0.27595101367859615,1
14548,slash,-0.27592113708262833,2
13660,worried ,-0.2758751182099462,2
20985,cornered ,-0.27579986651738486,1
14095,Militants ,-0.2757888567568076,1
21598,Cancellation ,-0.2755494259652637,1
14502,Fear ,-0.2735865908482718,2
14123,kidnapping ,-0.27357899347941084,1
4514,punish ,-0.2733259389180379,3
20401,charred ,-0.27295731504758197,1
16115,damned ,-0.2728609652273239,1
20247,haunted ,-0.2720833551413907,1
15199,Canceled ,-0.27144248759935774,1
21466,annoyance ,-0.2711287432633457,1
777,offenders,-0.2705726883628152,1
4024,killed ,-0.2695333227243303,22
11168,declined ,-0.26841333912131216,6
