,Word,Value,Freq
10493,bully,-1.5506834983825684,1
9288,fools,-1.521378993988037,1
13715,##inen,-1.267961859703064,1
8887,appalled,-1.1535212993621826,1
12681,outraged,-1.1510404348373413,1
12785,suck,-1.012163519859314,3
13470,intimidated,-1.0072760581970215,1
10836,beheaded,-0.978745698928833,1
9286,idiots,-0.9429399967193604,1
1627,lacking,-0.8941731452941895,1
9465,dumb,-0.8902291059494019,10
11224,dreadful,-0.8512188196182251,2
10052,concussion,-0.8143038749694824,1
13453,revolt,-0.8016946315765381,2
9285,screamed,-0.792153537273407,3
10753,misery,-0.7918410301208496,2
13577,pity,-0.7898702621459961,1
4655,awful,-0.7699068784713745,2
8949,freak,-0.7653536796569824,1
10242,torture,-0.7640901803970337,2
6141,sorry,-0.7520513534545898,18
4660,damn,-0.7479109764099121,4
3957,fuck,-0.7415309548377991,5
6415,speechless,-0.7397429943084717,1
13444,bleak,-0.7377114295959473,4
10469,worries,-0.7316672801971436,1
8968,bum,-0.7179851531982422,3
10577,hanged,-0.7007207870483398,1
10066,hepatitis,-0.6995158195495605,1
7686,dies,-0.6707973480224609,12
8974,shit,-0.6681725382804871,3
12613,infections,-0.667064905166626,1
10605,sue,-0.6640484929084778,4
8878,horrified,-0.6517155170440674,1
4669,jealous,-0.6499013304710388,4
10215,canceled,-0.6209731101989746,2
11238,grimaced,-0.618182897567749,1
9223,slapped,-0.6108875274658203,1
10391,afi,-0.6058375835418701,1
9088,frowned,-0.6054518222808838,3
9295,idiot,-0.5981967449188232,3
10097,##broken,-0.5936465263366699,1
12836,penis,-0.5833020210266113,1
11299,starved,-0.5803344249725342,1
10259,fails,-0.575000524520874,2
8924,anxiety,-0.5600533485412598,1
12963,ugly,-0.5510014295578003,6
6213,pissed,-0.5470224022865295,3
4049,hell,-0.5431509017944336,9
13070,anguish,-0.5425622463226318,1
10169,shooter,-0.5361292362213135,1
8951,fucked,-0.5314445495605469,4
12954,guilt,-0.5239162445068359,1
11457,inhibit,-0.5198674201965332,1
9107,unsuccessfully,-0.5197806358337402,1
11780,headache,-0.517876148223877,2
7301,stupid,-0.5165802836418152,6
13525,annoyed,-0.5156130790710449,1
13147,haunted,-0.5142340660095215,1
9519,slash,-0.5135452151298523,3
8261,embarrassing,-0.5106191039085388,3
10367,coma,-0.5090436935424805,1
4185,bastard,-0.5087110996246338,1
13524,rude,-0.5050568580627441,1
9166,slave,-0.5047801733016968,5
9901,kidnapped,-0.5004768967628479,5
12969,outrageous,-0.4918835163116455,1
13781,hoax,-0.49138641357421875,1
13491,##xia,-0.4886941909790039,1
12821,disgust,-0.4874476194381714,4
10413,snoop,-0.4859018325805664,1
7022,died,-0.48555275797843933,11
7814,prisoner,-0.4837828576564789,8
13474,uncomfortable,-0.47934213280677795,3
10664,battles,-0.4774055480957031,2
12925,snarled,-0.4743223190307617,1
10806,floods,-0.47343337535858154,2
6609,murdered,-0.46848416328430176,2
9287,##nn,-0.4612092971801758,1
6858,slain,-0.4464946687221527,3
3326,sad,-0.44369620084762573,10
9470,threw,-0.44030243158340454,2
13523,##ump,-0.4396367073059082,1
10994,queer,-0.43925905227661133,1
13442,scoffed,-0.43658876419067383,1
10563,arrogance,-0.43002843856811523,1
4334,slaughtered,-0.4251439571380615,1
12892,bored,-0.42313456535339355,1
13252,liable,-0.4182584285736084,1
7544,nightmares,-0.41666531562805176,1
12877,envy,-0.4141075611114502,1
10212,massacre,-0.4134925901889801,3
9599,lacked,-0.41086721420288086,1
9575,outdated,-0.40914273262023926,3
10837,nightmare,-0.40860962867736816,1
4266,homicide,-0.4071081876754761,4
9239,cursed,-0.4056689739227295,1
3378,dismay,-0.40564489364624023,1
