,Word,Value,Freq
13601,Lack ,-0.5104502293428156,1
14694,massacre,-0.43880513277318745,1
20090,Anguish,-0.37405701039130224,1
2063,lacking,-0.3642905530475435,1
12462,horrified ,-0.29591863287819753,1
13622,lacked ,-0.2844208553433418,1
13991,goddamn ,-0.2748926122983296,1
5661,slaughtered ,-0.26887237240269835,1
14632,dies,-0.2465271734034034,5
16594,dreadful,-0.24405073585770864,2
22368,slaughter ,-0.23945150774467772,1
16567,Damn ,-0.23507892405396863,2
8339,die,-0.2208996469638995,9
9555,died ,-0.21774307984415392,7
14268,tainted,-0.21440737578603958,1
21000,annoyed ,-0.21150740373376345,1
12802,hissed ,-0.20884867807229357,1
5604,deadly,-0.201639187365186,1
19994,badly,-0.20090926238392773,1
12850,poor,-0.1975637870582389,2
13395,dumb ,-0.19474993581278724,5
964,termination ,-0.18762031865842416,1
21265,abusive ,-0.18580823594191456,1
21090,swore,-0.18463298674889972,1
20470,liable ,-0.18453619158075701,1
6119,damn ,-0.18236089035502862,2
12996,Bloody ,-0.18227115807481092,4
21088,pity,-0.18036819689572087,1
21466,annoyance ,-0.1788631671391544,1
10003,stupid,-0.17450925484737032,5
14035,discontent ,-0.17218470706927133,1
20158,hurts ,-0.16974601543797202,2
9859,vile ,-0.16952045190901985,1
14777,fails ,-0.16668225827148558,2
10616,dies ,-0.16003452293747017,6
19424,hurts,-0.15892932379557637,1
13826,Crash ,-0.15760131761281182,1
14139,slap ,-0.1566848554712036,1
20686,treating ,-0.1505287680683542,1
16901,ted,-0.14747944611769462,1
16900,wee,-0.14747944611769462,1
22307,outrage ,-0.14654792220025628,1
8012,rejection ,-0.14534117484634573,1
5141,Fuck ,-0.1431387250041549,2
11533,fake ,-0.14258996261073847,3
20234,ignoring ,-0.14206787880669292,1
15981,split,-0.1399249964290195,1
12610,shit ,-0.13915432300230468,1
14023,fuck ,-0.13547200986317226,1
5847,fucking ,-0.13422408287841708,2
18975,succeeded ,-0.13340055555908223,2
21429,frustration,-0.13314212338537235,1
15760,misery ,-0.13198566436767578,2
12204,undermine ,-0.13076328448627306,1
13905,mat,-0.13020815453705362,1
13906,zo,-0.13020815453705362,1
4341,disappointing ,-0.1300405264992417,1
21233,NORTH ,-0.12996115783850337,1
11130,ERA ,-0.12983655591246823,1
20247,haunted ,-0.12948483512515113,1
12629,Oh ,-0.12948150861830943,1
9308,slain ,-0.12876086618687096,2
13512,crashed ,-0.12822439043828518,1
3394,threatening ,-0.12636168322691704,2
12589,slit ,-0.12519585183172532,1
