,Word,Value,Freq
12525,daring,-3.2759900093078613,1
14351,##jean,-3.142477035522461,1
7490,expansion,-2.5655555725097656,1
15026,torch,-2.469233989715576,1
12713,tammy,-2.3684377670288086,1
7771,##mental,-2.315833330154419,1
12816,devotion,-2.262636423110962,1
13017,ireland,-1.9593596458435059,1
10760,arbor,-1.9272432327270508,1
11773,filipino,-1.9181219339370728,1
4655,global,-1.8603689670562744,1
9634,summary,-1.7893383502960205,1
14755,convictions,-1.7742372751235962,1
10230,goodwill,-1.7290704250335693,2
7202,backgrounds,-1.7015420198440552,1
7294,retiring,-1.655953049659729,1
14294,piercing,-1.6314010620117188,1
13883,##dates,-1.6297674179077148,1
8512,believing,-1.5229096412658691,2
10070,acquire,-1.5094401836395264,1
13129,snout,-1.4716497659683228,1
8250,##mise,-1.4575647115707397,1
14773,politician,-1.4439220428466797,1
12178,depend,-1.4438799619674683,1
8526,pirates,-1.4271007776260376,2
14882,##rney,-1.4108401536941528,1
7604,dictatorship,-1.4074280261993408,1
14009,betrayed,-1.3909683227539062,1
10796,forwards,-1.3876276016235352,1
13165,stitch,-1.3700569868087769,1
11203,##nosis,-1.3604562282562256,1
11220,naming,-1.3282952308654785,1
10991,arun,-1.315466284751892,1
9604,brody,-1.2657935619354248,1
11071,noses,-1.2650779485702515,1
14721,maverick,-1.2618489265441895,1
14006,somali,-1.254126787185669,1
8529,biker,-1.2494208812713623,1
13795,huey,-1.2287362813949585,1
14260,flanagan,-1.2261202335357666,1
12826,nfc,-1.2237128019332886,1
10000,##isman,-1.1994240283966064,1
11179,46,-1.1961572170257568,2
14823,beaver,-1.1910784244537354,1
13751,chess,-1.168994426727295,1
15024,illustrator,-1.1595609188079834,1
10325,splitting,-1.155873417854309,1
2313,softness,-1.149978518486023,3
14935,assists,-1.1372299194335938,1
14004,breast,-1.1356241703033447,1
13839,cycling,-1.1282190084457397,1
11882,trinidad,-1.124999761581421,2
6218,vibrant,-1.1147459745407104,2
14982,##lete,-1.1137309074401855,1
14648,conjecture,-1.1085249185562134,1
6203,probe,-1.096662163734436,1
11045,promotion,-1.0948596000671387,1
13453,penguins,-1.0938982963562012,2
11927,invitation,-1.0816683769226074,2
10207,drifting,-1.0782030820846558,2
13272,sponsorship,-1.0632553100585938,1
5624,appealing,-1.0617480278015137,2
10957,genus,-1.0531790256500244,1
10215,cheers,-1.0479799509048462,6
7738,trump,-1.0368205308914185,1
13851,chicks,-1.031166911125183,1
14556,lure,-1.0291271209716797,1
13884,chapman,-1.028739333152771,1
12787,expose,-1.0234335660934448,1
7542,flames,-1.0198078155517578,4
7489,struggles,-1.0154377222061157,2
14835,futile,-0.9996658563613892,1
12122,fatima,-0.9979740381240845,1
8708,initiation,-0.9975794553756714,1
9487,enthusiasm,-0.994610607624054,3
10969,reassure,-0.9929952621459961,1
3677,##tooth,-0.9904397130012512,1
13961,senses,-0.9806709289550781,2
3490,kissing,-0.9786912798881531,3
10073,catcher,-0.9784531593322754,1
9693,survivors,-0.9729280471801758,5
13249,rosy,-0.9706277251243591,1
13873,governor,-0.9659388661384583,1
2170,salesman,-0.9644409418106079,1
9292,relieved,-0.9574986100196838,2
8060,##ulsion,-0.9571976065635681,1
9909,dyke,-0.9571869373321533,1
14736,staircase,-0.9546859860420227,2
12585,gravity,-0.9543554782867432,1
