,Word,Value,Freq
16739,Divine,-2.340230930894857,1
15494,enthusiasm,-2.334692690379563,1
20071,Huff,-2.238190796506398,1
20905,EAT,-2.0695991475721853,1
10728,mondays,-2.058012546930048,1
26584,thrilled,-2.0239759367946473,1
21330,VACATION,-1.948383947781154,1
12091,Detention ,-1.84553025930876,2
9190,vibrant,-1.8136671885738878,1
6004,Bitterness ,-1.7977967741065204,3
15152,reindeer,-1.7707787171847398,1
3017,HAPPINESS,-1.7622867069953572,2
12476,Outrage ,-1.7157703933148094,1
26551,Begin,-1.7092100562793868,1
28944,530,-1.683514417916762,1
12623,celebrate,-1.6748944852208973,1
14319,happier ,-1.6652204483909818,3
26103,showered,-1.663920338608909,1
12031,happy  ,-1.658592500559964,2
29838,whenever,-1.6426826044917107,1
28535,homecoming,-1.6397736845666577,1
12047,Calculus,-1.6050537145637966,1
24490,BLESSED ,-1.5928873123924787,1
1371,mood  ,-1.5791941028618035,1
3362,Bored ,-1.5646900457449988,5
19163,DECEMBER,-1.5622586686882403,1
10700,discussion ,-1.5525174750505308,1
10849,nonstop ,-1.545727670512029,1
15035,braid ,-1.5434992512051733,1
28422,excited  ,-1.5351165147245804,1
19840,Meanwhile,-1.4688970524120575,1
13698,outing ,-1.4615083845066172,1
22601,Roses,-1.4510660572830356,1
19249,Crap,-1.4453149346784613,1
24603,Stuffing ,-1.4361930021620322,1
27486,remake ,-1.4345219927403452,1
25830,bringing,-1.4164123983610244,1
27835,Jessie ,-1.3983923266326674,1
18800,fiesta,-1.3971752521892389,1
15769,Homework ,-1.3911680868997818,3
5634,Delight ,-1.3907799791046873,2
23608,exercises  ,-1.3869445891607375,1
15685,happy   ,-1.3861048378442464,1
18761,pleasures,-1.3846732751179234,1
29001,Wished ,-1.376880858899995,1
25097,dime ,-1.3616609990187398,1
7139,bitterness,-1.3428147536069737,1
27153,sacked,-1.332450520992279,1
19344,applause ,-1.329127527276675,1
26525,betrayed,-1.3274467869116795,1
14981,cardboard,-1.327354668848442,1
28306,enjoyable,-1.3235837437922044,1
7871,"planned 
",-1.3202727125097926,1
28006,keynote ,-1.3161522680364925,1
22045,lacrosse ,-1.3150092638319446,1
18237,activities ,-1.3135649068724542,1
26888,concerts ,-1.3091741944202269,1
20461,blah ,-1.305650039715863,1
27708,EXCITED,-1.2998950343905833,1
28604,RUSH ,-1.2977296669213545,1
23526,CHURCH ,-1.288905901172051,1
21039,midsummer ,-1.28804017276336,1
12674,Teresa,-1.2765969194310567,1
27201,Fireworks ,-1.2696769500335494,1
18043,Gemma ,-1.2689193286918505,1
17754,Workshop ,-1.2657571714371443,1
10901,DVDs,-1.256683092102031,1
20376,connie ,-1.2508529949799563,1
25217,DISGUSTING,-1.2462406968529973,1
17198,flowers,-1.2408571073603327,1
16699,fracture ,-1.2401623098554084,1
10241,Sundays,-1.2336013795751515,1
25829,Fourth ,-1.2316569873619647,1
25685,Angry ,-1.224671164222582,4
28745,Fix ,-1.2170574640086482,1
5231,Concert,-1.2147429542527313,1
25476,Showers ,-1.2046729844025892,1
28441,Passion ,-1.1963989899428653,1
4827,Calculus ,-1.1924598247871607,1
18910,giggled ,-1.1877313451346332,1
13984,Football ,-1.183508488780569,3
14264,Goodness,-1.1797267747954243,1
17283,Winning ,-1.1792608420054118,1
10917,Kisses ,-1.1734836739726215,1
7386,crush,-1.1728394945790828,1
16548,SINCERELY ,-1.166821402559349,1
18772,engineer ,-1.1620375338913802,1
29487,staircase  ,-1.1617111865390133,1
13355,Lecture ,-1.155679675162423,1
19001,plot,-1.1512020158813372,1
21525,Closed,-1.150544724353249,1
20476,Refreshing ,-1.1488519239002,1
29538,Prank,-1.146011229728797,1
6099,carrot ,-1.144221161523213,1
29786,relieved,-1.1422073762298335,1
21449,SWEAR ,-1.1380606795314188,1
20693,Eight ,-1.1372429183260961,1
23913,give   ,-1.1368006727545734,1
28408,FAULT ,-1.136671377353983,1
25662,hmm ,-1.1340020656135383,1
2738,SCHEDULE ,-1.1339577371162781,1
5218,fundraiser ,-1.1329470273259428,1
17460,Laughter ,-1.1315837119828631,2
10481,Anyway,-1.1287339457560948,1
29763,IMAGINE,-1.1234450344156515,1
5079,transportation,-1.1207034289836884,1
19827,bonding ,-1.1185530782312245,2
20325,SIGH,-1.114287427472451,1
22317,Spaghetti ,-1.1133901106137218,1
28320,Detention,-1.1124587221569193,1
26582,february,-1.1114994892816403,1
14116,AWAKE ,-1.1075220310581937,2
11247,visa ,-1.106185513142592,1
5732,Retreat ,-1.0990018073455303,1
22950,putting,-1.0944530761001086,1
13702,PISSED ,-1.0906412541356547,1
28266,governance ,-1.088969378625281,1
22690,clinic ,-1.0889284447736407,1
25564,FRIDAY,-1.0833389616394653,2
14906,CHRISTmas ,-1.0796931858697638,2
25635,bastard,-1.0784647484695105,1
12294,SARCASM ,-1.077478017569138,1
28294,cheered ,-1.0755463901097242,1
28426,CRAP,-1.0755042777244705,1
5790,Pleased ,-1.0732590301575147,2
24552,Vegas,-1.0603372030712614,2
28323,audience,-1.0589529883836497,1
13391,Campus,-1.0577176249482565,1
20785,separation ,-1.056039543543352,1
19180,ESSAY,-1.056016832692066,1
13193,FRIEND ,-1.0555952304020573,2
26555,sliced ,-1.0520935191048517,1
22444,iced ,-1.0517902199586082,3
11842,Sunshine ,-1.0507935105196011,1
22952,baseball,-1.0475848115407504,1
21711,Blame ,-1.044315464429922,1
16273,HOMEWORK,-1.0435692523503288,2
448,17th,-1.0396044429493758,1
15825,Classes,-1.0394369111819701,1
10198,Pastry ,-1.0378846687263397,1
13989,bothered,-1.0362770673911876,1
16565,HAPPY,-1.0306945016718734,4
13634,Dessert ,-1.0294109033960903,1
9431,depressed,-1.0282053543195977,6
24714,palette ,-1.0260612860975133,1
19385,delight,-1.0231240799387393,1
16809,SURPRISE,-1.0201642533706323,3
22238,radiant,-1.0195406468076964,1
27537,IPHONE ,-1.0192725170403718,1
16128,whisky ,-1.0191964945823195,1
17073,Goodwill ,-1.0184464937011535,1
29717,mouths,-1.0183314807233756,1
22208,sec,-1.0180671692722374,1
9255,Humor,-1.0176234075352557,3
16550,JOY ,-1.0169673986722576,10
12224,song  ,-1.015300238577799,1
11201,retiring ,-1.0144133635216572,1
26620,Pregnant ,-1.0123782271996657,1
27960,textbooks,-1.011535157220773,1
28778,CALLING ,-1.0095298564702433,1
6777,Ruining ,-1.0090678165424007,1
17753,Improvisation ,-1.0074096638709307,1
17746,Crying ,-1.0073534161634075,2
28246,Slice ,-1.006864867478738,1
25439,spending,-1.0059608737941268,1
11294,IPhone,-1.0037982247592436,1
28077,explodes,-1.003697505663166,1
26738,dismissed,-1.0030593054853583,1
22186,vain ,-1.0027911433529468,1
950,Joy ,-1.0016124788259602,61
20302,England,-1.0003478804532904,1
29243,NET ,-1.0001875760959602,1
29575,Sober,-1.0000468180884443,1
20505,Enthusiasm ,-0.9987590195167633,1
16305,MORNING,-0.9973129099505778,2
15344,Funeral ,-0.9923867503928308,2
27330,Patricia,-0.9910250156561076,1
13985,banquet ,-0.9909642431885004,4
24464,exiled ,-0.9901233105964604,1
10954,Grading,-0.9895175468619319,1
28267,liberated,-0.9893593885734969,1
18540,deficiency,-0.988078041156434,1
23331,speechless ,-0.9875006471998677,2
16576,sociology,-0.9857221485256696,1
5171,SPITE,-0.9855799872429678,1
14232,protein ,-0.9853632115851063,1
16041,Yoga ,-0.9837198903064932,2
17572,kissed ,-0.9818021630793347,1
21149,Nap ,-0.979429234067599,1
18225,arbor,-0.9793634361728576,1
10240,Lazy ,-0.9788725484136154,3
12636,Cloudy ,-0.9758136529856911,2
25624,Tiny,-0.9724518386318723,1
27892,HOLIDAY ,-0.9716603697106406,2
18961,Brilliant,-0.9716166158782144,2
19659,Sneak ,-0.9710901623968766,1
24460,Cindy ,-0.9689066058198246,1
26246,progressive ,-0.9687391039182816,1
13390,Prayer ,-0.9677564300700194,2
18014,behave ,-0.9654860006072821,1
8381,consequences ,-0.9647472675227838,1
