,Word,Value,Freq
11058,giggled,-4.384384632110596,1
9910,##claim,-3.5759682655334473,1
13107,luxury,-3.3348896503448486,1
6272,accused,-3.267958402633667,2
10890,deficiency,-3.266040086746216,1
6218,vibrant,-3.097644329071045,2
5709,spokesperson,-3.096653938293457,1
13082,swan,-3.072964906692505,1
9587,insult,-2.9019579887390137,2
7294,retiring,-2.781528949737549,1
8859,protein,-2.700812578201294,1
13205,appreciated,-2.618422508239746,1
3979,relay,-2.594210386276245,1
6865,neglect,-2.5753395557403564,1
2430,dedication,-2.5589804649353027,2
13262,vase,-2.5540032386779785,1
13560,convergence,-2.5361287593841553,2
14972,beetle,-2.4660263061523438,1
14497,sleeper,-2.4451117515563965,1
8308,temptation,-2.433806896209717,1
7808,emory,-2.3584706783294678,1
10350,disturbed,-2.345984935760498,1
13851,chicks,-2.334423303604126,1
8570,##tious,-2.3325705528259277,2
6519,converted,-2.29549241065979,1
14959,creator,-2.265585422515869,1
6735,##feit,-2.262592315673828,1
15092,denny,-2.2527315616607666,1
10352,reggae,-2.249828815460205,1
12928,##bound,-2.212052822113037,1
12737,wireless,-2.1785268783569336,1
8273,##odle,-2.1580371856689453,3
10723,inheritance,-2.157550811767578,1
13097,improvements,-2.1211907863616943,1
11225,acacia,-2.1170239448547363,1
6593,customs,-2.0457301139831543,1
7315,visa,-1.9812390804290771,2
11786,##firm,-1.9724409580230713,1
9837,guitarist,-1.9713295698165894,1
3263,vegetarian,-1.9643043279647827,3
12506,paced,-1.9608244895935059,1
3819,bitter,-1.95854914188385,7
6288,coordinator,-1.95173978805542,1
11304,encouragement,-1.9174494743347168,1
12945,brandy,-1.9108116626739502,1
13996,scorer,-1.9093362092971802,1
5430,comedian,-1.8657152652740479,2
13981,vowed,-1.8341959714889526,1
10382,width,-1.8155103921890259,1
5031,grief,-1.7975655794143677,7
3880,whereabouts,-1.7969049215316772,3
12837,seduce,-1.7913501262664795,1
14449,##vious,-1.7880741357803345,1
3290,compare,-1.7829694747924805,4
12880,hometown,-1.7785167694091797,1
9939,counts,-1.7665965557098389,1
7926,outrage,-1.7562183141708374,1
15014,straightened,-1.739455223083496,1
8307,##pse,-1.7243512868881226,1
8708,initiation,-1.698499083518982,1
13395,plants,-1.6923797130584717,2
5620,##ditional,-1.684546709060669,1
14506,nebraska,-1.6434067487716675,1
4440,genetic,-1.6432087421417236,1
5967,happier,-1.6190097332000732,5
12772,dealers,-1.6111574172973633,1
12729,chow,-1.5969456434249878,1
12307,##acious,-1.5964722633361816,2
9841,syndrome,-1.5955696105957031,1
6165,sponge,-1.5949091911315918,3
9487,enthusiasm,-1.5930203199386597,3
13396,palette,-1.5867228507995605,1
11667,connie,-1.574198842048645,1
13668,fighters,-1.5686126947402954,1
14771,manila,-1.5442736148834229,1
13847,nostalgia,-1.535983681678772,3
4429,reduced,-1.5283678770065308,2
4202,efficiency,-1.5267012119293213,1
14958,fatigue,-1.5235999822616577,1
13977,warp,-1.517777919769287,1
14507,keynote,-1.512847661972046,1
13554,empire,-1.5062034130096436,1
6899,freud,-1.505730390548706,1
5715,remedy,-1.5044304132461548,3
7043,discussion,-1.4937137365341187,4
14482,innovation,-1.4915697574615479,1
4279,exception,-1.4913359880447388,1
12684,smacked,-1.4900046586990356,2
9252,benefit,-1.489662528038025,2
7771,##mental,-1.4879790544509888,1
13089,marrying,-1.4836397171020508,1
10348,pear,-1.474813461303711,3
6293,settling,-1.4744036197662354,2
14282,##eon,-1.474027395248413,1
10858,timetable,-1.4647929668426514,2
9137,##ksha,-1.463839054107666,2
2665,affection,-1.4630565643310547,2
8050,##nant,-1.4604854583740234,1
14211,grassy,-1.4452526569366455,1
8061,disapproval,-1.4202795028686523,1
8527,ghosts,-1.419745683670044,1
3998,##gill,-1.4186512231826782,2
12479,pollen,-1.4164382219314575,2
6279,disgust,-1.4143853187561035,9
11027,##rangle,-1.4000164270401,1
10177,communications,-1.397741675376892,2
4671,santo,-1.3912818431854248,1
14494,##cious,-1.3851630687713623,1
8663,install,-1.3833096027374268,2
3011,anger,-1.3700755834579468,103
11128,##icient,-1.3675527572631836,1
6763,skeleton,-1.3651033639907837,1
11104,arresting,-1.3552899360656738,1
15055,rotation,-1.353250503540039,1
10336,slack,-1.3495783805847168,1
14246,reunited,-1.3455188274383545,1
5892,dotted,-1.3390893936157227,1
14782,##fide,-1.3352689743041992,1
11719,shrug,-1.332933783531189,1
12683,##dicate,-1.3234854936599731,3
12910,shrink,-1.3209381103515625,2
7401,mascara,-1.3169143199920654,1
7751,##biology,-1.3159970045089722,2
7845,athletic,-1.312114953994751,2
12497,oriented,-1.3118476867675781,1
15161,aspects,-1.3082934617996216,1
9157,wharf,-1.301937460899353,1
13650,##rator,-1.2970147132873535,1
13273,slips,-1.2945541143417358,2
3490,kissing,-1.2918797731399536,3
5047,marijuana,-1.2891021966934204,4
6136,asshole,-1.2852505445480347,11
10027,vega,-1.2849963903427124,3
5515,##laze,-1.2789428234100342,1
4865,performs,-1.2776061296463013,1
12785,##atable,-1.2689944505691528,1
13438,honored,-1.2667330503463745,1
7471,nosed,-1.261271595954895,1
9799,berlin,-1.2601230144500732,1
2327,noticing,-1.2597721815109253,1
10629,remake,-1.255675196647644,3
7396,##rba,-1.2556483745574951,4
8786,rented,-1.2555254697799683,1
853,overcome,-1.2520301342010498,12
13216,crosses,-1.2509255409240723,1
3451,cheat,-1.2478893995285034,3
4336,##som,-1.2378334999084473,2
7612,elevator,-1.237810730934143,3
14599,liga,-1.2369964122772217,1
13242,yeast,-1.2358685731887817,2
2801,visitors,-1.231582760810852,1
5802,##berto,-1.2304697036743164,1
6301,gag,-1.2262072563171387,4
5491,skull,-1.2131136655807495,1
7410,guessed,-1.2048754692077637,1
9832,pace,-1.2009975910186768,2
12172,relativity,-1.1971420049667358,1
9822,weeping,-1.193609356880188,7
13599,oversized,-1.1885777711868286,1
2208,celebrate,-1.185880184173584,38
12767,posture,-1.1642606258392334,2
5014,assistance,-1.1605346202850342,1
10053,fracture,-1.1584177017211914,1
11727,##oped,-1.1550593376159668,2
8698,improves,-1.1548328399658203,1
8111,seasons,-1.1542866230010986,2
9201,##enity,-1.153852939605713,3
8435,##pas,-1.153290033340454,1
12451,devoted,-1.1528691053390503,1
7553,youthful,-1.1512842178344727,1
8169,upgraded,-1.1490402221679688,4
11905,fireworks,-1.1490039825439453,2
13534,beliefs,-1.1413588523864746,1
8192,polka,-1.1389604806900024,1
10434,flopped,-1.1377990245819092,1
14446,wheels,-1.1364850997924805,1
14602,governance,-1.1347697973251343,1
10006,fabric,-1.1342835426330566,4
11986,dal,-1.1307122707366943,2
11780,##acy,-1.1305043697357178,2
965,resentment,-1.1287598609924316,2
2533,canal,-1.127841830253601,3
14234,advocate,-1.1255522966384888,1
5523,xv,-1.1252641677856445,1
14359,cycles,-1.1204167604446411,1
10952,disks,-1.116105556488037,1
11481,grains,-1.1153020858764648,1
7602,believer,-1.1152539253234863,4
7050,empathy,-1.114120364189148,3
12030,herd,-1.1122442483901978,1
14489,textbooks,-1.11088228225708,1
13230,paradox,-1.1060339212417603,1
11899,grid,-1.1045067310333252,1
14298,vanity,-1.0995742082595825,1
13952,particular,-1.095651626586914,1
5677,regain,-1.0789151191711426,2
5557,dime,-1.0740966796875,3
14939,este,-1.0734862089157104,1
11954,tire,-1.0733907222747803,8
8615,remind,-1.0715605020523071,8
13928,consisting,-1.0709704160690308,1
9581,servant,-1.0662081241607666,2
11426,boasts,-1.065683126449585,1
6774,ign,-1.0651285648345947,1
13711,attraction,-1.0648678541183472,1
964,harbor,-1.0623528957366943,1
7136,subjected,-1.05811607837677,3
14971,##imo,-1.0544824600219727,1
13231,##rds,-1.0514336824417114,3
593,staging,-1.0426735877990723,1
12475,divorced,-1.0411781072616577,1
2888,ambassador,-1.0373156070709229,3
9755,promotional,-1.0341448783874512,1
12713,tammy,-1.0315731763839722,1
9880,develops,-1.0290696620941162,1
4114,delight,-1.0278958082199097,12
13550,diesel,-1.0251821279525757,1
13608,firth,-1.0216659307479858,1
6665,jessie,-1.0203113555908203,4
3168,##rook,-1.0190489292144775,1
8977,1a,-1.0170046091079712,4
15056,rotate,-1.0152853727340698,1
7441,hallmark,-1.0139379501342773,2
5866,complain,-1.0120288133621216,6
1573,capital,-1.0111745595932007,4
11341,arrogant,-1.0111240148544312,2
5063,frustrated,-0.9974743127822876,5
7381,disorder,-0.9939975142478943,3
