,Word,Value,Freq
21330,VACATION,-2.758394459741456,1
7139,bitterness,-2.72168998658055,1
27201,Fireworks ,-2.696365856627623,1
6854,DUMP ,-2.6643203017644552,1
26582,february,-2.5309536159038544,1
18910,giggled ,-2.450748103139577,1
5634,Delight ,-2.4439067482686383,2
7386,crush,-2.4254681923323207,1
25685,Angry ,-2.395869952991229,4
15494,enthusiasm,-2.3723604945199828,1
14116,AWAKE ,-2.3443431666142853,2
20197,Revenge ,-2.312549230806968,1
24899,Psalms,-2.3116009073598045,1
3017,HAPPINESS,-2.2875224333858206,2
9691,Celebrate ,-2.276815725047503,17
19163,DECEMBER,-2.093474675817736,1
9255,Humor,-2.0450092883720807,3
28941,Grief,-2.040906645580789,1
28422,excited  ,-2.020226450264454,1
28905,hAPPiNESS,-2.0079751519486306,1
1371,mood  ,-1.9339421608231284,1
16565,HAPPY,-1.9319302415480655,4
21117,buzz ,-1.9044669994784669,1
27947,stunned ,-1.9035949182223153,1
19385,delight,-1.8882590763740712,1
10754,Anger,-1.8790920945071754,1
27250,Frustrated ,-1.8758888637114848,1
24239,adults,-1.8532639213015527,1
26632,Sucks,-1.8418795771132677,1
21041,Disgust ,-1.8327962094610868,1
20071,Huff,-1.8068925524412682,1
20905,EAT,-1.7905989959836006,1
28535,homecoming,-1.7844914323015655,1
11842,Sunshine ,-1.7830116162697474,1
16305,MORNING,-1.771946340556378,2
21421,goodNight ,-1.769808312691748,1
7830,Awe ,-1.754578484640475,1
8045,dime,-1.749809477974971,2
27892,HOLIDAY ,-1.7489111958554497,2
25217,DISGUSTING,-1.742409222210065,1
9190,vibrant,-1.7377541395170348,1
14431,Friendship ,-1.7160111473763688,1
13160,Feast ,-1.7036238122505671,1
17572,kissed ,-1.698147557122125,1
22444,iced ,-1.6944507712562034,3
12059,COFFEE ,-1.6938429896947784,1
18761,pleasures,-1.692443001907515,1
22317,Spaghetti ,-1.680775075033307,1
23975,Meal ,-1.6780399863823101,1
16739,Divine,-1.6767214480787516,1
11201,retiring ,-1.675073980457253,1
9156,PEACE ,-1.6667926372081017,3
12476,Outrage ,-1.6642600840164556,1
23657,Jen ,-1.66121492224435,1
24007,luxury ,-1.6395098792182075,1
9315,coordinator,-1.6329981704498184,1
28604,RUSH ,-1.6216591373085976,1
27068,dim ,-1.6134985470596481,1
18237,activities ,-1.596231948016655,1
16128,whisky ,-1.5920292139617782,1
29737,Denny,-1.583715522270172,1
13732,PARADE,-1.5832012544075649,1
6581,tO ,-1.5789462573471522,1
10722,grief ,-1.5683364117016412,2
28426,CRAP,-1.5638946236034448,1
603,healing,-1.5614610801117577,1
24234,appreciated ,-1.551622073758732,1
8463,Congratulations ,-1.5505123334740731,2
25331,Dare ,-1.549730880207875,1
2738,SCHEDULE ,-1.5427570934407413,1
27180,YELL ,-1.5369378108377032,1
29001,Wished ,-1.5362158038399436,1
11294,IPhone,-1.5346419134931195,1
2561,disappointed ,-1.5340001600409487,8
15658,Softball ,-1.5332664921879768,1
27835,Jessie ,-1.5310680382405786,1
28441,Passion ,-1.5298658596295298,1
8304,spokesperson ,-1.5293315970310437,1
16550,JOY ,-1.5279590632046527,10
21672,Reminded ,-1.5249273430146895,1
25818,Pep ,-1.5232005178307493,1
25564,FRIDAY,-1.5102552677480838,2
14319,happier ,-1.5019050122526394,3
24241,cry   ,-1.5018997072345681,1
24490,BLESSED ,-1.4840715164022569,1
13532,THURSDAY,-1.4760568633675575,1
15344,Funeral ,-1.4741819728579786,2
20325,SIGH,-1.4684039678643732,1
4167,Anger ,-1.4551541866895445,17
5693,SCHOOL ,-1.4501581910732657,3
25448,Waiter ,-1.446053077528874,1
26882,chilled,-1.4408688875890914,1
2282,sing  ,-1.4370537577196956,1
21847,CRYING,-1.4353802538053555,1
28953,tired  ,-1.4350965097546577,1
9410,brings,-1.433927475132494,1
3362,Bored ,-1.4290770946227702,5
26103,showered,-1.4283162837227186,1
16857,Typing ,-1.4224364928901196,1
17928,HOMEWORK ,-1.413093270550258,2
8084,Effort,-1.4118274750360909,3
19344,applause ,-1.4093113109469413,1
7675,Relief ,-1.394858687438748,1
12224,song  ,-1.3936537209720838,1
13183,temptation ,-1.389402070409102,1
19282,Acacia ,-1.3889371886849404,1
22045,lacrosse ,-1.3866726805766423,1
16273,HOMEWORK,-1.3854945890184038,2
18398,SPent ,-1.3831809997558593,1
8602,Anticipation,-1.3810237425154652,1
15440,taylor ,-1.3757343587314343,2
10198,Pastry ,-1.3718853160679814,1
19993,DISAPPOINTED ,-1.3694128377315324,1
27980,sleeper ,-1.3661487941558543,1
6099,carrot ,-1.3648047466690723,1
11872,Coffee,-1.364019608574036,1
8387,conclude ,-1.3621218456936433,1
6067,Complaining ,-1.3599586198345208,1
16132,days  ,-1.358998259023007,1
14852,Period,-1.3583124464138387,3
10241,Sundays,-1.3576050261656443,1
23567,brandy,-1.3558423500762702,1
2840,apologetic ,-1.3538883000612258,1
15398,STARTED,-1.3517021047217506,1
28286,hugged ,-1.3498664016002102,1
25153,Toilet ,-1.349072457547602,2
13435,Couch ,-1.348628245832001,1
26100,chicks ,-1.3447796629844921,1
22346,skipping ,-1.3360664140094412,1
20803,household  ,-1.3335071413906958,1
15769,Homework ,-1.3319290050305428,3
29473,Frustrated,-1.3265215462216964,1
28267,liberated,-1.3205867469310761,1
19196,Upstairs ,-1.317952892249045,1
11494,broke,-1.3141507333582392,9
8381,consequences ,-1.3107731538632559,1
23539,lectures ,-1.310404036487594,1
22952,baseball,-1.3076090421414737,1
27961,Remind ,-1.306720125488937,1
3572,îƒîŒîšîˆ,-1.3028804197907449,1
21525,Closed,-1.3027882973353069,1
23968,Marrying ,-1.3012681633234024,1
28567,recover,-1.2969665130525283,1
19249,Crap,-1.288125414933477,1
22172,transplant,-1.285012908264152,1
24844,honored ,-1.2847903021965132,1
14100,rented ,-1.2838918415399698,1
1769,happiness,-1.2803526020633917,45
