,Word,Value,Freq
14850,skipped,-4.59139347076416,1
13774,sergio,-4.240047931671143,1
14208,kidnap,-3.9502944946289062,1
15002,evaluating,-3.92783784866333,1
1265,degraded,-3.831697463989258,1
12717,improper,-3.3444085121154785,1
3946,deteriorated,-3.318049907684326,1
12623,distress,-3.3037681579589844,1
748,hesitant,-3.128985643386841,1
9961,legends,-3.127859592437744,1
8561,alignment,-3.069766044616699,1
13029,chooses,-2.994307041168213,1
13312,reckless,-2.8819801807403564,1
14613,discrimination,-2.790440082550049,1
14483,bordering,-2.78879451751709,1
11808,frequent,-2.7439656257629395,1
5441,gibson,-2.639643669128418,1
7630,tentative,-2.606382131576538,1
12451,devoted,-2.536881446838379,1
12968,soundtrack,-2.4510626792907715,2
10178,defeated,-2.420386791229248,1
7650,fresno,-2.3975276947021484,1
11599,diaries,-2.3810579776763916,2
3980,luckily,-2.377112627029419,2
13495,farmers,-2.2912168502807617,1
14019,wealthy,-2.270857334136963,1
12278,sap,-2.260788917541504,2
14343,mafia,-2.209221839904785,1
14029,##owed,-2.2044270038604736,1
13497,angie,-2.1714606285095215,1
4355,detrimental,-2.0902926921844482,2
14049,##achi,-2.0037269592285156,1
14771,manila,-2.001596450805664,1
6858,unaware,-1.9483393430709839,3
9243,contestant,-1.9405994415283203,1
11305,sacrifice,-1.917006492614746,2
7355,jaguars,-1.890522837638855,2
12742,curses,-1.855714201927185,1
6472,uprising,-1.8534033298492432,1
8683,tomatoes,-1.812121868133545,1
3365,declined,-1.776020884513855,1
12398,spill,-1.7366523742675781,3
7631,derek,-1.734607219696045,1
14706,unlikely,-1.734075903892517,1
7911,rejects,-1.7277483940124512,2
4829,ruining,-1.7250914573669434,3
12512,exploded,-1.7176434993743896,1
6554,frustrating,-1.7077217102050781,3
11198,##quet,-1.697359561920166,2
4311,ruins,-1.684125304222107,6
12466,unauthorized,-1.6716272830963135,2
12283,kindergarten,-1.6340322494506836,1
8698,improves,-1.633147954940796,1
12823,stated,-1.6061772108078003,1
14838,pronouns,-1.590954065322876,1
10403,sticking,-1.5839923620224,3
3793,spoiled,-1.583470344543457,6
4475,##sport,-1.5614261627197266,1
8485,qualifier,-1.5398294925689697,1
13992,walden,-1.5366097688674927,1
8949,minnesota,-1.5338197946548462,1
12841,independence,-1.5233509540557861,2
12072,meets,-1.5213558673858643,2
7471,nosed,-1.5204401016235352,1
11875,nailed,-1.5075877904891968,2
12085,impaired,-1.5047088861465454,1
7112,seriousness,-1.4799803495407104,1
12872,explains,-1.4569201469421387,1
9388,questionable,-1.4510540962219238,1
12850,pry,-1.4500114917755127,1
10637,driveway,-1.440868854522705,3
9430,finale,-1.3951359987258911,11
8718,caller,-1.3946752548217773,1
10137,conservation,-1.3907837867736816,1
12780,classmate,-1.3850629329681396,1
10910,patrol,-1.384913444519043,1
12011,closing,-1.3795803785324097,2
12631,inevitable,-1.3721153736114502,2
12116,diving,-1.352272868156433,2
6186,prohibit,-1.3477835655212402,2
