,Word,Value,Freq
27050,kidnap ,-1.4095785505203313,1
18036,doom,-1.1601925442616146,1
26909,rebel,-0.9753301684529736,1
3815,Dislike ,-0.96595423366746,1
27297,Ruin ,-0.9578596846765687,2
19021,feared,-0.9068786707688488,1
15759,Unexpected,-0.8835851525549184,1
11626,dangerous,-0.8655514449956605,1
10714,conflict ,-0.8571001282808456,2
22331,unauthorized ,-0.8229402212545094,2
20542,premature ,-0.8186338070301442,1
14752,rumors,-0.8182268155650014,1
27169,spoiled,-0.8179231083393097,1
14444,betrayal,-0.8156691246807923,5
23060,terrified,-0.8111148768415053,1
22003,Affects ,-0.7853918930360426,1
14588,Shame,-0.7852919528571268,1
6358,Fury,-0.7772662803022699,1
4725,Loneliness,-0.762948984420111,1
10754,Anger,-0.760477234684359,1
12550,mayhem,-0.7516741766868269,2
16840,Darkness,-0.73419837165918,1
22935,HULK,-0.7334699900820851,1
14657,Disaster   ,-0.723840846958292,1
18459,Afraid ,-0.7175427981313166,6
17162,ruins ,-0.7142329109840222,5
20071,Huff,-0.7108748477149868,1
21434,shocking,-0.7080819697429737,1
28902,lOSE ,-0.7078381610945577,1
18411,SEX,-0.6962956174826889,1
22405,Surprises ,-0.6793895155553602,1
22000,Reactions,-0.6792473963439642,1
19159,Punishment,-0.6747910495780941,1
16203,Corruption,-0.6704073109449102,1
8037,sabotage ,-0.6693020185760074,2
21905,Avoiding ,-0.6665197726701284,1
11629,Sadness,-0.6603167210188177,1
4777,Rage,-0.6555162456836598,2
9123,fears ,-0.651899057082224,7
12476,Outrage ,-0.6497837787287103,1
11088,monsters ,-0.6464482761436591,1
16809,SURPRISE,-0.6458816318010222,3
22914,fear  ,-0.6454303214387465,4
17660,Arrest ,-0.6448380979910201,1
20142,Disappointed ,-0.6394285709312599,2
21810,denial ,-0.6354445797594718,1
28815,Temper,-0.6349846693873406,1
25718,Denial ,-0.6335807192710138,1
10552,FEAR,-0.6283281246325734,3
16563,Enemy ,-0.627714922658953,1
17791,â˜ ,-0.6269141140422134,2
23641,â˜â˜¾ ,-0.6250106584619393,2
24876,horrible,-0.6247466923544804,1
26549,wealthy ,-0.6236158042392206,1
28483,CONFUSION,-0.6235663768649101,1
28756,Anxiety,-0.6229319872979362,1
6123,terrified ,-0.6119797594263383,8
22378,angry  ,-0.6089834368891186,1
7386,crush,-0.6083055116857092,1
27083,Ruthless,-0.605108962007254,1
17923,Surprise,-0.6050867767176914,7
8629,Defeat,-0.6045266619573038,1
22469,daring,-0.5950407278963498,1
27298,Bullshit,-0.5950234293153411,1
29784,"Regrets
",-0.5942154005169868,1
12027,hulk,-0.5937024624908671,1
21041,Disgust ,-0.5935945479983924,1
13209,threat,-0.5925779165594928,3
18343,Shock,-0.5886645473896358,2
7674,Regret ,-0.5886261626876471,2
9644,paranoia,-0.5877045038817585,1
5171,SPITE,-0.5857458726167479,1
21296,inappropriate,-0.5855992617761041,1
22974,iowa,-0.5852491770117055,1
13807,Scared ,-0.5836474105278221,11
15866,careless,-0.5813549889215067,1
1867,afraid ,-0.5811773561136095,396
22251,enemy,-0.5797934409353446,4
10509,(   ,-0.5771605932279316,2
6049,detrimental ,-0.5737333693763329,2
14981,cardboard,-0.5736768994480372,1
15630,Selfish,-0.5730339708746198,1
17683,Frustration,-0.5699398561837334,2
1589,afraid,-0.5689199369509641,16
23357,laundering,-0.5678946360324819,1
23142,RAPPER ,-0.5666301603876538,1
20319,Harsh ,-0.5621039175960635,1
26525,betrayed,-0.5578415412090573,1
8760,UH,-0.5575088685488,1
3315,tragic,-0.5565270649570794,1
16566,Sadness ,-0.5537152162429155,3
24836,decreased ,-0.5533463747893599,1
29588,Craving ,-0.5518568507395685,1
18498,Flashbacks ,-0.5511691935049992,1
11201,retiring ,-0.5496761968566312,1
16119,Lack ,-0.5493482932862308,1
27062,freaks,-0.548008242968744,1
12757,disgust,-0.5479323900731212,3
9228,frightening ,-0.5457570621109391,18
5222,warned,-0.545328890141783,2
5681,Nixon,-0.5429732113168658,16
7670,unstable,-0.5415315159138233,1
25685,Angry ,-0.5399571038851729,4
17613,ruining ,-0.5364655893332841,2
29768,spontaneous,-0.5357575835112263,1
323,(,-0.5343101292923506,783
23693,fades ,-0.5335230696946383,1
23013,curses ,-0.5332556818530225,1
16494,Legends ,-0.5322309290640987,1
10663,destroys ,-0.531968288471282,3
20197,Revenge ,-0.5301195924334666,1
8014,Devil ,-0.5300591397001966,4
14909,(  ,-0.5286848095545824,10
6585,FiGHt ,-0.5286348762921989,1
25039,Seneca,-0.5232173136125009,1
2686,fearful ,-0.5222211473971434,3
9903,ruined,-0.5202790409292992,2
18665,Sandwich,-0.5201753473707608,1
2607,froze ,-0.5194274163435746,2
20793,Hates ,-0.5167556231375784,2
6274,Prick,-0.5159720814317815,2
27405,GARBAGE ,-0.5121599813457578,1
22948,improper ,-0.5119449711249521,1
24518,Wally ,-0.5117643592879176,1
4167,Anger ,-0.509916966607206,17
20359,naÃ¯ve   ,-0.5096746948424471,1
6508,scared,-0.5092797707396897,17
10587,KILL ,-0.5066100350724732,5
25727,traded ,-0.5062226419951248,1
3567,protected ,-0.5061535438487157,15
12440,Rejects ,-0.5043542348513645,1
27556,SMASH,-0.504171455046162,1
4548,vulnerable,-0.5040880814112365,2
18279,Hopeless,-0.5028349985283884,1
28986,Stern ,-0.5025968361598178,1
26049,fury ,-0.5025205118281226,1
3038,rage,-0.5013339485644411,12
29122,Terror ,-0.500504207224227,1
21988,Terrible ,-0.4994095898209474,2
9504,solitude ,-0.49902520488159585,1
24956,disappointment,-0.49891197130381215,3
23565,DIE ,-0.4987895002148961,1
17390,denial,-0.49656304575954424,1
25567,suicide,-0.4960144193222126,1
15419,Sell ,-0.4954296066140222,2
11817,(      ,-0.4938947208935306,1
5691,HATE ,-0.4922018538471538,14
8491,vol,-0.4910412564873695,1
13850,MISSED,-0.4902286175578674,1
13716,terrifying ,-0.4893485297955173,4
22045,lacrosse ,-0.48733701184391975,1
22208,sec,-0.48723307251930237,1
27214,eliminated ,-0.48630980427066484,1
11701,flames ,-0.4853534406462273,2
20968,apocalypse,-0.4852614730935016,2
27908,Spawn ,-0.4847889814167642,1
9076,hot  ,-0.48425729518620886,1
11031,Rage ,-0.4817780313137274,2
26791,ironic,-0.48040188136592243,1
29728,lookout,-0.4804005129024004,1
9269,RAGE,-0.47958512619370597,2
29921,DEVIL,-0.4784884104958045,1
1530,Fear ,-0.4782866170283659,60
14504,idiots,-0.4778669384040938,1
14695,expectations ,-0.47700712593893213,3
25635,bastard,-0.47699631612402454,1
23338,Greed,-0.47521940565535004,1
9732,FACTOR,-0.47512215216244974,1
17988,Heat,-0.473967741690488,1
2992,Hate ,-0.472552829384952,34
22829,bears,-0.47090861152695573,1
7277,surprise,-0.4704048963317475,42
4833,weapon,-0.4696756018325686,1
20246,desperate,-0.46944763022474945,1
