,Word,Value,Freq
12224,assaulted,-1.6487386226654053,1
10224,impress,-1.520215630531311,1
12350,narrated,-1.5095713138580322,1
7958,noisy,-1.3868041038513184,1
13072,testimony,-1.369203805923462,1
12674,foe,-1.3176593780517578,1
8626,skiing,-1.2891596555709839,1
13188,consulting,-1.2882838249206543,1
14154,venom,-1.2489928007125854,1
14749,excitedly,-1.178259015083313,1
12893,mischief,-1.1215003728866577,2
13576,referred,-1.0411674976348877,1
322,wait,-1.0006989240646362,313
7249,booming,-0.988028883934021,2
13145,growling,-0.9849349856376648,1
10748,bathing,-0.9796382188796997,1
10128,witnessed,-0.9767783880233765,1
13633,boiling,-0.9496238231658936,1
11531,huff,-0.9471567869186401,1
6782,sundays,-0.943250298500061,2
12916,##istic,-0.9095242023468018,1
15050,##plicity,-0.9047995209693909,1
7586,abdomen,-0.9004608392715454,1
9140,##plify,-0.8885091543197632,1
12769,renewed,-0.8853431344032288,1
7403,brat,-0.8791535496711731,2
5943,annoyance,-0.8711913824081421,1
11918,humiliation,-0.8678430318832397,1
12338,excellence,-0.8459475040435791,2
9634,summary,-0.8404226303100586,1
11518,sighting,-0.8402860760688782,1
7841,sustain,-0.830299437046051,1
5361,shoved,-0.815944492816925,2
10189,##ional,-0.8108518123626709,1
2370,predictable,-0.8101294636726379,1
12496,smashing,-0.8092728853225708,2
10215,cheers,-0.806328535079956,6
8586,terrifying,-0.8043372631072998,4
8686,filthy,-0.7994771003723145,1
3972,therapeutic,-0.7950754165649414,2
5123,humid,-0.7825515866279602,1
8444,royalty,-0.7783276438713074,3
13689,celebrations,-0.7532652020454407,2
13217,tricky,-0.7467219829559326,1
1337,stupidity,-0.7455457448959351,4
11105,feared,-0.7407388687133789,2
9292,relieved,-0.7386237382888794,2
12940,knob,-0.7381632328033447,1
14337,prior,-0.7368170619010925,1
6466,rhythm,-0.7351862192153931,1
13730,blending,-0.7276684641838074,1
11595,defiant,-0.7271332740783691,1
3706,confronts,-0.7268491983413696,1
9278,whisper,-0.7264993190765381,1
12575,employers,-0.7261495590209961,1
10654,cluster,-0.7254643440246582,1
14993,highness,-0.7190060615539551,1
12957,exercises,-0.718948245048523,1
8286,danced,-0.715929388999939,1
14095,calculations,-0.714093804359436,1
6267,rogers,-0.7135721445083618,1
13263,centres,-0.7132440209388733,1
6197,inspecting,-0.7071926593780518,1
8857,executed,-0.7004290223121643,1
13411,unusual,-0.6980612874031067,2
14518,unclear,-0.6965009570121765,1
9828,causing,-0.6937804222106934,3
13502,installing,-0.6909877061843872,1
14016,inspections,-0.6869645118713379,1
13026,punished,-0.6769749522209167,1
9835,hostility,-0.6741101145744324,1
10916,leaping,-0.671976625919342,2
9306,outlook,-0.6706649661064148,1
13189,approve,-0.6679906845092773,1
9485,horizon,-0.6629598736763,1
11937,counseling,-0.6606875658035278,1
11626,##rge,-0.6589241027832031,2
13369,excluding,-0.6588212251663208,2
11667,connie,-0.656295895576477,1
10641,applies,-0.6553385257720947,1
9141,stalk,-0.6516785621643066,1
7056,experiencing,-0.6507028937339783,2
11591,subtle,-0.6470251679420471,2
6216,demonstrating,-0.6398348808288574,1
3285,##tray,-0.6369680166244507,1
7722,locate,-0.6361449956893921,3
10848,gus,-0.634856104850769,2
9863,topped,-0.6341407895088196,2
13560,convergence,-0.6317124962806702,2
4407,terrified,-0.63069748878479,9
13317,blocking,-0.6298822164535522,1
3751,conditioning,-0.6247876286506653,5
9487,enthusiasm,-0.6236558556556702,3
14220,ruthless,-0.6231532692909241,1
12326,repeated,-0.6227931380271912,1
12264,foyer,-0.6217629313468933,1
10659,behave,-0.6167138814926147,2
11573,ordeal,-0.6152005791664124,1
14688,complications,-0.6145564317703247,2
3846,misunderstood,-0.6125406622886658,3
6868,tenants,-0.6082708835601807,1
13036,##oin,-0.6077020764350891,1
12834,pledge,-0.6076399087905884,1
2663,overboard,-0.6009028553962708,3
10173,prey,-0.6004605293273926,1
13281,monumental,-0.5941441059112549,1
11729,merchant,-0.5924357175827026,1
5901,archie,-0.5917255878448486,1
8948,butler,-0.5893670320510864,1
2496,atlas,-0.5875590443611145,1
13784,governed,-0.5852299928665161,1
11433,robber,-0.5841242671012878,2
7420,sacred,-0.5839090943336487,3
3688,ambiguity,-0.5816009640693665,2
11701,whipping,-0.5804806351661682,1
12111,breakthrough,-0.5802004337310791,2
14271,oral,-0.57564377784729,1
11166,flawed,-0.5755997896194458,1
12890,persons,-0.5750358700752258,4
13483,##itating,-0.5729461312294006,1
9910,##claim,-0.5722426176071167,1
6786,wrath,-0.5707698464393616,2
11916,violation,-0.5674943923950195,1
4830,exposing,-0.5670387744903564,1
11652,prepared,-0.5659148097038269,5
12901,desperation,-0.5613409280776978,1
9606,algorithms,-0.5613168478012085,1
12427,shouted,-0.5605049133300781,1
7114,kits,-0.5594025254249573,1
3494,hallway,-0.5588974952697754,3
11188,hysterical,-0.5587763786315918,2
1572,chilling,-0.5585308074951172,7
8878,poking,-0.5546035766601562,1
10713,ostensibly,-0.5534067153930664,1
3259,surprising,-0.552547037601471,9
12816,devotion,-0.5523836612701416,1
14840,edinburgh,-0.5523025989532471,1
7273,confusing,-0.5477616786956787,1
5578,exposed,-0.5457606315612793,2
8685,overrun,-0.5434244871139526,1
12845,killers,-0.5429208278656006,1
12732,requirement,-0.5404910445213318,1
10435,startled,-0.5373307466506958,2
8473,flown,-0.5362293124198914,2
11888,animation,-0.5329756140708923,1
11706,premises,-0.5296129584312439,1
13862,1900,-0.5275572538375854,1
15081,hackney,-0.5272377729415894,1
433,element,-0.5264806151390076,5
9646,pitchers,-0.5261021852493286,1
198,pants,-0.5251994132995605,55
13952,particular,-0.5245026350021362,1
943,newborn,-0.5240175127983093,2
5437,beats,-0.5238310694694519,10
7926,outrage,-0.5223323106765747,1
10774,presenting,-0.5162567496299744,1
13031,jewel,-0.5139634609222412,2
8202,octopus,-0.5138161778450012,3
15100,spontaneous,-0.512910008430481,1
8240,facing,-0.5116553902626038,3
