,Word,Value,Freq
13633,boiling,-1.2682836055755615,1
14220,ruthless,-1.1932417154312134,1
10128,witnessed,-1.1751986742019653,1
12916,##istic,-1.1177113056182861,1
10224,impress,-1.0966267585754395,1
748,hesitant,-1.0898698568344116,1
9710,risking,-0.9684410691261292,1
7249,booming,-0.9496318697929382,2
8626,skiing,-0.9491112232208252,1
9634,summary,-0.9140998125076294,1
15050,##plicity,-0.9105994701385498,1
12224,assaulted,-0.8763578534126282,1
14221,involve,-0.8635157942771912,1
11701,whipping,-0.8499755859375,1
14988,posed,-0.8394876718521118,1
10563,##lub,-0.8049298524856567,1
6829,admitting,-0.7956702709197998,1
13145,growling,-0.7894465923309326,1
13188,consulting,-0.7750607132911682,1
13026,punished,-0.7738956809043884,1
5361,shoved,-0.7628005146980286,2
15100,spontaneous,-0.7627766728401184,1
5943,annoyance,-0.7452064752578735,1
12674,foe,-0.7409250736236572,1
12496,smashing,-0.732225775718689,2
3706,confronts,-0.7228690385818481,1
12834,pledge,-0.6975610256195068,1
12708,threatening,-0.6839513778686523,1
4174,scraping,-0.6710517406463623,1
12173,archway,-0.6607042551040649,1
8451,situated,-0.6536015868186951,2
8286,danced,-0.6525675654411316,1
10212,izzy,-0.6428207159042358,1
13594,pointing,-0.6366258859634399,1
12525,daring,-0.6345292329788208,1
14408,sworn,-0.6237444877624512,1
12350,narrated,-0.6232837438583374,1
8325,worries,-0.6213871240615845,4
14337,prior,-0.6158044934272766,1
14069,nodding,-0.6099143028259277,1
14848,##urance,-0.5996090769767761,1
11905,fireworks,-0.5943353176116943,2
14009,betrayed,-0.5885221362113953,1
322,wait,-0.5724701881408691,313
12064,pinned,-0.5695099830627441,1
14938,hesitation,-0.5614258050918579,1
15053,motivated,-0.5565565228462219,1
13917,##gizing,-0.5558590888977051,1
14749,excitedly,-0.5546181201934814,1
14023,commencing,-0.5529191493988037,1
12130,courthouse,-0.5528164505958557,1
11531,huff,-0.5489242076873779,1
14670,harmed,-0.5444615483283997,1
12325,reacting,-0.5399500131607056,1
12893,mischief,-0.5381132960319519,2
7837,unpredictable,-0.5374152064323425,1
11657,collapse,-0.5371587872505188,3
14304,entering,-0.5360362529754639,1
10189,##ional,-0.5356415510177612,1
10748,bathing,-0.5345665812492371,1
1337,stupidity,-0.5324968099594116,4
14701,rescues,-0.5313445925712585,1
14868,varied,-0.5270984768867493,1
5724,meters,-0.5267413854598999,1
10659,behave,-0.5251227617263794,2
7841,sustain,-0.5249983072280884,1
14906,intruder,-0.5211141109466553,1
11873,traps,-0.520458459854126,2
8087,stimulate,-0.51973557472229,1
14016,inspections,-0.5177060961723328,1
11027,##rangle,-0.5172319412231445,1
14593,growls,-0.5164133310317993,1
4577,baffled,-0.5126971006393433,1
3422,scare,-0.508069634437561,11
12548,##mission,-0.5031976699829102,1
13839,cycling,-0.5027025938034058,1
8586,terrifying,-0.5015110969543457,4
14993,highness,-0.4993138015270233,1
3856,warned,-0.4984367787837982,4
6422,committed,-0.4955158233642578,2
13952,particular,-0.48668575286865234,1
12787,expose,-0.4837615489959717,1
1058,concerned,-0.48358839750289917,5
11121,##ssion,-0.477110892534256,1
13189,approve,-0.4764748215675354,1
14432,virtues,-0.47099417448043823,1
14518,unclear,-0.47066664695739746,1
4521,freaked,-0.4703301191329956,11
12023,painted,-0.4702605903148651,2
9306,outlook,-0.4697306156158447,1
11357,scouting,-0.4684198498725891,2
5152,announcing,-0.4637463688850403,2
11746,gunner,-0.46145033836364746,2
10713,ostensibly,-0.4607010781764984,1
10489,carnage,-0.46004125475883484,1
14584,improvement,-0.4570906162261963,1
9910,##claim,-0.45498138666152954,1
1572,chilling,-0.4533349573612213,7
14694,heats,-0.4492112398147583,1
14763,minority,-0.4471636116504669,1
7939,pause,-0.44228148460388184,4
14603,liberated,-0.4394470453262329,1
13543,##flict,-0.4386289715766907,1
6806,condemning,-0.4379502832889557,2
10137,conservation,-0.4373689293861389,1
3249,printed,-0.43666115403175354,5
9675,overlooking,-0.43624621629714966,1
14688,complications,-0.436165452003479,2
8962,hazard,-0.4345877170562744,1
14177,rescuing,-0.4343613386154175,1
10612,rampage,-0.42693769931793213,1
11166,flawed,-0.4245525002479553,1
10437,hence,-0.4221251606941223,2
12512,exploded,-0.41888701915740967,1
11888,animation,-0.41876450181007385,1
4383,licking,-0.4184761941432953,3
9058,solved,-0.4175926744937897,3
8922,organising,-0.4170558452606201,1
14640,bandits,-0.4150616526603699,1
10774,presenting,-0.4079917371273041,1
10933,flushed,-0.4073213040828705,1
3259,surprising,-0.4044148325920105,9
9278,whisper,-0.40213197469711304,1
12778,condemned,-0.4019289016723633,1
7586,abdomen,-0.400491863489151,1
6197,inspecting,-0.39983999729156494,1
10763,envisioned,-0.39887407422065735,1
13784,governed,-0.3978683650493622,1
13072,testimony,-0.39684152603149414,1
13136,safely,-0.39528709650039673,1
4957,nonsense,-0.3952019512653351,3
9490,orgasm,-0.39273601770401,2
9587,insult,-0.39122307300567627,2
8826,distracted,-0.39032450318336487,4
4407,terrified,-0.3902345597743988,9
11756,backing,-0.3898632526397705,1
10467,algorithm,-0.3898005783557892,1
6170,192,-0.38873136043548584,1
10326,rushed,-0.38829174637794495,2
6273,stabbing,-0.38734883069992065,2
11706,premises,-0.386794775724411,1
