,Word,Value,Freq
12384,dreadful,-8.282132148742676,1
14032,diminished,-2.72770619392395,2
15023,##ration,-2.651247024536133,1
7786,ads,-2.3987274169921875,3
3098,degraded,-1.9387195110321045,1
4030,##arding,-1.7836244106292725,1
4828,drastically,-1.615046501159668,2
8193,pointless,-1.5865960121154785,3
7112,##cky,-1.4010175466537476,7
15368,reacting,-1.3908967971801758,1
14470,slippery,-1.3383877277374268,2
14689,oder,-1.3120142221450806,1
9415,##ept,-1.229467511177063,5
14023,wrestling,-1.1776286363601685,2
7106,trick,-1.1382968425750732,6
1085,blows,-1.1234444379806519,9
3109,shitty,-1.0506306886672974,12
5871,dissatisfied,-0.9051070809364319,9
6908,frantically,-0.8858213424682617,1
4717,raced,-0.6547576189041138,5
8502,unfortunate,-0.6439194083213806,13
5926,disclosure,-0.6409547328948975,2
12333,lightweight,-0.6298470497131348,1
7345,marginal,-0.6195986866950989,7
10179,league,-0.6078470349311829,5
5624,quit,-0.5792579054832458,12
6904,mumbled,-0.569190263748169,1
11378,coverage,-0.5570597052574158,4
9713,timeline,-0.5514205694198608,2
5167,declined,-0.5182780027389526,17
7759,returns,-0.5041362047195435,11
11431,discontinued,-0.5019255876541138,2
2869,doubtful,-0.4803733825683594,5
3676,idiot,-0.4714106321334839,9
3841,rarely,-0.44441932439804077,21
4564,##down,-0.4406995475292206,8
13927,openings,-0.42269060015678406,3
10234,folly,-0.4198594093322754,1
2988,lacking,-0.40616896748542786,41
959,average,-0.4034673571586609,187
8678,strains,-0.40010547637939453,1
9300,ruins,-0.39808812737464905,3
14693,##bal,-0.36678361892700195,1
8523,dal,-0.349656343460083,5
979,horrible,-0.3331506550312042,208
2264,stupid,-0.3161396384239197,28
6185,spine,-0.2960336208343506,6
12027,architecture,-0.27882781624794006,3
13014,humiliated,-0.27793312072753906,1
2985,bum,-0.2734355628490448,31
6683,##gating,-0.2603468894958496,2
14913,theatres,-0.25898218154907227,1
10368,dubious,-0.25746774673461914,2
11566,halt,-0.25531530380249023,1
13070,rusty,-0.24718554317951202,3
15248,alexia,-0.24509096145629883,1
6158,war,-0.2412632405757904,10
11735,inherently,-0.2409806251525879,1
8400,##rries,-0.2341475486755371,1
6715,decreased,-0.22673733532428741,3
7049,carpets,-0.22155484557151794,10
12652,folds,-0.21319913864135742,1
4578,##iard,-0.2065662145614624,6
4011,harder,-0.20641756057739258,7
