,Word,Value,Freq
25212,NIGHTMARE ,-2.079861946098773,1
15640,ruined  ,-1.520168430212395,1
11145,destroying ,-1.1395205223138734,1
24738,disappointed  ,-1.0831178784923312,1
30887,UPSET ,-1.0113662947914173,1
14308,blew,-0.8965664179754405,1
19738,SUCKS ,-0.8392869465527482,1
18667,Speechless ,-0.751289839260017,1
15909,Lacking ,-0.6914833566591642,1
12208,unfortunate,-0.6487548396602224,3
1894,Horrible,-0.6463758149773434,8
32323,BLOWS,-0.6273920732621564,1
24824,dreadful,-0.6234351648409618,1
476,Never,-0.530593920704918,2
27402,Pathetic,-0.5293458507980359,2
24498,"uncomfortable 
",-0.5093438782878141,1
479,"again
",-0.4973831359443231,2
4922,degraded ,-0.4764918368759941,1
6389,Disgusting,-0.4537517024286855,2
29184,lord,-0.4367323206523507,1
13476,Bland,-0.3798869521268859,2
29466,UPSET,-0.37804611082152856,1
15895,dissatisfied ,-0.37686775248616877,3
25724,liar ,-0.37639476977853425,2
5425,Sucks ,-0.36855446977890727,1
29160,diminished ,-0.3671033791308738,2
27953,Avoid,-0.36411862761867,1
21331,lord ,-0.35869518983217513,1
6709,sank,-0.35087985955404455,1
29204,slamming,-0.33904499125769316,1
2581,Worst ,-0.3250212058928252,43
24274,Fuck ,-0.3120477181733248,2
32457,FAT ,-0.30727169039313895,1
24565,violations ,-0.30221482128060245,1
6394,Hate ,-0.29427862328953147,8
2065,worst ,-0.2919867764659679,156
14013,returns,-0.28961505208897576,1
6078,Horrible ,-0.28490164789952815,40
24483,RUINED ,-0.28105919759262443,1
17528,Rude,-0.2769178114446169,6
5720,Shame ,-0.27538409140086434,5
16133,downfall,-0.2685844715052661,5
25065,Disliked ,-0.26270171789562,1
29976,DISGUSTING,-0.2622062801396581,3
18593,GROSS,-0.2598079291152753,3
25232,TERRIBLE,-0.2551543006904551,3
18558,HORRIBLE,-0.2389700550791362,4
29144,"unacceptable
",-0.2326033859050765,2
22404,Ridiculous,-0.22969787768083139,6
10788,Sucked,-0.22760077548087257,2
26419,XED ,-0.22673449430909803,1
12747,Terrible ,-0.2184388774839529,28
18242,SUCKS,-0.21716199324204205,5
30561,LIE,-0.2149283713350326,4
15491,Disappointing,-0.21386825443083438,2
16335,unacceptable ,-0.21259309341769259,10
19123,declining ,-0.20969509651539178,3
25602,muddy,-0.2089374672318656,2
23083,Confused ,-0.20713048860357614,1
2786,WORST ,-0.20573542068527909,15
31852,negative  ,-0.20348550849092334,1
13538,Awful,-0.20248654412008774,6
16672,TERRIBLE ,-0.20067550120598324,6
33380,Annoying,-0.19882998069547614,1
23954,contempt ,-0.19534151669214941,2
3857,lame,-0.19158873568005966,6
16805,Terrible,-0.1825288210904685,15
6506,worst,-0.18038611690779074,11
19449,poor,-0.17875635321931294,13
24183,Drives ,-0.17681281432399565,1
11333,insult,-0.17449121066747433,3
17369,frustrating,-0.17238032191940766,6
21427,strongest ,-0.17208105968761722,2
30680,Words,-0.16932883746846206,1
18484,FAIL,-0.16822628239393148,2
26585,"rude
",-0.16538863440178567,2
8073,jerk,-0.16397818023641245,16
28925,Dated ,-0.16162595662188906,1
28953,"tasting
",-0.1578954311779567,1
29317,robbed,-0.15714305328145706,2
11191,insulting ,-0.15650035767199663,3
32212,punched ,-0.15579369857137004,1
17223,nightmare,-0.15321456441876496,10
27501,poorer ,-0.15229081963240962,2
22210,unreliable,-0.15188582385565452,3
29211,INCREDIBLY ,-0.15105672963148828,1
21469,stolen,-0.15076625384286368,2
28566,Messed ,-0.14974964256020207,2
21035,ordinary,-0.14777820239299944,2
17172,Disappointed,-0.14753058953629297,7
30901,Shame,-0.14748785498120406,2
5390,Missing ,-0.14675544998114584,3
7525,obscene ,-0.14268892098889288,1
2047,horrible,-0.14247226699070603,83
15698,Return,-0.14215580106619474,2
3045,terrible,-0.14191252746878288,84
996,Weak,-0.13581326828387244,3
28594,Screwed ,-0.13453906607555047,1
29967,stares ,-0.1341983247379999,2
1753,pathetic,-0.13327599694270229,6
31006,dealings ,-0.13184708989877392,2
9097,major,-0.13180416215443042,1
26586,"awful
",-0.13117205880067728,1
27951,SLOPPY ,-0.1305499129167663,1
21696,WORSE ,-0.13024135624364924,1
13211,Garbage,-0.12711259265454225,1
24372,Gross,-0.12697339263282587,5
22144,Needs ,-0.1269723949485745,2
15737,unfortunate ,-0.12696593181621826,14
2076,disgusting,-0.12605859243836529,26
24239,len ,-0.12551949989188016,1
3378,awful,-0.12223047636114952,54
7072,Poor ,-0.12215957787113599,20
11711,Awful ,-0.12195296310541953,9
13862,sucks ,-0.12171342102151168,21
29231,Shocked ,-0.12021983647535225,1
31168,totally  ,-0.1184818070302222,1
7253,Bad ,-0.11788008884179746,22
28904,Generic ,-0.11767790176253455,1
23379,dismiss,-0.11759006811263926,2
14835,pretend,-0.11748740460314955,1
29261,BULLSHIT,-0.1167856760692692,1
11005,rmin,-0.11442214139831558,1
22748,Sad,-0.11438979886330725,5
21206,feathers ,-0.11401960590615423,1
5154,MERS,-0.11393582363080239,1
14425,Lowest ,-0.1134760562137586,4
17385,wives ,-0.11328829252911454,3
23032,bail,-0.11328245396779221,1
14064,212,-0.1131839673792941,1
28335,False ,-0.11195519740485428,3
3432,disaster,-0.11173546328159675,7
31702,LIE ,-0.11139894225383103,1
2920,misleading,-0.11116252432512679,5
17678,rocity ,-0.11076828313543063,1
21791,"bland
",-0.11067298091399944,2
28339,propaganda,-0.11066726107776759,1
25886,disgusted,-0.1102065276428785,4
25751,condemn ,-0.10984428007159869,1
31185,inferior,-0.10952041039187337,1
27851,immature,-0.1089137470939988,1
32306,Nothin ,-0.10837301938167584,1
23051,disconnected,-0.10810892249525117,2
26161,destroyed ,-0.10803519365900932,3
21105,Waste ,-0.10735127079451093,7
20988,irritating,-0.10632723207398448,4
33066,Greasy,-0.10609410343179843,1
32484,Asks ,-0.1055860274813667,1
666,unhappy,-0.10554273752422984,4
6716,sucks,-0.10547700119897141,33
23164,Barely ,-0.10541970634434723,5
31020,ún ,-0.10481581771756598,1
29322,Utter ,-0.10399751974164156,1
19801,Cancelled ,-0.10321299092569171,2
19740,disaster ,-0.10313241969329781,10
29679,"Advertising 
",-0.10211881076401493,1
