,Word,Value,Freq
14759,ruined  ,-2.9277985918330476,1
15028,Lacking ,-2.2571215497108916,1
25289,"awful
",-2.2390178680470854,1
4665,degraded ,-1.9393345756804377,1
27829,diminished ,-1.594529554890278,2
10497,FOUL,-1.5287678462527534,1
25711,pointless,-1.4928985375575845,1
25437,Disappointing,-1.3466147293047595,2
23494,dreadful,-1.3011549278216066,1
27603,Dated ,-1.2813124073075577,1
11269,chaos,-1.1177069444849375,2
26107,Pathetic,-0.8652137710794537,3
22278,blackish ,-0.8532719372949609,1
23899,NIGHTMARE ,-0.7924331382763767,1
9373,miserable,-0.7815958145238818,3
30856,Nasty ,-0.7248656959237909,1
28352,Kill ,-0.7184563306189665,1
23962,shortest ,-0.6915906126297982,2
12191,inconsistent ,-0.6455576604279403,4
14195,fail,-0.6363903060509034,4
6138,Hate ,-0.6307832562996922,8
21021,unreliable,-0.6264939370806237,2
23722,Missing ,-0.6223465736452509,2
12524,Garbage,-0.565604807676485,1
9491,anomaly ,-0.5515329773225426,1
17421,FAIL,-0.5431231651595259,3
16407,frustrating,-0.5299928055289339,6
32530,hiding,-0.5213277179035367,1
7846,slippery ,-0.5021356208505915,2
16479,ruins ,-0.46285764586537437,4
27001,False ,-0.4624109552503613,3
1865,Horrible,-0.4621570908673645,11
23216,Lack ,-0.44154223304737894,2
26617,Avoid,-0.43195304373372717,1
23919,TERRIBLE,-0.4243353422699411,5
21382,snarled,-0.4185899526321799,1
6252,worst,-0.4104134804992311,10
6072,BLAND,-0.40986416120403124,2
5810,Horrible ,-0.40883801402491193,43
5470,UNDERSTAND ,-0.4061256783626148,1
23409,disappointed  ,-0.3940864377226031,1
16257,Disappointed,-0.3938487452973318,5
22877,Uncomfortable ,-0.3905905703726879,1
29523,UPSET ,-0.39046119679770197,1
7809,Zero ,-0.38938286797550786,6
12130,inaccurate ,-0.38416124860992007,5
27952,evil,-0.3741081446633352,1
32627,Bald,-0.37117516700417874,1
30920,BLOWS,-0.3659950740324728,1
11735,inappropriate ,-0.3637914978477194,6
24555,advertising,-0.35945180591693193,4
15247,downfall,-0.3545955182832775,4
7162,Underground,-0.3521600093817967,1
32096,BORING,-0.3499265678255679,1
1998,horrible,-0.3482267516784864,76
13373,gag,-0.34130714771750514,4
26615,SLOPPY ,-0.3396627590780755,1
23033,Skipped ,-0.33829758572898583,1
27857,"district
",-0.3365232981196494,1
15417,unacceptable ,-0.33549131443440183,9
16544,Rude,-0.3307162876802809,7
19933,ordinary,-0.32900283778007816,3
7026,Bad ,-0.32825988577308446,23
10263,disappointing,-0.32444786713393087,51
27819,"unacceptable
",-0.32132361756013694,2
996,Weak,-0.30876737824805445,2
15229,confusing,-0.3067171507249172,9
30772,shrinking ,-0.3046972979766837,2
19201,NO  ,-0.3045771253129252,1
5069,disappointing ,-0.3025856669072248,41
2423,Worst ,-0.3025074415729297,47
15596,HOWEVER,-0.3011431645349072,3
15695,fuck ,-0.2995178218807001,5
30268,Claudia ,-0.2950094492232005,1
27585,Generic ,-0.2918933735086195,1
18503,Ready,-0.29187062049562906,1
4478,lacking,-0.28901815584164176,22
31765,Blocked ,-0.28574815382384144,1
17667,actors,-0.2840800315146357,1
12128,Terrible ,-0.28299112810313193,30
10011,lacks ,-0.28039720723851264,14
14079,no  ,-0.2766614691909292,2
29718,Shame,-0.2763502229503556,1
25409,Urine ,-0.27497401117678566,1
26773,Vehicle ,-0.27455251741576786,1
23228,violations ,-0.27434441852844127,1
294,WRONG,-0.27256163002907374,5
15814,Hide,-0.2704811797762845,1
22947,Fuck ,-0.268950552111243,3
1802,creepy ,-0.268599205512635,5
13906,declined,-0.2667250671067793,9
13676,participation,-0.26352171713221845,1
21466,arrogant,-0.2629356847890909,2
29780,inferior,-0.26203121020593856,1
5100,appeal,-0.2590802900135232,4
24398,liar ,-0.2579776859025641,2
18681,SLOW ,-0.257676555896062,5
9100,WARE,-0.25371080279733554,8
20593,HORRIBLE ,-0.2516806190619982,7
17434,Nobel ,-0.25037169525780756,1
21518,nightmares ,-0.2499274253422306,2
7874,Shitty ,-0.24597975821276133,1
1160,poor ,-0.24572459483939926,129
33629,mare ,-0.24420349841542088,1
10458,filthy,-0.24388317115656782,10
28349,Dumb,-0.2421975703333629,1
20425,Nobody,-0.2402739360692514,1
16503,failed,-0.2386424051367762,4
23040,Gross,-0.23842015758157648,5
28710,planned,-0.23616832981516364,2
20352,Bad,-0.23567758802384042,8
27232,Messed ,-0.2350373096705909,2
24462,jr,-0.23452316466536138,1
11590,unfortunate,-0.23302388381201936,3
25288,"rude
",-0.23256341343337775,2
21187,disregard ,-0.23053824287177827,4
30247,sewage,-0.22886685564049652,1
28735,"money
",-0.225695613738838,1
18733,Cancelled ,-0.2247201669412441,2
17556,distracted,-0.22316477844340019,3
19208,sloppy,-0.222944124088644,2
22500,decline ,-0.22156904826266305,5
26522,immature,-0.22073832359078527,1
479,"again
",-0.22005100048266676,2
23136,RUINED ,-0.2199840393313383,1
9922,dull,-0.21971535285177607,5
25417,olate,-0.21861921949060129,1
32115,ø,-0.21798828386496538,1
27634,"tasting
",-0.21706165484222525,1
25819,Rough ,-0.21604416170357776,1
29366,MEG,-0.21485231833242746,1
29367,HAN ,-0.21485231833242746,1
24888,Workers ,-0.21279193642397376,2
26347,spoiled,-0.21269001531972964,1
12567,ruined ,-0.2104022983563879,24
14816,Unacceptable ,-0.2100787801366428,2
18387,poor,-0.2092023063801488,15
13313,returns,-0.20913025357247417,1
24632,Crap,-0.20844525289365687,2
9099,BE,-0.2075921806026261,10
28217,Unhappy,-0.2063843473057839,1
32622,ROUGH ,-0.2058424617229483,1
28702,Should,-0.20548937130211478,1
2018,worst ,-0.20534805994351762,169
29602,dealings ,-0.20522238478298716,2
20187,ASSHOLE,-0.2047272635244762,1
28504,communicating,-0.19907948308087664,1
28263,Wholly ,-0.19832048641041647,1
2677,COLD,-0.19787789670289127,2
29912,sinking ,-0.1974445639245373,1
10462,notified,-0.1972749525730651,1
22392,TI  ,-0.19639848450819652,1
27933,eliminated ,-0.19379592720400557,1
4530,Slow ,-0.19366064653647344,9
10576,poorly ,-0.19296703030392176,29
28727,shaky,-0.19242504319261955,1
29428,commercial,-0.19030417108796716,1
26008,scoffed,-0.18960805209568163,2
32127,ICE,-0.18870851801682295,1
32126,PR,-0.18870851801682295,1
7550,"clean
",-0.18857233057717349,2
4905,MERS,-0.1876188240638579,1
30530,mole,-0.18734686882317292,2
25998,assembly,-0.18511954454950252,2
32851,somber ,-0.18043071798621635,1
26770,optional,-0.1802724107913164,3
33013,females ,-0.17998910827140302,1
26343,Barely ,-0.17942854022964394,1
25102,XED ,-0.17901145439159988,1
1673,robbery,-0.17826573292138773,3
20023,Pass,-0.17654513846636943,2
15758,TERRIBLE ,-0.17649504675748962,5
24465,html,-0.17615710250736435,4
476,Never,-0.17587393205548665,3
12241,Neglected ,-0.17494800274158498,1
24892,"rude 
",-0.17416640848534154,1
2014,stale ,-0.17297362979427142,24
14141,Average ,-0.17135340006780492,9
24660,Supposedly ,-0.17090400931035737,1
2822,Duck,-0.17020357805306652,1
4054,declined ,-0.16998652955034843,12
13161,sucks ,-0.16929053519172238,20
11517,downfall ,-0.1685848788024093,7
25311,entirety ,-0.1666228939373008,1
25032,fifa ,-0.16630831106054228,1
16111,marshal ,-0.1650618776501431,1
912,differ,-0.1642031680611415,1
32701,stirred,-0.16404996482326534,1
21514,Jerry,-0.1627266940396986,2
30208,Vr,-0.16245291315889984,1
29290,Buyers ,-0.16238418287139,1
13600,deserted ,-0.1620870696259833,1
25092,humiliated,-0.16200986031117512,2
2815,terrible,-0.16182831556068106,89
12473,marginal,-0.16165485952453337,6
33222,locking ,-0.1616435653168098,1
18238,dated,-0.16133159249636747,4
26917,suspended,-0.16078768219223433,1
10086,boring,-0.16028578943273625,8
32633,WR ,-0.1601348010853375,1
7318,disappointment,-0.16001766806081208,44
33169,utility,-0.15974848924817237,1
18571,furious ,-0.15938880300913133,1
23170,FORGOT,-0.1582667510180738,1
28134,UPSET,-0.1578106021397045,1
17187,SUCKS,-0.15765455471883275,5
11828,uneven ,-0.15752468323264363,10
6104,terrible ,-0.15663844951839578,99
33106,TIMES,-0.1541947864320462,1
29622,iad,-0.15313076608255152,1
29621,vil,-0.15313076608255152,1
28211,Jeans,-0.15217135241599034,1
21706,consumer ,-0.15076088655037054,3
30682,tical,-0.15028453445135925,1
15011,dissatisfied ,-0.15010079083971573,4
20752,CHARGE,-0.14950560734278232,1
22120,dismiss,-0.14934118360963192,3
6129,filthy ,-0.14921622807541599,12
23402,Ripped ,-0.14896288057288468,2
21011,SK ,-0.14767101290323326,1
21967,purge ,-0.14688375567886852,2
9424,Over,-0.14628470144681793,17
12493,thirsty ,-0.1459958453035435,4
20678,bloody ,-0.14594906938812982,15
2017,bland,-0.14472862702548003,77
10048,nasty ,-0.14335710717292344,25
11852,identity,-0.14308068731340812,2
21341,CLOSED ,-0.14278491717060351,1
17930,lter,-0.14274589067398544,2
29068,failure,-0.14274495537464035,4
21226,Ridiculous,-0.14258086922658952,6
16995,fails ,-0.1425346213554283,8
18472,explanation,-0.14249306477220625,3
6841,Poor ,-0.141988109484126,17
1889,unacceptable,-0.14060835659237977,15
21190,discontinued ,-0.14033220962680923,2
3133,awful,-0.1400353756512676,54
21365,Less ,-0.13960394179852792,4
29155,Seasonal ,-0.13920759117797532,1
17150,useless,-0.13831953915584505,4
28554,contracted ,-0.13829480945691652,2
25640,rhetoric,-0.13650581679004867,3
22909,len ,-0.13547815409223601,1
22540,acidic,-0.13526432370022448,1
25863,LE,-0.13429101823495734,2
15884,cause,-0.1342856094007329,3
9914,acceptable,-0.13418109171027462,14
12478,stale,-0.13162798529077596,10
16915,hysterical ,-0.13094296302616995,2
24633,demolished ,-0.13064373180338787,2
27101,Standing ,-0.13026930886530597,1
2537,Unfortunately ,-0.12994127532438954,39
30921,"bars
",-0.12910741271892956,1
33202,Wheat ,-0.12910081154934622,1
27512,Single ,-0.12817975914060878,1
26891,"bag 

",-0.12796393330927813,1
24899,"! 


",-0.1274520765221176,1
27174,asshole,-0.12722240882289126,1
20004,Waste ,-0.12594468927638156,7
31588,Greasy,-0.12577795065056108,1
728,disappointed ,-0.12562946896243488,209
25847,ood ,-0.12547088660498748,1
21941,Wasted ,-0.12540286250209726,1
27882,INCREDIBLY ,-0.12476490258025136,1
22205,Kristin,-0.1239673323818568,1
16732,negative,-0.12391513715841014,10
