,Word,Value,Freq
18667,Speechless ,-2.0567640623689294,1
29204,slamming,-0.9708280139972293,1
26586,"awful
",-0.9095225173874604,1
24738,disappointed  ,-0.8051708109428426,1
23220,resistance ,-0.7371059421142633,2
15909,Lacking ,-0.7158691743510514,1
12208,unfortunate,-0.7009182988559449,3
29466,UPSET,-0.6909044340348677,1
476,Never,-0.6359675540856059,2
27402,Pathetic,-0.5847260003484088,2
4922,degraded ,-0.550099553587359,1
27220,Tossed ,-0.5316225054650359,1
31185,inferior,-0.5005325173215558,1
16133,downfall,-0.453945341096534,5
32260,Nasty ,-0.4495029147555655,1
28925,Dated ,-0.4467567112688793,1
21314,ASSHOLE,-0.4227903506899934,1
16583,futile,-0.42072644795757397,1
28952,unfair,-0.3981559531562548,3
26585,"rude
",-0.38582826262094183,2
13476,Bland,-0.38480984959313025,2
27184,Name,-0.3744030229016847,1
23281,unsuccessful,-0.37110117635350753,1
18484,FAIL,-0.3683411004361804,2
1894,Horrible,-0.34828998380578946,8
29547,Unhappy,-0.3253309777378313,1
30443,failure,-0.32440510862935434,3
23379,dismiss,-0.30687612375572654,2
22408,CUTE ,-0.3039511432718563,1
29428,savage,-0.2878820539897115,1
29679,"Advertising 
",-0.27002383514525913,1
9101,currents ,-0.2672226921313035,1
996,Weak,-0.2670169355398281,3
6330,BLAND,-0.24509009747542143,2
8100,Zero ,-0.2322266704008981,5
17932,hysterical ,-0.2287417280250262,2
31852,negative  ,-0.22708339492479956,1
28436,"since
",-0.22683754341472134,1
26419,XED ,-0.22510087480101956,1
21868,rises,-0.21762278327245008,1
20502,stripped ,-0.2165240992188288,2
33422,Bitch,-0.21277917399476065,1
17369,frustrating,-0.20671759437765638,6
23164,Barely ,-0.20560849896086136,5
25232,TERRIBLE,-0.20520825350472469,3
31024,entes ,-0.2048290140271929,1
25724,liar ,-0.2042516282668411,2
4937,shitty ,-0.19675181715777362,11
31020,ún ,-0.19643047449552675,1
32792,halted ,-0.19344054610799372,1
21791,"bland
",-0.191406502775,2
20174,Lack ,-0.1868053922169941,3
9318,sunglasses,-0.18630730955353858,1
15491,Disappointing,-0.18505073531481597,2
26372,Alterations ,-0.1846539636452993,1
29976,DISGUSTING,-0.18053708673968383,3
28335,False ,-0.18053006540852112,3
16281,disguise,-0.1795939065476995,1
19123,declining ,-0.17954312238936168,3
33622,ø,-0.17942644931286655,1
8026,relaxation,-0.1794224312819014,3
22364,disregard ,-0.17822607572720836,4
16434,petals ,-0.17768098452333086,2
23924,accuse,-0.17644875584048747,1
21427,strongest ,-0.17502816338712118,2
6078,Horrible ,-0.1747342609389594,40
24189,Uncomfortable ,-0.17469006253881045,2
1753,pathetic,-0.1709355890876644,6
18978,lter,-0.1660304811732552,2
30698,Sick,-0.15884689927732326,1
4743,lacking,-0.1558738719867557,27
18502,Beast ,-0.1548684968616028,1
31025,vil,-0.1542128371040768,1
31026,iad,-0.15421283710407677,1
22961,considers ,-0.15333708108552782,1
16563,Constructive ,-0.15270679961813233,1
21759,worn,-0.14847449700598847,2
31788,Tends ,-0.14836874303248476,1
19460,lastly ,-0.14823514674056223,4
25602,muddy,-0.1481839412462992,2
33226,TB ,-0.14797096598641318,1
25730,Marino ,-0.14693050071942207,3
27000,Weird ,-0.14619077285710524,3
18501,Nobel ,-0.14328538319125367,1
13748,Closes ,-0.14320697478758987,1
31763,Complete ,-0.14310898412106354,1
22639,à  ,-0.14266768303396893,1
6394,Hate ,-0.14110429592807722,8
32306,Nothin ,-0.1382962258812649,1
31434,disdain ,-0.13800282236280992,1
23143,Inexperienced ,-0.13712770748790185,1
29080,jade,-0.13351084117732936,3
21369,installations,-0.1329117720150359,1
26572,CL ,-0.13117750258679878,1
15895,dissatisfied ,-0.1308114925181963,3
4549,coarse ,-0.12566424617158467,2
22687,dd ,-0.12456922865244358,1
19738,SUCKS ,-0.1244462186564512,1
3045,terrible,-0.12324119892063462,84
24515,FORGOT,-0.12244066339246468,1
29317,robbed,-0.12239802748238941,2
15400,attorneys,-0.12207932263612746,1
2920,misleading,-0.1207892124550372,5
27851,immature,-0.11802842235459753,1
21205,peacock ,-0.11681683514777685,1
21206,feathers ,-0.11555353985956707,1
13786,crawled ,-0.11538257311062926,2
18036,limp,-0.11416691610422516,2
17721,ades,-0.11403865392133637,3
23138,Total,-0.11384794059996173,1
13699,lacking ,-0.11300152723796292,35
2065,worst ,-0.1125252701335123,156
13538,Awful,-0.11219257589401364,6
16672,TERRIBLE ,-0.11208342187041927,6
426,";

",-0.1117813952032914,3
12807,inconsistent ,-0.11101498771234364,7
20076,tentative,-0.11054308991779421,3
18558,HORRIBLE,-0.10978438283302705,4
25469,timeless,-0.10938138988454864,1
22748,Sad,-0.1091226434049137,5
32456,star  ,-0.10839471559069343,1
5720,Shame ,-0.10769856526661396,5
17528,Rude,-0.10660530231585709,6
33204,Cobra,-0.1065312579459563,1
7253,Bad ,-0.10591597682333248,22
29694,Dumb,-0.10458761952864273,1
29211,INCREDIBLY ,-0.10448911696336478,1
19449,poor,-0.10448324719143218,13
31021,cortes ,-0.10357796717675782,1
27919,Push,-0.1032081463402373,1
17448,ruins ,-0.10262259673744056,6
