,Word,Value,Freq
12,not,-2.97182128227245,1
13,like,-0.7459166387368363,1
16,child,-0.3881982753325624,1
24,’,-0.30017185605060287,1
17,’s,-0.28166748977195444,1
23,”,-0.2687604466725511,1
3,have,-0.2150459400933198,1
11,’re,-0.09942239916812606,1
22,!,-0.07835080123435684,1
6,price,-0.027920674495022668,1
4,been,0.032428313084323035,1
2,also,0.07198809463568412,1
18,going,0.0917209198426085,1
20,be,0.11135890189318626,1
9,“,0.11634724938381485,1
10,they,0.13146298729885392,1
19,to,0.1684162825694558,1
14,‘,0.20542805993068985,1
7,estimates,0.20591263849325858,1
15,my,0.21494382225979142,1
0,other,0.3550245650488921,1
21,gay,0.4663523644557473,1
8,.,0.46838893372603135,1
1,works,0.7424106486517974,1
5,exceeding,0.8950466402251311,1
