,Word,Value,Freq
9274,lacking,-5.976876735687256,1
11002,goddamn,-5.862323760986328,1
10099,denies,-5.8510541915893555,1
11586,revealing,-5.826096534729004,1
6085,termination,-5.807867527008057,1
4241,bully,-5.80403470993042,1
5724,awful,-5.799817085266113,1
6798,hacker,-5.750683784484863,1
5833,plea,-5.729647636413574,1
9585,faded,-5.635017395019531,1
11054,stalk,-5.6230788230896,1
11490,appalled,-5.588259220123291,1
12480,lacked,-5.5620527267456055,1
4817,cornered,-5.474111557006836,1
7534,fails,-5.473544359207153,2
4818,grimaced,-5.437281608581543,1
11130,fools,-5.426828861236572,1
10899,hepatitis,-5.408591270446777,1
6366,conscription,-5.346001148223877,1
9531,starved,-5.330737113952637,1
2936,retreat,-5.297731399536133,1
10270,idiot,-5.290035247802734,1
7512,stab,-5.260128021240234,1
6408,loses,-5.216204643249512,1
10091,speechless,-5.184338569641113,1
2881,embarrassing,-5.179096221923828,3
11627,questionable,-5.126655578613281,1
3540,dreadful,-5.081175804138184,1
11053,hunters,-5.04852294921875,1
10200,needle,-4.953438758850098,1
7777,beg,-4.951286792755127,1
2852,hissed,-4.92927885055542,1
9139,debated,-4.899846076965332,1
11188,idiots,-4.8804779052734375,1
6626,intimidated,-4.806942939758301,1
10822,migrate,-4.801117897033691,1
11327,worries,-4.603975296020508,1
10867,dismay,-4.585057735443115,1
9991,manipulating,-4.463392734527588,1
6808,feisty,-4.445903062820435,1
7796,lags,-4.444514274597168,1
3081,queer,-4.331000328063965,1
11886,apology,-4.321496963500977,1
10181,puzzle,-4.318325042724609,1
8516,glare,-4.308063507080078,1
9349,swore,-4.246875762939453,1
2518,rage,-4.243009567260742,1
657,shallow,-4.236028671264648,1
12339,bored,-4.174641132354736,1
5523,hmong,-4.12994122505188,1
1689,declined,-4.111789798736572,5
9158,unsafe,-4.071127414703369,1
8450,discontinued,-3.9342141151428223,3
8315,outraged,-3.887333393096924,1
12499,skeptical,-3.849644422531128,1
8524,revenge,-3.8321733474731445,1
11035,barred,-3.7940423488616943,1
5763,infections,-3.7381577491760254,1
8749,slave,-3.7233880758285522,4
11698,suspicious,-3.722236931324005,4
2562,disappointed,-3.6510319113731384,4
10445,nazi,-3.611906051635742,1
6513,rarely,-3.5146586100260415,3
11372,softening,-3.499969720840454,1
9266,oust,-3.481447696685791,1
8210,nightmares,-3.476433277130127,1
8461,sprinted,-3.4713547229766846,1
9826,frieze,-3.4645124276479087,1
11748,categorized,-3.4412388801574707,1
11425,decreased,-3.4401912689208984,1
6490,fired,-3.4328203201293945,1
4420,stolen,-3.430792212486267,3
12515,defaulted,-3.392117977142334,1
7709,clone,-3.3793253898620605,1
3045,narrowed,-3.366905689239502,1
9814,weariness,-3.3453972339630127,1
1377,sorry,-3.2933323127882823,14
2980,wreck,-3.2921226819356284,3
4852,fucked,-3.262801170349121,3
8145,restrict,-3.244452714920044,1
7921,protest,-3.1305395364761353,4
8849,anxiety,-3.107055902481079,1
11526,defilements,-3.106769323348999,1
3671,worried,-3.1010746359825134,2
1846,swallowed,-3.096693992614746,1
4879,coughed,-3.019062042236328,1
8929,corrupt,-2.9930238723754883,2
5711,damn,-2.9904431104660034,2
6974,fake,-2.9709112644195557,4
7112,sue,-2.928764224052429,2
9974,slaughter,-2.913302183151245,2
5680,scrutiny,-2.9088467756907144,3
