,Word,Value,Freq
6979,kidnap,-2.4535200595855713,1
1433,sabotage,-1.506049394607544,1
18293,wrecks,-1.4979461431503296,1
2104,chooses,-1.4476126432418823,1
18027,skipped,-1.4475734233856201,1
13097,vanished,-1.4310383796691895,1
1641,rejects,-1.2438801527023315,1
15706,flashbacks,-1.241815209388733,1
4807,unauthorized,-1.206721007823944,2
17063,bane,-1.192676305770874,1
5411,ruins,-1.1710708498954774,5
8031,unpredictable,-1.0804847478866577,1
11605,terrified,-1.0697966665029526,8
9769,endings,-1.0507347583770752,1
7621,conflict,-1.0504462718963623,2
5918,battered,-1.0485734939575195,1
23031,declined,-1.0460749864578247,1
5223,rebel,-1.0323533117771149,2
7666,mayhem,-1.0205346941947937,2
19967,detest,-0.9974530935287476,1
22226,vulnerable,-0.9826291799545288,1
1505,hesitant,-0.9732354879379272,1
3459,destroyed,-0.9617119034131368,3
17542,spoils,-0.9458404779434204,1
8740,aback,-0.9301062822341919,1
1595,protected,-0.9271757277575406,11
7447,stumbled,-0.9253749847412109,1
23059,secretive,-0.8976082801818848,1
9734,disaster,-0.8849471211433411,2
17614,smashing,-0.8689456582069397,1
20065,decreased,-0.8598052263259888,1
6371,exposed,-0.8522040843963623,2
11934,escaped,-0.8364376425743103,2
9713,reveal,-0.8334833979606628,2
23345,fades,-0.8315886855125427,1
14289,dragged,-0.8291792273521423,1
2832,vol,-0.827968955039978,1
15909,deteriorated,-0.8261353969573975,1
15583,degraded,-0.8212865591049194,1
12456,feared,-0.8189864158630371,2
13332,butchering,-0.8176973462104797,1
1816,prevents,-0.8132539987564087,2
9289,betrayal,-0.8012172728776932,4
16252,detrimental,-0.7898642420768738,1
23285,sacrifice,-0.7839251160621643,1
11286,sank,-0.782455325126648,1
17261,satiated,-0.7656458020210266,1
17359,obstacles,-0.7462043166160583,1
7954,curses,-0.7320276498794556,1
8184,chose,-0.7174824714660645,5
19698,froze,-0.705695629119873,1
492,succumbed,-0.7039223909378052,1
8566,punishment,-0.6981043070554733,2
20094,demolishing,-0.696731448173523,1
10624,dire,-0.6940615177154541,1
8450,garbage,-0.6906015475591024,3
11192,dislike,-0.6876087784767151,6
16947,venom,-0.6858818531036377,1
14217,dumped,-0.6817936897277832,2
6110,cajuns,-0.6764663855234782,1
9075,improper,-0.6749062538146973,1
11220,unlikely,-0.6735711097717285,1
21018,solitude,-0.6724275350570679,1
9355,threaten,-0.6706647872924805,2
19822,juvenile,-0.666232705116272,1
21419,dubious,-0.6660853028297424,1
17517,teachings,-0.6632760763168335,1
2631,refusing,-0.6589519262313843,5
23368,dares,-0.6539911329746246,1
22461,rapper,-0.6532254219055176,1
11279,standstill,-0.6442871689796448,1
10859,@jesus,-0.6432745456695557,1
21585,lurking,-0.640344500541687,2
5910,spencer,-0.6373434066772461,1
12886,flames,-0.6337180137634277,3
22904,flooding,-0.6336619853973389,1
17951,redundant,-0.6306442022323608,1
9458,ridic,-0.6293491423130035,1
21361,fright,-0.6289515495300293,1
4886,dread,-0.6281649470329285,3
12452,ashamed,-0.6266700824101766,3
17237,careless,-0.6234750151634216,2
10632,pirate,-0.6183227300643921,1
6184,incorrectly,-0.6169899106025696,2
3330,vampire,-0.6136558800935745,2
11772,repay,-0.6111366748809814,1
11651,denial,-0.6103982130686442,3
8697,spill,-0.6095658640066782,3
21219,wildcats,-0.6087484359741211,1
1679,fearful,-0.608506441116333,3
20613,hardcore,-0.6058577299118042,1
3041,fury,-0.6022418588399887,4
16282,insecure,-0.5991619825363159,1
8059,ruin,-0.5979365706443787,15
4646,terrifying,-0.5912648290395737,4
