,Word,Value,Freq
17614,smashing,-1.4579144716262817,1
7408,shoved,-1.4456273317337036,1
17299,boiling,-1.268284797668457,1
17886,ruthless,-1.193240761756897,1
4204,witnessed,-1.1751947402954102,1
7193,impress,-1.0966253280639648,1
20546,stalked,-1.0951288938522339,1
1505,hesitant,-1.0898696184158325,1
16943,risking,-0.9684410095214844,1
6843,booming,-0.9496319890022278,2
16824,skiing,-0.9491129517555237,1
9356,-never,-0.9409661740064621,1
21958,clap,-0.929922878742218,1
1370,assaulted,-0.8763578534126282,1
21949,involve,-0.8635178804397583,1
2610,whipping,-0.8499748706817627,1
20434,posed,-0.8394877910614014,2
12930,worries,-0.8293080528577169,3
13596,growling,-0.7894461154937744,1
20833,consulting,-0.7750598192214966,1
20879,punished,-0.7738967537879944,1
22287,spontaneous,-0.7627774477005005,1
10987,foe,-0.7409243583679199,1
11346,confronts,-0.722866952419281,1
18001,illegal,-0.6981076598167419,1
7434,pledge,-0.6975601315498352,1
10096,:-o,-0.6667182842890421,1
12684,archway,-0.6607035994529724,1
20732,danced,-0.652566134929657,1
20666,infect,-0.646721363067627,1
19586,izzy,-0.6428200006484985,1
20774,pointing,-0.6366276741027832,1
22716,daring,-0.6345314979553223,1
17813,priories,-0.6319860219955444,1
23048,sworn,-0.623745322227478,1
12737,outstanding,-0.6230706572532654,1
13037,childishness,-0.6116354018449783,1
5270,nodding,-0.6099127531051636,1
11836,distracted,-0.6057888120412827,4
4322,temper,-0.6010540823141733,3
19292,"""cash",-0.5769970268011093,1
12580,stupidity,-0.5715008974075317,5
20055,pinned,-0.5695100426673889,1
8593,wipe,-0.5636121749877929,5
10801,hesitation,-0.5614256858825684,1
17214,revenge,-0.5601680874824524,1
18931,insult,-0.5557647546132406,6
8156,commencing,-0.5529183149337769,1
9191,huff,-0.5489245653152466,1
9110,absurd,-0.548477053642273,1
14650,harmed,-0.544459879398346,1
4502,sadistic,-0.5401179492473602,1
18204,reacting,-0.5399501323699951,1
21491,mischief,-0.5381147861480713,2
8031,unpredictable,-0.5374160408973694,1
17713,collapse,-0.5371582210063934,3
19435,protest,-0.5367603302001953,1
21292,entering,-0.5360381007194519,1
21700,pleasures,-0.5347862839698792,1
22975,sundays,-0.5346534252166748,1
8841,bathing,-0.5345657467842102,1
11642,rescues,-0.531343936920166,1
17875,varied,-0.5270965695381165,1
7679,sustain,-0.5249977707862854,1
3578,so.excited,-0.523784319559733,1
20489,stoned,-0.5210206210613251,1
18083,traps,-0.5204600170254707,2
6221,bash,-0.520004615187645,2
22769,kevin,-0.5194807648658752,1
13568,rudeness,-0.5191170126199722,1
2205,inspections,-0.5177090167999268,1
22641,growls,-0.5164111256599426,1
13295,department,-0.5156497955322266,1
7215,hm,-0.5139422416687012,1
12713,heist,-0.5128723680973053,1
17424,baffled,-0.5126981735229492,1
9438,printed,-0.5122781991958618,4
18447,operation,-0.5102002223332723,3
13785,40mins,-0.5042592436075211,1
19613,cycling,-0.5027002692222595,1
4646,terrifying,-0.5015106722712517,4
16094,stimulates,-0.501505583524704,1
7501,complimentary,-0.49935007095336914,1
12339,highness,-0.49931463599205017,1
15942,committed,-0.49551546573638916,2
8428,#surprise,-0.48797474801540375,2
15296,overnight,-0.487914502620697,1
9809,particular,-0.4866856336593628,1
18467,expose,-0.4837602972984314,1
19366,cuss,-0.4834667146205902,2
23401,intermission,-0.4832841157913208,1
18781,~notes,-0.47933250665664673,1
20834,approve,-0.47647392749786377,1
8810,._.,-0.4747032498319944,4
10938,virtues,-0.4709938168525696,1
21475,unclear,-0.4706665575504303,1
2820,freaked,-0.4703305255283009,11
7192,painted,-0.4702615439891815,2
3619,outlook,-0.4697304964065552,1
22270,11am,-0.4692974388599396,1
12418,discuss,-0.46738219261169434,2
22571,complicity,-0.4662869870662689,1
11862,hysterical,-0.46396204829216003,1
14941,gunner,-0.4614495187997818,2
20359,ostensibly,-0.46070027351379395,1
21350,carnage,-0.46004369854927063,1
10733,divine,-0.45871925354003906,2
10964,magically,-0.45851481705904007,2
