,Word,Value,Freq
14185,thoughtless,-1.9587472081184387,1
19000,degraded,-1.6953622102737427,2
6810,inconsistent,-1.6094574928283691,3
17481,wasteful,-1.5032583475112915,1
7637,unreliable,-1.471555233001709,3
21828,ridicule,-1.3321523666381836,4
15453,ruins,-1.2603082473461444,13
9037,inaccurate,-1.0795093576113384,24
1360,shortest,-1.066607117652893,2
17058,recognizes,-1.0508700609207153,1
13278,nightmares,-1.0137763977050782,5
22896,stil,-1.0078619718551636,2
23018,rhetoric,-0.9021234512329102,3
9561,anomaly,-0.8875085115432739,1
5894,scoffed,-0.8656591773033142,2
3222,chaos,-0.8496585488319397,4
11700,thug,-0.7467993895212809,6
2876,slowest,-0.7434921026229858,20
11826,improving,-0.737025260925293,4
17929,ghastly,-0.7317604621251425,2
1570,c'est,-0.7075490156809489,8
12551,overslept,-0.6426155169804891,2
15389,sardines,-0.6260655919710795,8
19136,speechless,-0.6179542541503906,2
114,disappointing,-0.6172536052552994,177
6310,fades,-0.6067629456520081,2
8796,optional,-0.6041817188262939,5
11611,aphids,-0.5689231157302856,1
4109,downfall,-0.560314341024919,11
11949,drab,-0.5536909103393555,1
12717,creepy,-0.5525158968838778,11
10690,fuck,-0.5522649539144415,19
15150,eliminated,-0.5487146377563477,4
14976,disregard,-0.539968212445577,6
12705,flexibility,-0.5312601327896118,2
21840,inacceptable,-0.5056923925876617,4
1852,lacking,-0.49996270160926015,76
1070,frustrating,-0.49838896487888534,38
9573,agony,-0.4838128089904785,1
6570,evil,-0.4828420579433441,4
14022,clumps,-0.47317051887512207,6
11240,lacks,-0.44363141601735895,22
15688,disappointed:/,-0.43597638607025146,3
10304,fought,-0.42340798377990724,5
4281,inappropriate,-0.42145735309237525,21
21982,drapery,-0.42021673917770386,1
14115,know-,-0.40318475663661957,1
12338,fail,-0.39867176339030264,40
11609,falters,-0.39638882875442505,1
1221,unfortunate,-0.39535731573899585,24
20316,infraction,-0.39213796456654865,1
5880,disclose,-0.38980066776275635,1
12806,cheated,-0.3877484401067098,3
9267,stinks,-0.3837670087814331,3
21206,amend,-0.38358426094055176,3
16698,panicked,-0.37902987003326416,3
5902,abilities,-0.3771996647119522,8
23019,democrat,-0.37366849184036255,3
21188,unnecessary,-0.3602083921432495,2
9016,depressed,-0.35969098409016925,3
15724,operator,-0.35300585627555847,1
11825,belong,-0.3526310125986735,6
21375,notices,-0.35153722763061523,4
23021,bashing,-0.3505043089389801,3
21436,gag,-0.3493911425272624,3
5126,overrated,-0.3469689538081487,24
6771,miserable,-0.33806731303532916,12
17658,pristine,-0.33543598651885986,6
17303,uppity,-0.3294234201312065,3
14691,snarled,-0.32817745208740234,4
5625,pediatric,-0.32538798451423645,4
16887,nonexistent,-0.31743005514144895,5
1853,dated,-0.3167856236298879,12
3759,disbelief,-0.3153730034828186,2
3070,unacceptable,-0.31172459189956253,37
10136,viewership,-0.31162571907043457,2
19766,vexed,-0.31131482124328613,4
16833,perception,-0.3105102777481079,2
7585,pricy,-0.30703837843611836,16
22913,messiest,-0.3059172034263611,3
13712,consumption,-0.304978609085083,1
5559,acceptable,-0.3035318095509599,41
9233,reckless,-0.3029697158119895,11
8293,dumped,-0.3001874287923177,3
7925,ruined,-0.29932250494652607,47
5871,talent,-0.2971519470214844,10
21103,buzzing,-0.2959403991699219,1
7323,shitty,-0.29524015528815134,28
12586,dismissive,-0.2946802228689194,2
18921,reek,-0.29183197021484375,1
13118,thirsty,-0.29141160420009066,7
5167,silly,-0.29030588269233704,24
7477,limp,-0.28756219148635864,4
18986,diameter,-0.28746538162231444,5
3097,ordinary,-0.28494636217753094,12
15102,robbery,-0.28491270542144775,4
17884,actors,-0.27525949478149414,1
21056,molester,-0.2728304862976074,2
11610,winged,-0.2707849144935608,2
21341,"sorry!""s",-0.26973995566368103,3
8698,ill,-0.26814963887719545,34
17904,purge,-0.2679102420806885,4
11253,threats,-0.2640559673309326,2
4563,upset,-0.2615465052584384,47
203,horrible,-0.2598048788982455,478
11299,wobbly,-0.25870299339294434,1
4771,zero,-0.2583542358307611,105
20428,meg,-0.25791144371032715,1
10192,utility,-0.2571682929992676,3
7998,apologetic,-0.2571511783383109,33
9930,hiding,-0.25394895672798157,4
15897,zerostars,-0.25118104616800946,5
7834,uneven,-0.25088664732481303,19
14706,favorable,-0.24957436323165894,2
771,poor,-0.24698704687954876,317
9798,unremarkable,-0.24685443772210014,9
20954,livid,-0.2438722848892212,4
1065,dead,-0.24097605238498096,71
4122,sleeze,-0.23941417535146078,1
14118,communicating,-0.2372514804204305,3
7830,swollen,-0.23643405437469484,5
18313,inherently,-0.23587918281555176,1
3291,ugly,-0.2337669829527537,12
14838,marginal,-0.23314083947075737,9
12618,violations,-0.2319948673248291,2
15820,hilariously,-0.23034223914146423,4
13740,prob,-0.22908945878346762,6
10140,hide,-0.2280051310857137,6
554,bland,-0.2270606312869994,242
5611,nightmare,-0.226220271804116,22
13483,aback,-0.2211616039276123,1
1143,terrible,-0.22037951455247884,471
4774,decline,-0.21968809763590494,12
13119,arrogant,-0.21949667930603028,10
3549,useless,-0.2181253433227539,6
13711,degenerate,-0.21435614426930746,1
20619,identical-,-0.21434783935546875,3
19745,immature,-0.21431390941143036,2
12426,somber,-0.21248388290405273,1
2028,weak,-0.2112055466725276,13
1912,comparing,-0.21107677050999232,7
9739,robbed,-0.20949920018513998,3
8090,assaulted,-0.20595264434814453,2
19743,struggled,-0.20475199818611145,4
8127,dull,-0.20452537034687243,19
20967,vomiting,-0.20280903577804565,8
19630,shaky,-0.20279192924499512,5
12712,inattention,-0.20276087522506714,3
8201,execution,-0.20212793946266175,20
12047,wierd,-0.1990342338879903,4
10535,contempt,-0.1984851360321045,1
13361,donors,-0.19846224784851074,3
11206,failure,-0.1974958578745524,9
16431,sleepy,-0.19733476638793945,1
8221,downed,-0.19682717323303223,1
452,missing,-0.19559715392000704,83
8742,dread,-0.19497966766357422,4
12427,muffled,-0.19312357902526855,1
4730,disappointment,-0.192255220452293,122
11467,begging,-0.19055799643198648,3
4154,pathetic,-0.19033977903168778,29
14535,reviewing,-0.18857840129307338,7
6526,distracted,-0.18621990084648132,4
9869,horrific,-0.18533892101711696,9
20161,louder,-0.18511533737182617,3
6286,historic,-0.18421059846878052,8
3777,tamales,-0.18350671976804733,16
22233,mb,-0.1814286708831787,1
4011,awfully,-0.17959095537662506,8
21011,degrading,-0.1787397861480713,3
1864,stale,-0.17870636781056723,60
13896,disliked,-0.1783929467201233,4
8064,foul,-0.17697906494140625,13
18063,essay,-0.17647933959960938,1
7568,declining,-0.1754480004310608,4
5127,underwhelming,-0.17533486230032785,21
13716,slacking,-0.17319339513778687,2
7336,disrespectful,-0.17244325540004632,13
410,slow,-0.17226649095763022,335
22043,http://www.comicartcollection.com/images/wantlist/sphinx.jpg,-0.17222529649734497,1
4132,nobody,-0.17175093225457452,88
23022,1480,-0.17146964371204376,3
21210,notation,-0.17102256417274475,1
2183,worst,-0.16967127765278675,577
20154,apprentice,-0.16781246662139893,1
5738,tight,-0.16758556987928308,46
12665,unsuccessful,-0.1674286127090454,2
2461,upside,-0.16730370786454943,9
10949,closes,-0.16650993625322977,12
16791,diminished,-0.16633498668670654,2
18942,desolate,-0.16547787189483643,3
10419,butchered,-0.16536640908036912,7
959,stank,-0.16020458394830878,11
272,inadequate,-0.1596604883670807,8
5897,doubted,-0.1591881513595581,2
19192,retarded,-0.1587832848230998,5
16940,clerks,-0.158217191696167,3
8168,lighter,-0.15813090801239013,10
2960,experiences,-0.1577878939478021,76
4787,problematic,-0.15741507212320963,3
4615,poorly,-0.1572300015493881,86
9091,frantic,-0.15581750869750977,2
4302,neglected,-0.15506471693515778,8
21010,converting,-0.15331172943115234,3
20193,dud,-0.15315723419189453,1
6549,struggling,-0.15296009182929993,8
1602,overpriced,-0.1528464622074558,155
4708,validated,-0.14844143390655518,1
10067,tore,-0.14816033840179443,1
16396,critic,-0.1476704478263855,2
20830,discarded,-0.147411572933197,5
13875,assholes,-0.14687073230743408,3
6978,overdone,-0.145127534866333,11
10844,needles,-0.1444506181610955,9
8482,ruin,-0.14406375885009765,10
4522,nobodys,-0.143704354763031,2
6888,false,-0.14312871506339625,38
6957,savagely,-0.14306855201721191,4
8381,difficulty,-0.14253920316696167,4
5658,returns,-0.14171970807589018,13
20786,conservative,-0.14124667644500732,1
1742,wrong,-0.14108183690479822,525
1928,awful,-0.14096115407160514,207
18765,withdrew,-0.14044809341430664,1
14012,repulsed,-0.1400599139077323,7
4799,died,-0.13989346027374266,10
21111,elusive,-0.13910555839538574,3
16767,sucky,-0.13899773359298706,1
20162,vapor,-0.13878417015075684,4
16597,infuriated,-0.1373676856358846,1
1367,scores,-0.13693664073944092,5
14230,coverage,-0.13646447658538818,4
191,disappointed,-0.13610272193566347,585
11010,decreased,-0.13478334744771323,3
1000,appealing,-0.13429635763168335,22
3525,maintaining,-0.1329602599143982,4
10564,altering,-0.13288724422454834,2
7289,flavourless,-0.13254980246225992,3
5679,abandoning,-0.13252997398376465,1
14728,hotties,-0.13176867365837097,1
21417,bitchy,-0.13105833530426025,1
15120,mediocrity,-0.1304296851158142,2
21979,carpeting,-0.13040387630462646,1
20913,employer,-0.129014790058136,4
3697,boring,-0.1272404213314471,46
12740,delays,-0.1259069876237349,11
15767,drainage,-0.1254439353942871,1
14477,entitle,-0.12509751319885254,3
18074,corporation,-0.12459087371826172,1
1641,average,-0.12458401853623598,276
6487,cancelled,-0.12448011606167524,39
7236,weary,-0.12438511848449707,7
17053,faulty,-0.12340020537376403,5
6251,communication,-0.12326271922299356,33
13447,junk,-0.12322927923763499,17
3004,alright,-0.122866195601386,74
1261,rude,-0.12283316695929881,547
21911,brat,-0.122286856174469,1
9243,jerry,-0.12199705176883274,9
