,Word,Bert,Distilbert
0,incapable,-0.000349815,8.57E-06
1,tide,-0.000318198,-3.63E-06
2,temptation,-0.000299444,1.03E-05
3,bane,-0.000278617,-3.66E-05
4,folded,-0.000262963,-6.30E-05
5,smartphone,-0.000258624,-2.40E-05
6,poker,-0.000256086,3.42E-05
7,coloured,-0.000253357,-3.87E-05
8,finishes,-0.000249556,-2.84E-05
9,breathed,-0.000247322,-3.38E-05
10,continuous,-0.000246026,-1.08E-05
11,greene,-0.000240486,5.39E-06
12,effective,-0.000234599,-4.58E-05
13,gentlemen,-0.000232063,-2.91E-05
14,59,-0.000229628,-5.31E-05
15,encouraging,-0.000221948,1.39E-06
16,rory,-0.000217407,-5.34E-05
17,mcgraw,-0.0002169,-3.25E-05
18,mistaken,-0.000216794,-3.00E-05
19,guinness,-0.000212937,-2.77E-05
20,thanking,-0.000211687,2.76E-05
21,iss,-0.00020859,-8.55E-05
22,flashes,-0.000205994,-3.28E-05
23,thoughtful,-0.000205879,-2.52E-05
24,occupied,-0.00020567,2.58E-06
25,dubai,-0.000202764,-2.82E-05
26,gb,-0.000201826,1.35E-06
27,metres,-0.000201136,-5.65E-05
28,chores,-0.000198142,-2.95E-06
29,vibrating,-0.000196563,-2.59E-05
30,clapping,-0.000195124,-8.58E-05
31,mtv,-0.000192296,5.37E-07
32,increased,-0.000191951,-1.54E-05
33,appeared,-0.000191643,-3.12E-05
34,visitor,-0.00019093,-3.66E-05
35,weights,-0.000190117,-3.09E-05
36,withdrawal,-0.000189827,-6.96E-05
37,becomes,-0.000189316,-3.68E-05
38,arcade,-0.000187644,-5.63E-06
39,hawk,-0.000187575,1.46E-05
40,confusion,-0.000186949,-3.39E-05
41,trainer,-0.000186173,-4.16E-05
42,unlikely,-0.00018588,-3.66E-05
43,restored,-0.00018565,-2.06E-05
44,pacing,-0.000185052,2.25E-05
45,twitch,-0.000184984,-4.72E-05
46,dion,-0.00018417,-2.68E-05
47,witnessed,-0.000183842,-5.69E-05
48,certainty,-0.000183002,1.82E-05
49,chow,-0.000182928,2.24E-05
50,fortunate,-0.000181553,1.19E-05
51,sims,-0.000181395,2.52E-05
52,henderson,-0.000179601,-5.71E-05
53,clemson,-0.000178874,-3.11E-05
54,quinn,-0.000178012,5.26E-05
55,critique,-0.000177636,-3.58E-05
56,tablet,-0.000177298,-4.03E-05
57,flesh,-0.000176933,-9.38E-06
58,wonders,-0.000176488,-2.09E-05
59,physiology,-0.000176448,1.92E-05
60,speechless,-0.000173943,-5.33E-05
61,battles,-0.000173829,-4.69E-05
62,sofia,-0.000173698,7.76E-06
63,functioning,-0.000173671,-2.33E-05
64,assembly,-0.000172327,-1.44E-05
65,thumbs,-0.000172011,-3.17E-05
66,african,-0.00017172,-2.79E-06
67,demons,-0.000171518,-2.64E-05
68,flashing,-0.000171374,-3.01E-05
69,mute,-0.000170842,4.37E-07
70,deaf,-0.000170552,1.31E-06
71,stocks,-0.000170432,-6.84E-05
72,chester,-0.000170287,2.95E-05
73,entertained,-0.000170092,-2.39E-05
74,retirement,-0.000169569,-5.65E-05
75,sniffing,-0.000168586,-6.54E-05
76,marvelous,-0.000168166,-7.97E-06
77,complex,-0.000168062,1.01E-05
78,truly,-0.000167519,-4.09E-05
79,hamlet,-0.000167323,-3.06E-06
80,tanned,-0.000165326,-1.93E-05
81,academic,-0.000165171,3.70E-06
82,scarlett,-0.000164869,-9.74E-06
83,vibration,-0.000164482,-2.20E-05
84,foundations,-0.000164473,-2.44E-05
85,kennedy,-0.000164143,-5.34E-05
86,scorer,-0.000163919,1.67E-05
87,watches,-0.000163678,-9.76E-06
88,amazingly,-0.000163622,-2.96E-05
89,aqua,-0.000163564,-4.61E-05
90,edinburgh,-0.000162823,4.17E-05
91,locks,-0.000162598,-7.00E-05
92,harbor,-0.000162469,-4.58E-06
93,matched,-0.000162151,9.08E-06
94,confident,-0.000161552,-7.10E-06
95,csi,-0.0001613,2.74E-07
96,godfather,-0.000160639,8.77E-06
97,xavier,-0.000160454,-2.75E-05
98,hearted,-0.000159674,5.42E-06
99,downhill,-0.000158916,2.09E-05
100,maximum,-0.000158695,2.68E-06
101,titanic,-0.000157887,-2.95E-05
102,joseph,-0.000156941,2.55E-05
103,ireland,-0.000156464,-5.90E-06
104,trillion,-0.000155585,-6.67E-05
105,poetic,-0.000154645,-3.84E-05
106,sting,-0.000154172,4.45E-06
107,admitting,-0.000154166,-7.92E-05
108,spotting,-0.000153858,-2.48E-05
109,continuously,-0.000153776,-2.94E-05
110,native,-0.000153425,-1.58E-05
111,heavens,-0.00015332,-3.02E-05
112,remotely,-0.000153213,-1.18E-05
113,nonstop,-0.00015302,-4.17E-05
114,clutch,-0.000153019,-7.59E-06
115,peru,-0.000152977,-1.76E-05
116,enthusiastic,-0.000152477,-3.45E-05
117,sunrise,-0.000152448,2.06E-08
118,ladder,-0.000151069,3.78E-06
119,marching,-0.000151052,1.18E-05
120,responses,-0.000150582,-5.44E-05
121,novel,-0.000150337,-4.56E-05
122,inspire,-0.000150008,-5.52E-05
123,doubles,-0.000149906,-4.42E-05
124,grapes,-0.000149318,2.85E-05
125,excessive,-0.000148507,1.27E-08
126,wreck,-0.000148109,-1.01E-05
127,equals,-0.000147599,2.08E-05
128,argued,-0.000147527,-4.39E-05
129,janet,-0.000147451,-1.73E-05
130,combination,-0.00014736,-1.32E-05
131,mafia,-0.000147334,-3.57E-05
132,bubbles,-0.000147326,-6.24E-06
133,mitchell,-0.000147267,1.17E-05
134,stares,-0.000146417,7.49E-06
135,skill,-0.000146411,-2.16E-05
136,towers,-0.000146025,1.62E-06
