0,1,2,3,4,5,6,7,8,9
firedrill,lecries,futility,mediocre,alloy,championscentre.com,illprobablygetfired,depression,resisting,nail
@p_nix17,haphazard,@strife_nahalf,forbid,busted,warming,soon.#sadness,-horace,frustration,butthurt
hitler,edits,furious,sodding,maelstrom,screw,alcatraz,tension,paranormal,sow
childishness,venom,@butimnotcool,effer,busquets,capcity,badsanta,@mattnalton,gaaaah,profanity
vent,fled,wahhhh,mentalward,huff,anorexic,i'll,@4sqsupport,fuckinf,disable
complicity,whines,viideo,dit,advert,dendro,pulp,cuss,harden,aimed
referee,prompt,twat,twisting,peeves,rend,leniency,tiredness,slackin,evades
@precisionprod,potentially,dismissal,quid,muffle,granite,noooooo,suspicion,hem,clawing
ruining,whittling,dedans,grrrr,criticising,insecure,moan,feeing,productivity,everlast
deleted,won't,criticize,kiernan,bowel,masterrrrr,brokecollegestudent,risking,fuming,se1
regretcuttingme,reprieve,whipping,incoherent,tiring,spilled,fuckthatshit,bashing,slavering,damnit
fuuuuck,harrogate,@slobewaits,derry,repulsive,pimp,louder,teenager,grammar,timeout
overflows,intolerant,drunkass,rowan,onwards,waitrose,negativity,vmail,resolve,texting
misspell,withing,proverbs,shatter,bordering,arrogance,illiteracy,asswhooping,whining,chipped
jealousy,sober,takn,laughhhh,@mr_smerke3,intermission,warehouse,wale,translations,unionised
spoils,thebulge,johns,pureanger,idolatry,shits,balls,@chrisbruno42,riot,recieved
fuking,righteousness,frequent,annoyingpeople,biting,calmdown,prick,rant,protest,fury
snarky,dangerous,frigin,chaos,scoff,twiterland,grrrrrr,wotless,understand?money,hormonal
tvs,grrrrr,barry,letdown,spams,#hurryup,freeview,reallly,capitalists,habent
fron,fuse,@mr_grimshaw,stupidity,fark,pierce,justified,dayy,adverts,twats
irredeemable,prohibit,tick,hateatt,fool!â€,apologise,roadworks,feelspower,scarredforlife,stupidgirl
inb,ch9,penarth,congress,#hate,inlove,kneel,would'nt,uou,demolishing
fuckups,yelling,madness,clarify,fouls,earbuds,lieingfucker,opposing,@sammibruner,@holla_skitty1
dislocate,scrum,morrisons,contacting,irked,manicured,@prendizzler,venti,gripes,disrespect
wut,ruins,ridic,flattened,friendzoned,angrily,mastering,adrenalin,bulter,insane
indecisive,abuse,effect,@robertson_darci,archive,@alyssamarquardt,lanes,iisz,hulk,tenders
brainwashed,yells,trucker,spiral,bane,onerepublic,throw,longsuffering,greyson,badges
venting,knight),annoyances,depress,libs,littlewoods,threw,homelesspeople,wrath,forwards
act,dickheads,paralyzes,arrrrrg,ruthless,calvin,hostage,fricken,@mademoiselletma,gash
hypocritical,casteth,1o,grounded,pry,hate,farris,ruin,weellll,peado
