0,1,2,3,4,5,6,7,8,9
fustrated,upâ€,assholes,fox,aggravation,handball,kicked,grounded,irked,extolling
editor,effer,refund,weapon,lance,temper,pissed,hormonal,shut,stfu
revenge,championscentre.com,yelled,clients,upp,supporting,fuckin,@mr_smerke3,irritates,hater
spilled,shutthefuckup,demands,malice,twat,fkkk,apologize,smoothly,gwksxpnqvq,motivator
peeves,fila,burned,slaped,â€œ@iam_tpc,ihatemymathprof,whipping,jackass,sow,feelspower
barry,childish,tackle,grrr,chip,ruins,abandonment,crybaby,insult,texting
adrenalin,mediocre,thatslife,deflect,apologise,aggravating,sees,favs,@wpxi,fathering
ungrateful,hitting,mistrust,productivity,forcing,h8,bastard,punkass,moan,futility
insane,shutup,ditched,sporting,frustration,proverbs,tick,plead,ughhh,stated
grammar,unleash,blame,miscounted,hopkins,duvet,fan,kjv,calm,retaliate
fist,wotless,translations,hostility,smash,rage,any1,unfollowing,meâ€awwwwwwwww,deleted
act,saddneesss,7.50am,betrayal,@mackenziekeys,ridiculous,olympics,shatter,lied,sadtweet
littlewoods,lanes,fire,fend,hardening,muffle,anger,angry,goalscorer,recieved
kiernan,demolishing,misfortune,brian,fcuk,frequent,motherfucker,uwo,related,patience
refusing,x2,whining,fault,curses,damien,won't,notting,venting,forbid
refs,picks,bitchy,@yeroc7890,screwing,heated,rid,delete,frigin,it!.
bitterness,jealousy,excuses,reporter,sox,twisting,whip,tension,short,erase
...........,shitbrained,footie,letdown,task,solve,shouting,undermines,fone,kicking
damnit,#hate,ring,sainsburys,grumpy,pierce,hulk,vulnerable.-,spiral,fool!â€
tosser,fucking,@mtnng,rude,destroying,talking2everyone,speedways,effect,frowned,armour
hulu,tiring,@criminally,protesting,disproportionate,protective,vigilante,cost,abusive,biting
righteousness,reprieve,snotty,depression,selfloathing,proverb,ruining,balls,pummeled,v.v
misstep,grasp,mastering,dislike,fired,@holla_skitty1,grrrrrr,hateeverything,linee,answering
spams,weekends,inappropriate,@p_nix17,punched,@strong_face,convinced,ruined,rant,unavailable
fury,pent,soon.#sadness,profanity,offended,acceptance,ruin,annoyingpeople,chew,issue
resolve,insecure,feminism,upsetting,ranting,tvs,sadness,lonelyness,haters,â€œ@theonly_bk
stack,foul,cunt,twats,rend,fed,everlast,stupidity,fuckinf,fathers
casey,pile,grrrrr,piss,kooiman,bitches,yell,prick,imthrowingtheredflag,lifeskills
annoying,sodding,alcatraz,congress,nail,destructive,angriest,annoyed,services,yelling
hostage,snow,trot,proofing,shits,coaches,pureanger,@strife_nahalf,bane,pronouns
revengewillbemine,mailroom,problemsolved,opertunaties,disconnection,...........................,capitalists,feisty,crack,warehouse
revolutions,@bbcbreakfast,delay,ffs,uninstall,tiredness,madness,johns,toll,plz
plural,punches,tempers,reefer,negativity,slammed,chopping,deserved,wut,grrrrrrr
enraged,fuming,vmail,bashed,thrown,unloved,fghjklhgf,fron,fart,idiot-
refuse,raging,resentment,wahh,understand.â€,world.#sadness,dispatcher,wtp,lash,riot
theartofwar,potentially,slavering,vent,overprotectivemom,load,kya,worth,rapist,kickingoff
rip,wrath,cardiff,repulsive,sticking,rules,warming,busted,-horace,kneel
spite,timeout,sowing,ram,speaks,destroy,inefficient,abuse,scriptures,cunts
sober,@mikesovo,incompetence,accuse,bitch,frustrated,suddeninspiration,gaaaah,prohibit,messaged
nevermind,slipknot,aggression,breakups,throw,fucker,torn,angrier,@prendizzler,illegal
guitars,sotired,annoy,foodandfamilycureall,destroys,frustrating,unwanted,snowball,seething,sleepover
@dickyv,mgmnt,dangerous,pisses,fight,habit.â€,careless,infuriating,fuckoff,irritating
provoked,threw,resent,i'll,@myfishkevin,frikkin,boiling,psg,waitrose,cancel
credit,wrenching,contacting,punching,trafford,whiny,shouted,stoke,@xlottie_brownx,tailgating
shutting,hate,understand?money,mad,huff,productive,referee,gloves,advert,magically
mailimusic,wasting,orders,wale,lotsofanger,chanting,intensity,selfcontrol,annoyances,motive
punch,trucker,screw,repeated,grieve,profanities,friggin,darth,effed,erased
despise,stirs,whiney,gridlock,deny,ripping,unacceptable,headache,noooooo,aree
hatred,fool,cuss,delays,ridic,venom,wtfuffle,risking,,
