0,1,2,3,4,5,6,7,8,9
@elliebondini,@erica_sydney,blacksheep,irvine,@kaleighbrewer,dalmatians,tickeeeeets,@mega64official,@daniellezbodula,siesta
fashioned,moes,shame-,"echo:""we",@brand0njennings,marianas,libyan,stl,@smokincguarz,perish
eminemlookalike,@hayleydocherty,@mikebarry4,dedupe,unplayed,realizes,@nh7,@haley_bake11,10.2,everythingwillgetbetter
flooding,missingvacationalready,tav,@thesondheimer,ifeelsmart,ppi,raleigh,erica,doodling,cgf
clam,iagreeitdoesnthappenoftenenough,@lakutis,@ivegotdapower,@shaneshane,woodlawn,wewe,swtor,ethiopian,sleeptweet
goto,margarito,scheels,emmy,pantless,regreting,montreal,#blameitontheblonde,gucci,@nnnadroj
@drmikemurdock,adderallanyone,zumba,rewatch,nocomplaints,beleive,ekekekekeke,shurmur,popoverindie,glitzy
untied,@medusaindespair,@xmadlorix,flawed,@ruthliew,connelly,schoooolssssss,overload,longfilms,lifesecrets
gloriousthanksgivingvacation,@nicholassauer,@logankellams,backfire,@bloggingbombers,pimples,dosent,@matt_spark,detrimental,feelsstrange
disjointed,@codygerdeman,repentance,crofts,wasteofagoodnapday,blamebiosciandorgchem,wherehasthetimegone,thatawkwardmomentwhen,@katie_looo,aimlessly
excitedlyfrustrated,knobber,voidwatch,vanish,duplicate,pwgkliq,wanker,@leahmatusow,grieving,@cwuesthoff
sunderland,losers,@j_love09,flashbacks,slump,clingy,twerking,closure,gatecrashing,@come_whit_it
terps,merp,zach,flopped,@bellamalzone,getmeoutofcleveland,agm,@riajgfan1975,@lnvoge,@madelinevoges
deteriorated,egoless,nomorepain,sosimple,@allen_mclain,girlfrend,boner,sameness,remakes,geo
overflow,butmostlysadness,mmhmm,dreamstream,gilman,confine,pbs,owhereowhereowhere,remnants,@brittanybiorck
dontunfollow,uwp,alienation,crust,emoticon,@elpea_ox,breaths,@louise_johnston,jury,cantata
collegebasketballatitsfinest,@kjtob11,dayoffruined,feelins,npc,â£37,hateit,paradoxically,@genbookteam,movember
mannnnn,frosting,@danfriedman81,certficate,longggggg,world.#sadness,triscuits,@sarahhhhh13,scarredforlife,@taydeath
raphael,asswhole,hateschool,@bimbolal,neglect,tjp,@its_klo_fosho,@dark_barcelona,@boredmommy,@blueeyedshinobi
bigbangtheory,foodnetwork,inability,#notgood,@fixxcoffeehouse,schlotzskys,melting,tragedy,saps,fractured
stressingmeout,avalanche,ephraim,9:59:16,unofficial,@maaarex3,newadventures,niite,yourself.~david,oblivion
jealousofyourdad,dolls,holt,wedon't,ffxi,fatass,sims,stein,guuuuurl,@abbiesparkle7
tweetheads,hellooooo,onlineshoppingproblem,whitesox,gr8ful,sackup,fozzie,@kshitemi,closing,srry
explosions,avs,partially,testttttt,lettheangerbegin,boycotting,@arundanush,@nickiminaj,iquit,@shaytylerrr
redeem,@jassmiinneee,dtla,failedthatone,thinkbeforeyouspeak,dancers,randle,@ash_lee511,@kyletravis09,concerts
@anathaen,roxbury,reschedule,wednseday,praiseemforme,@_urmainblondiee,@_kbettag309,dire,@jordanwooten,mournful
"1,104",@trclove2219,nonono,fuquay,strumming,@orangejbt,schott,mediocrity,rename,adaptive
@stevenlazar0ff,merriment,oldpeoplesuck,@dukeofyorks,positiverippleeffect,collegekidproblems,ginter,piccadilly,iglesias,@kaylacourtney
unloved,@meghanpickett,sentimentalism,@cthulhuchick,erased,wssu,nonegyptnews,astray,snapple,auntproblems
st.louis,@holzapfel80,iâ´m,@brittanyy_lucas,sadtweet,retreats,triples,noreturn,stinkin,@glemanski
@okwithwords,@rob_moynihan,@doryofmylife,lousy,hei,lvl,exodus,notinthemood,niagara,@cmsamaritano
hulu,pussssssssy,fucktrig,@flynupee,@meeemmss,waaaan,aniversary,avi,simpsons,rvp
secretsunday,reenactor,sensethesarcasm,camille,gobblers,@rusty_roberts,wahhh,12.5,buckeyes,mybestfriendforalways
dontwannathinkaboutit,ddnt,paperproblems,@emilylevenson,bane,,@ronmarz,@plums69,disposable,whyyyy
smoldering,loveofmylife,@chebelleza,sinking,inlovewithher,onceuponatime,sanitystruggles,maã±ana,sacking,dumped
wanttoseeyouinallplaces,@toure_htz,@_caitlinohh,=3,pasadena,@leasantoss,declining,soulless,@charlottehanlan,pgh
@codyc_55,missyou,@jacobearly,hateatt,wither,@brucieboy1986,@kaylynsilva,fireworks,cascadian,lotr
othello,inadequate,scarred,@danilic,sacked,gunshots,achingly,@emleefaye,nothingisimpossiblie,nothx2rogers
index,creepiness,@lovecarleex3,pookie,thingsthatneedtoend,cotto,missingthesouth,malevolence,forgave,jack]white
rotf,tweets!can,eaglet,gonnabealongday,thistooshallfail,woodbridge,youarenot,@thequeenhutras,breaktime,mfs
tfb,takeitoutonthebenchpress,playmobil,@msmallory2012,writting,eish,grabe,@ariesangel8,collegetown,uninstall
@charlieee91,whycantwebefriends,@flirtatiousjuju,hiatus,@nikkiwarnz,funnny,mccoy,@kennethmgracia,omelette,blistered
purposely,byebye,@dswhite21,lsd,@tj_theflyone,@bruhimcreole,v.depressing,saysomethin,rep.,melancholic
undone,shutupandsmile,lamer,@geeaich,bestdaughtereverâ€,jv,ihatemyself,farmland,abbott,@jannysoul
breakingyawn,perculating,brees,skipping,onemorereasontohateu,butiamhopeful,endoftenancytweet,@sbm40,@erin_glass15,â€œ@alisaatiree
idont,founding,lamenting,blackfridaymaddness,unhappiness,retiring,validation,thisisgonnabefun,decomposed,suds
deathly,disappears,reunite,depleted,lightyear,departure,happybdaytome,teary,@vintagececilia,@voges5
myfavorite,declined,stag,drought,reunited,watcher,deprieved,laz,vanished,lonelyness
bookers,ambiguity,@dannigray92,ditching,blast:|,mccall,animation,algo,get'n,resto
@jaywardiv,courtney,crumbled,crd,burke,tomorrow:/,intermission,sleepout,blindsided,giza
@eturner43,musta,demolishing,@abillharz,pessimism,moodbooster,ugh--,distinguish,chars,carlin
neeeeeeed,@brightoned,2-day,over:-,@paulbrislen,@melissatrunzo,venti,soon.#sadness,gottagetmotivated,totality
reworking,butthatsjustme,@raywj,degrassi,pathetically,goodgrief,justtryingtoupliftthisboringconvosation,@_the_mz,forsaken,@kelllay415
backtotrainers,snuggsin,ccd,@mikeallen,beverly,@vennardrose,disarray,lasereyebeams,onerepublic,eponine
@ancientproverbs,vacate,@a_vastano,seguin,@bobbystompy,zte,exboyfriendprobz,@colequitman,howlovely,@jtthompson22
sudexo,tastic,@prdru1,@joebuffalowins,internalaffairs,sappy,sank,@turkeyturner,5daysleft,@ski24_7
@bethkatemiller,@insaneserenade,aamir,@yokoono,rin,tomorroe,olny,notfun,curses,participation
catalyst,nightlong,incoherent,yourealljelly,tumbr,partly,struggled,nma,fondly,popcornanyone
