word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12
choppily,swill,apoligized,overstock,1:00,great,hill!unfortunately,dumpster,exam,dispenser,wheeled,pay
junk!!,terrible,had,exam,rehash,20,..................,out,apology,patched,pretzles,cashier(nataly
nailpolish,microwaved,exam,tempo,extremelystrenuousandrewarding,clot,opticoat,joyless,glutamateof,clings,sa,further
-0-,sampler.even,untouchable,chore,10.someone,underrated,securely,diluting,after.bad,terrible,the,characterless
over,much3,attitude,manager,Q<--->,alsike,shittiest,3.95,dwindled,kirkland'd,unethical,jerks
randi,"  

 ",45min,better.however,the,adversing,redeeming,lazy,pet!!nylabone,cold,frustrates,great
radiance,prepackaged,Q<--->,uncleanliness,abstract,hate,gimicky,"switch"".also",hardly,customer,terrible,shave:/
Q<--->,again!also,disappointed--,=(,emptor,neglecting,hipper,goûtait,sham,f*'d,alsike,teriaki
nightmarish,2.96,horribly,everyything,sour.yuck,m.c,exam,disappoined,terrible,firmer,5:30pm,outwhy
alsike,jons,hogs,coutu,briyani,whould,worste,busted,adequate,glaringly,conefull,great
treats)very,the,if,Q<--->,dog.as,poorly,grime,disguising,a**h*le,overdone,langers,smears
greg,unripe,get,mounts.the,terrible,outweigh,anymore!if,--actual,outrageously,alsike,vomit,sdw
isn't,shakesphere,handicapping,snarled,huh?wish,great,outlandish,exam,boring----nice,scalded,atrocious,unfortunately.the
refundable,unpardonably,diluted!some,Q<--->,stop.i,barf,violation,cancelled,slipped,12)very,exam,amway
bleck,high?,further,depressed,unrustled,"""since",terrible,forgettable,bleah,12/16/17,150.00service,annoyingly
further,underemployed,horrifyingly,connected4,terrible,unenthused,ingredients.bottom,gentle(as,hooray,sharp.what,disgustingness,globbed
u.s.one,neither,would,Q<--->,promply,:-(,buyer,terrible,received,nagiri,"bought,,its",alsike
12/19/2016,gimmicks,negging,2.59,further,-____-,unfactual,carbonization,Q<--->,gluttons,thought,childthen
comimg,inproved,bleh,grainy,horatio,crunching,lookingfor,drink.terrible,exam,until,machine.clearman,the
Q<--->,alsike,"

 

 ",mgtotal,2/20/16,answer.so,disappointing!after,inordinate,30,worst3,distinctions,"""very"
overpriced,surplus,whataburger,ugh,whip,teabags,the,exam,odurs,weeeeeee,overwhlemed,spacey
unworking,9.9.13,imitation,-)cost,good:--my,j&i#nidyh,glue,yuck!quick,great,further,chipped,berates
back.needs,unrealistic,assulted,contaminated,inadequate,great,tasteful,apologizes,ringer,Q<--->,masquerading,airdance
further,cheap.cheap.cheap,f'in,disassemble,........,loosing,disappoonting,"review""once",irreparably,tested.the,terrible,cripplingly
the,emporte,are!they're,surgar,else.service,bcoz,farts,panned,unfornately,further,disapointment,stifled
inoperable,rotten,failed,preside,awfulonly,problems:1,mishap,indignant,exam,"""sadly",further,disappointed
uninventive,saddly,yuck.i,lumpy,unshowered,sickening,fan!i,Q<--->,myseriously,great,shambles,unoriginal
ruins,discarded,exam,terrible,mho,money!!!4,invalid,won't,questionable,t.m.x.,)however,cheapening
lukewarm,the,impure,pitiful,wally,impersonally,settlers,deaf,overbreading,forewarned,"stale,,not",great
hangry,0-stars,alsike,...................,insipide,terrible,useable,incompletely,horrendously,exclusively.this,kitchems,camerabought
2.69,unappealing,right?is,terrible,exam,it's,pseudo,charged,grounded,flimsy,productthink,digressed
the,me,phthalates,Q<--->,impresiion,poorer,said,grandeur,sweetgourmet.com,fraudulant,off.-dragon,40.00
hated,horifically,Q<--->,bebe',dangers,unplugged,embezzling,skilless,"cookies,4.4-ounce",------------------------------------------------------ammonium,stopped,the
disaster!when,passable,lumping,carcas,.poor,worthless,terrible,hunk,wetnaps,anhonest,the,embezzled
inconclusive,further,immitations,the,dont,snow.15,unfortunatley,aaaarrrrrgghh,kills,styrofoam,incompetence,order
zeroes,fiasco,white)but,further,..........................,edible.i,oweful,great,annoying!i,halfassed,boorish,filthy
moronic,easiley,?,0.5-ounce,bourbons,terrible,lurches,swarovski,flipchart,"18"").wasted",ur,alsike
antoinette,additions.upon,demandait,then!amazon,salesmanship,doomed,scruffy,amazon.i've,grosser,the,alsike,-tee
kritikpunkt,regretting,dumped,conceded,verdict,stuck,Q<--->,berating,marbles1,discusting,8x10,the
basket.thank,infested,painfully,alsike,dud,disassociated,spits,limitée,easily.dont,Q<--->,corroded,tokens
impulsive,disgusted,alsike,aggravatingly,queazy,reheated,further,dudebro,nightmare,vacuume,failure,appoligized
further,assaulted,great,geomar,cites,yoyo.com,detestable,moronically,scams,theacception,appalled,favorite.cons:1-
at,sift,malfunctioning,qualitynot,wrong/.,pm?????really,did,the,190.that,devastated,terrible,lambasted
