,Word,Value,Freq
16848,sing,-0.1608350951158002,1
12337,pharmacy,-0.16075595383858854,1
12138,circus,-0.12311750358958307,1
14376,accuracy,-0.1126545248682902,1
16913,bud,-0.10789738145791716,1
11787,canyon,-0.10392982559119446,1
15333,regime,-0.10197373539972432,1
12588,wanderers,-0.09486139356226886,1
11805,educating,-0.09240665158779393,1
10563,brooklyn,-0.0909821751947652,2
15866,snowy,-0.08990789212862182,1
15223,period-,-0.08956585791072058,3
15858,lone,-0.08912105649733348,1
8144,studied,-0.08879761039531786,3
15396,/>preserved,-0.08827462713230716,5
7957,kindergarten,-0.08823287648548946,3
16484,productive,-0.08795392487463971,2
1003,rollups,-0.08734779740719034,1
16650,expected.<br,-0.08707504533167665,1
9734,joking,-0.08705922316039505,1
15969,pricce,-0.08651384408155138,1
12191,superhots,-0.08622649127909199,1
10850,fine-,-0.08604220269975826,1
10851,repulsed,-0.08604220269975826,1
12493,package].,-0.08432743152772915,5
12492,capful,-0.08432743152772915,5
14953,roth,-0.08430061230956198,1
8146,dwindle,-0.08321780592541472,3
7214,rug,-0.08307217096273689,3
4966,temper,-0.08305426707912034,2
2102,imparts,-0.08298842542828311,1
16244,mimosa,-0.08297731322196711,1
14871,/>despite,-0.08287875181722493,2
11508,expecting.<br,-0.08274453602335541,1
15266,frills,-0.08270831884964025,2
7590,pluses,-0.08257239871142019,2
17313,expectation.<br,-0.08247426211136144,1
14760,yelling,-0.0824432597658955,6
13905,prilosec,-0.08243843485882962,1
3999,profiles,-0.08202127598154618,2
8776,harbors,-0.08192259066080965,1
15842,instructions.<br,-0.08172610346517217,2
17292,agriculture,-0.08063793528549468,1
10033,promises.<br,-0.08057756242273939,1
10090,expects,-0.0804441943360672,1
5869,melissa,-0.08040921050280048,1
9402,start.<br,-0.08032326269957935,6
16644,/>needless,-0.08028740519921485,1
8814,infested,-0.07983590626102455,1
11605,realistic,-0.07962535779130064,1
14785,fiberplus,-0.0795300171330382,1
10597,lilies,-0.07932157870499168,1
9460,hypoglycemic.<br,-0.07916519965959168,1
2364,/>*intestinal,-0.07893072741757834,4
2365,/>*severe,-0.07893072741757834,4
6645,hope!!<br,-0.07869708701750255,4
7366,personality,-0.07838001128803462,1
12679,states:<br,-0.07798461607231744,6
12680,proprietary,-0.07798461607231744,6
8284,pro's?<br,-0.07786051308434594,7
11991,coupe,-0.0778059152931192,1
3074,breyer,-0.07780068853782396,1
15853,preservatives'-'no,-0.07774436181561839,1
3877,recoommend,-0.07748176458562561,1
11881,pureness,-0.07745816310183073,1
13176,elaborada,-0.07727237197133618,1
13177,palo,-0.07727237197133618,1
8246,ian,-0.07713401078011373,2
17095,sampler</a,-0.07695996354198087,1
16043,deposited,-0.07695676025986131,1
