,Word,Value,Freq
4652,verbally,-0.057963574811793706,1
14386,spades,-0.056731340644809336,1
11151,esteem,-0.05654724848275805,1
16055,sopend,-0.05648304579495189,1
13584,emptied,-0.056001784157970746,1
8644,dolts,-0.055881397544816025,9
13576,creeped,-0.05550538914379288,1
15935,repairable,-0.05459982342469516,17
6494,burped,-0.054162208736588724,13
15513,outdated,-0.05415623891803634,13
6534,offspring,-0.054120720078906004,1
9813,districts,-0.0540448130838449,13
16588,often.)some,-0.05394864968820201,12
8763,equipped,-0.05373849827013366,12
4353,nose!i,-0.053717112615531803,9
15744,consumer,-0.05356100654537954,16
5642,presumed,-0.05350531564817018,9
9747,knowns,-0.053397797585088114,10
13865,mikeps,-0.053304310134102195,12
3569,gensteraler,-0.05315962678767505,12
2950,plopping,-0.053112401619515026,16
11034,bleeding,-0.05311231335871014,13
15138,spektrum,-0.053098707059220374,10
8884,hopelessly,-0.052790728889029026,20
13546,considerably,-0.05259240543392352,18
7398,playmat,-0.05190985612049559,12
2899,possibility,-0.05142038874049947,15
15945,salon,-0.050966488146134394,17
12699,receipts,-0.050878299989306645,14
12058,pathetic,-0.050842805229308334,14
12490,hardship,-0.05033234121967567,16
8690,jaw,-0.05018439365533656,8
11496,splurge,-0.05013784922441157,18
7611,12-months,-0.04979174306666131,16
10883,transfer,-0.04900135572887724,12
5708,woah,-0.04874422218315999,15
6054,receipt,-0.048623489619848095,19
8708,struggling,-0.048592504681815196,16
10303,refunded,-0.048287103303958336,24
6968,mute,-0.04794997770129328,1
13799,communicated,-0.04793397150581654,12
9619,puppy,-0.04766885873182752,26
9027,toilet,-0.04699325271395532,22
5778,dizy,-0.04654248109585524,1
8871,gymnastics,-0.046514079139654996,1
15909,names;but,-0.046405100536933475,1
7612,3-years,-0.045915189968520384,17
3684,critter,-0.045875167089746684,17
5383,swipe,-0.04516278420468045,16
13397,smoked,-0.045054736092918546,1
6337,squeaky,-0.04504308042067088,18
9990,professor,-0.04467115267985081,15
4791,inspect,-0.04465258949770419,13
1208,painful,-0.044370847834748706,21
13741,spinners,-0.04393793671769508,16
14628,os,-0.04370180687141101,1
10989,dreamscape,-0.043314254877969915,10
6688,playhouse,-0.04294116945658599,20
7109,dh,-0.04267368440150676,1
1803,pricing,-0.0426198502670978,28
12395,furry,-0.042553471769224416,1
4000,inexpensive).have,-0.0424885520279048,1
9439,nightmare,-0.041848470948088023,34
9285,topple,-0.0418470956420363,19
9921,succeed,-0.04151344256095698,23
2419,nose,-0.04147810027841188,21
11633,logged,-0.04141351283504946,1
9157,uppercase,-0.04075026931223984,20
3349,molded,-0.04026127995473994,16
15612,seated,-0.03978935885146484,1
6650,devil,-0.03857895474403428,2
15095,fingernails,-0.03839094541805821,9
10723,danced,-0.038192035480733466,1
10881,sigh,-0.03799816134037215,4
5479,patient,-0.03796861948013802,23
11027,diving,-0.037965143913311294,1
15345,lenses,-0.03793546270310344,1
14478,irritation,-0.03790200015269818,18
8032,heavens,-0.037828853604594315,1
10562,lackluster,-0.03768833060406074,18
6490,mike,-0.03758320757705158,32
7438,panel,-0.037286343966612887,41
10226,restaurants,-0.037188190703435896,19
6594,functionality,-0.03714308702373851,9
13624,explanations,-0.037114711677816103,1
15986,goo,-0.03704376805579557,2
14313,spiraling,-0.036868785008226726,10
2834,responses,-0.036505204101817394,28
1486,occurrence,-0.03649464823718063,1
10595,stream,-0.036397200102101124,1
9718,spaced,-0.03615247324156634,1
14576,chirp,-0.036133240185506565,1
4137,calling,-0.03601486999888858,17
9019,chicken.i,-0.03593300749622822,9
11995,qx,-0.035825305104030924,1
12893,satin,-0.03570271188027618,1
5527,vivd,-0.0356647252612845,1
540,ripped,-0.03559586414901252,40
9456,supported,-0.0355704455657014,24
12348,swirl,-0.035512797773785465,2
10071,straps,-0.035498515569522084,23
7149,2age,-0.03544289662238498,1
5210,april,-0.035388791071924844,14
4533,rat,-0.03520907604991888,30
6063,mistaken,-0.035188765826092094,10
7187,playability,-0.034862520515857594,19
9691,embarrassed,-0.034824101483081904,11
11222,chemicals,-0.034565520529318584,15
5378,squeaker,-0.03447922524729563,9
15271,pickles,-0.03429095851936381,1
2947,cuddle,-0.034266922920930316,17
4688,phrases,-0.03417474869883659,20
14770,staggered,-0.03412634045756846,19
9476,basin,-0.03411427901194175,30
16478,resteraunt,-0.03391884389356292,1
8483,spliter,-0.03391758040532977,18
11565,doing!cootie,-0.03387037016666028,1
15853,choo,-0.033860805468354016,2
1268,paintbrush,-0.03374326272087558,15
7604,pal,-0.033657807156165474,21
13261,clings,-0.0336276831762197,29
2422,hooded,-0.03359549884362423,1
9524,undented,-0.033442563243966106,1
3209,bathed,-0.03330349667454158,15
15411,clank,-0.03322522402245909,1
16444,vines,-0.03313692124368117,1
7063,dos,-0.03312118902648109,1
10135,mathies,-0.03311925030105911,1
3283,zipper,-0.03309474361534962,12
5926,irritated,-0.03283685757325827,14
8236,spaghetti,-0.03266278088517538,1
14621,appointments,-0.032614244699566086,1
16447,decay,-0.032502826492077475,1
6749,scotchblue,-0.03246186763667739,34
11061,unreal,-0.032429769833782984,1
8162,virtaul,-0.03241808406436064,1
9489,germs,-0.03235430687995852,22
11069,adequate,-0.0323460216676823,2
1060,window,-0.03231243157434588,19
9751,pie,-0.03230761076127919,1
11407,odor,-0.03227432400241575,58
2255,trim,-0.0321496025887284,61
924,ho,-0.03197671128961792,21
16452,roll?&#8221;publisher,-0.03190404692061222,1
7036,voucher,-0.03184503728470927,23
2767,repetitive,-0.031740779620547936,45
3404,minni,-0.03169505130654443,1
9528,tilted,-0.031671646427668065,12
9119,bam,-0.03163593266692999,1
10001,u.s.,-0.03152145688822125,17
14805,bustling,-0.03149093887804,12
3133,swinging,-0.031467802049479854,17
13598,mccluskeywachtk&uuml;ppel,-0.03124142358376858,1
6950,packed,-0.031220251421936893,22
11366,trickly,-0.031171143684332492,1
2072,caucasian,-0.031129765912709217,1
10427,ads,-0.031086802454581175,1
728,front,-0.030962243909925326,312
3926,garbage,-0.030958306739175556,89
5963,lump,-0.030894066774465045,5
8525,peasy,-0.030834238623999255,1
15816,snacky,-0.030756303735927304,16
6659,unhappy,-0.030662875177040406,30
13458,ahold,-0.030587983131297847,1
14729,vicinity,-0.030514971154785187,11
14787,seamless,-0.03039846720297268,2
8794,work-,-0.030309077086017044,16
14424,clerk,-0.03027421521548601,1
8001,welded,-0.03025979523081901,1
2383,error,-0.03025857672412287,24
7367,tonight,-0.03018227870017444,31
13754,looping,-0.030168263715550037,1
4686,all-,-0.030099719522941548,10
6439,sharing,-0.03007778871136324,21
15383,comics,-0.030043788816044525,1
3994,instinctively,-0.029943200749187326,1
4889,tokens-,-0.02981704751565939,1
5887,cheapest,-0.029805003434479612,38
10672,mu,-0.02969393985567592,1
4305,presentation,-0.029643932608720724,32
4571,tooth,-0.029639482920913007,40
8721,pointless,-0.0295652999219116,59
13699,sayin,-0.029561581580793472,1
9955,pdd,-0.02955559686493814,1
9001,throats,-0.029539201073254695,10
13263,curled,-0.029518400204040063,14
10099,hotwheels,-0.029330386661004033,28
12658,mole,-0.029281612611799353,9
14542,lifeand,-0.02927852547648513,1
4945,sat,-0.029262847607157486,64
6011,officer,-0.02918909348027654,1
8689,rocker,-0.029142827313336284,1
3619,meanwhile,-0.02910240319052093,1
11820,connector,-0.029072383592349448,11
16047,pend,-0.028979508075877902,1
15859,supplying,-0.028912670456918477,1
5714,wah,-0.02884241251697972,15
13586,hesitated,-0.028825661574899186,1
2302,threats,-0.028824238568423866,14
14848,foul,-0.028756321527971807,9
3240,grin,-0.0287420259523401,2
2898,dulled,-0.02870733998448749,1
14967,musty,-0.028707330048881374,11
15008,corded,-0.028597295766330078,1
16015,thinnest,-0.028488689912201437,10
3710,clothes,-0.02845965125332513,42
3521,business,-0.02834279110955095,19
14825,ue,-0.028342326094268344,1
5172,striking,-0.02822916470930413,23
2638,columbus,-0.028158067706897327,1
10769,packing,-0.028079001487191915,18
14605,chapped,-0.028035515920123544,1
5377,clicks,-0.02801102916935457,12
9242,instructed,-0.02799292135268501,21
9170,plank,-0.02796119109807303,13
11006,audience,-0.02788756829734435,11
14027,critisize,-0.027815655048423576,1
10858,preparation,-0.027787014942665778,3
6001,spill,-0.0277859356609263,23
6512,module,-0.02778416034154579,15
1770,subject,-0.02774358282590371,30
1498,circus,-0.027592882766665383,4
3621,halfling,-0.027586439761019932,1
10605,purposefully,-0.027571345813999115,2
9407,woes,-0.02751794270986352,1
4698,exposure,-0.027397841495291342,16
15783,indulge,-0.02733215089201006,10
4348,crossed,-0.02731941110414482,1
4027,coupled,-0.027304862369178094,14
7441,faux,-0.027290171204075748,13
8927,budget,-0.027200872017766456,23
8235,potatoes,-0.02717425700427345,2
4439,died,-0.02713378223791173,29
14841,disturbed,-0.02711589301466688,16
14877,hamster,-0.027049601811228285,1
4743,lies,-0.02704877385336875,13
15786,toolkit,-0.02703654269009803,10
8940,marketed,-0.02696311767458153,21
8759,shirt,-0.026960651654334457,20
5113,smell,-0.026914717689544444,122
10003,duct,-0.026910262945214924,1
1850,identical,-0.02688304174703924,27
9433,yro,-0.02686828452466372,30
5398,masks,-0.026710031770221576,1
1107,peeling,-0.026635309803861876,35
10725,flapping,-0.026632024979818425,1
4569,springs,-0.02662056176053677,15
5791,wayyy,-0.026607808761620312,23
15136,inputs,-0.026586969501522617,10
10855,mindware,-0.02656193975876464,10
12698,gate,-0.026470525327181527,13
8342,august,-0.026425201033961718,18
10504,whimpering,-0.026420800003272404,1
14419,smeared,-0.026353278924247547,1
1125,vendor,-0.02632505179404882,30
16053,putit,-0.026305935179127715,1
9774,knots,-0.026300292806607395,2
12521,wires,-0.026297800491379673,21
7696,kraken,-0.026271485488095436,1
11462,quieter,-0.026260756837625722,15
10550,frozen,-0.02622004021139901,1
5905,strip,-0.026219415014953135,15
9090,rocked,-0.026178117732328587,18
9288,displayed,-0.026162699741238526,15
16458,groves,-0.026130610087335526,1
1802,toxic,-0.026121285087655006,61
9930,soooooooo,-0.02611302126462406,17
7730,phillips,-0.026083703367248745,1
7084,throes,-0.02600811534492209,17
13771,jackson,-0.026003954440660948,2
4407,w,-0.025999343694305503,28
4514,disapointed,-0.025990606637297093,43
7254,recruiting,-0.02595064854881457,1
7608,creature,-0.025928551391189103,15
14700,belch,-0.025905454674941097,17
6750,painter,-0.025896770922822283,52
8076,harzard,-0.025881927465813234,12
7355,pillar,-0.02587349069724354,1
6644,rear,-0.02584353295371487,14
10818,vendorhappy,-0.02581144911861581,1
6622,management,-0.025801685741249837,27
12800,dabbled,-0.025775705063603382,1
1053,glass,-0.025717330151967727,38
6866,stage,-0.025709294022937788,28
467,corner,-0.025691897786170835,49
7972,striped,-0.02565025485714756,2
11813,soldering,-0.02564899094779083,2
12412,spun,-0.025632506171422875,2
12697,cupola,-0.025629532231398855,13
7834,st,-0.025578543641898932,1
2318,slip,-0.02556946662383363,30
3387,glued,-0.025531803895654622,30
12166,cheapy,-0.025514100059064404,15
