,Word,Value,Freq
6455,royalty,-0.0365331736712875,1
7387,lurk,-0.024508576926617565,1
6089,tho,-0.02291922616859665,1
6998,duvet,-0.021651415232994964,1
8313,consistency,-0.02104570663391314,1
5973,volatile,-0.019979485244192574,2
7135,alleged,-0.019508147166618528,1
8393,stream,-0.018230840290755168,1
6938,primitive,-0.017960949413868832,1
1911,produce,-0.017817246533919473,4
8639,bend,-0.017455346319721343,1
6181,aquatic,-0.01721910396986459,1
7400,dn,-0.01699470813474946,1
3966,blooded,-0.01699448022515071,1
4784,instability,-0.016233710367327348,1
4550,renewed,-0.01617332270987859,1
6215,beverly,-0.015971954547055134,1
5200,malice,-0.015861024333197804,1
2532,fungus,-0.015791029204933693,1
7390,basket,-0.015764972970231383,1
4211,math,-0.015669482833260417,1
356,alan,-0.015543607186145891,1
7768,pump,-0.01526780978520037,1
6768,uranium,-0.014603799649009375,1
6415,gawker,-0.014565152120110003,2
6262,yield,-0.014317939971533633,1
4527,mutation,-0.014062376212521599,2
6049,conventions,-0.01393798444465233,1
6503,mail,-0.013892113514430093,2
7297,characters,-0.013787846065639542,1
2114,imperfect,-0.013640136038960082,2
4183,checkpoint,-0.013634670435436647,1
3749,vicinity,-0.013348488036911021,1
8348,di,-0.013234328182800681,1
6063,hazard,-0.01319515226475687,1
4846,technical,-0.013125934207363818,3
8652,fraudulent,-0.012991971613857345,1
4138,picket,-0.012915229891802937,1
4956,behavioral,-0.012845246027159973,1
4414,weekends,-0.012839255766408542,1
5686,possession,-0.012775218106895636,1
4085,deliberate,-0.012743328161967327,2
4447,maritime,-0.012680435062691231,1
4426,iphone,-0.012562923690751404,1
7876,chikungunya,-0.01240078791756929,1
5663,attached,-0.012226598554704537,1
7177,flinch,-0.012193522710106208,1
3191,broadcasted,-0.01210895075191587,1
4929,happen--,-0.011918441936006255,1
6484,invade,-0.01191005620172092,1
3533,fool,-0.011882769640365609,2
7560,rhinoes,-0.011848288584289435,1
3099,accessible,-0.01170800492798918,1
3193,spiraling,-0.011701316956692409,1
7635,reproduction,-0.011638343335178547,1
4993,richter,-0.011466831382776377,1
5837,petty,-0.011420365424894404,3
8394,booted,-0.01141168200685172,1
1905,sulfur,-0.011387834097835281,1
5119,brilliant,-0.01137754006694891,1
4476,database,-0.011376628340091344,4
5921,page,-0.011343099572101778,1
1014,bullies,-0.011327133390560462,2
3516,£,-0.01129200853982848,1
3517,"1,600",-0.01129200853982848,1
5351,explicit,-0.011134600538760253,1
580,rhythms,-0.01108102498622543,1
8165,tool,-0.01099760683254547,1
7516,loser,-0.010973929394452853,1
4841,slit,-0.0109649823042961,1
2339,balancing,-0.01091713947013299,3
2885,garbage,-0.010872261727254796,5
8563,rappers,-0.010857463901473352,1
6478,uprising,-0.010735009654808891,1
7036,triggered,-0.010628970921448655,2
5906,monty,-0.01060113083936276,2
6291,credible,-0.010513349770178593,1
5100,rapists,-0.01048878334785286,1
6302,bark,-0.010473969412203132,1
7484,perch,-0.010398667809184303,1
7662,tended,-0.010387827686159312,1
7603,bits,-0.010375618683248433,1
4525,mining,-0.010346595464297318,6
6906,abuja,-0.01034641302837258,1
6690,offsprings,-0.010342100691765665,1
6124,urem,-0.010329705624556595,1
7574,occasions,-0.010204359828264842,1
6486,ridding,-0.010194608430266427,1
5125,dictator,-0.010184978895434682,1
4197,tad,-0.010085208618452413,1
5847,warfare,-0.010057948691077456,2
6469,murdering,-0.010042785326472625,2
4751,warring,-0.010025164972335965,2
6495,verge,-0.010019953517034441,2
7643,confuses,-0.009958750342889289,1
5406,crackdown,-0.009957535428156916,2
6637,kidding,-0.009913465761920648,2
3230,tagged,-0.009898809081763105,1
5226,monitored,-0.009842393468737498,2
4678,farmer,-0.009840758546662443,1
2730,charts,-0.009756043285015892,1
4595,weasels,-0.009726683408265657,1
7975,cousin,-0.009726298970321956,2
5141,manufacturers,-0.009724671908529103,1
3626,dangerously,-0.00969504578025493,1
3347,urge,-0.00967048964153605,1
5534,erosion,-0.009651633303853657,1
3057,handled,-0.009617712838135617,5
7977,drones,-0.009589352193970058,1
4431,reversed,-0.009583623796260099,2
5570,careless,-0.009571605724052615,6
2752,manual,-0.009571033758028591,1
4860,discontinue,-0.00953670530952877,1
456,antics,-0.00948656288353611,2
5660,glands,-0.009467715936662735,2
4129,indonisian,-0.009429795376295402,1
6866,breakup,-0.009429330761577148,1
6413,detract,-0.009373395474181478,2
6088,variations,-0.009314383596262132,1
1224,ultra,-0.009280063721774923,1
4529,lockets,-0.009230666073597793,2
6133,websites,-0.009159078220079664,1
6593,agricultural,-0.009154651173886919,3
4057,comparisons,-0.009146967036997466,1
6524,austrailia,-0.009141884938195233,1
1815,dispatcher,-0.009124320504812822,2
5009,psychopath,-0.009109995853627595,1
3881,thoose,-0.009093754978671598,1
3379,typically,-0.009068020860029927,3
3058,understandable,-0.009010775565851503,2
3701,livestock,-0.008968190259227904,2
7575,insulting,-0.008920949517218446,1
3115,runway,-0.00891245182471323,1
1833,radar,-0.008906928058031838,1
8476,stack,-0.008863594305282163,1
6642,drugged,-0.008863506183729442,2
3747,toxic,-0.008821983220014337,3
3250,earn,-0.00877131323370639,4
869,dearly,-0.008761792139260649,1
480,outfit,-0.008751675096881684,1
6522,settlemnt,-0.008746720693179574,1
4017,comedians,-0.008742213819154188,2
5776,naturally,-0.008720447196612469,1
1447,paint,-0.008719861374245852,1
4743,block,-0.008647084484971757,3
2869,clamping,-0.00864243565878553,1
8158,pink,-0.008627978956916138,1
1063,conflicts,-0.008623322188009652,5
7316,atms,-0.008601638228135755,1
7305,bang,-0.008583301454478942,2
7155,blight,-0.00855749225084157,2
4274,eerie,-0.008550238617317518,1
7618,permit,-0.008547990214850643,1
6468,bowl,-0.008547341169744982,1
7698,shelby,-0.008498928180992849,2
4093,lifelong,-0.0084909396847479,2
6179,introduction,-0.008459724225508225,1
1278,confederate,-0.008406931110477522,4
2037,fluctuations,-0.008389237965914731,2
5621,surroundings,-0.008370095867775262,1
6505,column,-0.008354745645192452,1
8330,twenties,-0.008319361878339038,1
5703,drag,-0.00829076599133316,1
2249,towrds,-0.008270048669476893,1
7144,drowning,-0.008209322424193033,1
5658,produced,-0.008205683252167084,2
3833,insulted,-0.008192330949086113,1
6307,sexually,-0.008171431240961535,4
4026,obeying,-0.008168990184543645,1
1070,rino,-0.00816492990653106,2
2588,factual,-0.008146354731545125,1
2323,compromising,-0.008126310507112322,1
676,beaches,-0.00812012177982524,1
3155,sts,-0.008113252528687553,1
8670,imply,-0.008111409260781244,1
6636,mansion,-0.008084671259211973,1
3188,occurring,-0.008061741777069642,3
5095,afganistan,-0.008026684736475906,1
5983,detriment,-0.008018954163856451,1
6109,havoc,-0.007997757366695168,1
8329,boating,-0.007989119713499804,1
3240,spark,-0.00796522981357839,1
8502,busch,-0.007962995254785573,3
1044,publicity,-0.007960848873274529,1
1972,ton,-0.007927301121682717,1
5611,screwing,-0.007887981136811106,1
8003,bankia,-0.007886697383248098,2
7833,tea,-0.007874544825709151,1
4413,weekdays,-0.007869401567290879,1
8364,cetera,-0.007822866502579018,1
3721,chickens,-0.007819596734553494,3
2420,reef,-0.007758052262292115,5
2633,brink,-0.007725473404913696,2
1835,poison,-0.007715960073813477,7
4666,unpredictable,-0.0077101178919889435,2
5689,israel,-0.007691117937348224,1
6036,terminal,-0.0076738403953982015,1
3108,target,-0.007654355533720736,4
5350,pose,-0.00761480708447948,1
6529,wierd,-0.00760596737195159,1
2145,escalated,-0.007594176628401783,1
4245,stole,-0.007575933078174613,2
5053,delve,-0.007567537178278627,1
3509,snapchat,-0.007559385136699515,1
7996,robin,-0.007556181955351349,1
4000,messy,-0.007555989585455336,1
6369,composer,-0.007543299140536419,1
6511,psychiatrist,-0.007510948788320704,2
6948,autopsies,-0.007510179489838009,2
5750,shelled,-0.00750498610463346,4
7830,powder,-0.007490268248375287,2
2628,hunters,-0.007485561642052237,3
2687,odds,-0.0074763547737393314,3
5643,dishonorable,-0.007452880058963274,1
6796,marched,-0.007451147624880861,2
7405,numbered,-0.00743507277876887,1
6396,utter,-0.007421336571287185,1
